Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_walk_vgvi,g_walk_aadt
10,2137.715430694871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0707853195435337,0.0,1.300285981937744,0.0,0.0,1.1178544967449484,-1.318958527186313,0.0,0.0,0.0,-4.391277596230717,-2.2249382446231487,1.0909188274022896,-2.3021301527870133,-0.5175131701465852,-0.41979855404523864,-2.502070260694767,4.971672612415824,-3.523677929976043,-1.074162828917328,-1.7595436874257573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3155724247475657,-1.870498872763518,1.892061791066321,-0.9930765293678075,-1.0469641822080393,0.0,0.0,1.0198384942561525,0.0,0.0,-0.07196989035679012,-0.022837753771079633,-2.473692897937508,-0.08784157436383014,-0.7239553894675486,1.5778593152084497
11,2102.7303921469215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0052475503820224,0.0,1.3844767453522517,0.0,0.0,0.8962290400686843,-1.1340468415365121,0.0,0.0,0.0,-4.941016943286776,-2.4372992245011473,1.2212615861277896,-2.371856937491491,-0.8180228838164822,-0.41037769512609146,-2.6217439546089767,5.0078757577708775,-3.7924746860132883,-1.1773556727276269,-1.907986276641191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2850264207687304,-1.8635619978810227,1.7409486813677695,-1.1121768770635345,-0.8556099728862249,0.0,0.0,1.030356915723885,0.0,0.0,-0.09277571154495376,0.0014601888357895672,-2.470322863342044,-0.08445989929667258,-0.7149754817128466,1.5872272435133938
12,2039.571529756503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8442076285413282,0.0,0.8201146107890143,0.0,0.0,0.7723354066646222,-1.374279372742384,0.0,0.0,0.0,-5.850704512280267,-2.972855944432616,1.6795881098979433,-1.6067166519865792,-1.760457424455539,1.001349356094376,-2.1891652732895652,4.691892207442459,-4.406352528573748,-1.611909957502396,-2.774608509368589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6041760815689252,-1.1163964230052994,1.652897894681385,-0.5515277816701158,-1.7492592227027175,0.0,0.0,0.5568952741224873,0.0,0.0,-0.11003482713949267,0.012307486744294957,-2.2295714517334426,-0.08001466581645347,-0.46748513955248816,1.6336644886667706
13,2014.953833553417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.696709774790577,0.0,0.3175804545437657,0.0,0.0,0.6347625925761624,-1.0082361894899017,0.0,0.0,0.0,-5.271350634502005,-2.7178169797276497,1.7914276907185815,-0.14076667855231584,-1.8025884463266586,2.4890406169724857,-1.0942808005088587,4.94443677184891,-4.854807248761221,-2.2246359869276096,-4.019417911307974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9830702070222266,-1.9940856669879794,1.9557320200908794,-0.8015293049293879,-0.8778926132127979,0.0,0.0,0.8937376307931238,0.0,0.0,-0.33111693904864214,-0.09231412413408821,-1.9677016533540599,-0.08201244368360894,0.13436345899742508,1.5285712795660562
14,1932.8767957325385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.355431589910471,0.0,0.31905836934006054,0.0,0.0,1.3298040907606061,0.17188997337119916,0.0,0.0,0.0,-4.702295810778044,-1.3770438992968628,1.4869134104385981,0.3312202994730877,-0.439494305040004,1.5321494971149145,0.2602447760611766,4.15677103910108,-5.220175099601032,-3.1733550496291345,-5.837159758157763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9680388450253358,-2.1756892303443776,1.5378274025717844,-0.3403342587721728,-0.6979812950090639,0.0,0.0,1.347165050981999,0.0,0.0,-0.5860813413932797,-0.16019630231868465,-1.6629411225595523,-0.07919359565658253,0.8756813164403696,1.373604815850449
15,1908.1486014389754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8740104602001442,0.0,0.44016336025674835,0.0,0.0,1.7331963276056288,-1.3508172342131384,0.0,0.0,0.0,-4.045747768810783,0.14997605194218422,1.6755758875547169,0.4108038211504914,1.1089421593556412,-0.20240303381218938,1.2592916466929847,3.720287018540043,-5.80479499872841,-4.549668383334093,-8.226450067749902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.370510832418202,-1.7199620597854692,0.8725619974923009,-0.668139127992596,0.6242536478599136,0.0,0.0,0.9024162765161979,0.0,0.0,-0.7140980808883507,-0.1968007566381019,-0.7449950711047357,-0.1298330672727435,1.0721992418493704,2.140846897864907
16,1854.5632413398864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.30808982857626,0.0,0.6073104351187899,0.0,0.0,0.9915880573796307,-1.311733968671156,0.0,0.0,0.0,-3.9297685655299817,0.3090468875381499,1.7040756548559506,0.2978408012464039,1.6727408364602026,-0.3517262272308539,1.0290834376571523,3.71189325417242,-5.801416990483401,-4.8901789620176705,-8.84738095956086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52599216981555,-1.843271601938461,1.1619549701727105,-0.5722141602971004,0.12682714802322653,0.0,0.0,1.3579448125565525,0.0,0.0,-0.7809465669150754,-0.2061436857897125,-0.5240982667831613,-0.1379448668630259,1.2320086243252724,2.1049436546499285
17,1834.7767910056018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.31973342665366,0.0,0.772730117913315,0.0,0.0,0.9869980105951972,-1.0523171222841776,0.0,0.0,0.0,-3.866896483643267,0.27143713242879325,1.8011980785171762,0.32612272917056967,1.7023178839533726,-0.2567699299540031,0.8513229765225818,3.7643106719453723,-5.649432842163009,-4.979177505736505,-9.052526481126925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6087533040181596,-1.574580210479089,1.3056957785172634,-0.887887082015139,-0.07882320742169047,0.0,0.0,1.620066021865407,0.0,0.0,-0.7789159451011882,-0.20943015296903575,-0.44033823246076875,-0.14090566245687017,1.2402434732171264,2.1350770514661184
18,1792.0127858051662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5854750340313688,0.0,1.7332032433778446,0.0,0.0,1.1410133792783292,-0.9350824449651578,0.0,0.0,0.0,-3.8148061795998265,0.06271539051172356,2.471262090618675,0.3533177206919693,0.8439579683122749,-0.048493950096857585,0.22833727027892636,3.8883105013351966,-4.584178306182102,-5.070469086105231,-9.467109768146388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.410150990573646,-1.8764828611200857,1.3258276699211313,-0.6406499507499045,-0.42996846918650367,0.0,0.0,1.9015043394800129,0.0,0.0,-0.7809603438881461,-0.2169692887643303,-0.33724987648547156,-0.1398476810062144,1.2225249937410663,2.066739920602667
19,1764.6576998854248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6609382058263715,0.0,1.6104946603844976,0.0,0.0,1.0838997699286979,-0.7268808979849252,0.0,0.0,0.0,-3.939344273600227,-0.23350731194128824,2.815986761273834,0.11396048218668109,0.4962094680302998,-0.09933432411683346,-0.15708893310984073,3.8662278802979855,-3.8346137010385206,-5.125445739941589,-9.645576738411476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4721239412491967,-2.054919733152767,1.8145400488888495,-0.6524726371034645,-0.5548613091778525,0.0,0.0,1.7236147802329331,0.0,0.0,-0.7091122140966384,-0.1968686464767065,-0.22689758483853575,-0.13682048380437242,1.1340825569701598,2.1164888738018233
20,1732.9146499105805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4868854541496288,0.0,1.5182632441688866,0.0,0.0,0.9639837001924956,-0.9411092456271747,0.0,0.0,0.0,-4.084902220152442,-1.2668570166095792,3.229672666407273,-0.5357148819925667,0.6911504994641741,0.3424789721689554,-0.4526340397522705,4.08888593996112,-2.919870764443613,-5.324253218111321,-9.121544506246186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1685008375953485,-1.6739859060900772,1.752142274829461,-0.5143516709842433,-0.4905230933091104,0.0,0.0,2.227551637953819,0.0,0.0,-0.6536280230654936,-0.17866408572617912,-0.26976402446699654,-0.12920158689681863,0.9874660621452771,2.1694410538177804
21,1703.666353810132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5884729373268296,0.0,1.573674697943866,0.0,0.0,1.0057185238547497,-0.7579260724820616,0.0,0.0,0.0,-4.617226782377396,-1.8822658158691095,2.203632750124716,-0.2757016259033567,-0.5557507053685903,0.5188000725184699,-0.6888656927481863,4.683486363318181,-2.5117040733787896,-6.242757828403075,-8.346338734035083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6827248599617497,-1.3992003166864029,2.3728679665823935,-0.10618850947812175,-0.8067732768698078,0.0,0.0,2.48280158667534,0.0,0.0,-0.575068301306111,-0.13136143211652274,-0.3280396238453988,-0.12314406686770665,0.7601480397349107,2.2108355631895114
22,1690.9269388321118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5893033710526572,0.0,1.7491457076590897,0.0,0.0,0.957493246373529,-0.7649147575434239,0.0,0.0,0.0,-4.526253676630519,-1.9156464068539443,2.353719729797713,-0.5454725290289513,-0.769224946827856,0.7074380289721256,-0.823167163621639,4.507997850124352,-2.2540679248362436,-6.604663248722507,-8.4287765466876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8639817550517674,-1.5763022895080963,2.291791577675709,-0.36678831986977745,-1.1268040441137281,0.0,0.0,2.4700742443210904,0.0,0.0,-0.555231002390777,-0.12486661958565162,-0.255360322321543,-0.12023162586584873,0.7676665922873811,2.171224332886488
23,1685.0301440040928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7534610370363437,0.0,1.4147831221451501,0.0,0.0,1.146646618646344,-0.6043823889481829,0.0,0.0,0.0,-4.320682008876063,-2.137465207369832,2.9092089001677506,-0.9231173843211069,-1.0132105693349764,1.0146221244458349,-1.1741859628618836,4.262557861757893,-1.856789187660377,-7.145084849771951,-8.724636929757036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7325518487518476,-1.7903838383093795,2.187738938116755,-0.31077694259407496,-1.2119032534604688,0.0,0.0,2.607017876764632,0.0,0.0,-0.5798597409357457,-0.130192681005518,-0.14432699819130906,-0.12122406104836954,0.7632578889725964,2.15129657342539
24,1683.4308632969555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8363029118064491,0.0,1.3413172543486525,0.0,0.0,1.2221393862395133,-0.518216509907143,0.0,0.0,0.0,-4.238212459640718,-2.23106867866935,3.134497285555346,-1.0395027809245672,-1.1127371944005875,1.1289577294865143,-1.353456286550727,4.096913463100179,-1.6645642700510728,-7.3370031853533035,-8.438576410967139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7285327971333968,-1.9223474735185186,2.200091692153569,-0.3142164726702839,-1.2581975130690926,0.0,0.0,2.5740384636752918,0.0,0.0,-0.5794215733216141,-0.1294252202402567,-0.19390541995743238,-0.12127652298088251,0.7568305910474585,2.1360121898023827
25,1670.6314815126361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8840247922372266,0.0,1.7443421805559496,0.0,0.0,1.1867969608805735,-0.557765865410496,0.0,0.0,0.0,-3.9915212087010654,-2.6364495467102955,3.2238637142105984,-0.9078614748643249,-1.0442124121581768,1.1724364837035925,-1.7600662272087204,3.617376327634929,-1.01739824715034,-7.808107397166795,-8.029468325504782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7733503476906844,-1.9074331000000857,2.4968439770454527,-0.33756901851475596,-1.2312023421222607,0.0,0.0,2.3711395277728036,0.0,0.0,-0.5417146553675513,-0.12238909995451087,-0.18529702905519088,-0.11784270783732072,0.7650593565813398,2.089497430680668
26,1658.0482944751482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7125219237841844,0.0,1.7928089477063045,0.0,0.0,0.9416688335368524,-0.5806929894286693,0.0,0.0,0.0,-3.4977501930610284,-2.9239161201281796,3.391278410495045,-0.6290561015611165,-1.3525391735550687,0.601466576018217,-1.3547133820412136,3.6223305338477076,-0.5910627834507468,-8.22747093301032,-7.312338552633731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.031152077168036,-1.9050685107986862,2.3290220685726766,-0.6047742448500693,-1.669151581128672,0.0,0.0,2.490745001018371,0.0,0.0,-0.48342231573311506,-0.11632230835478706,-0.18191758154848983,-0.11283661655016886,0.7671789361867838,2.032706857325643
27,1641.551717388501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7812882770834093,0.0,1.9692607091056322,0.0,0.0,0.9762262845468884,-0.5611873489520615,0.0,0.0,0.0,-3.2163493288239895,-2.855388338200968,2.2936844175856086,-0.9823494649982972,-1.325123556607017,1.0555731829289026,-0.924425775181025,3.0711580570518118,-0.907716383399878,-8.67733575008375,-6.124501814258089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3636189582256066,-2.164386635162844,1.9165941662263,-0.9010168975765054,-1.9038070523918869,0.0,0.0,2.3907260694229295,0.0,0.0,-0.34676685718252453,-0.08502822581752928,-0.16389129072380754,-0.10540752222597462,0.6706648249735461,1.9765297655136542
28,1636.5382566212936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2938822512089199,0.0,1.988006938106644,0.0,0.0,0.5916121560080608,-0.9851571480660979,0.0,0.0,0.0,-2.4547078541998872,-1.4697061528873165,1.9586060903137643,-1.0789508540277175,-1.4926600004665762,0.7479994044846882,-1.6279933108966138,2.9586821096885165,0.10297065316197052,-9.389214930529548,-3.61655716527192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.059851996388838,-1.1414587822423397,2.325881136701947,-0.7384394289690829,-1.3475443371511977,0.0,0.0,2.635724614392086,0.0,0.0,-0.2613520506060329,-0.0619213677409269,-0.1926035470306565,-0.0973923247851736,0.5805121559145661,1.9086560786520208
29,1620.7352470370474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5253150840208802,0.0,2.1680566167217714,0.0,0.0,0.7411080598925786,-0.8498773946575882,0.0,0.0,0.0,-2.794501950724202,-2.280301098736345,2.4403137861673283,-0.28011627537981687,-0.7183925830832872,0.3488269360555858,-0.8218083306890966,2.6796009772245726,-0.4352193132849477,-8.951801784568254,-3.479856851674403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9570619064218362,-1.4360916969135769,2.4356708240420764,-0.6549100963513701,-1.23650893467032,0.0,0.0,2.288688700828217,0.0,0.0,-0.2629001624970253,-0.05798302317024351,-0.2084727852520314,-0.09883688418255374,0.5653986510438259,1.8193306584563516
30,1610.4291494555043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6059385040729135,0.0,1.8276579469634227,0.0,0.0,0.870046413560243,-0.7855596311035437,0.0,0.0,0.0,-3.1309132436688,-1.883095875674424,2.3781033571613808,-0.45547325258313626,-0.531307215809032,0.4394157386975281,-0.6219296944107177,2.884154404722348,-0.8597855673221471,-7.62478770168401,-4.573621790590897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8515894731879567,-1.628345085367046,2.145369222316012,-0.5903388617846239,-1.1259577117022257,0.0,0.0,2.1110905162352926,0.0,0.0,-0.337377732510795,-0.07940596056333224,-0.22573381871519638,-0.10356191269282874,0.5941627860921647,1.7848695184748813
31,1608.3845362395298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7312419835533526,0.0,1.316987319478843,0.0,0.0,1.0864441544375933,-0.6747019891596877,0.0,0.0,0.0,-3.238662870712885,-2.012277511683707,2.06041472744205,-0.2712959372061341,-0.4183739313157771,0.5018083697830005,-0.8402945732400948,2.818833953351522,-0.4337086913230199,-6.671055667807215,-4.195112968854069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9947786618447028,-2.0948490108980597,1.4045041609493794,-0.6857209772568904,-1.3166729302585518,0.0,0.0,1.9523065014355305,0.0,0.0,-0.3184242713314516,-0.07346156280261466,-0.23703301371774385,-0.10354861056167733,0.553948743715674,1.6986569128693654
