Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_walk_aadt
0,3618.2737582613204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0
1,3063.69884046104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002072863268837409,0.0,-3.491010809347482E-4,0.0,0.0,-0.0011065502905813968,-0.0013187430087849925,0.0,0.0,0.0,-0.005881123210075685,-0.001163362339801738,-5.07219799620573E-4,-0.002096631180269868,-9.985033171961348E-4,-0.002845009653184994,-0.0019173073615950153,-8.886114713885506E-4,-0.0018064820404981063,-4.2089990549722974E-4,-0.0032153654495594712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006929031283910394,0.001132686988839362,0.0014932093925028407,0.001867348309227213,9.849259908516553E-4,0.0,0.0,0.0030705903856372415,0.0,0.0,0.025404167215491633,-0.15558080540535663,-0.11502207914547956,-0.03628183728330006,-0.002473244642523613
2,3041.5243171384686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029957185016070017,0.0,-4.589209123656046E-4,0.0,0.0,-0.0015596229988037752,-0.0017420583611854436,0.0,0.0,0.0,-0.0059957251189553945,-0.0012022529728907593,-5.133208877988804E-4,-0.0021446840095866175,-0.001008170528640237,-0.002883617638522794,-0.0019618308019751438,-8.538196455248523E-4,-0.0018620579304985986,-4.357459786098341E-4,-0.003968531867528005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008062426783951906,0.0013036042627740394,0.0017742479211798345,0.0021569972145062243,0.0011327614868708688,0.0,0.0,0.0036319029603212125,0.0,0.0,0.025042633943839127,-0.15429269066411938,-0.11839033702449697,-0.030095046492501797,-0.0025562458508683653
3,2811.507510112295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23550245257615243,0.0,-0.029240546957276257,0.0,0.0,-0.11695362051860499,-0.11374105026845799,0.0,0.0,0.0,-0.05052746956695914,-0.014397667987666438,-0.003334629359521602,-0.020014353109435168,-0.0058933172259980505,-0.01985442988669526,-0.018470774820161583,0.006725846120621059,-0.021127227103490666,-0.005448646536578546,-0.19997567049893183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2796636962856505,0.039914816337875275,0.07738673062451684,0.0675368473270048,0.03416674304914063,0.0,0.0,0.15376445905598424,0.0,0.0,0.17234568034277906,-0.14350119762593452,-0.9382355313348731,-0.09040811198321361,0.007721470466705804
4,2149.5045890978863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5499333079654052,0.0,-0.18697948405326925,0.0,0.0,-0.6894035121340968,-0.6603321009301277,0.0,0.0,0.0,-0.32426583514492413,-0.09454772956986071,-0.02488554146284339,-0.12239230554340769,-0.03855826723804996,-0.12736626350990474,-0.11303038680212922,0.027484281785196612,-0.12865922489926385,-0.032929178161583375,-0.5362669960738196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.577259999808527,0.21824909994759864,0.440285168843788,0.3803502864688366,0.18207019318356232,0.0,0.0,0.8401713275824836,0.0,0.0,-1.0204807625667023,-0.38490099019521506,-1.4734221150524687,-0.32554362602827536,-0.16753297939643635
5,2099.1534129183515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.43998685618458,0.0,-0.17590232629346536,0.0,0.0,-0.4043998530188962,-0.7244937097903117,0.0,0.0,0.0,-0.5148365529863898,-0.18568484448959072,-0.008568760851415336,-0.2099442705294831,-0.051023322324895565,-0.17681376960009382,-0.20316728842048004,0.15458125483606827,-0.25252818188423876,-0.07013954920966214,-0.6742686746365307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8564344212489563,0.19925912892607242,0.6331171302966603,0.3650745892833657,0.13471186753782377,0.0,0.0,1.0615679367722997,0.0,0.0,-1.0913555580883407,-0.38657105068264297,-1.4422417335607116,-0.3288795574280826,0.28097664300500214
6,2098.5689982056565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.679167579045324,0.0,-0.07722169234816131,0.0,0.0,1.3174088842855216,-1.0019864262559106,0.0,0.0,0.0,-1.551542997321131,-0.7125307687017943,0.10549556280887423,-0.6993693195869235,-0.11036321647208513,-0.41689814483931836,-0.7132083274878847,0.9313542746752717,-0.9588797664522053,-0.2884533009416689,-1.4481557204866222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38030081763855,0.08922275367495354,1.698211752564333,0.27937481244094114,-0.16753309227608798,0.0,0.0,2.290581291683192,0.0,0.0,-0.8310683813025928,-0.24405242101898786,-1.070663253611414,-0.31530963866096584,0.20355926292470128
7,2074.222628547192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.037126563321378,0.0,-9.46835671306101E-4,0.0,0.0,1.5359197904779687,-1.45974817035703,0.0,0.0,0.0,-2.1114202295489504,-1.0675336390785704,0.2234480240415655,-0.9918513301407499,-0.11523307237084703,-0.46323640845362124,-1.0439755412894005,1.5875619993889436,-1.4238965101201857,-0.44292451833727503,-1.8412414018444834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57043279085329,-0.11720841648983245,2.2614347202178617,-0.08737992404790684,-0.5187027281274892,0.0,0.0,2.9037369165319653,0.0,0.0,-0.14874061268851602,-0.08446855578245513,-0.6147706618716551,-0.22422651731707452,0.3042785316016041
8,1913.518513243319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.220013868727352,0.0,0.307584733846318,0.0,0.0,1.7940227717877657,-1.915710234176291,0.0,0.0,0.0,-3.2025393561784723,-1.7828205307588272,0.5031304173967608,-1.5908076200413697,-0.10928966866762652,-0.5066706659667674,-1.736296849340991,3.035215512426663,-2.3947274772046168,-0.7636268480007617,-2.6671057201332937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.866340485467468,-0.7492152406404546,3.1176177494460138,-1.1001018907883662,-1.3827843734013647,0.0,0.0,3.7031320012767868,0.0,0.0,-0.30097751584737453,-0.06461516268442218,-0.5716103186241154,-0.21756798009437509,0.16636893991559543
9,1825.6216680026932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2042595785301404,0.0,0.731811920804605,0.0,0.0,1.367571361815764,-1.4208429907900557,0.0,0.0,0.0,-3.7213659419564116,-2.3080598369355423,0.8410821879622377,-1.9069117407764804,-0.14557100736626646,-0.25915162221073196,-2.1540642598413045,4.23862090292613,-3.0288398686028613,-0.9991078100158801,-3.291947188105261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8817358155640025,-1.4187914371228283,3.3603318826015873,-0.8512089477004566,-1.6806242520499184,0.0,0.0,3.6983774742223243,0.0,0.0,-0.2656042135581677,-0.035027387519140404,-0.4386142172094159,-0.20825249031088705,0.16421189724991145
