Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_walk_speed
0,3618.2737582613204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0
1,3048.0869508730857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018693065718035405,0.0,-3.1481909811690103E-4,0.0,0.0,-9.97886238475853E-4,-0.0011892414757411192,0.0,0.0,0.0,-0.005303592586860166,-0.0010491193026927576,-4.5741044237394076E-4,0.0,0.0,-0.002565627613501973,-0.0017290263690219279,-8.013491715631938E-4,-0.0016290841759389846,-3.7956722531860105E-4,-0.0028996141983752893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062485953173894515,0.0010214562937483664,0.0013465751323047221,0.0016839733323281046,8.882055344015687E-4,0.0,0.0,0.0027690561521733865,0.0,0.0,0.0229094593169905,-0.14030265592666688,-0.11354689992869012,-0.04253900770967002,-0.0027051446974192214
2,3003.2210154267887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033199873755122896,0.0,-4.8595846326413895E-4,0.0,0.0,-0.0017088177869226478,-0.0018510414215954318,0.0,0.0,0.0,-0.005507064576668546,-0.001114382942525317,-4.7119539365303827E-4,0.0,0.0,-0.00263802387840247,-0.0018042318230322154,-7.578635566545016E-4,-0.0017206782351820971,-4.0353253692386465E-4,-0.004083432509177103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008081206885272809,0.0013016916345792184,0.001789236228050132,0.0021577214397653175,0.0011309141281785225,0.0,0.0,0.003655505192902891,0.0,0.0,0.022112130336146986,-0.1383686102886188,-0.11893368310559878,-0.03064801082801511,-0.002978218625473734
3,2782.2894445121806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23162706395086818,0.0,-0.02865713044105358,0.0,0.0,-0.11510442970278487,-0.11251883675610617,0.0,0.0,0.0,-0.05380252901674524,-0.014978481486767996,-0.003966833797600469,0.0,0.0,-0.02148262241998588,-0.019189408649717257,0.0051608168134496726,-0.0217257037547557,-0.005536628781825002,-0.197756156694073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2769228423772097,0.03949519119614261,0.07685757822978045,0.06675457444100284,0.033785852486215344,0.0,0.0,0.15275297451053074,0.0,0.0,0.16804140989051214,-0.12797580972993888,-0.9337389609220662,-0.09182852079236968,0.0012266319575855661
4,2133.8998386971466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5239561492329097,0.0,-0.18316835670056222,0.0,0.0,-0.6793865126128671,-0.654373587000489,0.0,0.0,0.0,-0.34980412382538406,-0.09933776293755278,-0.02926970513828597,0.0,0.0,-0.13988234172541839,-0.11868257254464878,0.01548394648654959,-0.1332026068154024,-0.03367705672837186,-0.5302399084027245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5590101982783569,0.21537253863153352,0.4374168901314236,0.37497981396375163,0.17961458863816984,0.0,0.0,0.8361068725398147,0.0,0.0,-1.0204647500715225,-0.3696890654038274,-1.4711990627240428,-0.332853320057309,-0.21316294058586133
5,2069.3323350019464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4221350430777115,0.0,-0.17670012212822964,0.0,0.0,-0.08890224901479749,-0.8715061430964541,0.0,0.0,0.0,-0.8571148329881797,-0.3250923696372636,0.005894128490835249,0.0,0.0,-0.28349519090567843,-0.3545438676963847,0.3072846825116116,-0.44731615220798,-0.12646861645770535,-0.8482062157974197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.294304484249337,0.1742604375303778,0.9224864860190836,0.35657244000173394,0.07186597656889833,0.0,0.0,1.4246160256233158,0.0,0.0,-0.914240294383342,-0.3227169930095538,-1.2499816809743878,-0.30414190655745393,0.8244802524943038
6,1958.3833773314454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1696772052062838,0.0,-0.13362153687822312,0.0,0.0,0.6097151315861109,-1.002887272111009,0.0,0.0,0.0,-1.3478313473393397,-0.5713780539417227,0.06035493120001638,0.0,0.0,-0.3918965347826826,-0.5899109049870148,0.6490752687740048,-0.7640367929655658,-0.22642338182623523,-1.2056464356693404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0467743867312125,0.15202936975480577,1.3999202610020078,0.34856933257577044,-0.05767761857412902,0.0,0.0,1.9968085748908582,0.0,0.0,-0.6129252357614596,-0.22545042051823688,-0.9829255406882609,-0.27839197449272934,0.7512806911227567
7,1922.3595530759935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0073470002282896,0.0,2.057057486337388E-4,0.0,0.0,0.9669003130447658,-1.0780369367646967,0.0,0.0,0.0,-1.7379971400453846,-0.8250320937329634,0.1704033986432374,0.0,0.0,-0.3961455796726312,-0.8337341764587556,1.1630530911916532,-1.0921999958246036,-0.33894294349758625,-1.548060878422564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8884629066010845,-0.006616991309533776,1.7075053391676425,-0.0015122320034273717,-0.3807716631739885,0.0,0.0,2.3003136138640494,0.0,0.0,-0.9094551948526481,-0.26268049625870216,-1.0841012905203382,-0.30874390737306473,0.6576507157585545
8,1801.3986826690716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4407271116549476,0.0,0.3564356435386471,0.0,0.0,1.1831061201787758,-1.520072464194386,0.0,0.0,0.0,-2.733529963021809,-1.5357090522199974,0.5185192342524867,0.0,0.0,-0.3140719067923013,-1.5215672854761335,2.7320963752687346,-2.0141758270354204,-0.6677442731684884,-2.4292988440536436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.247351568320138,-0.5239408819310665,2.515952230690623,-1.0182408989437102,-1.319362074470627,0.0,0.0,3.0883236119981836,0.0,0.0,-0.7877679875186887,-0.20505117632450787,-0.8929021642792191,-0.2716971959457805,0.4309700739017581
9,1742.3879014083016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3881743401441948,0.0,0.8482297490952435,0.0,0.0,0.8172097751776347,-1.074802736693049,0.0,0.0,0.0,-3.148529650271852,-1.9764693341756425,0.9437760320200714,0.0,0.0,-0.01008161502648769,-1.9431680194020373,4.0149191115018406,-2.5555011004764867,-0.9201165759621971,-3.1043360779071443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.278491905918135,-1.319863069288395,2.6226550109028555,-0.6088633171154444,-1.6320195092748482,0.0,0.0,3.0988275132644465,0.0,0.0,-0.812250669793868,-0.1965904257852163,-0.7787192069300873,-0.2704560989241107,0.4240677305851028
