Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_54,b_carD_p.age_group_agg_55,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_54,b_carP_p.age_group_agg_55,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_54,b_pt_p.age_group_agg_55,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_54,b_bike_p.age_group_agg_55,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_54,b_walk_p.age_group_agg_55,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_stressJct,g_walk_aadt
10,4108.373499815928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5553010743281535,0.2239132498291462,-0.4753274149601842,0.0,0.3706064304165959,0.05203644158917935,-0.7879489125939394,-0.4576895270944273,-0.1871801155847494,-0.8228619925807065,0.33479677406706165,-0.5498975223386002,-0.4532427561031289,0.36385904876326247,1.6928149782707285,-1.5679234399349888,-0.8925254859652358,-0.17502085072209106,-0.6000165693168746,0.3708555706739827,-0.47897867865375826,-0.4574633015278238,-0.5209409173704797,0.923116643985155,-0.7459429778258247,-0.36089883946048357,-0.09481542743078185,1.6898248101531566,0.6787086482934545,-0.02247149278511429,0.2098797069113482,0.10146263512392212,1.6084508241029871,-0.5305818266118052,-0.3375528112845363,-0.10058208779815575,-0.2348246221847348,-0.060839676090593306,-0.14550544312062563,-0.08889578424046943,0.002155345491804167,-0.2980630572421935,0.33940889443188327,0.8221320294028504,0.0419346734907684,0.2922903843879863
11,4056.390269963996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5712570349234123,0.5501968831853089,-0.45803704404128476,0.0,0.36971163723592676,0.6654058364672646,-0.988560844856799,-0.792926407901055,-0.1396156806693419,-1.2080273528378482,0.3413639658654367,-0.44742949866476894,-0.5025608661491182,0.08840715011621508,1.626406394064896,-1.2103677727986701,-1.3431518255095183,0.22030147630527325,-0.5207086274787847,0.4526192892961566,-0.4275311163328239,-0.5413855483543847,-0.5064633274566115,1.6789836934279638,-0.7301588790412601,-0.6704506807970448,0.011069732860538778,1.9150966046980333,0.7894598816834384,-0.0786110555174816,0.08620831533482505,0.07100945898921074,1.968383236601695,-0.7806461336618699,-0.6543364255879928,-0.14171970970031386,-0.22886092207480352,-0.05413051135429911,-0.14925815467510672,-0.09087614943123068,0.004559593294638576,-0.2889143270928861,0.43489122759688625,1.06233793887155,0.061581449189905504,0.05063736598134261
12,4015.4996195956423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5595463199710424,0.7479448109378438,-0.34558420061326955,0.0,0.11427188426591595,1.2467383124299576,-0.9899979328071172,-1.129071879183625,-0.009857233058120085,-1.0333354243184383,0.6302146516800293,-0.31677250737794327,-0.4367444224628261,0.12613201246746597,1.9823821459740205,-0.943666294144597,-1.7121068586061636,0.5402635735876602,-0.743522050549609,0.33768023554845694,-0.3738069021157324,-0.5811003823153085,-0.5106616248546698,1.923418146928811,-0.5478360182775702,-0.9322356321944871,0.18576672567339303,2.128519685445113,0.8095023849989559,0.016480671789525114,-0.06931027730991494,0.1709715012546964,2.127157280214343,-0.8518728897894452,-0.959487339480859,-0.1097916428637283,-0.22206780539381535,-0.0595578488620729,-0.1433661862354425,-0.09430773550137991,0.006156159048494952,-0.314273832412448,0.35960236632350945,1.2330884380355607,0.08123632745926261,-0.1326754490813353
13,4000.1011903151307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.639105088026911,0.7312546240486755,-0.23015009593861474,0.0,-0.007312576622503897,1.4647822087497666,-0.8375635385206467,-1.315010969751708,0.1590597706634201,-1.078070740727641,0.7228331385429112,-0.32604642541554163,-0.3440277173002556,-0.09373153390082237,2.2002315000508816,-1.1064656396749992,-1.864274113861002,0.5098352387239634,-0.7217499173278261,0.42351121748610826,-0.3420691794279763,-0.5458339274219928,-0.4896959009809016,2.0643023403711567,-0.44943065284208095,-1.015400407041081,0.32315835751489663,2.0718723703040944,0.7447089001004958,0.07917782825642876,-0.20424863908107393,0.19539803321931337,2.0673750034127307,-0.7803639282087179,-1.1872787259462372,-0.02067323367378228,-0.2259047817554968,-0.05743483208143068,-0.14775743873458744,-0.09370244728938608,0.007173640583067749,-0.2987598102442422,0.43758326988098334,1.2878593629019264,0.09935613465421148,-0.19978331399270996
14,3980.826229078707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8260371704524316,0.700991911562432,-0.19396591681650127,0.0,0.0703770062230969,1.6344126470967746,-0.6767676198424186,-1.4850194460205066,0.4496917521346153,-1.09688733219767,0.6592272348461601,-0.0827589093494196,-0.17051102462861134,0.0070445932430479585,2.119280044065617,-1.2131185252576917,-1.9461139691266696,0.45511642212811554,-0.9370438808741468,0.5917474978154312,-0.35667272819190393,-0.4758730235885415,-0.4599788707353501,2.1294364137347452,-0.6666113673183193,-1.0495343139741018,0.40521770094255577,2.0101466926206877,0.779861584494256,0.07266512767337183,-0.37292320273867074,0.14492135660173316,2.253477735019315,-0.6606504246854918,-1.640710873677284,0.23740656601777932,-0.22490397449702995,-0.05824639989724489,-0.1420324012998271,-0.0929323617833047,0.009790506553051742,-0.31802379583549567,0.38873403758121133,1.2171214391777083,0.14432075688437745,-0.13159840082165175
15,3941.69747163428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9949374984970654,0.8076429398608538,-0.25626535284967317,0.0,0.5189147913863262,1.7602068799344714,-0.9457195374021432,-1.5613342598984514,0.6187551291401276,-1.2119575520658517,0.9378060282834576,-0.2803593983373238,-0.0643788132228227,0.24568606437690627,2.1710176434368726,-1.3458114475780956,-1.992467183121013,0.5118937754718983,-0.9180364943228851,0.6968663918556562,0.08755119607717615,-0.2813811028241079,-0.34982934148467504,2.074408838190578,-0.6266257172054737,-1.1237723495289405,0.5582259001815155,1.9054585826122366,0.8595611036552415,0.04049989125908684,-0.3827527455825358,0.2655335746129731,2.560888194065943,-0.6797205882206648,-2.3940621108106708,0.8006462173490522,-0.2181321567319296,-0.05543663676048252,-0.14690827710228802,-0.09105317605999706,0.014226637677664971,-0.26513754622793095,0.4679849440432061,1.0262647569082464,0.26696149093013755,0.0835101861303155
16,3865.672859901154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.909578163051567,1.0259284191623765,-0.26839947462144326,0.0,0.5397131324381771,1.3879876100425048,-1.286953774886708,-1.4719900438027738,0.42446804318898834,-1.3791538149395215,1.186563779691552,-0.25409122718999244,-0.41922651746482914,0.4237573369541646,2.8026906800927214,-1.402859832813489,-2.0583036675717707,0.7706545695555438,-1.0134380629193713,1.1835230353506345,-0.35761376633683345,-0.1023101507160791,-0.14240165526327228,2.476113885602504,-0.9065649789301227,-1.4167138922872529,0.44542782721134144,1.6776279182626794,0.9890572119154586,0.1873550252582276,0.07478972434892733,0.6191845465679244,2.5701680121267025,-1.223734400374875,-3.2735917541231143,1.6165083038728794,-0.19842801356775852,-0.0502888467146389,-0.13908871608678647,-0.08731722534653145,0.024418738291013434,-0.27713173915584227,0.5138263430397048,0.8609260706460397,0.554131887300866,0.2311538302090989
17,3819.403897815188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8530817214434783,1.1104879459131551,-0.33808196711427785,0.0,0.34904676129662116,1.3697804869334782,-1.277073455526465,-1.512587017559859,0.17368428468417124,-1.4555355571780124,0.9958135878995119,-0.3475427879084607,-0.44539518888060264,0.31698920403433956,3.049167959895941,-1.6177376665777348,-2.1104874087896275,0.6041896900463039,-1.215841881098133,1.0254072112257742,-0.3816361146390763,-0.3785725858827421,-0.01664121853561737,2.398381569467645,-0.9265175478014643,-1.5864335088004309,0.49128439999919954,1.635871922048946,1.4607833394260925,0.12694201767663138,0.3297011227932238,0.2315007244735141,2.758867493806195,-1.7792677841153997,-3.4005708641279737,1.5927132047723667,-0.18974005169064975,-0.043916946967240425,-0.1305810774957237,-0.08244467062564347,0.03158987218252474,-0.30199478382301603,0.5458468646768653,0.9835522675627334,0.7577156659468847,0.03770906985092237
18,3764.311035618127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.887164618210491,1.0169355423191955,-0.3843474962554688,0.0,0.4177565932757689,1.5835979457870568,-1.1192181957790344,-1.6343076264109535,-0.04361399928377835,-1.1661374354444614,0.9204202852192475,-0.49315819921561777,-0.34267057293860953,0.6361938497040421,3.044654581112792,-1.8293832170908848,-2.1273192084456447,0.2925605076975864,-0.862068569029243,1.0234830127375598,-0.34067974314288363,-0.8818826732717454,0.11275307114672634,2.8420533789629197,-1.1033376649586388,-1.694167256669374,0.5389928638405094,2.2315158213551802,1.8498223410756287,0.535988705215537,0.5348026440097454,-0.07187644342582511,2.68565494260625,-1.7916045447723665,-2.9763692385819085,1.1716878560178792,-0.17082611104677747,-0.042623069436367525,-0.13463997149081353,-0.08832366944307098,0.04184721087019277,-0.25877326170297954,0.6331628901753563,1.2438870607462085,0.9937450974508397,-0.17904426519606328
19,3733.1858838343487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.099723775593198,0.9570830643683483,-0.4364536436243398,0.0,0.8788943026629557,1.8734774956215852,-1.245095036302662,-1.6753848489744747,-0.01760270560092483,-0.9148616344639742,1.129550367918382,-0.32942931523529545,-0.5175645374628832,0.3328260970098783,3.253562312091759,-1.8157913096599125,-2.117405510388814,0.28562451266880595,-0.691419549175743,1.0853765346078337,-0.5232087383518148,-1.0920462930819663,-0.0066265277713448145,2.8149396803907543,-1.2844627774341535,-1.6527960180274512,0.5009505766021456,2.4314934525059586,1.7441457150864748,0.4197531875166994,0.42673187330650747,-0.2759821919891881,2.8304060628289354,-1.5255258717363165,-2.4058768747248016,0.5352121494892454,-0.1622874616301263,-0.04396576960600695,-0.13274259805608954,-0.08888707645897699,0.05046426550168795,-0.24371345553515414,0.5781658514334687,1.3701982322856168,1.1437278170124312,-0.3348062966128631
20,3708.983948893165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1809158618070548,1.0391653349662946,-0.3288387532975863,0.0,0.6944892778318718,2.1043594583528997,-1.1963466342876499,-1.6010686657835471,0.23400510074600764,-1.0464292719255084,1.1912754129380474,-0.4992675666392998,-0.6214209393445626,0.5201740798787001,3.407644345420789,-1.8771733581840018,-2.1504843363687107,0.39161943523788667,-0.4462376747366976,1.1432491037746138,-0.6394585707683094,-1.1472272424015786,-0.2774297153620572,2.897663058830768,-1.3788092812468566,-1.6051817098801553,0.3909389149550108,2.4559367874585707,1.4861521311153902,-0.08703041800754224,0.049330858016321144,-0.16329520929647123,3.2691682414452865,-1.2250967718194257,-1.673332268203329,-0.1525099047394568,-0.1532005980087531,-0.039813154068591664,-0.13318726766951533,-0.08761484649575646,0.06283209213186464,-0.1973595627576431,0.48325696153765435,1.3332739524267023,1.277725136168813,-0.3077303322403711
21,3704.1531339647217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1679389924402304,1.1601130165932092,-0.41867690392756335,0.0,0.7176646173379142,2.1535996103630266,-1.2480367422795406,-1.582334174209151,0.2130822178886029,-1.084254576701935,1.027254640576079,-0.4929402013547105,-0.5572831791203976,0.538628631576026,3.5652094263562817,-1.874016379106387,-2.1763246771090157,0.3660795294636585,-0.475639405063485,1.0665855906758142,-0.6339900141641873,-1.145057141568275,-0.3212124100930191,3.018852061350444,-1.3523211394417571,-1.6025731457823038,0.3699171560936204,2.4456477753818935,1.363374515624466,-0.13122088295303794,-0.11303881263531537,-0.162284738442519,3.3245257335313463,-1.0942883504145873,-1.4530091790590083,-0.17050816333738383,-0.1509734931302932,-0.038798826075819796,-0.1318134714483958,-0.08745912602420086,0.06913163102000412,-0.19563387522342418,0.46116134573774625,1.2741287886858923,1.3139255769867821,-0.25053544489183416
22,3699.88480059544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.167401512572899,1.0207546692109561,-0.3932650295457096,0.0,0.7487418299943508,2.20818697559373,-1.2288996003096813,-1.6183046324812944,0.10274468696176327,-1.1113230191016692,1.033695317036317,-0.5480271809583276,-0.5614810897145938,0.5367623352856391,3.6396513623989586,-1.8254941493572303,-2.1108723048449223,0.31945993112014737,-0.6055291967546179,0.9280243607533168,-0.6653421913387648,-1.1547196968259517,-0.27720423557036583,3.287524138967185,-1.290903133253147,-1.5528365082527114,0.3838304401096524,2.413771016572285,1.1279491088161415,-0.16870896503502258,-0.21794734453620432,-0.23664278620299176,3.5576554210749487,-1.039533341569876,-1.2351978302916466,-0.04639934073587475,-0.1522014974529582,-0.03864665028458871,-0.13020068264369072,-0.0869038758213534,0.08275555991973273,-0.2031017800254809,0.46746812421206946,1.225928131316452,1.3733001177371233,-0.2096690976377591
23,3696.4714793101075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1625772768254885,0.9120253268135211,-0.4095525239563439,0.0,0.7671668852526398,2.3037273135585647,-1.1818462649916275,-1.6168833415078978,0.06283928665195149,-1.0786840381325589,0.9147677717761756,-0.44159742737424823,-0.6053317355608495,0.5384042278578663,3.76123337679686,-1.8017611207483717,-2.0298047835138564,0.29964550511652605,-0.5899151337661518,0.9000138916292525,-0.6520028558594846,-1.1827646939056122,-0.1926312475978471,3.4470120281295773,-1.1720149112857883,-1.4353837790036401,0.44947821840354474,2.433228139097997,1.021013316002078,-0.27119992642801993,-0.18330561608017765,-0.1537985568526474,3.800738762464683,-1.0169402939939254,-1.1263174088303223,0.06891449763089597,-0.1516276266193961,-0.03940604047815891,-0.1333464645326568,-0.08788735337427545,0.09883981606136125,-0.19209101589949967,0.5292947309923901,1.2409564737127652,1.4413087522034476,-0.22017434061711144
24,3691.9597879946855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2016404258047073,0.8909505876240249,-0.6059174680522224,0.0,0.7565548582889419,2.802993179932127,-1.1425408685111995,-1.3946601026737833,0.229061400935344,-0.9963051025784623,0.7156354419964,-0.7408572328329516,-0.5550025210413534,0.4585681705398438,4.090922451594682,-1.639744075338247,-1.7218461078328162,0.4156084684694352,-0.6263202133548452,0.8491767974723341,-0.7864127998853581,-1.3003082350966029,0.02354243683505719,3.813657434320734,-1.3043534051485461,-1.0108035815893552,0.44113202541324276,2.3550101599406816,0.9513991903553181,-0.2930711719576609,-0.06706674977769672,-0.07565243675287087,4.189301745115062,-0.9366902658085647,-1.1953399880144084,0.23073515090942465,-0.15674433840192234,-0.04105709784054961,-0.13622692738300202,-0.0891253477798175,0.1610758855189907,-0.19906346134907651,0.6470030315202768,1.3388880378241508,1.6871459703495275,-0.3644718705063912
25,3686.043880100702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2736095187302046,0.8868905234859414,-0.6211131754794562,0.0,0.732207971221387,3.4792527440093086,-1.2511047215603803,-1.100947130453805,0.42765272510672103,-1.218548047964949,0.8182351602229418,-0.5399905783939465,-0.8260657765450021,0.4747432025098232,4.367915473729016,-1.652318162025338,-1.5669614373123486,0.3267978674242455,-0.5560805819468085,0.5500498440482757,-0.8956422961432247,-1.2943475703078404,0.047035094446864226,4.320523142054483,-1.305680098673322,-0.837930102213054,0.3688888332148478,2.3032474579173257,1.2269007776703162,-0.13349455981269326,-0.12709483731521504,-0.10218376419398344,4.349897084245691,-1.0177196130080979,-1.4473684730338512,0.19609089384765288,-0.16334284387949305,-0.038891952009205304,-0.14092645081349695,-0.08866401600800963,0.2692547770325705,-0.16193199318346652,0.7048258902479365,1.1254741603320868,2.0720069690773673,-0.18027472656330262
