Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_54,b_carD_p.age_group_agg_55,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_54,b_carP_p.age_group_agg_55,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_54,b_pt_p.age_group_agg_55,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_54,b_bike_p.age_group_agg_55,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_54,b_walk_p.age_group_agg_55,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_stressJct,g_walk_speed,g_walk_aadt
10,4182.578830604526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1389501653020457,0.537060367119393,-0.5649174778005424,0.0,0.9603654334418956,0.28533948153798827,-1.1029184327570505,-0.7851384710677274,-0.16189532186777225,-1.605374088122414,0.34943790232492666,-0.8319467968483382,-0.7866397621506562,0.3234093215396757,2.189967994722422,-2.7787466855293896,-1.5502410499782235,-0.2231936256455263,-0.5548730853071683,0.9274527650853133,-0.8330806458736508,-0.8775153572385841,-0.2310291597253593,2.0877109317144833,-1.5042358940797875,-0.6447947960654213,-0.16003437947472052,2.0377319418874555,0.8376841521674723,-0.3726131616225996,0.19790446265257994,-0.5587291207067685,2.191291956937178,-1.0638739492570937,-0.6475040958025664,-0.23523188985888283,-0.1521983151775017,-0.035648320458040623,-0.07365841192702276,-0.13882595504620032,0.03501746463505771,0.9500535609591798,1.0469184317151616,0.06569986563256248,0.025753561231510073,0.04672669758066287,-2.039080102806292E-4
11,4116.381720413015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.12721776497568,0.8492966567635731,-0.44424792304376937,0.0,0.7385148529343151,0.9151573876478167,-1.1486843695052313,-1.1245323603177542,-0.02577688314361465,-1.5187048732820358,0.5784604406952221,-0.5466548754288425,-0.8645888713780957,0.8481458137508859,2.2879272480926187,-2.8224680609947836,-2.115182446936742,0.1995482064436528,-0.2795137283664974,0.9569760891602115,-0.6563020180948438,-1.0293484834888031,0.12485197020405575,2.5881159374537197,-1.4579506581723616,-0.9353938617584978,0.03752264233340322,2.320004411400479,0.9766610496768051,-0.36873088764625533,-0.026840410935229625,-0.3912741817990501,2.4282826927255767,-1.244199676960824,-0.9702522239294653,-0.23351985328519548,-0.12332765850719019,-0.03603192087785261,-0.07471598718133257,-0.14027318486067483,0.047393379695688145,1.1423202049921648,1.0686820527843894,-0.2189015224789424,0.040720785165174286,0.050305830936187484,-1.850140085614025E-4
12,4067.3715680949313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1888807399412116,1.1058110981371163,-0.32689211286143405,0.0,0.6394629836031037,1.6115792742882151,-1.2620952151510214,-1.5013364632918147,0.11291812134939924,-1.56657201972287,0.827207446808383,-0.4294128530837268,-0.879922322583474,0.7284219883528649,2.3603091998333645,-2.7231533926863927,-2.7760793973006126,0.6834880366461751,-0.40569767438990756,0.8852519474002176,-0.6268927642671637,-1.2022467543907696,-7.759258376477396E-4,2.6595656132359635,-1.325193631808319,-1.2962951280011321,0.29004003237573794,2.21732458567398,0.9657511342463176,-0.36379271913583555,-0.3415682439108505,-0.21362272920507178,2.579562670472987,-1.377436674870807,-1.3689941343481293,-0.18036266714475457,-0.143595936781064,-0.04074196397540754,-0.07802407369647417,-0.1389219518440952,0.06024989262638244,1.0473150370231283,1.2659558510693032,0.06778458092380696,0.09441228424369,0.04580336588062118,-2.0110917460161638E-4
13,4063.866682554917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2019764495631553,1.1065029369685917,-0.29444610308461433,0.0,0.6263111791264657,1.6472762573965434,-1.2324581425015104,-1.552210709821529,0.16466497325952298,-1.5470581875474887,0.8724831560963406,-0.42210543572465453,-0.8561610629709887,0.6705856796944049,2.4180473585219255,-2.6758409788546467,-2.9195107403915483,0.7535434982925238,-0.47714043386891414,0.896949407141021,-0.6467770050984708,-1.239717099979961,-0.0068234145959666275,2.646570505149914,-1.3221603498267498,-1.366836764022917,0.3368320027777797,2.2083519585623974,0.9510914797922569,-0.33794645279903607,-0.38018083782593853,-0.18943063659672216,2.5688444952901786,-1.3527741068045596,-1.4437158704421154,-0.1417423385948514,-0.14243329902989338,-0.040793821466055105,-0.0646231630353152,-0.13904785865391472,0.06529916837663635,1.1407712273406578,1.2929651973935636,0.032641254420536184,0.10528660134982858,0.04603478487945937,-1.982094851075195E-4
14,4038.969477896245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3501302739334347,1.0353357992878909,-0.1345289110429239,0.0,0.6350090647188417,1.6442746457236161,-1.0255287031586762,-1.787804651478605,0.46967051200962096,-1.5800387054988432,1.04037457029731,-0.4617312049551546,-0.7217655373689547,0.21649074964392362,2.739781800710735,-2.4664564710500825,-3.713877797764499,1.031158013275524,-0.5384133507947846,1.105272289335388,-0.6761210400152122,-1.379139042343204,0.23132852017237465,2.647002811124094,-1.2398555876831965,-1.685415749990223,0.6151324591475099,2.142490002505704,0.8704282447177767,-0.2221655854800295,-0.5358644475366139,-0.1739285762841661,2.5064629506181273,-1.2023614990529847,-1.8384141660673847,0.08935585226357484,-0.13881966251867325,-0.03728785342856727,-0.0692822151438619,-0.1396582272608167,0.08669693325213622,1.1301919188419876,1.3139319906058826,-0.20664591345760963,0.16643193913091442,0.04581566942236852,-1.7399807082199093E-4
15,4005.9748494775185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4200443791147723,1.0162706406445436,-0.24403510795179045,0.0,0.7930314956108752,1.3033815326664095,-0.923420261356834,-1.8592331981497001,0.7081903078843181,-1.536810325861225,0.9797410641775929,-0.27521920763239016,-0.542762335961549,0.45847264883649397,2.6780192048562133,-2.0745068040916514,-4.71034324294667,1.1022657359279342,-0.7315808116543123,1.2105749018524536,-0.6807366754472997,-1.4668068166655275,0.13413286315802303,2.6832687676195657,-1.3804108899745868,-2.0560373694401295,0.8203284502286302,2.000221960913732,1.0124311469188683,-0.33864530925638403,-0.42347028699637507,-0.3683525104667442,2.4979697323461094,-1.0154067625166017,-2.193590574281394,0.4853505973135523,-0.15933040675226662,-0.04566660137869925,-0.0744100357350504,-0.13912429931590187,0.1198108729790611,0.910415145987259,1.4992754326220434,-0.2835214014935972,0.2844156456541385,0.040418940230487845,-1.4938430375532628E-4
16,3963.325404074453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1553567925056427,1.0258110384492367,-0.41571005808432443,0.0,0.8139544954770955,1.0096416626185318,-1.1893436840467966,-1.7560171336924082,0.5868913986640039,-1.5739415192603854,1.1011811499606396,-0.44357139519968514,-0.4532678555558271,0.6118135211385191,2.5688785740647253,-1.883429390635575,-5.947905270421201,0.7941242100177442,-0.7195555244678538,1.1686765288998715,-0.49132240587336373,-1.3943053866186907,0.31908644899665006,2.4742480670563882,-1.4565723940892354,-2.3906733718014817,1.0668892415310118,2.111220350680857,1.1879464853500372,-0.14861171933939885,-0.005907133632146511,-0.055119838860219206,2.425610666377491,-0.8961907355992987,-2.3555830226226004,0.9626655431760598,-0.15720747101888277,-0.04061632010658341,-0.07360348388715675,-0.14126702337291253,0.1757432515629369,0.9702130359397007,1.52855648826222,0.025142222888698385,0.48605737960512974,0.040826662889341024,-1.7332646200411453E-4
17,3930.6861778722546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9484171589051764,0.9446116285796448,-0.39350857639509995,0.0,0.6513504264447888,1.0263171232150885,-1.3788194000082485,-1.6573947948079708,0.2564243997541224,-1.4490148501317313,1.1814212539338964,-0.45794887444206334,-0.4962823751321326,0.5871130395201989,2.487769632275399,-1.9498378675015313,-6.6281879068748,0.5290608868871598,-0.7544803908113705,1.1990681172901343,-0.5748954898191013,-1.1708495562312162,0.331174488674389,2.1755497571087266,-1.5167641527116416,-2.49252123065071,1.0608940557335107,1.9324945584303892,1.260139062614219,-0.05032442731020703,0.13370429077595933,-0.13956308038138185,2.448154772845226,-1.4017760229968146,-2.3020600306501473,0.9090064320799076,-0.1659380133694801,-0.04071197352145514,-0.07198148843293732,-0.14056750748601474,0.22577666318756112,0.930768293331588,1.6107589488367844,-0.2718281724230663,0.6503129145483945,0.03459497903800808,-1.3033378241737395E-4
18,3906.5482660235093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.906612068478706,0.9366490692640063,-0.37520951317891504,0.0,0.5791796263716433,1.1304479806071066,-1.3260094633644361,-1.6094944374783196,0.07668744773889158,-1.2273137955720772,1.1630196794659067,-0.3549037184713119,-0.5281734566260223,0.47916537694186934,2.518103873835571,-2.0291911345376152,-6.842864532654474,0.4856409496827063,-0.6448915680267677,1.3429152948527285,-0.7013150477095822,-0.9671295013226808,0.17262957801080184,2.386540482788711,-1.7103277470960354,-2.484070915606861,0.8054396065301618,1.9244166372679605,1.242894547129383,0.15461689034792425,0.1708355672164369,-0.00867096257298286,2.150618730469625,-1.5514544753436286,-2.0937458852732673,0.7288787027554289,-0.17665417192462626,-0.04445474566856922,-0.07723156986597184,-0.14037316372749173,0.2687374890913891,0.8567281448441181,1.7805916336343468,-0.27499267701742725,0.798595339430893,0.03178548133569925,-1.1967614448993717E-4
19,3862.216902131002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0861182189833736,1.0857867244939854,-0.36812848922680785,0.0,0.6873760589273029,1.4691882778793013,-0.9834464253166817,-1.5755897803771322,0.047829157787773705,-0.8206824127083977,1.1389412060415507,-0.3352565086317449,-0.49188779920047304,0.1894750454540718,2.72250310848169,-1.9841616672635733,-6.469214306505147,0.7473848821028055,-0.6523408131276311,1.1487471021369393,-0.4705891007281052,-0.6630388338694493,0.15798266677507208,2.3903563913475434,-1.848580747944033,-2.219942115464627,0.2531497749877438,2.3706360881070583,1.6079316029293063,0.04497373077021473,0.07011976373485936,-0.1381735693897082,2.330932234620992,-1.4118781985591773,-1.6477787942035411,0.049577214415184145,-0.17681183590293126,-0.04925804893670216,-0.07503614642586105,-0.1425774501308849,0.364732526061866,0.8591765277075474,1.725152465411251,-0.09741188403118617,1.127587368886746,0.026581836148002965,-1.1572096654657239E-4
20,3808.792866235734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1688796900897738,1.1033749852005663,-0.13656471474904083,0.0,0.5340163874360265,2.0181585119205674,-0.9186531767308118,-1.5346127952161337,0.29465397167385093,-0.9809540670663384,1.3549014941377024,-0.6821877381874715,-0.4767147204902755,0.48460096947888326,2.910625597146391,-1.9153411961620916,-5.26175729005137,0.7319262232478391,-0.6644367803146399,1.4766058576201222,-0.4232297896926182,-0.7386436925854414,-0.12350186695773538,2.5652634852149965,-1.601920356623483,-1.8218303268233118,0.04647831435062014,2.6577625179626674,1.1946616153440934,0.022333400957247673,-0.07976704078387568,-0.35391795663865433,2.797294105826169,-0.804395724605081,-1.3898331408081723,-0.6141928613785835,-0.19022249575478298,-0.05074009070948328,-0.07880672377556162,-0.1443967228780743,0.4856546204103347,0.8738022040970701,1.8091706339594016,-0.020906595263168626,1.542391882045619,0.019014632128218006,-9.45214390568244E-5
21,3762.520718026615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0859282623991997,1.2170502280730506,-0.22403705423470022,0.0,0.43218663541506747,2.3109963177189146,-1.0138421217013864,-1.536023478865932,0.45599670326757924,-1.237670172331977,1.2578106132243256,-0.28981564561209194,-0.5735983394107915,0.46009226796159,3.490529197536711,-2.004899515608703,-3.8830186709339776,0.5113471920795781,-0.7731606802757798,1.5023643898792487,-0.44261265775494013,-0.9777697813075077,-0.2316759108536075,2.886151937229779,-1.217587879931191,-1.630115590555078,0.18779026249570435,2.613956491686129,1.0852499026064775,-0.2696355295508802,-0.26414503498864433,-0.12529617983008456,3.1341819056109332,-0.5052269455068341,-1.232929842564816,-0.7128958188564247,-0.1959756699864634,-0.05001461340741931,-0.07910069796973623,-0.145426735856595,0.5854957778619031,0.8980805970014215,1.8261330769880582,-0.053542745005832885,1.8837085185657485,0.011586837329646538,-6.84215141310152E-5
22,3731.57846419849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0583692224785746,1.1107569535225517,-0.20654993230254018,0.0,0.47105972656834744,2.3731141435659913,-1.0266495909581863,-1.5903840541389453,0.38995951196432854,-1.2635745547300479,1.3795639269320055,-0.3690406597714715,-0.538822644424898,0.48414349570075227,3.727111821838393,-1.888866136099596,-2.9334014929879073,0.5520337395556066,-0.9096277735027746,1.3250664216402526,-0.5288879082232197,-1.1533283478516587,-0.1654870312775284,3.319514287122733,-1.1309085800847658,-1.6210391375923732,0.30750392531841264,2.519609762350551,1.1075623447934515,-0.24178001357021286,-0.40037805003057136,-0.013589648946276012,3.4067962331458275,-0.6163004401102732,-1.1389068476990365,-0.49642016019712454,-0.2039507453863761,-0.05367760395225012,-0.0813351780382571,-0.14546803420773483,0.6417607710198174,0.8428455901321702,1.8568872466854374,-0.024684985475289484,2.077525462076689,0.006905986597868433,-5.7398423578001025E-5
23,3722.1432823716696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.062773639297991,1.175327541390607,-0.2689627169365157,0.0,0.41228757901568946,2.5821647470346982,-0.9361989995298261,-1.5760884168271632,0.33612808365611846,-1.1422580678803664,1.080857727933226,-0.39835364485021607,-0.5134603922707389,0.48947034533748696,3.841353749819784,-1.9236802173817866,-2.4961451712180045,0.6071559155456481,-0.9735742442041878,1.3077144048795732,-0.6491990355736749,-1.2475105985572983,-0.015544028697698054,3.3702361825489064,-1.1704043860309123,-1.6229419623343895,0.4010681148725201,2.536016388114068,1.0322247774953877,-0.02321305137905494,-0.2836370964961279,-0.1098868014449375,3.603063960007472,-0.6685964097306878,-1.2423598358472598,-0.2397697278600745,-0.2075231305031533,-0.056200822333233126,-0.0818111555136846,-0.14558642230683605,0.6719117721350695,0.8013817521349723,1.9236565530942134,0.06534735071993432,2.1762346428271226,0.005175342447536015,-5.976895472653475E-5
24,3715.154689390031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1366380034071843,1.0576659123908554,-0.18110311796442968,0.0,0.4085187956576077,2.843257934596709,-0.9070351037564556,-1.4828134027462012,0.3742295239941327,-1.0329196968987877,0.9568968832125128,-0.5025746379517507,-0.644059109165144,0.4258155906194358,3.907394995688751,-1.9268548575015634,-2.2435671357117917,0.5762402081211317,-0.879045262549425,1.1839625488763366,-0.6103190264656769,-1.2812447407438392,0.009503464401524914,3.4577843823480108,-1.281299050390338,-1.642266352370732,0.4627899011973926,2.4933970162863703,1.0334976350424339,-0.15027875811003444,-0.03436159296398003,-0.11411951854929757,3.669302064340148,-0.6797905350028721,-1.4318903628235924,-0.03679177214470092,-0.21258397542990948,-0.05741151355960772,-0.08379455734727136,-0.14552437433812324,0.7021002452097259,0.8040065629305471,2.1055503634355377,0.05233333006709352,2.259664901582202,0.002121942707620151,-4.954661725950699E-5
