Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_54,b_carD_p.age_group_agg_55,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_low,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_54,b_carP_p.age_group_agg_55,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_low,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_54,b_pt_p.age_group_agg_55,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_low,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_54,b_bike_p.age_group_agg_55,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_low,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_54,b_walk_p.age_group_agg_55,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_low,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_bike_stressLink_f,b_walk_cost,g_walk_vgvi,g_walk_stressJct
0,7175.705063219666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,-0.1,0.0,0.0
1,6927.122193268954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.663129683318326E-4,-7.336224131375356E-5,-1.9994405186957997E-4,0.0,-2.3623924871441748E-4,-8.100244162659572E-5,-2.1685536505696272E-4,-7.511351534773443E-5,0.0,-9.66637421350687E-5,-3.319704358597797E-4,-2.7012893538066527E-5,-1.3571548023283065E-4,-6.488357471658402E-5,-1.3025050955577122E-4,3.4386858330489955E-5,-1.888860068075939E-4,-6.836149730385156E-5,-1.15291226104812E-5,-6.551754094331513E-5,-2.7270044131852762E-5,1.0834598592946974E-5,-2.4997837409376242E-5,-1.7263633227001498E-5,-5.059401110114116E-5,1.8706866905552403E-5,-2.659062859781326E-5,-1.0104882154333499E-5,-3.3453397667105992E-6,-3.3461398585090617E-6,2.99049149749313E-4,7.111044030566151E-5,7.941632707664452E-5,4.5197169221856194E-5,1.5426257389219525E-4,1.2920209572879406E-4,3.9009881476296244E-5,1.3222976358567386E-5,2.921191203107185E-5,2.111550035503739E-5,0.002066193850379281,-0.0169353060099363,-0.09957993851476582,-6.86687009638056E-8,-2.3615089362099416E-5,-1.96433442468587E-5,3.1270363428988324E-5,-0.09522784949671081,-2.5998493796952263E-4,-1.3896487162907152E-5
2,6407.050114682641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00904797243108127,-0.001177374730894437,-0.003187635927978387,0.0,-0.003789748126283443,-0.0012364533565392606,-0.0034670597528538927,-0.0012036019932739794,0.0,-0.0015718816733739725,-0.0011355311177857486,8.725270263807992E-5,-6.689010676249723E-4,-3.650787162256314E-4,-3.1327979664066253E-4,8.253170619874621E-4,-0.0012710968685769942,-4.732247936963745E-4,-5.117352247796731E-5,-2.662784824153891E-4,-5.336896432674457E-4,1.1375444919447533E-4,-3.8648868099709616E-4,-2.5642644242437256E-4,-7.570617667087708E-4,2.1578178044382508E-4,-4.0641341806875453E-4,-1.5310623705969245E-4,-5.18447615644738E-5,-6.744835391732281E-5,0.0039218110186618515,9.350740759916534E-4,0.0010393157799027314,5.926015526446558E-4,0.002021989892961913,0.001702459698785394,5.06304962595463E-4,1.7116052416881898E-4,3.847204314518126E-4,2.7539371211404836E-4,-0.015495243633375923,-0.020377785284626297,-0.0966731397810271,1.7163069079665382E-6,-1.9711926047924632E-4,-9.933983010610978E-5,4.890510791853636E-4,-0.037584957284475806,-0.0033897403608384455,-1.811648016692422E-4
3,6059.001385946723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18944945844816516,-0.023809238081223132,-0.06735910538360375,0.0,-0.07771767092966438,-0.024899638219684928,-0.07371903523278273,-0.02565913479353302,0.0,-0.033508678447634055,-0.014601833269049836,0.004123472462715941,-0.01179380259568558,-0.006537319473170941,-0.0013930530519422302,0.02116774312725401,-0.025768504246894974,-0.009504246862459764,-6.085292408375936E-4,-0.0047738311275751025,-0.015633074742610744,0.0021240075669055913,-0.010029785403548897,-0.00638807951511504,-0.01876739913099358,0.004735154382483301,-0.010771806315618429,-0.003962817595489542,-0.0012255201085812463,-0.0022510775206894137,0.05143350494722229,0.014186782091043798,0.012185380950857019,0.007534012708168343,0.026454647740987013,0.030697922167028362,5.208695085587698E-4,-1.0297421965371707E-4,0.006981044876862102,0.0017214741689244315,-0.1647530319514809,-0.053822781325360114,-0.12603805404998847,1.5073374336448448E-4,6.219115371817819E-4,0.005210619205568372,0.013942797105651975,-0.07113197643988978,-0.004598282964576969,-4.2655573975292386E-4
4,5708.535611299843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5401621321920322,-0.06757214648999699,-0.19193219355660954,0.0,-0.2204201666629344,-0.07076567087439291,-0.21027874538242597,-0.07338909913145644,0.0,-0.0954437217850746,-0.04088586132181335,0.012498478350057473,-0.03396452208792103,-0.018733884819519417,-0.00312166684574776,0.062130531071975505,-0.07483535062975087,-0.02745804581966241,-0.001612812313431974,-0.014012034681154419,-0.05384523314063969,0.004780544031684622,-0.031927293716297926,-0.019872155765760364,-0.05865067638696536,0.012440259223951748,-0.03419027370111685,-0.012482149082406267,-0.0038697427479816864,-0.007832844824975083,0.14626166865483578,0.040651126267251474,0.034381069281735246,0.021396018813523245,0.07507846012638039,0.08853086157863718,5.732099653427054E-4,-6.660657169396413E-4,0.02012873556734484,0.004619787831009942,-0.3626475517486026,-0.10087852421032453,-0.3213562567589844,6.491251769792043E-4,0.010907790352246951,0.028286660991479872,0.04716851675039187,-0.1086205600844252,-0.011266199938105313,-0.0011390224907068787
5,4973.727032487759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5029036320417188,-0.18273810991560727,-0.5255855659539586,0.0,-0.5833042169216462,-0.19369004744566082,-0.5816815300538263,-0.20832175725927693,0.0,-0.2602318352432472,-0.13832695987469235,0.044664051717347455,-0.11502685685942025,-0.060108747562633943,-0.009915056078600324,0.20441728988665853,-0.25123351271652017,-0.08833590619945259,-0.0030307086524690163,-0.05407608808240089,-0.15275001145007025,0.019523406275347308,-0.09725141865657735,-0.06090285714523394,-0.17917263161359825,0.042671320142938576,-0.10252999364300024,-0.038010567815525864,-0.012120429454950166,-0.021630575289056028,0.44594276922098286,0.12670093048631315,0.10112871629137332,0.06522742320401295,0.22324887257492604,0.27750176244394614,-0.00420518750424294,-0.00527590967172502,0.06274868195504638,0.012216438644732916,-0.11924769395753126,-0.05649027811527108,-0.2413701746645368,9.217623058577814E-5,-0.08729834830108338,-0.06516435256272485,0.15793183110291448,-0.11612680050149077,-0.30784434660407944,-0.018316317930675993
6,4679.1731393939845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5950625765284168,-0.15823163856709285,-0.5461442300916289,0.0,-0.4970728443601643,-0.19471053339985686,-0.6252404009338115,-0.2398582217946146,0.0,-0.2665213835580611,-0.2704458511615139,0.0746795657018926,-0.20820200277474737,-0.11284100256906723,-0.022892855198099634,0.37275718792760437,-0.46004727801056966,-0.16885850190252966,-0.005770117209385927,-0.0987628389783359,-0.25795313572009765,0.04329939575789814,-0.17341936542593184,-0.1103572236335324,-0.30772506145989065,0.09175505893591004,-0.18764632914998453,-0.06903045858477638,-0.02018551278335134,-0.037608395744285386,0.7619757465701138,0.2232207271284281,0.15915347404092323,0.1112948928870461,0.3562405852902767,0.48781239888524186,-0.02013627244209451,-0.01643990815679988,0.10792968860638483,0.017509505915229765,-0.2148011223185023,-0.07398772087152963,-0.32364772158371846,-0.001144099862626077,-0.26068368733433833,-0.22895598688866328,0.3008954011368017,-0.17302957603933958,-0.8576545649261711,-0.048802449507112926
7,4559.744115179239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.611355220571968,-0.13707504826389816,-0.5463087555582458,0.0,-0.4291939117053102,-0.1896047709069075,-0.6384913358691181,-0.2542333762782048,0.0,-0.2638465744767666,-0.3371619151140662,0.09537092009175831,-0.25735210363417693,-0.14306153506448085,-0.01919578226920379,0.4785496893867931,-0.578419907009848,-0.21776741172472672,-0.006512020386074454,-0.12265584186291326,-0.30169679315601583,0.06209615365038756,-0.21245577408635796,-0.138052650416405,-0.367749918531399,0.12920130408489378,-0.23526041304223824,-0.08628640388644365,-0.02352036215288864,-0.044985845252227055,0.899460149193443,0.269011862566073,0.17537655223799437,0.13147501969329087,0.39697802168557506,0.5935759292974406,-0.041199033561106026,-0.027832951425372936,0.13056934392628605,0.01627070821370663,-0.2253327225312239,-0.07422314571937498,-0.34546075262789705,-0.0024310720918977145,-0.4002425521497202,-0.36283453811293276,0.36511906707073527,-0.1776842864347438,-0.8206905857130495,-0.04883876931846401
8,4344.995867400881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6169386023365349,-0.061382428126615776,-0.5340925647906211,0.0,-0.20076074485267398,-0.16527404036985538,-0.6673316404015073,-0.294800954194719,0.0,-0.24894163370807473,-0.5285452734405985,0.16169424534269944,-0.4000650363349341,-0.2356095083107484,-4.6048872729620785E-4,0.8139817713224498,-0.93345589800928,-0.37439726695788966,-0.008658792284618917,-0.18811309061488304,-0.46364195523549157,0.11802697399784096,-0.33377287423229784,-0.23169136809909616,-0.49885104766263294,0.2546392371682923,-0.3984009847558503,-0.14476301943418024,-0.03359383916479277,-0.07298658956285276,1.2998525501638134,0.40637199148182773,0.2112034274853626,0.18939825218491024,0.48644822576833957,0.9105554993767953,-0.1126880538645601,-0.0679587654952901,0.1970064555129438,0.009932328809414694,-0.20901529249206913,-0.06397402372987879,-0.29637768361397504,0.0014633880091023074,-0.46748327974278875,-0.2132365272690231,0.5071922860693101,-0.18204118826662707,-0.6707713767540305,-0.04674189578707017
9,4077.989712009814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9328679407315976,0.27559430388831496,-0.5861030273455371,0.0,0.5157568779642887,0.05204492594854124,-0.9687822605677391,-0.5649551524944312,0.0,-0.23611661814187102,-0.6704647134542194,0.44951288168427495,-0.46866655067464014,-0.47663942595222697,0.7010843776165536,2.1100986124903245,-1.652880129198196,-1.058426967698056,0.005483088852723117,-0.1516270174668563,-0.342987643865723,0.5725105278944222,-0.5800521536296079,-0.5557169147063135,-0.37199270253043015,1.2251061387213826,-0.9746635079051564,-0.37885306709209843,-0.005494378286998475,-0.10613663795989575,1.298373679169318,0.5886732575223308,-0.2815978563014503,0.16154507076427915,-0.5255878626811574,1.4552085523821705,-0.6643359214044897,-0.4146888743637755,0.2687781229613224,-0.13525822655893496,-0.2458593207459848,-0.07163993700020713,-0.33374770370292806,0.013399938331904391,-0.9964397836133261,0.1330873707287149,0.2583531903425192,-0.17144910694149113,-0.7971697470204693,-0.03432304178280107
