Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_54,b_carD_p.age_group_agg_55,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_54,b_carP_p.age_group_agg_55,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_54,b_pt_p.age_group_agg_55,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_54,b_bike_p.age_group_agg_55,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_54,b_walk_p.age_group_agg_55,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_stressJct,g_walk_speed_aadt
10,4451.668668983997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.332108606136367,0.4903724551416556,-0.3876057035207203,0.0,0.23931647825105523,0.6039632341071898,-0.9057254556058418,-0.6551541624664149,-0.10461041863082263,-0.6495480026325917,0.2848441172042344,-0.02681261066306706,-0.3439823896364309,0.6075612671370372,1.4894225393618918,-0.39745224031739756,-1.1787669421554763,0.3730234594688526,0.0051445913243970826,0.5165824983976676,-0.3192307967667005,-0.4491931643464214,-0.5048195479941477,1.6258472994217326,-0.7770107893375726,-0.5521897535800042,-0.02091834386514354,0.9155794425226099,0.6018002386951096,-0.4379919599156689,-0.035225343119823185,-0.6661743504758919,1.5044545904406126,-1.059987604164055,-0.7232566351040892,-0.2704976168194395,-0.2992631019044857,-0.08693158064130252,-0.23113708095577973,-0.07358190627697839,0.0034961809821749514,-0.1551081198374785,0.4573153813346762,0.7078490710538359,0.031944741610673455,0.02115675626386468
11,4414.850286536173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.320099518188791,0.6996911012634648,-0.3371402085154868,0.0,0.003833432756351174,1.1407197784305616,-0.9870072501745695,-0.9522898131883648,-0.017396410503316834,-0.9421416772350225,0.3517771132470089,-0.02993978094279716,-0.2859477904579005,0.1666950577343989,1.5656328445211631,-0.10631614959655145,-1.488485332787382,0.6424455467838548,0.05093430283392593,0.5440488533326339,-0.27626664472092305,-0.5341941262323953,-0.5409021838941162,2.055145907396024,-0.7753329467470467,-0.8332046028575535,0.08277012813345125,1.0678184600982912,0.6776636931122042,-0.4410935258469366,-0.1600551753352838,-0.6696961976279047,1.7568781972841032,-1.3400370597311762,-1.0683723842461603,-0.30227516215420824,-0.27279555928501514,-0.0759037281166706,-0.20747053483344607,-0.06749352201029252,0.006026799186377628,-0.006530036151244256,0.28935999207840246,0.8561196040531008,0.038700994953049246,-0.09648616830404474
12,4361.228324592206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2665942865648698,0.8411243118697477,-0.188884500574831,0.0,-0.44950335409215014,1.7160257600183944,-0.8719387753666653,-1.3095364345101967,0.18891997689031814,-0.7424455524578171,0.6723266073603649,0.08333932211096232,-0.10101992355192668,0.13048445594259778,2.035459561225571,-0.009644238693371054,-1.7515312361963387,0.8107077641365779,-0.12815331542751662,0.45196874907684176,-0.23798163255450333,-0.6185481851785879,-0.7649299619310561,2.2072668462330567,-0.6178907797928446,-1.2012491087023678,0.29155867355185117,1.2783913071096422,0.7000590663877122,-0.2826858159818556,-0.3441142325161445,-0.5220374842195099,1.9110981264808413,-1.5088156557495187,-1.5270058155045034,-0.24823757614578337,-0.2658450236110095,-0.08019180302078845,-0.19657082254881936,-0.07033680200596244,0.006562422038155242,-0.026885353402254442,0.15378718661892704,0.9924649143045731,0.04552316465115539,-0.27860123385005403
13,4319.815976462018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3443648530945453,0.852654350917363,-0.10528761118425317,0.0,-0.559994891539225,1.9175645729223405,-0.7408334884467858,-1.505015419482302,0.36164727198522106,-0.7745459648792721,0.796082285515072,0.12350034219580297,-0.008819364339001892,-0.024296100083759126,2.2887737564349697,-0.31713947690713706,-1.8264370400018606,0.7004223260881146,-0.011064417691261527,0.5083609557890698,-0.15298928772709863,-0.6204837795757298,-0.8805526553231025,2.4481076457346256,-0.4765425148469745,-1.461561623935229,0.4830444574390983,1.214459628888671,0.6341545236936386,-0.15952961129124454,-0.49383844410012756,-0.5054666568632503,1.8087223410949989,-1.4828311172183422,-1.8899098177449254,-0.12702835370747864,-0.2669260197122351,-0.07765846032447571,-0.2039371045484039,-0.065241480914773,0.006748820158489937,-0.017747041187007977,0.25643129498692124,1.1124085294294714,0.05441014670596747,-0.421931229272714
14,4210.612097912961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.671216458838,0.8166027553525158,-0.07630841633738063,0.0,0.009953469623471212,1.9952636782138329,-0.7568563838208899,-1.7211305221633633,0.6333583835350052,-0.7259310744377518,0.6935589879727313,0.663844749998996,0.0408869066816103,0.1344822116057022,2.0654873508972176,-0.5233431755210979,-1.7540483303524106,0.5537680811331072,-0.12584212885443546,0.7211266873289532,-0.06200951539301003,-0.5883630420580752,-0.9711049031296582,2.713122675097988,-0.5182063532274621,-2.1361851734747868,0.9127780492031745,1.5101106066436474,0.7348106215714529,0.2446020378091051,-0.6667783456216905,-0.37462454195704376,2.0876615458953864,-0.9577921933812146,-2.9569717953920014,0.5411103113762872,-0.23538387844980846,-0.07359093434151326,-0.18239599544564458,-0.06541607971087322,0.008502074062918552,0.049045706696887285,0.10475397298529596,1.4703266935067214,0.091233153883737,-0.6688719190399514
15,4139.788160580608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7390145054043267,0.8085957035800384,-0.030457327414065545,0.0,0.16249944864000737,1.8879789497343666,-0.867432425964353,-1.7037119816796977,0.6051954895527294,-0.7752032160548966,0.8138083589771232,0.28047829212682235,0.04037739422857961,0.19184057552031944,2.1014076036059985,-0.5306609298808254,-1.7305970935615578,0.6045316272180383,-0.23853921572985165,0.7205505082692715,0.0846753992948727,-0.5763803144642919,-0.9230853988619936,2.576459171170615,-0.6402811120546426,-2.3746685583929095,1.0209382696911407,1.4695547889948994,0.8208082581004964,0.20296498261966722,-0.6021445324247172,-0.4280900530821467,2.221436732512971,-0.8378267734690084,-3.357324190615786,0.8485824842338728,-0.22902222483366633,-0.07031026154609964,-0.17414787561734418,-0.05912506229848667,0.00845319674254773,0.02881605729977669,0.16128384735166476,1.6000146359648824,0.11320552970369102,-0.7121560905375564
16,4051.574425087678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4880984157558816,1.0572404013452965,-0.22884417114825742,0.0,-0.09431033689861573,1.65437852949332,-1.0005320337418557,-1.5198834942255408,0.3905798520926825,-0.8349203055300434,0.7715544473082839,0.08093085082245863,-0.33554832305398996,0.34281393470687954,2.549391932131622,-0.5868006382231539,-1.8323548318529097,0.7710811770040137,-0.0765101686232117,1.1035477334293207,0.029753614788531876,-0.5472261741881999,-0.43771527631365925,2.641749700246041,-1.1235773583811206,-2.642539254474054,0.9741284447418581,1.717850431862233,0.9823130158098061,0.06694366924017445,0.023449329122308238,0.18921099146157144,1.957652927622435,-0.7647203704769521,-3.3933808320621073,1.2790039657773629,-0.20297849703331677,-0.06261516463692313,-0.17338865534181444,-0.06087152932468346,0.008960972086044783,-0.011442824450524934,0.409295573920731,1.7099461594798573,0.1667782805433372,-0.5159752460554485
17,3977.6254551396714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4092223597182145,1.1335285813313634,-0.48537757732997033,0.0,-0.1918301876469795,1.7165675369488502,-1.0125505854907693,-1.4720663887759022,0.21125073826661295,-0.8394829501050982,0.5893514802126848,0.3222743611866837,-0.49913871113798447,0.13387651335990625,2.715735061876359,-0.9678527618856194,-1.8999228325282682,0.6085049738601394,-0.2829581486999263,1.269340526667007,-0.384406630550376,-0.495458174848215,0.08519985014405929,2.210211835997915,-1.2751840665996614,-2.733815892465092,0.9758559372251027,1.7660821587611442,1.267086128714447,0.02027278398333021,0.2298455122098521,0.10660889913417941,2.0611692321993633,-1.4426065398653019,-2.798418966231195,1.0805473489669726,-0.19712229501520426,-0.057781462493639094,-0.16706209356120194,-0.053570562362733234,0.010200500645017471,-0.13212157053031845,0.7070378782368854,1.7167966231429068,0.22908459647966942,-0.3091385184223474
18,3889.5320272183694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4962660970985606,0.9419061726808078,-0.4578150351322535,0.0,0.03803556593359042,2.0636717669929396,-1.0985995978068552,-1.5860050117394053,0.0687316378926848,-0.6716322817995426,0.9063718181884184,-0.07137683753982488,-0.22973033932123166,0.23965581468458877,2.6046433074871733,-1.2159695433824396,-1.99754923426014,0.4269680347580392,-0.3251881383242175,1.4092884946825415,-0.7535552679980245,-0.5471320397332583,0.7737583371192359,2.4120737842256057,-1.569474512551757,-2.7889632795437724,0.856715314229095,2.262992984162279,1.4769018378535534,0.5315634383691169,0.1592001038228671,-0.03419620736219632,2.027472966873184,-1.7306438441471825,-1.4762798290820576,0.5770272655319879,-0.1871927185997592,-0.05528453843241348,-0.17116826483275505,-0.061643810670530305,0.016562901948685625,-0.22945207612014684,1.0239530204167717,1.7526058602524996,0.32871639594845925,-0.1628439147420835
19,3814.062030689818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7800795595637182,0.9504814635196641,-0.2983261327775364,0.0,0.23741140268059255,2.0740572410255074,-0.9629429101020399,-1.643795220378063,0.23842133482915903,-0.7165035725502668,1.160972719129675,0.07061544898823718,-0.189409979174046,0.10085392536895321,2.7314049033364634,-1.4740453638256077,-2.0892493800909238,0.3355814289410497,-0.5554838152027807,0.9851432792907737,-0.4326260088265751,-0.8821466554569749,0.803544767391049,2.6923468632981313,-1.660988180205356,-2.5648230913524235,0.6140366265913555,2.4261921985976245,1.563206067579912,-0.31070687518409656,0.2299440334470746,0.10678816282126928,2.4408344728139957,-1.155243488023821,-0.6539659049984872,-0.2998363743560494,-0.17545292317031164,-0.050490386968893505,-0.16018876051234354,-0.06860969164570589,0.029717998921768303,-0.2649092452294437,1.049585052034732,1.8178762124392376,0.456501295023254,-0.2817529701760852
20,3754.328129960632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8443774132924748,1.2855329400534807,-0.41021612541811775,0.0,0.20605543293753306,2.008528116125827,-0.9966576938562669,-1.5229576500327282,0.264819746133165,-1.2083591824385012,0.9566205067321254,-0.12926573978442238,-0.36524354242440016,0.31509700507642757,3.095196537284774,-1.5423289260201154,-2.1127777276266717,0.400011381110627,-0.8041907135499475,1.178614187500749,-0.6693645343741992,-1.1630669534314726,0.4118238688416787,2.7268957185484535,-1.4371977942913705,-2.0968543628473815,0.3997883712029402,2.2244163356996647,0.7566432136921535,-0.257844749371711,-0.01287755183946332,0.07863490622832436,3.0589776870609113,-0.6241923317742601,-0.5404765561572954,-0.947875695426651,-0.15901342333454613,-0.03894064433775543,-0.13744037263385747,-0.06935094485358614,0.04625167240813209,-0.22576883071790096,0.8152260227080808,1.7706196742888174,0.5828267484364685,-0.3300111731627955
21,3726.191678369698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.846204953403062,0.8506223353227708,-0.2879220676799065,0.0,0.33157050918585845,2.0089192591187666,-1.0611400993548152,-1.4581741756261495,0.017937195465427325,-1.3032665558398384,0.8293461470753218,-0.2568865415164001,-0.6900816051673966,0.3609757175502191,3.40389857900114,-1.465492954216813,-1.9646011836332702,0.4322816900637415,-0.6706556637614576,1.0778149529296248,-0.8711762235292978,-1.167673355941712,-0.09529815257940061,2.9654341848736143,-1.1278335908919133,-1.6561000570006457,0.2860760056107824,2.0503506728250565,1.0194101746476063,-0.23528422952833217,-0.3382420230904312,0.27765364843963336,3.2968182670772324,-0.8713126862158944,-0.7810324718800321,-0.5225307463235354,-0.1441870154150626,-0.0339804200708988,-0.128080465633885,-0.07014234380955212,0.06253800235222058,-0.1310197585021028,0.5826020041786677,1.6274685443921117,0.6679044724993791,-0.17283302662687716
22,3712.2036913144634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.852792683371323,1.0208579188828386,-0.5823351310986127,0.0,0.3979156088780776,2.2017062474178943,-1.0310930087712422,-1.368889281672529,-4.7227815721482755E-4,-1.169686928589738,0.8111407116986282,-0.3825659701382951,-0.6793517434602236,0.3207122376674074,3.4008628146344657,-1.5608762060814274,-1.8287047022933802,0.3336722955430874,-0.6359045668560821,0.8205814586788011,-0.8823419250406516,-1.2026178489053845,-0.32836188837940383,3.1570608347529547,-1.1164732689323815,-1.3775099647941653,0.23492803030615628,2.1263705034526,1.0916631994040258,-0.19281060511277676,-0.1882454581017736,0.11691125788777912,3.3155649262789786,-1.0695280200516475,-1.1000066075155646,-0.037520456463785934,-0.1398173057665361,-0.0335174064248711,-0.12342619433495183,-0.07204993315649931,0.07685966787097626,-0.10899878773223765,0.4827449544097174,1.5077506437933959,0.7223167242987745,-0.020914131389490775
23,3707.473412266062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.91561129049601,0.9422729582714195,-0.4436114000636309,0.0,0.3466212365256651,2.221658633896003,-0.9646505951910057,-1.3382173358508131,0.10120680386351329,-1.1172682963345082,0.8049715329570699,-0.39715955816447746,-0.5918158865439209,0.2941990986562959,3.3454238339525433,-1.5842774246082179,-1.8223776234638507,0.34293751342324374,-0.576346704139824,0.8939263362928274,-0.9155392154194755,-1.2457845727899857,-0.35248791189486034,3.169860742710404,-1.182398775884825,-1.2628323122575749,0.2846515081659151,2.233079731831008,1.0443321761827657,-0.20379650300372382,0.02290283676251273,0.010399888648086886,3.382697432359252,-1.190085608758859,-1.3104902145804664,0.11470874036250364,-0.14014255367987408,-0.03402311739346627,-0.12616445647171545,-0.07322942263273424,0.08741193696554084,-0.11019395823623405,0.5059599502184529,1.4690984449640885,0.7535101572650519,0.0513391235648738
24,3704.8431905455495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.951360780271105,0.960155316106418,-0.38200216076075516,0.0,0.4369681161430631,2.2273465267021466,-1.0772941277782955,-1.3380580708463539,0.1473609996915497,-1.1237140830802619,0.8208732701567945,-0.3464086485141689,-0.5342848148818757,0.23551565669995594,3.4399223789920064,-1.577668167902697,-1.8991292256718122,0.40703828152321486,-0.5421865909091452,0.9026263160165843,-0.8734444348644476,-1.2427278376918682,-0.2979967997416509,3.0815046721336756,-1.2558627046691035,-1.2700849090564363,0.38492001575104945,2.284321032469802,1.067693858431916,-0.14394411108985644,0.05162017849079613,-0.02907398921501155,3.3247523553679974,-1.1989396242447683,-1.429048920936672,0.16825457297312893,-0.14162205060450217,-0.03447558607582551,-0.12883045244562288,-0.07438745973907993,0.10113228935244116,-0.11417988459497644,0.5457304930468238,1.4661112788060378,0.7898047661064566,0.04950162995997852
25,3703.016434628129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9670844067483575,1.100635673612301,-0.30580444947267515,0.0,0.43287618184748095,2.16032647040186,-1.2294492549693479,-1.4969749664926937,0.36199717196415776,-1.5121794728015163,1.0247841572207201,-0.2693469791203393,-0.467261488583265,0.581944772274525,3.2995554073092754,-1.7918044385336642,-2.1909609306067033,0.5860341486731533,-0.5062820370270155,0.8789174082110266,-0.6379030318550825,-1.1760725534414287,-0.10329402893342876,2.922303550778516,-1.7003082389973134,-1.6525803969706407,0.834226439334641,2.3218280470851065,1.3999085205235575,0.033349095383515936,-0.08972906510762894,0.018487080350957787,3.2131363902751673,-1.3960714473223022,-1.8994354943158567,0.2413681293546011,-0.14892484285143098,-0.03127459340925427,-0.13328050680971965,-0.07673241082722719,0.1848198369671722,-0.11281762832289711,0.645210803665374,1.5182041564604376,1.0027455046048137,-0.06578535109032492
