Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,b_carD_hhcars_23,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,b_carP_hhcars_23,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,b_pt_hhcars_23,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,b_bike_hhcars_23,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_walk_hhcars_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_walk_grad,g_walk_vgvi,g_walk_speed
0,33034.08551211685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
1,30852.484567055202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.132867325553278E-8,0.0,-2.627738537639658E-7,-9.689695090099531E-8,1.4405763709421686E-8,1.543884504050948E-8,9.388556704924656E-10,-2.8132925777350065E-8,0.0,-1.6239996636632084E-6,-4.491793864064415E-7,-4.5369816244261013E-7,-2.549964644154385E-7,-9.452350483763661E-7,-2.22979331789177E-7,0.0,0.0,-6.632366238587168E-7,-5.742869097821717E-7,-1.625674219500117E-7,-1.45893830563646E-7,-9.717997947210095E-8,-3.5194767771705004E-7,-8.393791260932848E-8,0.0,0.0,-2.2181550581453807E-7,6.172543498032254E-7,1.2834111323614517E-7,1.4524823003976859E-7,9.500028386608585E-8,3.6813864344014655E-7,1.1668399257084341E-7,0.0,0.0,0.0,6.362384331362957E-4,-0.003514287964901761,-0.10000331645234814,-0.09999389248528757,3.808836708329324E-9,2.74221158509586E-7,-6.214005658087975E-9,-4.179542400565814E-7,-3.40851229614577E-7
2,30815.303066982186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.956423140090591E-5,0.0,-3.563527502357146E-5,-1.5915874903947243E-5,-3.596989691972031E-5,-8.715282568711236E-6,-2.0203131100970615E-5,-8.151312822260881E-6,0.0,-8.923103070578933E-6,-3.803754880616495E-6,-3.6757784884185528E-6,-1.936296653854873E-6,-5.034643812421794E-6,-2.7250341343466727E-7,0.0,0.0,-4.014969603552626E-6,-5.7772518954822544E-5,-1.7951925432264608E-5,-1.4114991945694112E-5,-9.298744959181683E-6,-3.494213283457453E-5,-8.610155616828164E-6,0.0,0.0,-2.2109498406264327E-5,4.5621844037072136E-5,8.902916397664962E-6,1.0811363699852384E-5,7.05424102435499E-6,2.724931353746145E-5,8.71378824473308E-6,0.0,0.0,0.0,0.0018336596789981616,-0.003302897409018062,-0.10034775297185787,-0.09955452184042828,3.985407819439676E-7,2.8697582110215248E-5,-4.52380721806419E-7,-3.040277799196151E-5,-2.4611974820213E-5
3,29599.476479121855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007339887302428183,0.0,-0.003624844340775451,-0.0016307292426193738,-0.0038166632989389527,-9.332222888398396E-4,-0.0021380595584480824,-8.427284884076004E-4,0.0,-7.65021122719085E-4,-3.470172948355577E-4,-3.311580756468769E-4,-1.7386922790058138E-4,-4.2958820629993325E-4,-1.0202642826489267E-5,0.0,0.0,-3.481092010213749E-4,-0.005238557408519806,-0.0016353069926623306,-0.0012734708668862647,-8.489136483735888E-4,-0.0031780673717635784,-7.812974242536257E-4,0.0,0.0,-0.0020009255043826083,0.004593763672606878,9.004181918754576E-4,0.00108988493588228,7.108641808537732E-4,0.002743630298972056,8.751398909449417E-4,0.0,0.0,0.0,8.861150232746943E-4,-0.003474191308379073,-0.12858163945819212,-0.054652051606486056,3.302286096605029E-5,0.002358632246630856,-4.594218571981486E-5,-0.003087091848073654,-0.0025053964750169815
4,26453.273386716523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16402736396918957,0.0,-0.08359246705093999,-0.037201842280665295,-0.08427912006611943,-0.020494854691182653,-0.0476516512145683,-0.019248937201231723,0.0,-0.01745297626646292,-0.008002727714909397,-0.007737217860044273,-0.004027081955867842,-0.009779720233722363,-1.0720306323273025E-4,0.0,0.0,-0.008031512036906469,-0.09064332019801881,-0.027678901031583884,-0.022017936382548217,-0.015270269060587465,-0.05578425317941305,-0.013476038944134017,0.0,0.0,-0.03447639306762114,0.06078459159394102,0.006529635504773754,0.013879551176928318,0.009480439178543078,0.03669306433352021,0.013391967039764911,0.0,0.0,0.0,-0.015392911634161722,-0.006509181764127593,-0.44224731803403405,-0.15661090251269547,6.339708717099148E-4,0.04479847720662286,2.31574143374338E-4,0.01378366933260267,0.016613269539585196
5,24036.524657904745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7498658771067606,0.0,-0.39154937027077996,-0.17182483128949244,-0.33969991869026844,-0.09209654759375802,-0.20633282785126192,-0.08663663446497999,0.0,-0.09462858851222268,-0.04104234707730358,-0.04363215168737737,-0.024483966615221703,-0.05321027991709136,0.002361082882013625,0.0,0.0,-0.048069612109674593,-0.4058724977004551,-0.12936163713559815,-0.09288717593455062,-0.06880361721225092,-0.24904612694792524,-0.06269885241390227,0.0,0.0,-0.1479127030261017,0.2907503157362602,0.01871015983974001,0.06562336869795324,0.045820490923721625,0.16857149068473498,0.06534188396026525,0.0,0.0,0.0,-0.019056605915043223,-0.0073528928144405105,-0.45954345979345795,-0.2131415226956247,0.009797253583305618,0.7575169908497699,-3.0205919716768195E-4,-0.03131051461227313,0.007702497957560714
6,23884.855361838963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.975874270954938,0.0,-0.6292582512556258,-0.2537764647632603,-0.2049580933863408,-0.11214868011215798,-0.2061373952419302,-0.10727566944931285,0.0,-0.264009554731927,-0.11950457831673594,-0.11844228933199624,-0.06661491145182724,-0.14798933122112004,0.004286775132109042,0.0,0.0,-0.13331672193435348,-0.8033579608526624,-0.2709930461466392,-0.1764232562038375,-0.1376047249156077,-0.485913984589012,-0.11976833022142452,0.0,0.0,-0.29475369581582195,0.5884392888648142,-0.04448752380005539,0.13507162148617452,0.09758757662102233,0.30021687003535424,0.13656520535343747,0.0,0.0,0.0,-0.010641613714099132,-0.005744051377133522,-0.27247789710521253,-0.18024267558565893,0.00779215775929868,0.5102293157119867,6.322459288269565E-4,0.05718981299680252,0.12310838559747622
7,23345.91725087796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9520411984963667,0.0,-0.7107756710474542,-0.2733540436817903,-0.022564398699298716,-0.10184634345934108,-0.1546963628232011,-0.10135370362148158,0.0,-0.36365518168482425,-0.16779583855483254,-0.1631105674901464,-0.09166141572840315,-0.2025228252248765,0.006683214701932861,0.0,0.0,-0.18412264800199712,-1.0386607005657986,-0.36000730904292855,-0.22321707535177288,-0.17699257787759554,-0.6195473349088839,-0.15386243204049216,0.0,0.0,-0.3791226447336695,0.725174334802507,-0.09571935298116961,0.16446116839618705,0.12092249525741228,0.34717710083333575,0.17146097947242678,0.0,0.0,0.0,-0.01140500079681102,-0.005780097643163019,-0.247559630460568,-0.18663340940122847,0.008486377826111885,0.5139098008642837,6.57368935805318E-4,0.07618617218390063,0.16363996968279973
8,23026.764158121117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1226118073518019,0.0,-0.7955443380055782,-0.36047705644364403,0.15349777582318236,-0.08550666289809375,-0.11587737669969647,-0.06115709084084694,0.0,-0.5993631315279226,-0.31584049926045576,-0.30037698890594566,-0.16527373505335446,-0.2919552711569955,0.04512556780527307,0.0,0.0,-0.32160200922020765,-1.3229221549423993,-0.5040163215609829,-0.25277358047902315,-0.22864092576111988,-0.630114787617694,-0.18373157225633002,0.0,0.0,-0.43325710634500036,0.5126466106689249,-0.37464303362894263,-0.0015075239735073687,0.039757925076001524,0.019352675632583638,0.15742880367248985,0.0,0.0,0.0,-0.011537267882394559,-0.005651003846299435,-0.22514841635033128,-0.174767486604947,0.010179282769981158,0.4754999746052341,-0.0031157558789984643,0.01996457226230456,0.13623667966640485
9,22851.471345388985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.200427701358389,0.0,-0.7173470383837622,-0.3533109348814203,0.14558380223025286,-0.05903865186857771,-0.06721927529916888,0.014927687413369244,0.0,-0.8051438825505042,-0.4760089108176444,-0.4422875936991642,-0.24057626918527514,-0.3473972508925312,0.09900580941400856,0.0,0.0,-0.4454499598841321,-1.4132740901667715,-0.6016623630900902,-0.2293924648686495,-0.24686418925925843,-0.47013633310165237,-0.17915306535806452,0.0,0.0,-0.3784650668019356,0.583432755128,-0.6321310139322172,-0.07750925001456947,-0.01274874596984929,0.048187909818063326,0.19326816049772727,0.0,0.0,0.0,-0.011341913076842586,-0.00546371120343654,-0.22653032420051672,-0.19300101475340506,0.012272825770906532,0.44597054492055865,-0.008831128073485283,-0.13428252423992562,0.045588746224237184
