Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_walk_grad,g_walk_vgvi,g_walk_speed
10,22855.539967426575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2845757027400322,0.0,-0.34935948039016546,-0.34554910532466204,0.09305230551101254,0.09553245399437768,0.03817872779478313,0.3544836992323325,-1.3479980377445862,-0.9854447586163132,-0.8831770317732315,-0.44813530786002154,-0.3925981046067456,0.30752949429078547,-0.8423079552341108,0.028537291775645356,-2.4112894490806958,-1.213318050496953,-0.31190580203932616,-0.39399499277416783,-0.49811410250742,-0.22447106454056262,-0.5590079574760289,-0.19234542982976932,0.2906715269036527,-1.4363379652398405,-0.5921891997503876,-0.33937569447513416,-0.25668917775309974,0.18420116187401195,-0.2925532432881142,-0.04933595753519584,-0.0202963671031588,-0.007128656492595288,-0.2841920636799751,-0.2014016848991248,0.02235098439444308,0.5121631531327777,-0.027988650486838813,-0.17284086521387565,0.041792219934734316
11,22733.29973696576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5715328775614799,0.0,-0.4361361242477855,-0.05034725388173994,0.38117589094846616,0.14716269587528796,0.039647802355727284,0.42618483932102347,-1.6179219149520876,-1.423527803887716,-1.2366002719354745,-0.6045752567133306,-0.28760187043427043,0.5363783724059521,-1.1324995290278035,0.08733835156825748,-2.4037524883607406,-1.4315494557892638,-0.17868463226594794,-0.39011871819863275,0.008682465809067341,-0.1207753886100708,-0.42538558270850424,-0.1933077455173657,0.4866572202032699,-1.8389110592761104,-0.7410744537504899,-0.5931086477138359,-0.3105572986419813,0.22263690257506136,-0.24372849358006415,-0.04867176874471349,-0.020115399767738178,-0.006896764085852333,-0.3134479696018604,-0.19982442008071744,0.031029503674186477,0.5411460832669134,-0.04858878831176999,-0.17738474284133468,0.06762706573924618
12,22708.195690682052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8315013525184418,0.0,-0.1970977965962111,0.29847607054001785,0.5051421414899884,0.1269247476737638,0.29642572869642536,0.2691842977299391,-1.1583945609391892,-2.38559136307899,-1.9047866414833134,-0.8054251331988294,0.7918639886335317,1.3148381974906869,-1.4886495695026847,0.3631518473428675,-2.877076517036338,-1.952523942160704,-0.201764241580401,-0.42258017633753436,0.39396167491222633,0.1340472036698036,-0.267272247696742,-0.2121983438836399,0.6718935142944285,-1.7329262211635756,-0.9876561561792797,-1.08089687488995,-0.3248623034477753,0.1996721563438751,-0.0801237824105365,-0.02141632317903388,-0.02010334888045945,-0.007191236661487422,-0.287817903041825,-0.20589555010805752,0.05342657934359096,0.5135454395046964,-0.1208721834008453,-0.0731413878574569,-0.03553152316784379
13,22665.412627012316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7880741683602028,0.0,-0.24677432908984492,0.1282806333694733,0.5485063829861822,0.1937657259025748,0.18892707571457468,0.2770444164232831,-1.0399448695744091,-2.7597268652023086,-2.15946865298289,-0.914541746527585,1.0955392917665805,1.5376174539916685,-1.5756098820652111,0.4667936555814637,-2.9104206427590515,-1.995528500257802,-0.2389470818698782,-0.4146489066041684,0.4332110892112735,0.24379771879597828,-0.15705609237736728,-0.20470342104663122,0.6406436635283635,-1.8197356953923634,-0.9315377656265991,-1.040626531079055,-0.2691071001257734,0.2022687875260159,-0.08591085966764818,-0.011817258327060926,-0.020096636180042475,-0.007239670659469145,-0.2879375204772917,-0.20477816524227146,0.06305975837165213,0.5163096666044795,-0.15242230158401415,-0.02901206403965948,-0.08201510444897762
14,22622.39356858168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.706543055029586,0.0,-0.37184359770436526,0.09098833460645295,0.46686551732884757,0.125501961018801,0.3003553667107884,0.2345620164751807,-1.0999676000049508,-3.322818592857984,-2.5521304876187876,-1.1671363416380807,1.2433916661137039,1.6847408015946908,-1.6431648588496002,0.6070048332284725,-2.8669689104511047,-1.9253800587030432,-0.319288700581722,-0.40718120879844905,0.3829443576995983,0.42336747449674195,-0.021743421708477678,-0.1693760289945751,0.5641014073753282,-1.6841123895161092,-0.9074358666491116,-0.9228820201070261,-0.2008822214186645,0.3353745407592028,-0.21918379324931098,-0.00786778191172739,-0.01985144236818917,-0.007071567434874252,-0.2896684282697505,-0.20264116772872412,0.07943431372553297,0.5212873798324914,-0.20690128667564187,-0.002565352097092667,-0.10642201367828849
15,22586.127764022865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.663546305171409,0.0,-0.3412149412756428,0.12963194083443885,0.45750799209794546,0.16563613549712566,0.14509020732085057,0.22562896453557063,-1.1977346368601465,-3.8438355045361896,-2.918151705732952,-1.4313306095471119,1.2722954245013058,1.7450770079894025,-1.6467811921666515,0.7363683080244596,-2.8478663864217926,-1.8333852791917198,-0.4042137546043477,-0.41400654998549513,0.27089267934885336,0.5728388603312933,0.05934265523016012,-0.12115293466071475,0.5094662745123982,-1.4299056020908638,-0.9152320239125955,-0.8490854560762087,-0.2335812096877828,0.3655040812054984,-0.13084678919390802,-0.01492168968205246,-0.01954359767997107,-0.00685985320687859,-0.28556032740022824,-0.202442223944656,0.09709948175103311,0.5180565604895281,-0.26649168605103457,-0.013703136843392513,-0.08835355961946954
16,22566.184061364376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7075570974905552,0.0,-0.2950281934047916,0.11811838060257125,0.4016287501378189,0.24620603250168666,0.3293532974574296,0.08777795267064609,-1.1255442039413148,-4.400000825056126,-3.29188750218426,-1.7259714711322913,1.1924208646479606,1.6922156841322933,-1.4046345562159865,0.8956434452974432,-2.777916412450858,-1.6771125553056854,-0.40865947617868037,-0.4424492952441442,0.12510183160582072,0.6551054774912912,-0.011494779747586212,0.015432769633621668,0.4506410463924201,-1.5132137348494443,-0.6799704508789047,-0.874585999880717,-0.30836015939439876,0.17254156329672243,0.14980881236034188,0.06068647957976053,-0.01929946674545406,-0.00672757737630293,-0.2845699827959558,-0.20068861370279703,0.12919369080381873,0.5186680774843956,-0.3751944137443406,-0.12462493078017478,0.03670674427626992
17,22498.80039942314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7948781838002899,0.0,-0.2158457517648268,0.1170651776457702,0.5021546366026364,0.11924061515102255,0.31136488047291766,0.24244296462398393,-0.7887335117447657,-4.9434316260885645,-3.6013320246566334,-1.9802211967327037,1.0290700433044195,1.556109939330607,-0.8702554380158333,1.052773253539273,-2.7246430511035955,-1.6261203415311474,-0.2683591054882197,-0.4818220899913372,0.021875555256366475,0.5423762812408526,-0.11044545746986172,0.21574845649797328,0.47803083165136906,-1.6144889664764928,-0.6707379040200191,-0.9290864465039933,-0.2648065557195534,0.23723464934640714,0.0942092220488207,0.1371864369759385,-0.019107912074671062,-0.006745406561322014,-0.2835423099009862,-0.19988718786406376,0.17907892440400133,0.5182854858247999,-0.5471084961300163,-0.21615361819274398,0.1519725433509016
18,22454.16834728783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.702668668741899,0.0,-0.3824072285751071,0.22968362468637188,0.430588359109998,0.24000222026221485,0.2630591918480729,0.26419460164657205,-0.5271907417177367,-5.345280013752644,-3.7889312358852196,-2.139022650155713,0.815391697868075,1.4684545134358706,-0.4396270230163077,1.1417950860321364,-2.7425783615679085,-1.703860001602383,-0.16931736960348828,-0.49004081850011577,0.02374111483667152,0.39522247325119186,-0.1732975716050134,0.35193202027214654,0.5071078939653508,-1.6792725986314345,-0.7649885991768004,-0.9379417095168022,-0.19858366991394608,0.19455851430156937,0.06289922949688156,0.19404649476592134,-0.018855113865831587,-0.006716788870490289,-0.27360791394539596,-0.19818277279539973,0.22644915082660175,0.5105033508058416,-0.7119237908628264,-0.17259605742962222,0.10285971323447671
19,22453.291743033304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.683537574094243,0.0,-0.3872544417514787,-0.25978813842099224,0.5053957595702847,0.3828390390397491,0.4284927790236342,0.09537306044880642,-0.13640945927531378,-6.155531276468183,-4.0477305890452575,-2.348373674976323,0.03309721305820257,1.4241425892633324,0.3153365788379367,1.204048206604799,-2.671144006119781,-1.9299821091702072,-0.14351696732008065,-0.3634594075456514,0.33016494935979707,0.09079173136462498,-0.17421782777364375,0.5041505413846232,0.8687113891344699,-1.5477610151816572,-1.0878311266651726,-0.8142851978274316,-0.28594091384487175,0.07418189750109977,0.09024920323001395,0.2751852503807624,-0.018128227925133526,-0.006466103257693408,-0.2731058087606685,-0.19915861340768404,0.35959755837627483,0.521842926582197,-1.1733869243752428,0.2184764750914742,-0.2701406460436465
20,22331.502769817896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5150370150160313,0.0,-0.46115779354833136,-0.2869587787843599,0.4402746428427755,0.05691785386644865,0.31448553247368805,0.13477630186556538,0.0683484490856271,-6.574278043168054,-3.9878440749550093,-2.301778067457269,-0.549868980103003,1.6336681821127093,0.489416495052108,1.1128373035355672,-2.696945675106786,-1.942892190751252,-0.5120326470751241,-0.23292017137141224,0.45431558050146725,-0.017257890967130485,-0.07501066880903193,0.34529095792521813,1.0047266562691441,-1.6263465594114987,-0.8435519390226145,-0.9675531499516739,-0.37839508255436016,0.07383029988160324,0.16622516691973133,0.19677684725891098,-0.017482121082309614,-0.00624221506607887,-0.2587806582222523,-0.19674138567408933,0.4868134272725778,0.5175073925321063,-1.6053696166481581,0.3951782942802531,-0.43164764746897233
21,22051.012699146315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5796955143230924,0.0,-0.45533837998496374,-0.23475458176861747,0.6194365217665683,0.2741350686292459,0.23030137703007256,-0.1615184479249442,0.3043148448733901,-7.175246992420373,-3.4536602279133177,-1.9621302504690201,-1.2971792679261576,2.169817975372297,0.18285739299039172,0.7879920976500504,-2.5178524206741697,-1.5959346001416073,-0.9550545148426635,-0.2770565312853991,0.25369585563693475,-0.07404254509205985,0.13944856192747965,-0.12830711139131967,1.1877340885582135,-1.7724832980430083,-0.9637063359271199,-0.7593271783573684,-0.0742930153346158,-0.03272873866926691,-0.16535428375361044,-0.10090092463362915,-0.016008460665742106,-0.0057831156584486265,-0.24066134975886155,-0.18986392306599145,0.815400137423953,0.49324530945538025,-2.6838838101990303,0.04200479507345406,0.026243837924931623
22,21735.865956743706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4058913118203282,0.0,-0.7794243580608731,-0.45292336328402194,0.5300625020086406,0.3594366128669192,0.3317483261975815,0.3154666729911293,-0.12992516743206134,-7.496901394551525,-2.7575585422643427,-1.6748370129271453,-1.072604582172686,2.036907680555862,-0.5037138627833901,0.4139844382390081,-2.2116224073350064,-1.5969565490035482,-0.3433264240270141,-0.6179551031982877,0.005964115861619379,0.06909717044764263,-0.24468471861964272,-0.3785182861268774,1.380952309383945,-1.6424882937991196,-0.8088287616466666,-0.4435392468447677,-0.2056759497430825,0.278084577716711,0.13787018942170842,-0.35851318367036267,-0.01420817367818279,-0.00513886583027799,-0.2201544471501461,-0.18497867843830126,1.1846245878020938,0.4727074592896333,-3.8727184365093477,-0.04355545979862656,0.21442413383594397
23,21700.377946714805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.478106807999059,0.0,-0.5820004906930146,-0.4972418502289902,0.7359188480573116,0.5384146411603785,0.07420089621479997,0.007340007537005144,-1.0408692586035093,-7.530394324901217,-2.333514188169227,-1.5529251440638285,-0.5414333907226615,1.3371721649679258,-1.064232161965907,0.11629110345710053,-2.015258349800087,-1.6219235149441618,0.13144523596192215,-0.7438650789016023,-0.29906281104393023,0.12549662348148788,-0.5202694851258748,-0.394413662833735,1.196975747275009,-1.5089682510802822,-0.12266431368989072,-0.8278105561745039,0.2489501818930967,0.402924758989362,-0.30139210177244025,0.21658692880977204,-0.012804663676584,-0.004457668637422503,-0.20274590823211358,-0.17773465815985132,1.492065182917064,0.4647917341941374,-4.830320311726988,0.389881566378463,-0.1883290781396106
24,21670.666893064852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.503735299134489,0.0,-0.5455107994990902,-0.34970850648044355,0.8725354227317188,0.1250785314617079,-0.015279245585781198,-0.12360058660309373,-1.4225709887669193,-7.338127268007702,-2.3542043729803708,-1.5595498642359709,-0.05073310568811362,0.8792064002555469,-1.1690937913187203,0.06206700880674575,-2.0622379598845155,-1.4982079408708258,-0.06651611712621183,-0.5800563862246317,-0.312095393663411,0.037864648607070714,-0.49402568392270146,-0.2431875837816182,1.0616237084990559,-1.718934336661571,-0.3508889856502368,-0.4463753197725685,0.5036999736359057,0.17400412164456877,-0.13132334474738622,0.5244478901850348,-0.01250240764427235,-0.004312964110011192,-0.19714534330521175,-0.17447248487320483,1.592006631999797,0.464927709415848,-5.081148222487118,0.5575529092237395,-0.35589735641672277
25,21631.75379783962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4883920858838389,0.0,-0.6032319230655556,-0.38416944640895057,0.8693769766376671,0.16239653706505386,0.013064376823624164,-0.04238514020048492,-1.6395575330353196,-7.092351035596168,-2.5441650617330125,-1.5827693441228448,0.2959114449904246,0.5525832116711595,-1.148936247295595,0.07497942676206489,-2.191774338244712,-1.4586519543802505,-0.3635320124387512,-0.3099790014076455,-0.1372895192714845,-0.19094836854308556,-0.29315586174191316,-0.05176119208237026,1.1227617540159864,-1.6545003146187232,-0.3067184108710309,-0.4027700305495085,0.4557030954848909,0.1090307194885241,-0.18750153451211887,0.5695169682720037,-0.012302346512536338,-0.004237147904405415,-0.19328085064425965,-0.17437005072927497,1.6393842027566201,0.4562454490633545,-5.122945027842474,0.4297836009486069,-0.20575762680062876
26,21608.26764487539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.459303264515775,0.0,-0.6618240715716632,-0.46733983750556213,0.9015306341412463,0.1397385632521448,0.025830068866035442,-0.10375274228004482,-1.7326593181458416,-6.722556618520807,-2.9488551632472078,-1.574501934686591,0.35721162610141644,0.5174529423332117,-1.1167563235720759,0.1180146453194427,-2.294235401072043,-1.3574407083487843,-0.3480591841770966,-0.21713842870926153,-0.1320282664716997,-0.19265531535316102,-0.16291253382720886,0.15591002953815147,1.0504078080283072,-1.6478342099704046,-0.37012713966849764,-0.5669612733753442,0.6022692114974739,0.15819999649625782,-0.09269227379440188,0.22544766524321125,-0.012239253664191136,-0.004181702767937471,-0.1926264589454563,-0.1726900958725338,1.674138985816145,0.45139830581821244,-5.051494775587324,0.42036587473365833,-0.19760683174206256
27,21534.35612190976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3770643451838749,0.0,-0.5775644356881369,-0.3344090984555299,0.7943657220858069,0.1273385431553176,-0.06435753357861493,-0.21046981661262285,-1.7854812367345572,-5.396959334631566,-4.45216331039255,-1.5401005667786118,0.36374656648689657,0.8198112712863603,-1.0257684332713,0.2870303235942997,-2.644694282576868,-0.9900823571485654,-0.07876038986384531,-0.2336583527342294,-0.15069991333711114,0.1485928198228265,0.05262835333577273,0.5760492488909079,1.3368390938633739,-1.7446919504273144,-0.27795414853136935,-0.39171963159306844,0.344799763317103,0.19353401873679738,-0.27773646145856706,-0.1107754750348442,-0.012151088519788952,-0.004111556085015702,-0.19089762905310617,-0.17279096853499934,1.7833489270892664,0.44759013973845757,-4.702517444088722,0.48893292411581424,-0.25779095340499114
28,21449.469582313668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.333249706648138,0.0,-0.7020769504712974,-0.384128948424904,0.7737690415917465,0.1031470893256735,-0.027291955109608662,0.10070320956673698,-1.8036626244921972,-4.192625159721425,-5.833675111498667,-1.5531068125272702,0.1910423010362518,1.254481938911053,-0.9965258601154143,0.4454303236450168,-2.8044692388352006,-0.8669818772545116,0.09338053009956099,-0.13567478160136937,-0.1424810343331384,0.5412396064686371,0.08189893839092649,0.6221169430103303,1.3083413353226936,-1.587306648479983,-0.34301348061109055,-0.43994823573247527,0.42319233840635095,-3.2387407354902975E-4,-0.3062408574204845,0.16159001268834022,-0.012028010179808264,-0.0039988057643410915,-0.1915137762724124,-0.17159580679572778,1.8855752895117133,0.4395933363277688,-4.331343425918411,0.40765563602986365,-0.16783955826594815
29,21387.159650125854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3277487915130026,0.0,-0.6969378133973289,-0.35984488636085527,0.7453191192020101,0.22269257560800618,-0.019106339242583974,0.05557267177246409,-1.7481827992762322,-3.333732449084011,-6.830320535493655,-1.6305345508092175,0.06431139595421242,1.5791380305444884,-0.982918314316696,0.6223196314402688,-2.764624720386403,-0.9910628785514664,0.07017246233643323,-0.039056019898352626,-0.1265464433747363,0.5421688909560461,0.015267439747835648,0.4419449213955484,1.0995450132807647,-1.5906422980487431,-0.36382374162523345,-0.3313901916835078,0.4231426273700889,0.5259838576803846,-0.06097025683925192,0.49671456272797143,-0.011919429143446436,-0.003939138935102746,-0.19078883684963305,-0.1696351309358551,1.971585233802447,0.4309649590222177,-4.002865940675916,0.3000932517408119,-0.04957377879795104
