ID,diary.household.id,diary.person.id,diary.trip.id,carD,carP,pt,bike,walk
BL35039Q12,BL35039Q,1,2,0.00135508338913005,0.001816578780876276,0.008433897552775396,6.64164558282298E-5,0.98832802382139
BL35130C12,BL35130C,1,2,0.9309897881486152,0.02832294265174426,0.02834736411118682,0.011947824365863094,3.920807225908091E-4
BL35130C13,BL35130C,1,3,0.9497322071158759,0.02889313199680714,0.009602760815381447,0.01155790483036095,2.1399524157455398E-4
BL35130C22,BL35130C,2,2,0.9311815550232494,0.02832877666008883,0.028353203149905526,0.011950285399234767,1.8617976752169696E-4
BL35130C23,BL35130C,2,3,0.949838969394801,0.028896379961437745,0.00960384029085984,0.011559204089510045,1.0160626339145085E-4
BL35132C12,BL35132C,1,2,0.9434555515147726,0.028702181076724186,0.020187209927574324,0.007647670929081039,7.386551848001662E-6
BL35132C13,BL35132C,1,3,0.9450765542742979,0.02875149586919646,0.019848151595738696,0.006318830923286404,4.967337480524762E-6
BL35140C22,BL35140C,2,2,0.04837934684074702,0.005308275351732014,0.005718445103280195,0.00280352342280549,0.9377904092814353
BL35140C23,BL35140C,2,3,0.04837934684074702,0.005308275351732014,0.005718445103280195,0.00280352342280549,0.9377904092814353
BL35191L12,BL35191L,1,2,0.8049865769813015,0.08832468158635821,0.10668715699145695,1.5844408833145037E-6,3.846890683252417E-26
BL35194P12,BL35194P,1,2,0.7251962946958823,0.07956993774581718,0.19280754705106706,0.002426209061231711,1.1446001769757259E-8
BL35194P13,BL35194P,1,3,0.6157072934625514,0.0675565931166347,0.3146634693048573,0.0020726343071215225,9.80883495666152E-9
BL35273H22,BL35273H,2,2,0.15295006565925523,0.0046531079002083316,0.005329076902657704,0.008614143513660204,0.8284536060242185
BL35273H23,BL35273H,2,3,0.19299124822095276,0.005871256726156513,0.005647725095654578,0.00948973880235087,0.7860000311548853
BL35292O12,BL35292O,1,2,0.2663211774177969,0.029221273829609876,0.06326279291489402,0.0116513408507155,0.6295434149869837
BL35292O13,BL35292O,1,3,0.3026205709959707,0.033204113384019705,0.0830306929745271,0.011810357763496027,0.5693342648819866
BL35292O14,BL35292O,1,4,0.6092147789341528,0.06684422188609065,0.19626347892104082,0.0201481620453204,0.10752935821339532
BL35292O22,BL35292O,2,2,0.4982509788375289,0.05466905947791763,0.13791612337357942,0.01819838383093137,0.2909654544800428
BL35309L12,BL35309L,1,2,0.062005608102860495,0.00680337504855175,0.006864470637319119,0.0034806657370819185,0.9208458804741868
BL35309L13,BL35309L,1,3,0.062005608102860495,0.00680337504855175,0.006864470637319119,0.0034806657370819185,0.9208458804741868
BL35368N22,BL35368N,2,2,0.09332926015768236,0.01024026663528971,0.00819136195808479,0.005558114741103678,0.8826809965078394
BL39328J22,BL39328J,2,2,0.5767605028837532,0.06328327605142005,0.3593696800750263,5.865405573967618E-4,4.324035803553012E-10
BL39342P12,BL39342P,1,2,0.5805521901145971,0.2502257735489838,0.1597263025122513,0.009170286177864596,3.254476463031624E-4
BL39364B22,BL39364B,2,2,0.9653534669082036,0.029368368192604643,0.005166624842971594,1.1154005568140955E-4,5.389362774195109E-13
BL39385N12,BL39385N,1,2,0.5130380678332933,0.05629152743513223,0.028858280723913575,0.018582605653554043,0.38322951835410685
BL39406H22,BL39406H,2,2,0.9155325299525882,0.027852695777919895,0.05403796326829502,0.0025767640029527587,4.69982443140363E-8
BL39513L12,BL39513L,1,2,0.958802100644026,0.02916905991516387,3.97757276657867E-5,0.011558622352058344,4.304413610859344E-4
BL39558E22,BL39558E,2,2,0.8520878662293836,0.09349272599120363,0.053858399582924335,5.610079527505106E-4,2.437378958456204E-10
BL39558E23,BL39558E,2,3,0.8465590650531384,0.09288609525050563,0.059694662711004064,8.601767498627059E-4,2.3548936838876675E-10
BL43452M12,BL43452M,1,2,0.003233416824013639,0.0043346088066229145,0.019821981504377032,1.41579988225814E-4,0.9724684128767606
BL43505B31,BL43505B,3,1,0.7224323837759645,0.08633521841414704,0.19123080378694715,1.594022941369177E-6,2.859305210490026E-23
BL43575C22,BL43575C,2,2,0.9631922510120182,0.029302618820629872,0.007346083198195185,1.5904696914243068E-4,1.4414120631596017E-14
BL43577B12,BL43577B,1,2,0.8422264730089349,0.09241071488555232,0.06536007388548257,2.7382200301892334E-6,2.67881257924801E-23
BL43592M22,BL43592M,2,2,0.9305603761287566,0.0283098789080091,0.022189362986233845,0.01555948232689504,0.0033808996501054366
BL43736M12,BL43736M,1,2,0.8668511773405977,0.09511258499301227,0.035098306125222585,0.002937675628247744,2.5591291989276676E-7
BL43778M12,BL43778M,1,2,0.49096428333923187,0.014936311244320554,0.02484809926662011,0.018226840156502108,0.45102446599332535
BL43827G12,BL43827G,1,2,0.76812145317393,0.08427976901882442,0.14696722402264992,6.315529392086274E-4,8.453872522183515E-10
BL43827G13,BL43827G,1,3,0.7020097196594227,0.07702586196153106,0.22026504627092672,6.993712995167395E-4,8.086027514938787E-10
