Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.cars_gr_23,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.cars_gr_23,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.cars_gr_23,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.cars_gr_23,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.cars_gr_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_c,g_walk_grad,g_walk_vgvi,g_walk_stressJct,g_walk_stressJct_c,g_walk_aadt
0,4864.317465400571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4209.513486823496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.4274405383524563E-4,-4.1248653580897346E-4,-2.2529971257585906E-4,0.0,1.6101035195287025E-4,1.8457110336180032E-5,0.0,-0.0011707874148659384,3.126092812499346E-4,2.0798925127641526E-4,-1.0966041104424117E-4,-4.2849844240396603E-4,-6.702166484556117E-5,0.0,-0.0011537850947972651,-4.761771833189558E-5,-8.765166210590815E-5,-2.3660439935810012E-4,0.0,0.0,-4.518727226540591E-4,0.003344309018798078,7.073587072891174E-4,3.5973727569905305E-4,0.0011992403389820307,7.904317273827759E-4,1.1365563351642372E-4,0.0,-0.005845010417266426,-0.007761568041182581,-0.10473221473550713,-0.05578422142276269,6.399076290219004E-6,3.4212234315723363E-4,3.010844287065403E-4,-4.2327570160135376E-5,-0.0023764052522630033,-1.2673366165369204E-4,-8.516310133431103E-5,-0.0017416695763138943
2,3889.527101934309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.681030667185325E-4,-8.744912659632393E-4,-4.768709725028284E-4,0.0,2.895326246237555E-4,2.3626173953936352E-5,0.0,-0.0015395320758320227,8.509900678006835E-4,5.338076400517943E-4,-3.098711458302252E-5,-6.047990444703571E-4,-8.075127118101928E-5,0.0,-0.0022569289327375045,-8.996275812670786E-5,-1.7323014079170308E-4,-4.5849863914020756E-4,0.0,0.0,-8.896440588151207E-4,0.005975436342072606,0.001285630637383909,6.531716392511151E-4,0.002220131499670916,0.0013679323643632061,1.9426329083522585E-4,0.0,-0.014044735458619628,0.009057337909178183,-0.10943601196365159,-0.025178211185746795,1.3393529431867011E-5,7.17230267488566E-4,6.3015805045849E-4,-3.843471740307486E-5,-0.002210325472386884,-1.1827961684982309E-4,-7.810522578234735E-5,-0.001577234879424328
3,3612.4747228090155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01139191051387854,-0.009353869104417847,-0.005265209983551079,0.0,0.014308410208242237,0.0021169221354543125,0.0,-0.023388085731062214,0.012464217425899385,0.008023823909920515,6.339250771963608E-4,-0.009835624659368611,-0.0017018011486021585,0.0,-0.025202492101047875,9.075740034178414E-4,-0.0018277736225025757,-0.004444819951578317,0.0,0.0,-0.010636958514725011,0.05232146171501924,0.01078262355772391,0.005463057572821813,0.025857270155281022,0.008210078474391045,6.17782791640162E-4,0.0,-0.0632930383245115,-0.006228766251972655,-0.18200845685961592,-0.012620173432195942,1.7420958106862267E-4,0.009090839316308361,0.00878685898828036,0.0022676808403787217,0.12309545057300057,0.006523392448654047,0.0044264231805464125,0.09448993823160258
4,3177.8761313600185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02763993712309347,-0.09128584948783644,-0.0508860315742944,0.0,0.1045989964561699,0.016124799052780317,0.0,-0.24844218953626956,0.11258594746841503,0.07210331250621062,-0.0044999777291915705,-0.09812740537349034,-0.015343763431519237,0.0,-0.2200640910401692,0.01614053032524748,-0.012374120691586122,-0.038116787748590925,0.0,0.0,-0.09161391047554825,0.582869776171433,0.10142611701322836,0.051662436835521804,0.26138033288261114,0.10513767227690633,0.007828474864769053,0.0,-0.6499212871985863,-0.11522124456353411,-0.6338935793171157,-0.13000497088750698,0.0015150847160689603,0.07554687148830758,0.08686140574287565,0.004309173553887779,0.21506310963294134,0.011234147581971112,0.007387594909335949,0.17647689563829005
5,3071.5656785209894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023665517899168383,-0.11136208580546608,-0.061636373219742094,0.0,0.12530642976797518,0.019120748736908284,0.0,-0.2946936049247816,0.1316765684943916,0.0848142397257167,-0.00208669316934682,-0.11752253452982793,-0.018564714435070236,0.0,-0.24021922664857498,0.027772207936145307,-0.011804100139815523,-0.03822800201390362,0.0,0.0,-0.10209117266773782,0.6878931445876164,0.12492104064351471,0.06352783772642562,0.3136748209950665,0.11979623669058471,0.00891067816044783,0.0,-0.7193123904446517,-0.12377047411143732,-0.5574444198077869,-0.13423516302030275,0.0016185188663604307,0.07383729077989397,0.10890897783194153,0.00493238203206018,0.23917366635609388,0.012211716681231125,0.008618963153695692,0.20597003983112733
6,2507.948359786313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13595007251939953,-0.28892639163429346,-0.1553510930747507,0.0,0.3929493625366796,0.05905695690030731,0.0,-0.716360885196859,0.3020918236243153,0.20287367916281818,0.04925799856856647,-0.3036562145410305,-0.054432016378723885,0.0,-0.5726328651228796,0.13665430097919024,-0.018182609420305598,-0.060601317974908656,0.0,0.0,-0.24849488510540324,1.6874805562930082,0.3781282179867664,0.190079015308712,0.8334729538735377,0.23267260145091115,0.018085039336743658,0.0,-0.3933326004897485,-0.048407813593388305,-0.2796414670021579,-0.11346337442138144,0.007197827244488116,0.28847477821596407,0.5087425391299294,0.007970920584203183,0.26806596785815884,0.009924265216652186,0.016076199889323926,0.38659994603713443
7,2446.838135069388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4556380767101462,-0.3559935405853697,-0.1755179427580993,0.0,0.5185761114879353,0.11454317313690257,0.0,-0.7581547056904927,0.45883403519582144,0.2971884890424831,0.22310804642807913,-0.27613890012774717,-0.11215018507698943,0.0,-0.6069477728251651,0.22315349881114194,-0.033141771892903404,0.017276184348642726,0.0,0.0,-0.2996635300502174,1.7032042437366701,0.46079705438942253,0.21892413630437038,0.8423744860601329,0.17460854445560825,0.015190898161096025,0.0,-0.4268368382811508,-0.04880554746283644,-0.22189204620409927,-0.1105566271277383,0.009476322543283261,0.3967257844728489,0.5234350998018757,0.0043931434772991875,0.18926674510778824,0.005495233310553568,0.0212304142141726,0.47051123309969817
8,2338.05479089041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6605636876790484,-0.7584005783476415,-0.27298608618402864,0.0,0.3777822767027666,0.34499608630697254,0.0,-0.7114966379966584,1.0469164411149605,0.642978285032511,1.0961146360186111,0.06918049521303238,-0.42705470675587504,0.0,-0.32743163930910696,0.6940326694931424,-0.12081759702612553,0.5563886661794256,0.0,0.0,-0.3939619123617444,2.103915933356651,0.7573968811072043,0.28843652400124586,0.830605559832935,0.20701875426372607,-0.01114172285747547,0.0,-0.29854483734675363,-0.0406676377204285,-0.26581837535894853,-0.10809299745770654,0.014113955439334653,0.4196396036246788,0.12246388838854105,-0.019230204262555582,-0.2598640846745963,-0.02624967242249519,0.02996553695638693,1.0774695559303786
9,2329.5436973400147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8428045327991929,-0.6667705545301112,-0.10812767212103033,0.0,0.28292950854869786,0.45608657466288893,0.0,-0.781817178284449,0.7949955102611621,0.49329736332751384,1.3477288649383217,0.4192290626400848,-0.6502645111714926,0.0,-0.18570210280053287,1.198949667745738,-0.2004284221686165,1.0251643060510094,0.0,0.0,-0.517396219205339,2.319527153574009,0.9199439493861616,0.31555860871841956,1.0128387829805392,0.13342585505696786,-0.04552844486211673,0.0,-0.3078621995116759,-0.03650162324900993,-0.2712035079176219,-0.111419440337509,0.020403634189149887,0.674230996075925,-0.13591691534963168,-0.04434653836281248,-0.6634786421136039,-0.05751757130951235,0.025357448610550313,1.6397633047021247
