Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.cars_gr_23,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.cars_gr_23,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.cars_gr_23,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.cars_gr_23,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.cars_gr_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_stressLink,g_walk_stressJct,g_walk_stressJct_c,g_walk_aadt,g_walk_aadt_c
0,4864.317465400571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
1,4242.148074069287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1857283754487295E-4,-3.899672016981298E-4,-2.129996759392149E-4,0.0,1.5222013555509095E-4,1.744946087783836E-5,0.0,-0.0011068693213542825,2.9554265667075525E-4,1.966342638178018E-4,-1.0367359881970505E-4,-4.0510495254969406E-4,-6.336267689735541E-5,0.0,-0.0010907952277682872,-4.501807151770575E-5,-8.28663978779193E-5,-2.236871934406006E-4,0.0,0.0,-4.272031348405653E-4,0.0031617294540699356,6.687410902694067E-4,3.4009774034378674E-4,0.0011337688834840392,7.472788130074388E-4,1.0745070568837637E-4,0.0,-0.00552590729257985,-0.007337832164323847,-0.10447386369744441,-0.058198142373658925,3.2344447931561133E-4,-1.1981475055693853E-4,-8.051369785959702E-5,-0.0016465846809420176,-9.770453590186644E-4
2,3880.7386614647644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010278655739914887,-9.197799470459331E-4,-5.014219475120884E-4,0.0,2.9635409329887863E-4,2.2870997720784113E-5,0.0,-0.001542826789473253,9.073956736984808E-4,5.672488982051754E-4,-1.71399630653548E-5,-6.11200566163619E-4,-7.995084258995152E-5,0.0,-0.002357052664054903,-9.433495330887591E-5,-1.8114673979522245E-4,-4.785945087583786E-4,0.0,0.0,-9.294898576184919E-4,0.006199537131152686,0.0013375881803998292,6.794930919675653E-4,0.0023082199534308467,0.0014166224946108197,2.0140917362226337E-4,0.0,-0.014930928480232173,0.011495811914499087,-0.10988061064041675,-0.022304510233789557,7.539773661632942E-4,-1.1176687340952523E-4,-7.344254675881392E-5,-0.0014847895358587057,-8.580739775847855E-4
3,3390.757515346925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0452546935669024,-0.031843246207019296,-0.017985355614450794,0.0,0.05226509503650983,0.007799044594797403,0.0,-0.0818328024797172,0.04343717670044055,0.028045428414882435,0.0024867052383509823,-0.03458572313764869,-0.00608403360921554,0.0,-0.08674914356644792,0.0037107397633034944,-0.006238560151980451,-0.015076721730678531,0.0,0.0,-0.03683971166554227,0.17558109734448707,0.03588806075650791,0.01817894265205757,0.08914661913653175,0.026166594215138034,0.0016758827462269,0.0,-0.19140295055259104,-0.03478754925063147,-0.3763753467726994,-0.022329495622706325,0.031783852521770385,0.025146138912968345,0.017074914247915747,0.36272057153111964,0.21723350967333982
4,3216.31708270251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05684015874458842,-0.13695112467361775,-0.07623816179283008,0.0,0.16490244134687193,0.02528525761219856,0.0,-0.36225545521767777,0.1699550593656542,0.10923350632606839,-3.4831440699248286E-4,-0.14554321094326922,-0.023783827112119862,0.0,-0.31844003939453724,0.025611630549118664,-0.01884478008346953,-0.052710882476509145,0.0,0.0,-0.13549688542973773,0.8387739086614454,0.15177928607861113,0.0769296215998138,0.38432095746721906,0.14599785125356174,0.011280380625899911,0.0,-0.9265514099217312,-0.1685897835484358,-0.931943613244754,-0.17533960728416004,0.08859178508658805,0.03486566786297799,0.023079454894004387,0.5005018311752922,0.295432835496105
5,3035.419355911798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04522069807850743,-0.1771580254355911,-0.0976190896578758,0.0,0.2049558709943804,0.03123598353704788,0.0,-0.4538013683623702,0.20873156398392467,0.13518618165179955,0.006045397110707695,-0.1843586220277687,-0.030474354941964075,0.0,-0.3502729861822582,0.05007595384616419,-0.017518886871473155,-0.04958282384493177,0.0,0.0,-0.15504096963150413,1.0437934898699035,0.19792287660166874,0.09997882210198143,0.48431551700080844,0.17528575366417432,0.013818075508494697,0.0,-1.0714781613006976,-0.18684066294918694,-0.783500755273523,-0.18495452012793578,0.05351962737220002,0.034876181387760496,0.024405373600706853,0.5866586038403752,0.34805190278447246
6,2487.4275291911804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25972710982391933,-0.3996008988235529,-0.2134851201132641,0.0,0.5745818007267731,0.08657963260033431,0.0,-1.0143809323151476,0.4328483305243864,0.29465096502635674,0.08776097971240807,-0.4353259477567687,-0.0818583070646162,0.0,-0.7593757291660121,0.21977225427821545,-0.01871329058728899,-0.04568662110652785,0.0,0.0,-0.35025697565866687,2.280598113839332,0.5064313767316397,0.2490049989063704,1.1015206619736158,0.3159591880289641,0.030960063636312558,0.0,-0.5526420883375438,-0.06964175603940512,-0.45448429715286526,-0.15150156714104845,0.24198687598534513,-0.004101755106174894,0.012087298473310202,0.7191837094109036,0.43092131348576956
7,2443.8950486391677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41676025653731197,-0.4259867394782963,-0.2210621155088199,0.0,0.6301158170246216,0.10956627248215842,0.0,-1.0427516280313458,0.49329501806870235,0.3326996865125939,0.15246413922057675,-0.4274460499904772,-0.10637587071383335,0.0,-0.8150212309238134,0.2675366408706971,-0.020484211173397056,-0.02216435466969063,0.0,0.0,-0.3908666921419091,2.301230673754401,0.5190725270798858,0.24926271215876233,1.108357635666529,0.30742632870003533,0.030780982821829214,0.0,-0.5739027102106525,-0.06948221908434962,-0.40072110349572637,-0.14976617580915932,0.323365412568776,0.0022098416084271365,0.017501592486881504,0.7217189386622141,0.41732917262735403
8,2412.8486935586225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4500523866304181,-0.47243921515145004,-0.23213995905293194,0.0,0.5952304974706647,0.13233687910631728,0.0,-1.0249080062904352,0.5383282236581486,0.36245602132852506,0.23975413687095765,-0.37932248409952535,-0.14345292390306674,0.0,-0.8664939176789438,0.33071905736763263,-0.026564588897354406,0.017437916788115505,0.0,0.0,-0.43681309438622173,2.3472463992467203,0.5077700878496931,0.23504533565199728,1.091626298980963,0.3422113136800216,0.02895297569639953,0.0,-0.5845063912381719,-0.0721505078552972,-0.3522643365692502,-0.14922047267338556,0.4693008284844208,0.016133794365417814,0.024428506065787118,0.7474127404507523,0.3932249265757793
9,2392.077829386409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44378066842319003,-0.5025029758066029,-0.23126625529884554,0.0,0.6245985200403268,0.140559510063245,0.0,-1.0336644775450747,0.5161370840824612,0.3530223301804607,0.2987048995738137,-0.33540795391621775,-0.1826557818465083,0.0,-0.8368547659066404,0.398332869308733,-0.049424665209455675,0.08276135444268425,0.0,0.0,-0.45759142295212013,2.3617667603556796,0.5295938776057916,0.243195447118223,1.1431496883651935,0.29055019540547455,0.026410678459751244,0.0,-0.6059734072471638,-0.07528919349372527,-0.3170719020261721,-0.14939680692725424,0.6592506209781333,0.04621362062700389,0.044147823240834216,0.7647401369340107,0.37509393940935304
10,2318.7213009839343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4031817313949319,-0.8812864318629924,-0.25022831994952904,0.0,0.6997244069920209,0.2783212314682204,0.0,-1.2635417306464678,0.858285043530703,0.6334769975324516,1.3815991932753922,-0.03750468660105466,-0.6628391430778737,0.0,0.14515143980154144,1.240908607833765,-0.41844793458211316,1.074991102303445,0.0,0.0,-0.5011163628279918,2.4980945706023086,0.6768038102954381,0.24203381234930205,1.5895966973822826,0.08545060115692321,-0.060999735046979336,0.0,-0.5247181511265224,-0.06966934151349102,-0.4433922465604806,-0.143748852558962,1.0126859528115484,0.47787697979981164,0.29612216641737693,0.9333182919934191,0.02956429125743859
11,2281.703128244417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6714060064591729,-0.7219813847613736,-0.08337060957752018,0.0,0.4487943922243334,0.2969085450525003,0.0,-1.4868283019984394,0.7078382242994399,0.5955104809069075,1.6618160969373597,0.11368929881792231,-0.8325421946635203,0.0,0.5146758904882305,1.696084698580918,-0.6996749237927886,1.5640342087537782,0.0,0.0,-0.5567353511048522,2.5895333448999893,0.7964466010955793,0.26935845024011973,1.8372173102078877,0.33495869505869474,-0.1429805480131312,0.0,-0.498668154976024,-0.054363421409943186,-0.4605209779782776,-0.1412004719941694,1.136570572622837,0.7965253711713783,0.48466844270871046,1.0504608536098312,-0.19331193478374528
12,2236.2376212883246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3198007404961298,-0.34453417735264014,0.39136846712262796,0.0,0.3351617197593667,-1.2914560145994258,0.0,-0.1719614625647783,0.5331974846607844,0.8609896867597173,2.635980655472477,0.6285059056958214,-0.6178424657572419,0.0,0.07609404019462601,3.4737197104751534,-2.8711455771624976,2.430504764820065,0.0,0.0,-0.8019246531210287,2.978322976298336,1.4018022985037053,0.07808298597708252,3.3843639653242352,0.4864533039378015,-0.4053632041014431,0.0,-0.36246919993592164,-0.06323139903905906,-0.3281579891617844,-0.13249280026806148,0.9250757034141881,3.1051862770962626,1.8229395262882335,1.9233489506521195,-2.0242401999461412
