Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.cars_gr_23,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.cars_gr_23,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.cars_gr_23,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.cars_gr_23,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.cars_gr_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_walk_stressJct,g_walk_stressJct_c
0,4864.317465400571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0
1,4153.6118567522235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.875142891697961E-4,-4.541971338859682E-4,-2.4808199743197885E-4,0.0,1.7729170296320188E-4,2.0323491524563057E-5,0.0,-0.0012891773235190838,3.4422030113396976E-4,2.2902110398237427E-4,-1.207492610622273E-4,-4.718281629066668E-4,-7.379888902656784E-5,0.0,-0.0012704557305113075,-5.243281734304258E-5,-9.651498958812495E-5,-2.605298130337718E-4,0.0,0.0,-4.975660480849513E-4,0.003682485219033995,7.788867504484769E-4,3.9611387376320206E-4,0.0013205074045333862,8.703601061927841E-4,1.2514848003926198E-4,0.0,-0.006436057297844735,-0.008546417040867121,-0.1052107358258008,-0.05131312622621392,7.046150257571384E-6,3.767177209690312E-4,-1.3954895710011365E-4,-9.377478579518488E-5
2,3838.720816366234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010773055416486153,-9.842315952341097E-4,-5.36840883582434E-4,0.0,3.312821713889949E-4,2.7365653932708974E-5,0.0,-0.0016952452203743665,9.707976279010625E-4,6.077556484067386E-4,-2.525994317548366E-5,-6.691195305756877E-4,-8.842620103566073E-5,0.0,-0.002536354227811965,-9.973816999391296E-5,-1.945574596598352E-4,-5.14850199980707E-4,0.0,0.0,-0.0010002119829161066,0.00667271179064912,0.0014333529308732133,7.282261642115784E-4,0.0024877561915803374,0.0015223037278488155,2.151074258505384E-4,0.0,-0.01582220650884679,0.011408924747991015,-0.11058766160609558,-0.017236899704817274,1.5067497025278773E-5,8.068634347844388E-4,-1.2809042349732532E-4,-8.466942606983551E-5
3,3587.2924209678213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09690270326797476,-0.07535641775173425,-0.04260359380619627,0.0,0.12035754171670872,0.018258788584332435,0.0,-0.2020795551515373,0.10418235468813043,0.06699871712020183,0.0033888796576713423,-0.08395198542686119,-0.014257678783023848,0.0,-0.21445975681909557,0.007565613403978134,-0.015279952709693937,-0.038124049282312694,0.0,0.0,-0.09006333360665979,0.442919561079135,0.08436854774708846,0.04286461837372975,0.2178512976662064,0.06977979818441517,0.004299545899129722,0.0,-0.44724608537576727,-0.07204781494441401,-0.7892451555917837,-0.13681701575949026,0.0014198643843359973,0.0740303257872492,0.046404191020763715,0.03138003291182943
4,3338.8650396506564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09989298700140589,-0.1300913196540076,-0.07231700444911765,0.0,0.17896402689293553,0.027294070735353632,0.0,-0.3238282077861477,0.16023469155727504,0.1038488214273598,0.009173874321435854,-0.13403150186004947,-0.023560244787330084,0.0,-0.26722742184165893,0.03258301810238019,-0.01624518472271933,-0.03893935129434718,0.0,0.0,-0.11972877653576702,0.7014297026599312,0.1435639533224744,0.07284139818981322,0.3527657959007643,0.10508909699923216,0.006544385224948166,0.0,-0.755703410994756,-0.11593868411488414,-0.7311341826343344,-0.18660176810619808,0.0012123463843109609,0.04729210975922658,0.07467730058365965,0.05116207986566247
5,2826.1159363968736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37468831446521234,-0.41991502476225206,-0.22743870821182433,0.0,0.662673872706822,0.11220962827152073,0.0,-1.004090872651083,0.3554903590335264,0.2647280812371588,0.11149151199406156,-0.4246994661619015,-0.1043163836724717,0.0,-0.784779732030543,0.2566060344697219,-0.020749087919480796,-0.04694916696002328,0.0,0.0,-0.3785809905360629,2.2358298465750384,0.6210595290083449,0.31335202981052934,1.2234365372802505,0.2538599952814524,0.017525076659516855,0.0,-0.23605008692161078,0.015797360500179797,-0.3177157448682446,-0.17865265249782789,0.006027246630335643,0.17118238418853443,0.22187469025944132,0.16824917620118907
6,2780.5762295614504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4964449274549366,-0.4456830299983596,-0.23618618252450674,0.0,0.6887059917488978,0.1441067714851193,0.0,-0.9828314015474197,0.372990923015218,0.2855693372771399,0.19507040211884719,-0.3757108068933297,-0.13871849716659967,0.0,-0.855518203983898,0.31546714437524637,-0.022526743503986545,-0.022175953994248047,0.0,0.0,-0.427553036000365,2.2699872677093627,0.6766934873274627,0.3375425961126861,1.24355896869626,0.24426894650391118,0.015082171250908914,0.0,-0.25026044994504393,0.014473091514024481,-0.2667492100860271,-0.17732442758092948,0.008240548781452287,0.2957348660649528,0.2629276206074995,0.20077826803816418
7,2711.415295302356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7832596419809419,-0.5814485203676388,-0.2763851988908845,0.0,0.6544393954638454,0.2791106090277121,0.0,-0.8075109290770797,0.4113797610917891,0.3697010740499818,0.5844116221420252,-0.10223537793835524,-0.30061657263010966,0.0,-1.208182365509763,0.6110446416975672,-0.042306790258858556,0.11058436803302232,0.0,0.0,-0.6705261571169765,2.558349784022201,0.8834816096409948,0.4148559350266952,1.3259438958420302,0.3001405065352469,-0.0012172157402042735,0.0,-0.30488476471634074,0.0035510510570603213,-0.0180648937425007,-0.18115551466869473,0.02191176676690608,1.1455742736247412,0.5018064324894602,0.3787715166198155
8,2585.3690167977497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7411689964595842,-1.210033186206641,-0.4881325501949755,0.0,0.32608204371566074,0.7135905085964409,0.0,-0.2898973593898688,0.6086077467934641,0.6686370163814975,2.0415570336358035,0.7775137404826279,-0.8749433193596527,0.0,-0.6462023881982709,1.8567299104849362,-0.012747281463831354,1.0891737742692276,0.0,0.0,-0.8997869648203747,3.197558303335323,1.7702472516341174,0.7670651100470584,1.6490892787955864,0.24416745330221798,-0.0654883634960283,0.0,-0.1962014196254241,-0.017985843684688814,-0.0857240326116437,-0.1907393580275749,0.03416281787014176,1.6944748669357752,1.3459367729200997,1.01905025434527
9,2455.9146074566543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8984737182254637,-1.1905228435427866,-0.35167757279026796,0.0,0.6776881832516636,0.7394641707559872,0.0,-0.49751377302372496,0.7581142307052354,0.9236872307217825,2.5254445345701217,0.47767785381502825,-0.992490719568328,0.0,0.46464071590711475,2.6954587264493948,-0.21538713292428063,2.1441643419317953,0.0,0.0,-0.6926044503873623,3.2239639329122136,1.9286359873145422,0.6373006129818959,2.1574148823704986,0.11442928807031166,-0.25505130193168923,0.0,-0.1675721225217054,-0.008674348385976666,-0.1463497059129767,-0.16432178274253362,0.058547854534505867,2.717362507615068,2.503389778385002,1.8175088551941916
