Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,b_carD_t.full_purpose_HBR,b_carD_t.full_purpose_HBO,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,b_carP_t.full_purpose_HBR,b_carP_t.full_purpose_HBO,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,b_pt_t.full_purpose_HBR,b_pt_t.full_purpose_HBO,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,b_bike_t.full_purpose_HBR,b_bike_t.full_purpose_HBO,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_walk_t.full_purpose_HBR,b_walk_t.full_purpose_HBO,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_c,g_walk_vgvi,g_walk_vgvi_c,g_walk_vgvi_o,g_walk_stressJct,g_walk_speed,g_walk_speed_c,g_walk_speed_o
0,21249.943505112835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20489.69482077395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.359900183857567E-4,0.0,-6.457755406778573E-5,-5.089366376116686E-4,-4.970850926317918E-5,1.2517913387769658E-4,-5.134364420908939E-4,-5.044603556099457E-4,1.1105387453605454E-4,-4.562643399691011E-6,0.0,-5.081011338897108E-5,0.0,-0.002984979942018966,-5.998202333500647E-4,-1.92104652176012E-4,-0.0011506170989488565,-4.020712425085958E-4,-0.0012113317091698825,-0.0011541127153548412,-4.4418257750743255E-5,-0.0010961864089141073,-2.854946130450533E-4,-3.1857610992033455E-4,-9.747681278833158E-4,-8.750493390479636E-4,-0.0016184148080246653,-2.694212232279418E-4,-1.4862015556811018E-4,0.0,-2.949794613528979E-4,-7.579922026900154E-4,-4.856825655531284E-4,-3.6719424705936336E-4,-4.0353410426709034E-4,-1.0842986591635063E-4,-1.1209576682452883E-4,-4.158649835463848E-4,-4.047961436090482E-4,0.003471300682948902,3.7121461362461626E-4,6.734670744419739E-4,0.001198076356361965,3.7922590841131044E-4,0.0014695154443276454,0.0010189545136488841,0.0016813097933594426,5.076183896285174E-4,1.089373478750894E-4,2.0412158683334803E-4,0.0012819277025643923,8.382908756659895E-4,0.013523254020879007,-0.09474353193653853,-0.1082828202345048,-0.059182191380702055,1.0776330937985572E-5,5.871467927689546E-4,1.1080532418345983E-4,-0.0022430292553702507,-2.0713992490440066E-4,-3.6385296630015183E-4,-1.2684693935073905E-4,-0.0020449225429817943,-1.6877817254625074E-4,-3.6211962725351713E-4
2,20098.752170099084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.375525784591024E-4,0.0,-1.2999094812110357E-4,-8.721572338490131E-4,-1.478953799000302E-4,-1.0405177139950094E-5,-8.6327853732182E-4,-7.8351736143988E-4,2.0955912501515123E-6,-4.3321395086480724E-5,0.0,-2.2639428042626295E-4,0.0,-0.003135722501088436,-6.732286781330951E-4,-1.6611210534923254E-4,-0.001218114969120248,-3.7092371453225384E-4,-0.0012286696318418503,-0.0012672185678672331,1.308044487305104E-4,-0.0012211969207977624,-3.192901481141623E-4,-3.467195327113773E-4,-0.001040017532127411,-9.460866951082812E-4,-0.002345975708855359,-3.983538791217042E-4,-2.155358769213156E-4,0.0,-4.246630058722695E-4,-0.0010921318555762794,-7.017817084278326E-4,-5.322653533708806E-4,-5.857722602885209E-4,-1.5700199968921754E-4,-1.6325892393853012E-4,-6.064575826636284E-4,-5.865987012285988E-4,0.004704321884242645,4.893900528783986E-4,9.278983381608881E-4,0.001621783234509453,5.050394776477129E-4,0.0019915402311934225,0.0013801578635011323,0.002320068491199201,6.707430839919532E-4,1.4231955210578694E-4,2.740372915788901E-4,0.0017513128971329561,0.0011350932300688314,0.011827371755916881,-0.09394707537717378,-0.11208892493965669,-0.046018362554156166,1.59978113808064E-5,8.729310496465956E-4,1.6943079575307567E-4,-0.0027827096567297318,-2.470720214561789E-4,-4.41934764809253E-4,-1.5761201577359256E-4,-0.00253098197152994,-1.982988550894637E-4,-4.394848452378946E-4
3,19834.914005634942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05638755915784483,0.0,-0.006702525961878054,-0.041853008776138755,-0.009421212815531788,-0.00762717195666986,-0.04133570695069202,-0.03386703123548911,-0.007080807539821649,-0.003471887315705253,0.0,-0.016048777440203922,0.0,-0.02653085659535288,-0.011023579369693098,0.0031905243768951064,-0.01164806073961121,0.0034537607275170095,-0.004876884260279098,-0.017980018310649007,0.024186875262403915,-0.019444048396479074,-0.005252125415915829,-0.004518014259002068,-0.010922938018774808,-0.01148182972153907,-0.08243845155491301,-0.013806462530491472,-0.007486986889473842,0.0,-0.015033404141994212,-0.038836766232516966,-0.024493356145298763,-0.01893750067569151,-0.020205871016371106,-0.005502286389184753,-0.0055745393330000155,-0.020904887766227318,-0.020575557396020717,0.10939187416239143,0.005557303180422947,0.02964005648097404,0.03586161336568334,0.006541510635146308,0.04538766314366564,0.03056534331181026,0.0768204869818984,0.005179981357285394,1.6200206850071553E-4,0.00470631758481546,0.04777235916418361,0.02578204115272539,-0.014036143014466599,-0.10632283817682514,-0.47270964616356514,-0.08778723692823967,6.233928753566892E-4,0.03350563243867692,0.0068148195280271434,0.019559547392043266,0.004895158778014568,0.007216891640085991,9.383039871218141E-4,0.021870046942678176,0.0053194050939445745,0.007842711333904068
4,17679.981589000094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5485948056488745,0.0,-0.06104415021487407,-0.3572882307698735,-0.09032136892634787,-0.08559670925093697,-0.3496658361539816,-0.29104935790622233,-0.08305040769074676,-0.033568557899828384,0.0,-0.15642297247865475,0.0,-0.20977954753946992,-0.09101316900303441,0.026995197195486632,-0.0913191673655544,0.029729230753546887,-0.03541605062277653,-0.14303342061320656,0.1977280522027327,-0.15584255908933925,-0.0420484194100577,-0.03593555733619058,-0.08639209089765246,-0.09161931776516372,-0.382696133875952,-0.06224724419375406,-0.03108624532918442,0.0,-0.07356969317125978,-0.19073218164538955,-0.11012717209074949,-0.08860023854067989,-0.08871065449792598,-0.025732389543830555,-0.022973033044950412,-0.08690043792241825,-0.09526595155443532,0.8476159069170313,0.03632828666323645,0.23600145675697895,0.2763525940013963,0.048059742610367925,0.35019375216450815,0.2354624017017396,0.6105629012890789,0.03338995337081153,-8.231311373377982E-4,0.035356159208212945,0.3748546430698279,0.1985550591733008,-1.230815135497573,-0.3523506974014985,-0.999523217455571,-0.30982306747883737,0.0016099898070187702,0.05870414796839672,0.03228359633264785,0.10425417652419249,0.03835144073712224,0.05021981630093242,0.0045902626768149525,0.12832873717064394,0.04255973580795697,0.055479443312241
5,16879.05975243438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6132025976941347,0.0,-0.06451351029542693,-0.44606691727576214,-0.10092310226022305,0.03156035571686007,-0.4488033468981327,-0.4106984150899227,-0.05030367742198173,-0.03354906529437978,0.0,-0.16150168679693924,0.0,-0.3082962111366643,-0.14604580014763047,0.047800599009987316,-0.13353944076977348,0.05418699778917575,-0.04015741798503705,-0.22890923497985635,0.3472208083096571,-0.26179585957362556,-0.06774680710531822,-0.05823044023275761,-0.13340561328218056,-0.13305668526565811,-0.5537010080507655,-0.09441199186044585,-0.040883712088679094,0.0,-0.1087382732094026,-0.27597742235925415,-0.15470023319339976,-0.12138219566004177,-0.1278317988739389,-0.038018035460429395,-0.03171498596188734,-0.11824725119546728,-0.13556890678138428,1.257441278097311,0.04140177872743492,0.36742447264066413,0.3981421637211589,0.0656180526973723,0.500410006881481,0.3355054493983314,0.9475946091654461,0.030376540399529525,-0.007997800425190462,0.0502441130726169,0.5663109182818584,0.29021105970207106,-1.248523368504534,-0.3485027883991775,-0.9884356115073822,-0.372403300151621,0.0012266860285428229,-0.010223315755673479,0.06627803111520063,-0.22261093284116773,0.04445998013296406,0.014471129462799284,-0.014023176729880415,-0.1567000657797538,0.059355368208713316,0.019139388401991107
6,16144.894401550879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7133624517663699,0.0,-0.04654446109218684,-0.8159363039016513,-0.12282390941396484,0.8398482168383965,-0.8937787319522263,-1.0013306507895634,0.1942477369982636,-0.015368239786863708,0.0,-0.10673868969737971,0.0,-0.7824732967063652,-0.4487334260293948,0.17490301243528406,-0.33284375569148184,0.1999877060663034,-0.02320810056653005,-0.6886699191900527,1.2314922616427038,-0.8501419346702177,-0.21056408618218928,-0.1792661675541265,-0.37647730093666476,-0.33929122174938353,-1.3597431276215928,-0.256461539406636,-0.07201143946907544,0.0,-0.2844322311376366,-0.6852020138168511,-0.3567233107732527,-0.24874628470364252,-0.3190405549878884,-0.09998112307114289,-0.0711850123106832,-0.2457850758418461,-0.3218323475813327,2.985419364686658,0.039841662992955024,1.017964849079532,0.8212572787005035,0.09748192520944646,1.0261974108213592,0.6844447496858859,2.5992921993774423,-0.08617970737284165,-0.07503646571597604,0.10128187675553482,1.4722161166462782,0.6550229011429873,-0.4831803718321539,-0.16937831730132083,-0.4355937493748867,-0.33323062292062644,-0.006077951391559956,-0.7412487213251364,0.23305295188694664,0.050218159060765266,0.34099638954544975,0.3636498275725961,7.788296629649902E-4,0.023604882257588833,0.39663495758022516,0.287562401471365
7,15840.332548182254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7379063815348115,0.0,-0.042041125987076496,-0.8951027700997747,-0.1312585763767529,1.0189557107935079,-0.9905200115259537,-1.1326869542336695,0.2449239047844355,-0.010406876283808356,0.0,-0.09441483618380749,0.0,-0.8945580448083569,-0.5207392003370023,0.20497537118428563,-0.3785217754987423,0.23241817530992526,-0.019372560439776483,-0.7934227273627049,1.4329914843534826,-0.9835255137749737,-0.24368078823844608,-0.2067853803089982,-0.43242378528357645,-0.38893644686092194,-1.529697392766636,-0.28877372877719387,-0.07649222114821067,0.0,-0.32363726971747153,-0.7690637247933308,-0.39986970969345226,-0.27013945994914756,-0.3599324038893038,-0.11432390578649064,-0.07981741507127829,-0.2701547940336345,-0.36075626178284115,3.356696781008694,0.041248763058305576,1.1613095975324788,0.9051615658546847,0.10486169466744456,1.1323250236891171,0.7518725534845502,2.9652550486935896,-0.11549864479766127,-0.0915805243758326,0.11164303437066438,1.6715938029019526,0.7314242984673034,-0.3003830748593139,-0.12679597294767417,-0.28129607893242625,-0.31923455183060967,-0.003648790333043595,-0.6337087631612357,0.2837427923726818,0.12691025321274432,0.3981052924867835,0.43171879550766135,0.005514853194234148,0.07475377087349175,0.46411296193413504,0.33769995559050986
8,15348.105671721662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46430113453333194,0.0,7.474991324388641E-4,-0.8120608220421085,-0.12583367730022071,1.3459164881559476,-0.9456612423268612,-1.1836552321872515,0.353961359579125,0.023915852888978496,0.0,0.022117486551334387,0.0,-1.0275738973003534,-0.6246168344549591,0.2536387137693963,-0.42160999795682064,0.26792810243381476,0.001491628304945175,-0.9144322247380124,1.6950704331729693,-1.143890734271301,-0.2873104137589631,-0.2387490779563959,-0.4954915107031177,-0.45405546752176373,-1.7001829951886938,-0.3296000668568461,-0.06970488702338781,0.0,-0.36792971578593997,-0.8391830376261763,-0.4382332771905055,-0.26863455248016294,-0.4035383848767479,-0.13279318679328905,-0.08739300757888027,-0.28206675071267584,-0.3936356388562169,3.51611363834264,0.04534793832945191,1.279388494623299,0.8597162150996523,0.10131781168216442,1.0902267994996127,0.6955701142200424,3.280383219636774,-0.19262777070630588,-0.12727394225202554,0.1078674296766771,1.8164031881844884,0.7418976058064171,-0.378147792554731,-0.12904018752863536,-0.2534024009984525,-0.323339410781769,-0.0016829720995225526,-0.5739584908975272,0.35661944763026804,0.20499991302840342,0.39755962289266783,0.42759351771606297,0.014942832370267865,0.08791009594368124,0.48917312923028783,0.3018310549165201
9,14152.772285410163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6848866334718283,0.0,0.11183522676977233,-0.8663514951755937,-0.6097276027591194,1.5882963098502523,-1.0991620716132338,-1.2674378217967024,0.04713793211195311,0.07950526547389046,0.0,0.18835071312001492,0.0,-1.6602338201840405,-1.1893652257853202,0.5422478929564563,-0.5576248967414741,0.408093018054004,0.1905786929712639,-1.4795098304548426,3.009311975484554,-1.9099382063995516,-0.5124337542221543,-0.38281512131633993,-0.7667627758104645,-0.7831759162261471,-1.8885264503665602,-0.36699307363738654,0.061458681589513176,0.0,-0.48718075965409224,-0.7921534334402465,-0.4692646878874169,-0.02646874044696032,-0.4404570637198234,-0.20436360180616636,-0.07617748611044768,-0.12340676194879321,-0.3843038617392454,3.4041864336812275,0.0636170848913441,1.70489781730766,0.1739529463891034,0.006556701586241193,0.4186312721050871,-0.018988433726585652,4.42525377339659,-0.661832251957869,-0.35662226069316477,0.048261044806661865,2.2331069982180844,0.5363809891635181,-0.3242044581396816,-0.09535760823822687,-0.23889011684405928,-0.3020538562513299,0.0031005109199763316,-0.6412821144879197,0.5427300213412912,0.4659905829802464,0.17262100990681215,0.22888578197982523,0.0712502848357993,-0.12267047539410053,0.44253095709426343,-0.10883336056523868
