| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| g_walk_vgvi                    |  0,5499443 | 0,12145 |   4,52803   | 0,00001 *** |
| g_walk_stressJct               |  8,4911153 | 1,75001 |   4,85205   | 0,00000 *** |
| g_walk_stressJct_d             |  11,4482961 | 7,94161 |   1,44156   | 0,14943     |
| g_walk_speed                   | -0,1660576 | 0,13524 |  -1,22792   | 0,21948     |
| g_walk_speed_d                 |  0,7226689 | 0,34470 |   2,09652   | 0,03604 *   |


Iterations: 121

Start LL = 21249.943505112835
Final LL = 10883.19046089911

BIKE DETOURS: min=1,00  25perc=1,03  med=1,11  mean=1,16  75perc=1,22  max=3,22
BIKE OVERLAP: min=0,00  25perc=0,17  med=0,42  mean=0,48  75perc=0,79  max=1,00
WALK DETOURS: min=1,00  25perc=1,00  med=1,01  mean=1,03  75perc=1,04  max=1,66
WALK OVERLAP: min=0,00  25perc=0,43  med=0,77  mean=0,68  75perc=1,00  max=1,00
