ID,diary.household.id,diary.person.id,diary.trip.id,carD,carP,pt,bike,walk
BL35006Q11,BL35006Q,1,1,0.0012737553730158464,0.01256255405089532,0.0417805547975588,0.003544108791566719,0.9408390269869633
BL35006Q12,BL35006Q,1,2,0.0012547467313641977,0.012375079208204338,0.04357710612562527,0.0035657544350025947,0.9392273134998037
BL35006Q21,BL35006Q,2,1,9.47747424189331E-4,0.03197402643218263,0.05190774492254155,9.65580754069338E-4,0.9142049004670172
BL35006Q22,BL35006Q,2,2,9.334353902370951E-4,0.03149118328198519,0.05412999055120813,9.713026934452761E-4,0.9124740880831242
BL35007P11,BL35007P,1,1,2.810810718069795E-4,0.004452502095866354,0.0164761981187051,0.008656725025219589,0.970133493688402
BL35007P12,BL35007P,1,2,2.5622780994709343E-4,0.004058810696410437,0.010489093815876552,0.008591608746773236,0.9766042589309926
BL35007P13,BL35007P,1,3,4.6978252030328507E-4,0.007441652484120832,0.02541028958017047,0.009039056546505277,0.9576392188689001
BL35007P14,BL35007P,1,4,4.379124666396308E-4,0.00693681066101067,0.021134461390394276,0.009969561365933969,0.9615212541160214
BL35010O11,BL35010O,1,1,0.6205798362533061,0.34458128214088823,0.03102711832273469,0.0022630251129268555,0.0015487381701441334
BL35010O12,BL35010O,1,2,0.6254513124725004,0.34728620328635007,0.020903057995190218,0.003791295878207608,0.0025681303677516786
BL35010O21,BL35010O,2,1,0.8304708061012851,0.13480487242239575,0.02486662105232731,0.008270677958091296,0.001587022465900738
BL35010O22,BL35010O,2,2,0.8319207155718027,0.13504022670548577,0.016651251507745855,0.013772130743231347,0.002615675471734506
BL35012L11,BL35012L,1,1,0.02397342356253602,0.5146500700452913,0.3983504840962482,0.05928331495602597,0.0037427073398987763
BL35012L12,BL35012L,1,2,0.029091973835238646,0.6245326760696303,0.32274573764509645,0.02139741257309459,0.002232199876940075
BL35012L21,BL35012L,2,1,0.0,0.6957583046177784,0.30338107427429645,8.511446267897043E-4,9.476481135371446E-6
BL35012L22,BL35012L,2,2,0.0,0.7743459404828258,0.22543282238602552,2.180091355406972E-4,3.227995607981188E-6
BL35012L31,BL35012L,3,1,0.0,0.6957583046177784,0.30338107427429645,8.511446267897043E-4,9.476481135371446E-6
BL35012L32,BL35012L,3,2,0.0,0.7743459404828258,0.22543282238602552,2.180091355406972E-4,3.227995607981188E-6
BL35013O11,BL35013O,1,1,0.00204978183827843,0.023696031465889205,0.0507037543027331,0.009003257039333678,0.9145471753537656
BL35013O12,BL35013O,1,2,0.0024475474969259787,0.028294309871594425,0.06185235700545694,0.009453194694378926,0.8979525909316437
BL35013O21,BL35013O,2,1,0.0015012262526169916,0.05936451582809534,0.062005469813500226,0.0024144217307076926,0.8747143663750797
BL35013O22,BL35013O,2,2,0.001775333851153029,0.07020383125008944,0.07491288711823962,0.0025107442715276125,0.8505972035089903
BL35018Q21,BL35018Q,2,1,0.4997324344643713,0.14942303702568102,0.014435433172011935,0.008839601208293305,0.3275694941296423
BL35018Q22,BL35018Q,2,2,0.43882557438173636,0.1312115154561432,0.013967599350532258,0.010736752214701611,0.4052585585968865
BL35020Q11,BL35020Q,1,1,0.003252072839751305,0.16836097540226158,0.8255092288838596,0.0028777228732011773,9.261465240652567E-13
BL35020Q13,BL35020Q,1,3,0.004573299172343446,0.1542887745053651,0.8410371542608516,1.0077206130640169E-4,1.3338594430918087E-13
BL35024E11,BL35024E,1,1,0.12608680758925034,0.028044998629985635,0.014781402762376767,0.015818938159972207,0.8152678528584151
BL35024E12,BL35024E,1,2,0.10508558229495163,0.023373777699994835,0.013689199757015843,0.014454021034324317,0.8433974192137134
BL35024E13,BL35024E,1,3,0.8158942845092189,0.11826145368523053,0.04968784758590688,0.014731209454193981,0.001425204765449902
BL35024E14,BL35024E,1,4,0.8099878208301895,0.11740532931460673,0.04448881504228417,0.024846862647001776,0.003271172165917881
BL35039Q13,BL35039Q,1,3,0.0027900649964855803,0.05348406413103741,0.060590235319293556,0.009160650338488334,0.8739749852146952
BL35041G11,BL35041G,1,1,0.29426612624271814,0.07856848815806612,0.0054715253816006995,0.006762475142626608,0.6149313850749883
BL35041G12,BL35041G,1,2,0.29004383887532714,0.07744114557446487,0.00696113116713837,0.005340028557410775,0.6202138558256588
BL35041G21,BL35041G,2,1,0.2566320918084676,0.22393796395239546,0.007576593465691966,0.0013221490880347226,0.5105312016854103
BL35041G22,BL35041G,2,2,0.2600134052365374,0.22688850859874457,0.009908474288498425,0.0010731976926582748,0.5021164141835612
BL35043B15,BL35043B,1,5,0.5465843858410571,0.06665050703929119,0.010096251564482692,0.009487377845724532,0.36718147770944437
BL35043B17,BL35043B,1,7,0.3014747353245857,0.05641227456485236,0.012720122470903091,0.015038661523825438,0.6143542061158334
BL35043B21,BL35043B,2,1,0.6549094253788922,0.27317457734159195,0.0672910123035601,0.0017759510355485318,0.002849033940407184
BL35043B22,BL35043B,2,2,0.6501362449912874,0.2711835973916474,0.07584353726413612,9.004493195979906E-4,0.001936171033330931
BL35043B23,BL35043B,2,3,0.42888806566181187,0.1788969764730989,0.013228124663409422,0.0027258873864094454,0.3762609458152705
BL35043B27,BL35043B,2,7,0.22778665105789955,0.1458020937459811,0.016047966727661754,0.00416065306844454,0.606202635400013
BL35043B31,BL35043B,3,1,0.15933423982397082,0.2764269991783373,0.11174869499084918,0.11444414840470984,0.3380459176021329
BL35043B32,BL35043B,3,2,0.18876646420329424,0.32748860071048885,0.13271683809654117,0.07161242938326118,0.2794156676064147
BL35043B33,BL35043B,3,3,0.04075400158774906,0.07070361258105329,0.022647300060719276,0.02559981567458845,0.84029527009589
BL35043B34,BL35043B,3,4,0.04309893005515595,0.07477179993519176,0.02328395962067372,0.025327146877149924,0.8335181635118286
BL35043B41,BL35043B,4,1,0.0,0.9320411983651892,0.06773776941126505,1.7562788896157558E-4,4.540433458414728E-5
BL35043B42,BL35043B,4,2,0.0,0.9236991314626782,0.07621925462554989,5.379978312264325E-5,2.7814128649289408E-5
BL35043B43,BL35043B,4,3,0.0,0.9410961231562777,0.03933714494807222,0.009181609213551302,0.010385122682098766
BL35043B45,BL35043B,4,5,0.0,0.5274415206764185,0.01712811496627136,0.031000797566035306,0.4244295667912749
BL35044L11,BL35044L,1,1,0.8357745918435667,0.13566580113306353,0.020502763405951797,0.008020644396745234,3.619922067275677E-5
BL35044L12,BL35044L,1,2,0.8424094228245943,0.13674278967663495,0.016202881640530308,0.004626634166151064,1.827169208935396E-5
BL35045C11,BL35045C,1,1,0.7884277887093085,0.1770952697767496,0.031138760879345164,9.81481726362226E-4,0.0023566989082343757
BL35045C12,BL35045C,1,2,0.78269760870737,0.17580816677525107,0.037277965997720486,0.0011137591364403815,0.0031024993832180843
BL35045C13,BL35045C,1,3,0.6391419627579781,0.22030219403052914,0.02956808714419452,0.023001471057492884,0.08798628500980543
BL35045C14,BL35045C,1,4,0.6785527723567932,0.2338864809793523,0.02904166064497076,0.010804914650954947,0.04771417136792871
BL35045C21,BL35045C,2,1,0.6849352904293106,0.28569890922110086,0.027062869363343754,2.8987340371899325E-4,0.0020130575825258777
BL35045C22,BL35045C,2,2,0.6806670064135195,0.28391853068812595,0.03243230346474823,3.2928390549540385E-4,0.0026528755281108735
BL35045C23,BL35045C,2,3,0.5452693779862972,0.34901701481077124,0.025236080288496245,0.0066712608229910954,0.07380626609144425
BL35045C24,BL35045C,2,4,0.5690053398632119,0.3642099724430835,0.024363464959238447,0.003080296944981758,0.03934092578948445
BL35046C13,BL35046C,1,3,0.49670513110613596,0.4334264470229661,0.06985857101152831,9.850859369613679E-6,3.3441867858382304E-18
BL35046C21,BL35046C,2,1,0.6396498061091979,0.25039328818515266,0.09998843418958153,0.009962694489237083,5.777026830888174E-6
BL35050C11,BL35050C,1,1,0.33092810386424254,0.3022418352237444,0.038717251243292936,0.0017362024795405395,0.32637660718917955
BL35050C12,BL35050C,1,2,0.3562748092019362,0.3253913793352435,0.04284626552502281,9.56598043582256E-4,0.27453094789421534
BL35050C21,BL35050C,2,1,0.47469917748596063,0.1267437648402196,0.03326120428181495,0.006801586538668083,0.3584942668533369
BL35050C22,BL35050C,2,2,0.5164225059485331,0.13788381306827435,0.0371947500033471,0.0037868191144067647,0.3047121118654388
BL35055L11,BL35055L,1,1,0.6460510155095468,0.32032360115635095,0.033611706002153276,1.3677331948993857E-5,1.5647890948519311E-21
BL35056L11,BL35056L,1,1,0.012738196885810665,0.13149342480204498,0.7332182866622781,0.04418995341294096,0.07836013823692509
BL35056L12,BL35056L,1,2,0.015317387734571598,0.15811780821846474,0.7491929505862134,0.021420912464401455,0.055950940996348744
BL35056L13,BL35056L,1,3,0.0014544118987207216,0.015013553593967834,0.06448415718348939,0.006616005129950788,0.9124318721938712
BL35056L14,BL35056L,1,4,0.0014544118987207216,0.015013553593967834,0.06448415718348939,0.006616005129950788,0.9124318721938712
BL35061H13,BL35061H,1,3,0.5709250158168024,0.2666920126945376,0.01670813406047872,0.001215083547837928,0.14445975388034327
