| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| b_pt_time                      | -0,0480317 | 0,00336 |  -14,30615  | 0,00000 *** |
| b_bike_cost                    | -0,0606083 | 0,02434 |  -2,48962   | 0,01279 *   |
| b_walk_cost                    | -0,1133652 | 0,00660 |  -17,18088  | 0,00000 *** |
| g_bike_grad                    |  40,6703161 | 23,40488 |   1,73769   | 0,08227 .   |
| g_bike_vgvi                    |  0,0000000 |         |             |             |
| g_bike_stressLink              |  0,2858574 | 0,59020 |   0,48434   | 0,62814     |
| g_bike_stressLink_f            |  1,8203306 | 0,97322 |   1,87042   | 0,06143 .   |
| g_bike_stressLink_c            |  4,1694574 | 2,04137 |   2,04248   | 0,04110 *   |
| g_bike_stressJct               |  0,0000000 |         |             |             |
| g_bike_stressJct_f             |  0,0000000 |         |             |             |
| g_bike_stressJct_c             |  0,0000000 |         |             |             |
| g_walk_grad                    |  0,0000000 |         |             |             |
| g_walk_vgvi                    |  0,5434038 | 0,14355 |   3,78551   | 0,00015 *** |
| g_walk_stressLink              |  0,0000000 |         |             |             |
| g_walk_stressLink_f            |  0,0000000 |         |             |             |
| g_walk_stressLink_c            |  3,0906126 | 1,43611 |   2,15207   | 0,03139 *   |
| g_walk_stressJct               |  3,3512469 | 1,14734 |   2,92089   | 0,00349 **  |
| g_walk_stressJct_f             |  0,0000000 |         |             |             |
| g_walk_stressJct_c             |  4,2896437 | 2,73777 |   1,56684   | 0,11715     |


Iterations: 130

Start LL = 21249.943505112835
Final LL = 10990.56737765506
