ID,diary.household.id,diary.person.id,diary.trip.id,carD,carP,pt,bike,walk
BL35006Q11,BL35006Q,1,1,8.875100952302016E-4,0.00851454384640561,0.03270821150746297,0.006294289079927932,0.9515954454709732
BL35006Q12,BL35006Q,1,2,8.803433353838748E-4,0.008445787793628113,0.034429158495571204,0.0063792287350901335,0.9498654816403267
BL35006Q21,BL35006Q,2,1,6.798689941549332E-4,0.022383085801747114,0.0419292263804569,0.001861055608652097,0.933146763214989
BL35006Q22,BL35006Q,2,2,6.741439802010004E-4,0.02219460319752663,0.044119959637366646,0.0018855128049289674,0.9311257803799768
BL35007P11,BL35007P,1,1,2.3121001405651957E-4,0.003406476404873201,0.014625378124821377,0.010728887556731508,0.9710080478995173
BL35007P12,BL35007P,1,2,2.146948453862301E-4,0.0031631541913981,0.009351268482979383,0.010809268970460329,0.976461613509776
BL35007P13,BL35007P,1,3,3.960574806123975E-4,0.005835216386215238,0.02306704704053775,0.013045454015849377,0.9576562250767853
BL35007P14,BL35007P,1,4,3.77022829172693E-4,0.005554773987260624,0.01950534432545894,0.012676585545504519,0.9618862733126031
BL35010O11,BL35010O,1,1,0.6078935733916756,0.3601889832641288,0.02844226973542551,0.0020977620003335357,0.001377411608436611
BL35010O12,BL35010O,1,2,0.611848143197565,0.362532144205415,0.018826371422968613,0.004499631960609879,0.0022937092134415176
BL35010O21,BL35010O,2,1,0.8255375541934955,0.1425387900702974,0.02308157364582149,0.007380822564132119,0.0014612595262534574
BL35010O22,BL35010O,2,2,0.8243813162271375,0.1423391519558096,0.01515803823174296,0.015707271672962115,0.002414221912347808
BL35012L11,BL35012L,1,1,0.023797867432519677,0.5498451856620817,0.3717743131356572,0.051622968750577265,0.0029596650191641323
BL35012L12,BL35012L,1,2,0.028442340124767318,0.657154840907984,0.292143766923399,0.020750482195931664,0.001508569847918067
BL35012L21,BL35012L,2,1,0.0,0.6836322293097518,0.3060045700096102,0.010352777892567042,1.0422788071092078E-5
BL35012L22,BL35012L,2,2,0.0,0.768783762144527,0.22625570855270621,0.004956934127454874,3.5951753118147028E-6
BL35012L31,BL35012L,3,1,0.0,0.6836322293097518,0.3060045700096102,0.010352777892567042,1.0422788071092078E-5
BL35012L32,BL35012L,3,2,0.0,0.768783762144527,0.22625570855270621,0.004956934127454874,3.5951753118147028E-6
BL35013O11,BL35013O,1,1,0.0017802293628303662,0.017079063154257692,0.08076643312009035,0.011939876282812947,0.8884343980800087
BL35013O12,BL35013O,1,2,0.002096700467237278,0.020115205626410792,0.09726386790276645,0.011025497591948005,0.8694987284116374
BL35013O21,BL35013O,2,1,0.0012375823244457607,0.05090274013777232,0.052943298606936716,0.0032037505691336,0.8917126283617115
BL35013O22,BL35013O,2,2,0.0014563749475213308,0.05990185382620107,0.06370452744814352,0.002955940840017213,0.8719813029381169
BL35018Q21,BL35018Q,2,1,0.45310180933909766,0.1392697216472547,0.013417069598680043,0.01172945565835396,0.38248194375661365
BL35018Q22,BL35018Q,2,2,0.3942327302565136,0.1211751563895691,0.012912855373923586,0.014203918095728931,0.4574753398842648
BL35020Q11,BL35020Q,1,1,0.0034924297710717425,0.19232114086228838,0.8039892965810888,1.971327798861608E-4,5.6649554200942114E-12
BL35020Q13,BL35020Q,1,3,0.004922449109303135,0.17651024561876705,0.8185562692590472,1.1036011957451345E-5,9.251969830270291E-13
BL35024E11,BL35024E,1,1,0.11653787778269446,0.024734415955112925,0.012685054846022307,0.021556654046471908,0.8244859973696984
BL35024E12,BL35024E,1,2,0.10050580054351453,0.02133171054633757,0.012203134157076056,0.020027047175997077,0.8459323075770748
BL35024E13,BL35024E,1,3,0.8206326489971576,0.11341557157809777,0.04679372623878094,0.017815631907706467,0.001342421278257367
BL35024E14,BL35024E,1,4,0.8063778353327021,0.11144548442464475,0.04129536072836262,0.03819945431324456,0.002681865201045837
BL35039Q13,BL35039Q,1,3,0.0027938237619888895,0.05166888068255304,0.059220385228847254,0.011350667811383655,0.874966242515227
BL35041G11,BL35041G,1,1,0.27175968814796136,0.06686111386672063,0.005193697360268924,0.009409025989480062,0.646776474635569
BL35041G12,BL35041G,1,2,0.27934277594111345,0.06872678312714174,0.006960836632592895,0.007724920457588774,0.6372446838415632
BL35041G21,BL35041G,2,1,0.3065017155083115,0.28185262338458866,0.0076720294767360815,8.589236240372155E-4,0.4031147080063265
BL35041G22,BL35041G,2,2,0.313011584260814,0.287838963730969,0.010215747651285134,7.006142848223308E-4,0.38823309007210954
BL35043B15,BL35043B,1,5,0.5582659284693424,0.06576297933949307,0.009300884279003906,0.011595567578228841,0.3550746403339318
BL35043B17,BL35043B,1,7,0.31234773016938655,0.05650532431239998,0.01175724342973377,0.019177207988779383,0.6002124940997002
BL35043B21,BL35043B,2,1,0.6653657188355615,0.2689722141308649,0.06228599591876329,0.001398419749696326,0.0019776513651140926
BL35043B22,BL35043B,2,2,0.6603305079804697,0.2669367443524098,0.07053564672762327,7.532381470595844E-4,0.00144386279243779
BL35043B23,BL35043B,2,3,0.4435905544806121,0.17932022980534024,0.012367260996106336,0.0035562633130329703,0.36116569140490845
BL35043B27,BL35043B,2,7,0.23995961695735538,0.14896897078805757,0.015115183863600857,0.005686511420485788,0.5902697169705005
BL35043B31,BL35043B,3,1,0.17503547232309233,0.3027116562006796,0.11805143615962799,0.12213920703742966,0.2820622282791705
BL35043B32,BL35043B,3,2,0.20389983289777464,0.3526305570884223,0.13787227842056765,0.08010992314698268,0.22548740844625276
BL35043B33,BL35043B,3,3,0.04043928917530999,0.06993693357904168,0.02148680121679478,0.033445641216389856,0.8346913348124637
BL35043B34,BL35043B,3,4,0.04255392915463123,0.07359405611490641,0.021956532771416782,0.03288498998682814,0.8290104919722174
BL35043B41,BL35043B,4,1,0.0,0.9332137121434236,0.06452559734890562,0.0022018883338602454,5.880217381033306E-5
BL35043B42,BL35043B,4,2,0.0,0.9259962269891191,0.07305962483485647,9.114699770867388E-4,3.2678198937640654E-5
BL35043B43,BL35043B,4,3,0.0,0.9374216685255952,0.03679635697571597,0.013914739822407833,0.011867234676281107
BL35043B45,BL35043B,4,5,0.0,0.5523465191897442,0.016733899867330725,0.017420063045980844,0.41349951789694434
BL35044L11,BL35044L,1,1,0.8284341225916405,0.14303891674864186,0.018788630167204518,0.009708418074671904,2.99124178410597E-5
BL35044L12,BL35044L,1,2,0.8370428654667652,0.14452531768487226,0.014748075656089826,0.0036687463781659066,1.4994814106588157E-5
BL35045C11,BL35045C,1,1,0.7987373295652018,0.1674977650754781,0.032111658695393897,6.896497373099729E-4,9.635969266162491E-4
BL35045C12,BL35045C,1,2,0.792879910088841,0.16626944553276427,0.038725574620101254,7.283409585432924E-4,0.0013967287997502544
BL35045C13,BL35045C,1,3,0.6592204903793376,0.21229823967376446,0.031011267145295316,0.029943151473891386,0.06752685132771133
BL35045C14,BL35045C,1,4,0.6972993959805036,0.22456133638542639,0.030252469015207572,0.01344684904112784,0.03443994957773464
BL35045C21,BL35045C,2,1,0.693571081184182,0.2803741522627973,0.025131513373927498,1.8517700048426315E-4,7.380761786089634E-4
BL35045C22,BL35045C,2,2,0.6896047231686825,0.27877076322837024,0.03035705182174852,1.9588402625742376E-4,0.001071577754941267
BL35045C23,BL35045C,2,3,0.5657353905164602,0.3512133413623271,0.023986731275683598,0.007946056196074924,0.05111848064945404
BL35045C24,BL35045C,2,4,0.5849861839078179,0.36316439760556884,0.0228747340127475,0.003488336118433909,0.02548634835543173
BL35046C13,BL35046C,1,3,0.48983935360309383,0.45044611453830263,0.059713791486689774,7.403719134521259E-7,1.280549632490755E-16
BL35046C21,BL35046C,2,1,0.6431919984152996,0.2646877398985104,0.08752252598664353,0.004586048062320198,1.1687637226276538E-5
BL35050C11,BL35050C,1,1,0.3399379844720544,0.28700859763370024,0.04168245843805874,0.0024820094620181727,0.3288889499941685
BL35050C12,BL35050C,1,2,0.3740365363107463,0.31579790036420313,0.047190476880329596,0.0013863312007444796,0.26158875524397646
BL35050C21,BL35050C,2,1,0.47755150229491183,0.11749213280955526,0.03499175523848264,0.009033649200983377,0.360930960456067
BL35050C22,BL35050C,2,2,0.5326624297863476,0.13105109007587087,0.0401591291755893,0.005114984302781958,0.29101236665941027
BL35055L11,BL35055L,1,1,0.6566601435230708,0.31143770564587964,0.03190058129603484,1.5695350145402867E-6,6.953824091370641E-22
BL35056L11,BL35056L,1,1,0.011960506358701498,0.11474602527192915,0.7460876688457739,0.06849871928267609,0.05870708024091933
BL35056L12,BL35056L,1,2,0.014777310803108495,0.1417697234558159,0.77835187219892,0.02654010668905716,0.03856098685309862
BL35056L13,BL35056L,1,3,0.0012304613708738383,0.011804730278472127,0.05886383413228649,0.008348653697639463,0.9197523205207281
BL35056L14,BL35056L,1,4,0.0012304613708738383,0.011804730278472127,0.05886383413228649,0.008348653697639463,0.9197523205207281
BL35061H13,BL35061H,1,3,0.5588735308856078,0.2822493024347981,0.014612922335216997,0.0014858978419133848,0.1427783465024637
BL35061H21,BL35061H,2,1,0.8478980179003748,0.09988125190814255,0.008536173999728391,0.01000976650950957,0.03367478968224471
BL35061H23,BL35061H,2,3,0.8260479949246415,0.0973073484398432,0.01259610254991846,0.004007493412301501,0.06004106067329523
BL35061H33,BL35061H,3,3,0.0,0.8783121608962553,0.021760430999854294,0.005922480341937894,0.0940049277619523
BL35061H43,BL35061H,4,3,0.0,0.8783121608962553,0.021760430999854294,0.005922480341937894,0.0940049277619523
BL35065N11,BL35065N,1,1,0.0013269338907920536,0.047581482669046694,0.08665496667012029,7.187777884039002E-4,0.863717838981637
BL35065N12,BL35065N,1,2,0.0013269338907920536,0.047581482669046694,0.08665496667012029,7.187777884039002E-4,0.863717838981637
BL35067P11,BL35067P,1,1,0.46495242736698267,0.4904289178457245,0.03775552334860991,0.0036764755360538296,0.003186655902629026
BL35067P12,BL35067P,1,2,0.46568387899977204,0.49120044846178523,0.03873053505096223,0.0022384562820370276,0.0021466812054434913
BL35067P31,BL35067P,3,1,0.049816310210809275,0.06581842827467349,0.040235979373570506,0.008776457365775456,0.8353528247751711
BL35067P32,BL35067P,3,2,0.04868845854954302,0.06432828532034009,0.0408416010004528,0.009173838879644486,0.8369678162500196
BL35070B11,BL35070B,1,1,0.16218197528779338,0.21028507885136666,0.05281838649973251,0.008896735759428759,0.5658178236016786
BL35070B12,BL35070B,1,2,0.2069988480237521,0.2683946166124478,0.0,0.007353390825480558,0.5172531445383196
BL35070B21,BL35070B,2,1,0.22522731618997918,0.08509818437455963,0.04383242395319243,0.03201020360772985,0.6138318718745389
BL35070B22,BL35070B,2,2,0.292234245559084,0.11041557538327457,0.0,0.02689614865025807,0.5704540304073834
BL35070B31,BL35070B,3,1,0.04009874965287362,0.08136121799432325,0.0576133309034048,0.05746719146641024,0.7634595099829882
BL35070B32,BL35070B,3,2,0.056837515611477644,0.11532453101289618,0.0,0.05274919576956679,0.7750887576060594
BL35070B41,BL35070B,4,1,0.0,0.525216822908978,0.03776667014470029,0.03466630726197601,0.40235019968434566
BL35070B42,BL35070B,4,2,0.0,0.6162938863089898,0.0,0.026703247566616354,0.3570028661243938
BL35072B21,BL35072B,2,1,0.6984257777139083,0.2823366496346474,0.018080247340714627,0.0011547602433212292,2.5650674085126207E-6
BL35072B22,BL35072B,2,2,0.7020533845744704,0.28380309947067023,0.01395686400449533,1.859681868047784E-4,6.837635592660877E-7
BL35074B11,BL35074B,1,1,0.7435246183648703,0.19924062017954286,0.05527850648713332,0.0019497391294307108,6.515839022744129E-6
BL35074B12,BL35074B,1,2,0.7577385717247734,0.20304950130154015,0.038417652024179315,7.907681166818018E-4,3.5068328252678606E-6
BL35074B13,BL35074B,1,3,0.7460420532275495,0.19991521153928135,0.052230687150370395,0.0018060125640144058,6.035518784303827E-6
BL35074B14,BL35074B,1,4,0.7653049841884811,0.20507705583647762,0.028795375131115245,8.189530190345888E-4,3.631824891415483E-6
BL35094L11,BL35094L,1,1,0.5160974280185596,0.2606459798083509,0.01811885794128995,0.002888438019861852,0.20224929621193757
BL35094L12,BL35094L,1,2,0.5405334808186331,0.2729869809041647,0.017654687181122276,0.0025144475200941925,0.1663104035759859
BL35095L11,BL35095L,1,1,0.008545099355053076,0.08928924720159308,0.33372508977767845,0.013519904055979933,0.5549206596096955
BL35095L12,BL35095L,1,2,0.009478959606284455,0.09904731733738756,0.36450971989474246,0.01274783790116485,0.5142161652604207
BL35095L21,BL35095L,2,1,0.002824349695169174,0.09298506345283258,0.23584175456722153,0.008224971807264364,0.6601238604775124
BL35095L22,BL35095L,2,2,0.003142376078797752,0.1034553333036086,0.2583670275198993,0.007778457396279487,0.6272568057014147
BL35105G11,BL35105G,1,1,0.4802637561173623,0.40548521622734124,0.10487904714726866,0.0021657579461574284,0.007206222561870563
BL35105G14,BL35105G,1,4,0.46869427819999193,0.3957171415075492,0.09150190314731092,0.0022080440152312014,0.041878633129916625
BL35105G21,BL35105G,2,1,0.6261987842696182,0.2576946562517707,0.0353042029661018,0.0036365500674292064,0.07716580644508012
BL35105G22,BL35105G,2,2,0.5284699664147358,0.21747708516149777,0.09100905865634565,0.01116857957522858,0.15187531019219233
BL35108O11,BL35108O,1,1,0.004975046100763254,0.047729314168365136,0.3011209478709909,0.025394892251435066,0.6207797996084455
BL35111O11,BL35111O,1,1,0.6914909781592087,0.17012772329699086,0.050259680647731814,0.01459191715928875,0.07352970073677986
BL35111O12,BL35111O,1,2,0.6980084668436655,0.17173122290367004,0.04389337331117762,0.016568850133015123,0.06979808680847177
BL35112M11,BL35112M,1,1,0.4099519889163318,0.2985892667620954,0.04793958007966819,0.011543720379607296,0.23197544386229726
BL35112M31,BL35112M,3,1,0.6470606294252383,0.11172264514423377,0.006930258072119163,0.015541146366137166,0.21874532099227142
BL35116P11,BL35116P,1,1,0.8125685925470124,0.11230107829946827,0.0735836562939662,0.0015466693690553298,3.490497617924631E-9
BL35116P12,BL35116P,1,2,0.787965550115132,0.10890081373117237,0.10222130502863247,9.123286325857053E-4,2.492477363531455E-9
BL35117P11,BL35117P,1,1,0.0016899861434225081,0.00910765457306283,0.0346148637656962,0.009532554376685301,0.9450549411411331
BL35117P12,BL35117P,1,2,0.0016667551769554143,0.0089824585063352,0.0384103792098828,0.009913772075666454,0.9410266350311601
BL35120L21,BL35120L,2,1,0.0011040286122584232,0.013232464958115394,0.029626828809946867,0.007976511424176495,0.9480601661955028
BL35120L22,BL35120L,2,2,0.0011147201515568552,0.013360609661562368,0.031027088253654897,0.008031363308436717,0.9464662186247892
BL35120L33,BL35120L,3,3,0.0,0.024599324061108846,0.008924528049217248,0.009645237561934382,0.9568309103277395
BL35120L34,BL35120L,3,4,0.0,0.024854836584245706,0.010042256391414497,0.009885002329936662,0.9552179046944033
BL35124M21,BL35124M,2,1,0.03531537273533423,0.1601202959527838,0.03813144243261501,0.002832806660512077,0.7636000822187549
BL35124M22,BL35124M,2,2,0.03769905320598738,0.17092792993355083,0.045554130357568445,0.0030523445670756896,0.7427665419358176
BL35124M31,BL35124M,3,1,0.0,0.9635822428095908,0.036416615442391706,1.1417480173669876E-6,5.567150114655825E-24
BL35125M11,BL35125M,1,1,0.6448731350310813,0.30584741831478207,0.03778944958586374,0.00177458305467756,0.009715414013595047
BL35125M12,BL35125M,1,2,0.6189838546656972,0.293568771350525,0.07021160851576908,0.0032582851911634662,0.013977480276845212
BL35125M21,BL35125M,2,1,0.8388407606918562,0.11593202446080444,0.029374310984290893,0.005980546055415221,0.009872357807633231
BL35125M22,BL35125M,2,2,0.8082334303276094,0.11170193701304956,0.05478457449255401,0.011022645790950464,0.014257412375836732
BL35126M21,BL35126M,2,1,0.36363769840206744,0.3070181934131683,0.022961535020728552,0.004499854099467256,0.3018827190645684
BL35126M22,BL35126M,2,2,0.3676794827193093,0.31043065951527526,0.02172879078858552,0.004173954616986207,0.2959871123598436
BL35130C14,BL35130C,1,4,0.7914810969293267,0.0932354141111103,0.01593016790604532,0.007507783791337451,0.09184553726218019
BL35130C31,BL35130C,3,1,0.0,0.9517417229561567,0.006451471173646737,0.00498801317269425,0.03681879269750245
