"","Estimate","Std.err.","t-ratio(0)","p(1-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"carD.asc",0,NA,NA,NA,NA,NA,NA
"carP.asc",-2.73564009327101,0.302203666177619,-9.05230610823612,0,6.71247825129391,-0.407545468433164,0.683607406377561
"pt.asc",-3.36153067180858,18.7185218393899,-0.179583126309408,0.428739926281956,6150.54817983692,-0.000546541637187486,0.999563922887562
"bike.asc",8.32505636173676,7.69119800792379,1.08241347487868,0.139534421715317,1628.70544826796,0.0051114560773343,0.995921665871775
"walk.asc",18.9226604165743,19.0985390918547,0.99079098802089,0.160893825359591,7309.09877083696,0.00258891841660083,0.997934344273725
"carD.p.age_group_agg_5_14",0,NA,NA,NA,NA,NA,NA
"carP.p.age_group_agg_5_14",17.9153229511179,1.65271032348994,10.839965538115,0,28.2344814852838,0.634519283113296,0.525741986447959
"pt.p.age_group_agg_5_14",15.8136827774991,39.8025391055333,0.397303366390028,0.345571882615404,14915.1881859513,0.00106024024506738,0.999154050836209
"bike.p.age_group_agg_5_14",14.5308999456086,6.41882587331094,2.26379406957076,0.011793391724813,354.21641754168,0.0410226607971914,0.96727783036214
"walk.p.age_group_agg_5_14",15.8450881148263,7.9961599299161,1.98158719356586,0.0237627308311367,1269.06136939689,0.0124856752375627,0.990038131326837
"carD.p.age_group_agg_15_24",0,NA,NA,NA,NA,NA,NA
"carP.p.age_group_agg_15_24",1.75818575532731,0.150885352437572,11.6524614677541,0,1.76976118300366,0.99345932785309,0.32048616174795
"pt.p.age_group_agg_15_24",1.87473582572628,6.16839516840273,0.303926025253621,0.380592124901346,1572.29884936335,0.00119235336620987,0.999048639883506
"bike.p.age_group_agg_15_24",1.84860850357948,0.834404323299792,2.21548289235709,0.0133634686539186,40.1257513494936,0.0460703772866004,0.963254156429843
"walk.p.age_group_agg_15_24",1.86314451518067,0.958781150356569,1.94324274573793,0.0259934177948065,132.619245266724,0.0140488245988243,0.988791028474516
"carD.p.age_group_agg_25_39",0,NA,NA,NA,NA,NA,NA
"carP.p.age_group_agg_25_39",0.288007529880191,0.0197642842582299,14.5721204025015,0,0.174727750708394,1.64832162442732,0.0992866895706621
"pt.p.age_group_agg_25_39",0.444695189639719,1.30726994369924,0.34017089720685,0.366863916684522,381.518319138198,0.00116559328171772,0.999069991326928
"bike.p.age_group_agg_25_39",0.857013343499198,0.417337084018752,2.05352789463754,0.0200107036114175,21.5071383600952,0.0398478555886969,0.968214423263649
