,carD,carP,pt,bike,walk
asc,0 [ NA  ],-2.7356 [ 0 *** ],-3.3615 [ 0.857  ],8.3251 [ 0.279  ],18.9227 [ 0.322  ]
p.age_group_agg_5_14,0 [ NA  ],17.9153 [ 0 *** ],15.8137 [ 0.691  ],14.5309 [ 0.024 * ],15.8451 [ 0.048 * ]
p.age_group_agg_15_24,0 [ NA  ],1.7582 [ 0 *** ],1.8747 [ 0.761  ],1.8486 [ 0.027 * ],1.8631 [ 0.052 . ]
p.age_group_agg_25_39,0 [ NA  ],0.288 [ 0 *** ],0.4447 [ 0.734  ],0.857 [ 0.04 * ],0.2683 [ 0.093 . ]
p.female_FALSE,0 [ NA  ],-0.4011 [ 0 *** ],-0.3694 [ 0.421  ],1.1249 [ 0 *** ],-0.0216 [ 0 *** ]
hh.cars_gr_0,0 [ NA  ],5.2123 [ 0 *** ],7.4981 [ 0.835  ],7.4917 [ 0.001 *** ],7.2983 [ 0.002 ** ]
hh.cars_gr_1,0 [ NA  ],1.6511 [ 0 *** ],2.1215 [ 0.836  ],2.2585 [ 0.001 *** ],1.8158 [ 0.002 ** ]
hh.cars_gr_2,0 [ NA  ],0.5863 [ 0 *** ],0.7216 [ 0.838  ],0.5131 [ 0.001 *** ],0.6251 [ 0.002 ** ]
time,-0.3667 [ 0 *** ],-0.2668 [ 0 *** ],-0.0208 [ 0.011 * ],NA,NA
timeHBW,0.2747 [ 0 *** ],0.0973 [ 0 *** ],NA,NA,NA
logDist,NA,NA,NA,-1.6333 [ 0 *** ],-2.9044 [ 0 *** ]
stressLink,NA,NA,NA,-2.6792 [ 0.008 ** ],NA
shannon,NA,NA,NA,1.1762 [ 0 *** ],0.2102 [ 0 *** ]
,r2,0.514718447,,,
