,carD,carP,pt,bike,walk
asc,0 [ NA  ],-2.7313 [ 0 *** ],-3.3524 [ 0.857  ],7.8254 [ 0.325  ],18.8784 [ 0.386  ]
p.age_group_agg_5_14,0 [ NA  ],16.3522 [ 0 *** ],14.2319 [ 0.691  ],13.0537 [ 0.034 * ],14.2219 [ 0.075 . ]
p.age_group_agg_15_24,0 [ NA  ],1.7638 [ 0 *** ],1.8694 [ 0.761  ],1.8719 [ 0.037 * ],1.795 [ 0.078 . ]
p.age_group_agg_25_39,0 [ NA  ],0.2893 [ 0 *** ],0.4464 [ 0.732  ],0.8552 [ 0.052 . ],0.2258 [ 0.133  ]
p.female_FALSE,0 [ NA  ],-0.3987 [ 0 *** ],-0.3672 [ 0.417  ],1.0997 [ 0 *** ],-0.0173 [ 0 *** ]
hh.cars_gr_0,0 [ NA  ],5.1975 [ 0 *** ],7.4918 [ 0.835  ],7.4569 [ 0.002 ** ],7.2671 [ 0.004 ** ]
hh.cars_gr_1,0 [ NA  ],1.6514 [ 0 *** ],2.1184 [ 0.836  ],2.2456 [ 0.001 *** ],1.8136 [ 0.003 ** ]
hh.cars_gr_2,0 [ NA  ],0.5838 [ 0 *** ],0.7187 [ 0.838  ],0.5248 [ 0.001 ** ],0.6251 [ 0.003 ** ]
time,-0.3675 [ 0 *** ],-0.27 [ 0 *** ],-0.021 [ 0.01 * ],NA,NA
timeHBW,0.2752 [ 0 *** ],0.0997 [ 0 *** ],NA,NA,NA
logDist,NA,NA,NA,-1.5898 [ 0 *** ],-2.9064 [ 0 *** ]
stressLink,NA,NA,NA,-2.5793 [ 0.015 * ],0.6449 [ 0.085 . ]
stressJct,NA,NA,NA,3.1329 [ 0.807  ],-3.6127 [ 0.863  ]
vgviDay,NA,NA,NA,-0.2744 [ 0.197  ],-0.3688 [ 0.277  ]
shannon,NA,NA,NA,1.081 [ 0 *** ],-0.0302 [ 0.039 * ]
crime,NA,NA,NA,0.9139 [ 0.768  ],5.6323 [ 0.835  ]
lightNight,NA,NA,NA,10.9003 [ 0.955  ],-17.8161 [ 0.975  ]
,r2,0.515943147897072,,,
