Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_walk_vgvi,g_walk_speed
10,9140.047354024748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.058349969023469,0.0,-0.9859961173312002,-0.36999052470703,0.6594466204921154,0.12806275194009864,0.05395848035601698,0.4939328493416675,-0.26826768846045573,0.014295662857661304,-0.3769662100736866,-0.1358657603603893,-0.0926951419355447,0.34453764101734946,-0.48079517314712583,-0.05627291115748514,-1.4566633558070303,-0.9899271639315791,-0.10396005550123355,-0.14564039355955993,-1.1115117811057338,-0.11203603671317992,-0.7850641714834488,-0.11730291232322718,0.25635119134091156,-1.1393705469341706,-0.17111924585153282,-0.12888955033114693,0.526718748613948,0.13393488844031318,-0.8878457338902351,-0.3260821911333125,-0.017231567098422905,-0.01854973465574106,-0.5174761141149167,-0.10286869102498931,-0.0037600812924619004,0.4294856428210443,0.643595418038075,1.1875328680516108,0.9764157753148429
11,9109.62061226328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.18441917172527,0.0,-0.8245343212760923,0.16855092708814612,0.446360918422849,0.3338918196096672,0.06577850358359957,0.8206921301880475,-0.4928763231447247,0.010388383564960604,-0.6789079738631287,-0.2453992063580122,-0.16311731011330113,0.6210996494916755,-0.8725126818306883,-0.10284365968023076,-1.649504594731169,-1.2055671464810354,0.018637384742414775,-0.2177097891981073,-1.2019001967159944,-0.018959994589744136,-1.0539117981557682,-0.1849651031697625,0.31456686688224855,-1.6726016238831507,-0.31496254695912557,-0.33091503617860024,0.8361376412985594,0.05233038518237265,-0.8705220222032719,-0.559808385643102,-0.01471321958967222,-0.017975828698619932,-0.42778510428088073,-0.09856114264123357,-0.01411124307189376,0.461900734420413,0.5970716870956082,1.117623853236658,1.0011659763422855
12,9076.504559545274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.369013169567863,0.0,-0.7271419898426507,0.4060963177377096,0.5166645536354201,0.32244878843930264,0.16847936470662978,0.8249468422377594,-0.7661399690306165,-0.0020730339750647097,-1.0421472793003785,-0.3772904001131739,-0.24355083451534876,0.9520611628608271,-1.3442704765306188,-0.15960394835556588,-1.6141166715525792,-1.3044647969915846,0.20424424217960477,-0.28644814569400606,-1.0562053565893474,0.1307428763583583,-1.2374011657945023,-0.2553048687127789,0.294551262968425,-2.059009648605236,-0.36816099694383,-0.5750207611536394,0.6072267259956865,0.0673453384347405,-0.7523134393114499,-0.7685402873460667,-0.018995287608856114,-0.018406143987243773,-0.5371741071459513,-0.10289764446118828,-0.025676766142912748,0.5435570415955266,0.5219816405035742,1.0397465567580773,1.092444129826738
13,9042.46302842788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7420892407309747,0.0,-0.2699608725009996,0.5671651640965776,0.6811310360126492,0.26804383347034316,0.3127341417492506,0.6831202842676916,-1.4724974007728084,-0.040657433685794844,-1.979563510890956,-0.7178579445326019,-0.447076370290177,1.8013321959625095,-2.559185473823794,-0.30678321974652994,-1.615237448179728,-1.618207370757945,0.6384187734396721,-0.45745640588545683,-0.7608520783140276,0.4642432539799425,-1.6967470714249102,-0.4367181983357693,0.9127867363962989,-2.400168700585545,-0.3249045486986175,-1.071601521210533,0.4676593827612866,0.269902573877413,-0.25207397044342483,-1.192557696378295,-0.017290917986363574,-0.01749763175717758,-0.5433354046898694,-0.11053935062805807,-0.0576115587262316,0.6675170206987081,0.23682272781462282,1.0070594473545054,1.296371944301542
14,8983.093044870038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.612841456386703,0.0,-0.36275786902361395,0.4461522486183427,0.623229443168119,0.37796172398146716,0.26346096650793976,0.5902900655702789,-1.9543892061789305,-0.06641054468188738,-2.6289557050223937,-0.953787042262031,-0.5794512670329709,2.384080349517131,-3.3965563782308275,-0.40917306079758725,-1.6388988312325137,-1.7875045760140327,0.8289423853730927,-0.5589001648531091,-0.5992904749498763,0.6030416715499792,-1.916765080598537,-0.5584861493392682,1.063353687755689,-2.412049146761635,-0.4397563636967959,-1.2337296311016819,0.4226363132241322,0.3213552311545572,-0.37850981683360213,-1.3430884894885937,-0.018098486943166958,-0.017148753201183007,-0.5669182948396673,-0.11192078692442799,-0.07458997767290962,0.7490198432007699,0.01610983712184383,1.0173007871069764,1.305957439716766
15,8865.49269226764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4853455589546245,0.0,-0.3826152767140078,0.3092175601219872,0.6072744819914284,0.15421673527793853,0.16571065968507087,0.7382568626633766,-2.9634321873863843,-0.09391666244338137,-4.0332700281987,-1.4636193761848535,-0.8501319460469119,3.6453164262298285,-5.202961271969816,-0.6289093656426973,-1.6390485846305858,-1.601121498191994,0.677251466619185,-0.7411695477913286,-0.4222296015000322,0.7115022111747984,-2.15399913806985,-0.8051507217191556,1.2093275452631813,-2.3791376038010545,-0.44416781409740097,-1.33740014853397,0.44587940735366677,0.2389150560642267,-0.5825954140207608,-1.5334373439865474,-0.020849788490897542,-0.01659135639869071,-0.6350332963982332,-0.11885314258423059,-0.10445615433306099,1.0143939834462194,-0.30907990266607377,1.209095654740986,1.1563254002626002
16,8601.754683042356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3714154965653145,0.0,-0.5618382810259601,0.19396511834708974,0.7056106072358547,0.5691205929349256,0.04711827162562629,0.30249954316022953,-6.209727740047301,-0.17594585971461474,-8.570321734025907,-3.110024079188481,-1.7048015452438372,7.6793690949439934,-11.034427747308735,-1.3347372308503402,-1.805357929713974,-0.9263104333253948,-0.060504339330513246,-1.2856018213507308,-0.19916085728639216,0.5905579044571704,-2.667007012415841,-1.5365779851028893,1.537746428654769,-2.2595547455267515,-0.5656937028016739,-1.272426599321514,0.29375326221294673,-0.3864908980515811,-0.5729093631312392,-1.9249631877968294,-0.023861788175853008,-0.013895658960647206,-0.6645554828751326,-0.12557018223471092,-0.1950403613378791,1.6160830777876605,-0.9842587178359179,1.9770084317691952,0.31495890082955813
17,8523.693706208129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.09196175111308,0.0,-0.5296602945995091,-0.20364912032392563,0.33749351588615883,0.8408558563563788,0.11111790975608211,-0.24059574134026518,-10.997682283515777,-0.3629834699896747,-15.171254957176796,-5.505977009321809,-2.938925740071153,13.46765604367441,-19.518972148499152,-2.3606947171804857,-1.8051498963811268,-0.09934078776125255,-0.7341290424124556,-2.0537239408980135,0.3667273928014127,0.39424559070771054,-3.1371561782233472,-2.552537031242361,2.175788460585764,-2.5433791266598265,-0.7231710050973827,-0.954058486346868,-0.016567920208122422,-0.5595553780487081,-0.9397013149311495,-2.3880952925909757,-0.027073527497120786,-0.009762794096051481,-0.7118155028653841,-0.13493519432049023,-0.2856248104653898,1.435153439640941,-0.4322498577920991,3.3584596032580043,-1.297673587867436
18,8484.168041262137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8981123380973606,0.0,-0.8750323969551608,0.19133217644031358,0.2847061304673889,0.5616860099572327,0.1708310534663493,-0.27961910248145516,-13.218852845891218,-0.632035838983424,-17.990174623099723,-6.541641377105267,-3.404534791586968,15.691302712491014,-23.15536279718323,-2.793826652806161,-2.096694439165218,-0.020573271721333608,-1.0493466124852138,-2.356519059423082,0.2965802451669526,0.11761893292684455,-3.2123903657893313,-2.9584893201315587,2.389562517305989,-2.1706911704937153,-0.9617098512817484,-0.6730396828955255,-0.4041946711755219,-0.2898709550828453,-0.9101829752355184,-2.382871580386456,-0.02480549676837166,-0.007310957637086928,-0.6050067439335897,-0.13131824163784053,-0.3203695512096046,0.9739550533792818,-0.2617483607090927,3.448321356182792,-1.4127130801470362
19,8445.429876597016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7363626062442978,0.0,-0.848508825079423,-0.0060032248220385775,0.18532844802293813,0.5444886836153522,-0.18693830552722773,-0.16711743760469,-14.121066190545564,-0.9304723142485549,-18.95897047201552,-6.905899242159476,-3.3957077074707738,16.187491425485014,-24.45025250495227,-2.93275970905749,-2.355898885276374,-0.15223607064482403,-1.1884042419780076,-2.4475284656389493,0.18565376686125937,0.009119866930940093,-3.150269545967046,-3.097224216685015,2.3381909476608027,-2.2721406611167616,-0.7551509119772276,-0.6013044723494392,-0.7070450982143115,-0.3133544842031431,-0.7327854485030633,-2.311011337999375,-0.022507628845745073,-0.00617319800694808,-0.49646583824355867,-0.12447330135389031,-0.33320568537152695,0.9033219660004702,-0.1845620385467519,3.3276466927503385,-1.3825476320516719
20,8404.068829641832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6915371485092008,0.0,-0.8153532969648882,-0.09156099206908225,-7.06680355646222E-4,0.4191249200913414,0.04211897664434472,-0.22084497996702576,-14.610836367273137,-1.225608414557282,-19.432204660354703,-7.094355750391228,-3.1459329720425098,16.200755178937275,-25.147899113460966,-2.986781401573013,-2.5608864938438183,-0.3313360476895215,-1.2570016103997321,-2.479132006857336,0.14176404517830232,-0.00296539512547795,-3.040552192587155,-3.1680711642914656,2.258416561570631,-2.2697157280937046,-0.6450043696838865,-0.6554031720583999,-0.7950290945165093,-0.4021439784739931,-0.7329274829275524,-2.2063325787018946,-0.020574039091944017,-0.0054852508019706606,-0.4177560788895054,-0.11870366778656037,-0.3439339277616858,0.9698513889105129,-0.2609276127233069,3.340006181420582,-1.4684350769663677
21,8286.261387642338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8031829190607302,0.0,-1.073206248553244,0.2556435926742101,0.3961707063503991,0.027935083104534186,-0.25041541269004247,-0.1445547256912621,-16.32940804301374,-2.580641097273638,-21.412449765696984,-7.937906268112997,-1.0427719157416924,15.788999378793863,-28.3550803095862,-3.1521645131961917,-2.749047530783412,-1.3308642762499063,-0.9855133967291231,-2.440361065991613,0.5549466709653033,0.23371203584119868,-1.7623981920469898,-3.4008243673922536,2.0702936075760423,-1.9922256562408014,-0.7160399087723084,-0.9742998048961029,-0.5686821825241912,-0.7647940544050787,-0.7382199638070779,-1.5165611418624105,-0.014992647838506689,-0.003297572933258866,-0.31930667120621387,-0.1067989504949511,-0.3981593252073326,1.3676312448496857,-0.49275639251292236,3.8328849578344677,-2.136291688139666
22,8246.617657972953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7286725772640705,0.0,-1.207695688530347,0.38832824731582166,0.40049035635689306,-0.3025285804312049,-0.3938385278330461,-0.13924778108678093,-16.40123771373393,-2.7272276165250764,-22.289196509663167,-8.333052266411368,0.34515693155082094,15.89835975061271,-29.92392713113968,-3.195460467263452,-3.119699660730656,-1.8947546229598826,-0.9779777755541827,-2.414044951713448,0.7494024426148004,0.2922434361000285,-1.2081659378462821,-3.529018469229053,2.127565117628219,-2.0279511372045986,-0.7992280341855064,-0.8627369816053069,-0.7504444336957434,-0.8263456453479797,-0.6891617863881574,-1.137141975013143,-0.008455682861896133,-0.0022033894404353523,-0.13730506394835007,-0.09217404189382997,-0.41960110211334534,1.676751024227478,-0.6710171944863006,3.9192618477219248,-2.3822283725888465
23,8198.216927821712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.807887749447254,0.0,-1.1119477057457434,0.231140084406434,0.37969667517444416,-0.2789971515494965,-0.254536853020254,-0.16876846685461708,-16.379692567732963,-2.759435060740891,-23.339304067911172,-8.814327739633365,2.0218683326311035,15.88326573606078,-31.8780306455299,-3.22872777933163,-3.1024419426169803,-2.2682697742667965,-0.8992880188487974,-2.249463660523587,0.9224906752451969,0.16561291965715239,-0.2579970364048054,-3.602254354935373,1.943972265250818,-2.1966959241007857,-0.8632072648792708,-0.50889839316103,-0.37302714466617143,-0.5768426786198035,-0.7605406877988471,-0.5970977113601381,-0.009189537703541537,-0.0022670754477743336,-0.18849199711177883,-0.09683469175307229,-0.44401422066244645,2.0688240432278273,-0.9461352603791897,3.5059393847882547,-1.8653113193551163
24,7932.16499713114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.894990366462581,0.0,-1.2634807491865732,0.15631312104493714,0.2778893712989105,0.5247833511771827,-0.04770253707187466,0.3073989372087371,-15.920420298778428,-2.1004434758567294,-24.124913766738604,-9.267118702248835,2.888708044237698,13.029897539908134,-34.49381316956607,-3.0073944289856267,-3.145925942600079,-1.977028455241925,-1.276311759589933,-1.9899566521494512,1.0663884965995725,0.24084484625355493,0.4863007800416309,-3.782453299349727,1.6554323581432508,-2.0218542450255863,-0.8596372446967173,-0.07588193093858192,-0.2609085334321312,1.1194195114424292,-0.8126172475920228,-0.23910022785194374,-0.00879567170605363,-0.0019514199675314896,-0.1989478942728772,-0.10233192310332777,-0.4651959283162053,2.7282345030285367,-1.2895938234943942,3.0127450154817765,-1.2426816881577807
25,7850.849985880623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.838692444602835,0.0,-2.09532921223481,-0.9321576374082217,0.6002365050385133,0.5326708334941173,0.6630767971731593,1.1034047327348466,-13.96503520142503,-0.1336418362704408,-24.87590768706247,-9.78713526586101,3.2196455728265962,8.82042062714839,-37.99620585999758,-2.5760397687123144,-2.4781840011017646,-1.7471794437248604,-0.19369966318860077,-1.3949102702598521,0.07001205588968318,1.0595025960844018,-0.16919152434980733,-3.8165186867523637,0.07641801169843809,-0.612169640329649,-0.46390656275488446,-0.580352894505126,0.9282721734882231,-0.5341208093629299,0.138181315712536,0.0854554636426505,-0.01031107309350869,-0.0023992922183864555,-0.2694244265143682,-0.104564771478691,-0.41972767578050985,1.6576368487504585,-0.3134234759575978,1.6349575179657858,0.2977833326567916
26,7774.865532951986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8772269583622225,0.0,-1.6663869534101183,-0.45514641107757414,0.651881283842173,0.14556922431909325,0.11962969440697857,0.1146977538794226,-13.23546550556938,0.30379566031678296,-25.037887460323663,-9.914518311892927,3.1645072176585356,7.620845269440862,-38.93064130551663,-2.4394457882231397,-2.150411418169355,-1.6915351635223381,0.3082526817846448,-1.0989395572056009,-0.8478308713688177,0.9944439122458928,-0.6183263796103774,-3.6930233944627235,-0.3244947749145345,-0.2678238055838496,0.36367557439292403,-0.8729498920298302,1.176837729474695,-0.8947326669757378,-0.7098736176900233,0.25934504168930617,-0.011240415806450008,-0.0027090674878156736,-0.2855672418554401,-0.10780674857132963,-0.3953822923297467,1.445036571407684,-0.14027993276264844,1.2605974558635904,0.7342224002723731
27,7733.362217911767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.642279016952501,0.0,-1.7196713704416884,-0.46689417136823996,0.5087327339365654,-0.509544881385516,-0.019212901491953566,0.04788783858106439,-12.165178261920834,-0.4294991651218141,-25.24990127561428,-10.068753654340652,3.226184458770188,6.27305106690666,-40.02230869495989,-2.2697369073367937,-0.8549947542017948,-1.7058772182532607,1.2986561577511906,-0.1700652850924682,-2.0864474783284015,-0.799240189334645,-1.3573600559261876,-2.9376355847038877,0.3584642639743345,-0.7086774089753489,0.020674274916215152,-0.29317271352117136,0.8512967373931396,-1.2148130502114034,-0.8359395217596614,-0.597277654930686,-0.009683086061803577,-0.002528020455133263,-0.32136368921549857,-0.10457755675403639,-0.3391294693256719,1.8292198138860227,-0.4225432235245422,1.3565283909522166,0.6280602277636127
28,7714.244054963242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6751485138513256,0.0,-1.7128380248719357,-0.24923393056902732,0.4481751802431752,-0.15668036998572854,-0.0568408853576238,0.32438874893072367,-10.384776528714399,-1.9016411627399368,-25.787248166730265,-10.425933264520966,3.986044372178743,4.92007601133488,-41.82809667981929,-2.065561696704089,-0.18765226420394843,-1.3238452280670858,0.4937813261716463,1.1157928052327297,-1.5341315230453838,-1.9566099112175508,-2.879112340295265,-1.5333290525537995,1.5836946625061425,-0.7798510115858738,0.0063535205404680155,-0.6883348633041962,0.2799813287419808,-1.6455592979440952,-1.5368237903206232,-1.3604658056318522,-0.01047048094691984,-0.0029005561713712465,-0.3958789010428983,-0.11373491029719697,-0.22250061861668702,1.671859954061183,-0.19025872343789318,1.1208782135978128,1.08563182839957
29,7650.871752932614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5699282368663519,0.0,-1.7028536968224552,-0.33306384323991645,0.5100292973681498,-0.3866268564487504,-0.2737820374249701,0.008360839739329995,-9.23586946140764,-2.6888847811820322,-26.194541233770607,-10.688146763039253,4.339666604700674,4.115367555520653,-43.06441010356062,-1.9424326782768728,-0.2280822088473174,-1.1002259403319727,0.013117646926577853,1.4425126247456306,-1.2547332514866847,-2.164654501966817,-3.8304730031872243,-0.693355791834923,1.4165349179884967,-1.1265198510165995,-0.42157647228215517,-0.9052987788073446,0.5834631436778654,-1.1706749132238756,-1.2685154894254347,-1.536108860705413,-0.011572682713325197,-0.003222266381042116,-0.3973633948880204,-0.11186540477814591,-0.14386604870465136,1.6336934789937925,-0.18424912749214936,1.1330027396551885,1.0667780146311352
