Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad
10,10045.08199654652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2429472249835922,0.0,-1.0044966364894392,0.7361169894474161,0.8888622581096335,0.6864821527082305,0.23587033058592394,0.9692827318737361,-1.6133771309906781,-0.13010959440271802,-1.9618187979752082,-0.8422080947909648,-0.4649369033530526,1.8598948166439913,-2.6258454889275606,-0.3131963485269905,-2.5667191772418096,-0.7470491806527098,0.3503838263911607,-0.17012336086551685,1.4620254407007138,0.6677691842578749,0.23117230580984172,-0.35902687708060743,2.0680197270594967,-3.453782481976217,-0.6630291795132892,-0.9898854375005686,1.0530191216667792,-0.03301306186063402,-2.9712100374376376,-1.530731900862902,-0.04253439734744441,-0.01997974135075929,-1.2359407817807944,-0.597353485662962,2.577449922636618
11,9812.072317047267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.307232519636467,0.0,-0.4637705451860745,0.4165065252219436,0.6945904624527157,0.7535501031492725,0.3894553779124498,0.3854882177888468,-2.864719685129322,-0.24155401743232413,-3.5631099938064157,-1.5829062773500542,-0.7229040846587145,3.3448400295044687,-4.773440762222988,-0.5746664032382442,-2.5844849165774506,-0.5775423714984577,0.29778704360249997,0.35220735368178235,1.0636087971804975,0.8417075476739841,0.3090967322685556,-0.11089007920540692,3.208735091593238,-4.1612205282893635,-0.8208033107699595,-1.9991810870594566,1.1232212931595265,-0.370891623142814,-2.3020168383895587,-2.6102282684016878,-0.044259557831933444,-0.019090283847873764,-1.269648631558887,-0.6497895354741204,4.482390142356317
12,9531.913658779675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8974227280944467,0.0,-0.8584033870023797,0.11892254751348291,0.5600089330618359,0.5221118487707084,0.2940038981486954,0.4798796535694939,-4.240677680353851,-0.35145189381093905,-5.366394987068744,-2.4183297699817956,-0.9862959804453706,4.984972148586392,-7.183381964279405,-0.8663588814340015,-2.5570269606395675,-0.6855599712521462,0.2644627410347764,0.8452685164172844,1.0518271884623336,0.7651066012920836,0.20641633238960003,0.07557114184811214,3.4676347004291785,-4.734371531721633,-1.0128828254206084,-2.9895622337057137,0.1580698502607335,-0.5068191078231955,-1.5534299388615598,-3.6782953627586057,-0.04974330730308758,-0.01861821648316776,-1.3745680470399377,-0.6237429572961918,6.5206255420829375
13,9338.618994947248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7220961502394134,0.0,-0.9646096282425738,0.10458655334563363,0.5191603326119183,0.3788102592401697,0.08212760818669948,0.9772717643829707,-5.141657403262679,-0.44931737157740176,-6.58993576261899,-2.9949347596971534,-1.1197616083301312,6.014528631650174,-8.817817988604718,-1.0573626730775505,-2.4129013862983744,-0.5076796723739035,0.17414969834136973,0.7915785296544365,1.0098941179237666,0.4023725487529873,0.18160883643156436,0.08266479870377522,3.676760548221533,-4.073081165395266,-1.0246893804033175,-3.3173461019157484,0.16327532882682935,6.214771558055165E-4,-1.4388108610081116,-4.170180694740158,-0.050286905228494175,-0.01781353146846501,-1.3945288545721324,-0.6497370204823277,7.656832830350351
14,9165.97853147139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.622541884356016,0.0,-1.1818442470656378,-0.20130162314942499,0.45482822485218743,0.5111788054297446,0.49507954079491856,0.8091901172393802,-5.978027657215817,-0.5625767270765519,-7.838573583161612,-3.5919713609111796,-1.1657797143268378,7.000255926544261,-10.482850301215295,-1.244168323506395,-2.1045774654580596,-0.4453281112089367,0.3003462680444031,0.4628645313723839,0.968351727817967,0.27208132898346693,-0.19089531186113626,0.058273617347523225,3.1351454506650214,-3.377029584384763,-0.9883824367363466,-3.301857869546771,0.3729763715680412,0.18680896456112955,-1.7066234293234237,-4.443302618167033,-0.051159051761041484,-0.017084709847503248,-1.4305114921647255,-0.6245560577520352,8.515084206538594
15,9018.890364002009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.498699940289031,0.0,-1.2685588711096736,-0.3741679379619819,0.6326929006453601,0.9829120132856057,-0.12014375907066888,0.7377836322480109,-6.722202938906099,-0.6822409313247556,-9.199395130803916,-4.261209311535931,-1.039947082022677,8.058188748310174,-12.333686578169818,-1.445157132210571,-1.877381497987356,-0.45435447674051627,0.3061450426771792,-0.03137029116503354,0.7098406571320643,0.3567014944642012,-0.48473924789295353,-0.06562773682287354,2.3137512099660253,-2.929524706248408,-0.627519182677375,-2.9551614475402217,0.7661395331797618,-0.10226575906456947,-1.7316235944628142,-4.5563669646149085,-0.050983506212971506,-0.016252108911660047,-1.4202389583862869,-0.585052522387693,9.076071070591599
16,8827.109464501635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.435961991079086,0.0,-1.0909334646667075,-0.102607322546725,0.529067145837996,0.459124751362849,-0.24475827726788105,0.7703573799210024,-7.150265941610785,-0.7329008186704716,-10.584100008476113,-4.981726179191864,-0.576644593181797,9.15031812050507,-14.29988660274878,-1.6417152416524714,-1.723032529093302,-0.8887659172394884,0.2960395797805826,-0.5046361842423499,0.7882648103559458,0.7295989205069444,-0.8263754612161287,-0.2355229279505406,1.8204696539876375,-2.566011674930933,-0.08945721136298757,-2.2678990500617933,1.0743514646294476,-0.31771416992012885,-1.4386660712249904,-4.500841136596947,-0.04824503535937121,-0.015268430549882002,-1.367112510159687,-0.5653776104911987,9.097783942835788
17,8512.27589429158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6183347786343454,0.0,-0.9202992208563582,0.024976715167408736,0.7473999859618289,0.4742433174111436,-0.21053651079450275,0.2828428717003624,-7.71732242208296,-1.0969738775261124,-12.487171283036096,-6.022692480106569,0.3721921230549118,10.210050314767352,-17.102401293313832,-1.8976213485579894,-1.5224308978838266,-1.3218517104737806,-0.20280013539493386,-0.9076693072085246,0.7100326558559144,0.39511099406468386,-0.5458553031236153,-0.4002332877421596,1.4718436310234508,-2.236615947435249,0.1322696405756021,-1.0265497756278636,0.6049101924399156,0.03512374407346275,-1.1247338569791652,-4.193901289396848,-0.043685662003753074,-0.013774148821233127,-1.2642626162660122,-0.5071227057974584,8.48551032766085
18,8237.189562475647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.280969969207637,0.0,-1.1515511344353775,0.12690339508299536,0.2927898679207991,0.6543853850644203,-0.012822450600644353,0.5069065191255803,-8.621306382515783,-1.8977004925058996,-14.131861099145922,-6.945361268738621,1.117006531038529,10.381468959054256,-19.593189367778333,-2.108282073532882,-1.3016405019308084,-1.384724593339769,-0.6571604060525296,-1.1017039319912734,0.3337783642194031,0.4024868004632474,-0.5506929954653432,-0.524580819773725,1.2159880503143432,-2.2895653333157586,-0.19042027970117315,-0.12406398721878908,0.6938539753679501,0.24385031274271313,-0.859512860536332,-3.7667111247578564,-0.03877926453366065,-0.011932029335861257,-1.13844151383977,-0.4453709489662889,7.626934946601617
19,8027.072754731219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2931143082781187,0.0,-1.2169589408774566,-0.4131329630171245,0.5631909513541471,0.5746101765401636,-0.06081237023502833,0.8062728769020582,-9.481395768763829,-2.651103247825999,-15.460385126385669,-7.71058752210471,1.5806816410503193,10.113629965391645,-21.662869433671972,-2.2693865710033365,-0.9367091528881621,-1.6426704849670808,-0.46095265484635506,-1.1136786198708175,0.23223329895539513,0.6913922370132788,-0.6124054305405703,-0.548410152380364,1.2122325882114116,-1.8713997719380138,-0.36290251850078714,-0.18603357022376346,0.5932176195599966,0.17479840529794127,-0.7839751905444168,-3.190240108136593,-0.032360754580064134,-0.00991446604752658,-1.0490080650660576,-0.38980285960529615,6.610895233723353
20,7891.610899470997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.204019313394775,0.0,-1.1587475997970644,-0.20586059177617672,0.41743723375551073,0.468398700465509,-0.10940523994446949,0.7191125432185117,-10.00784289662496,-2.9854603716370116,-16.340802696316096,-8.227267763199615,1.7690079921414659,9.873508673675797,-23.062819493869927,-2.3662490294809877,-1.0402608133218902,-1.5788917422499167,-0.39862277657899203,-1.102492094060529,0.03296665117775449,0.5238159794478459,-0.652454696566371,-0.5095320140531903,0.9685169428001087,-1.659640150759348,0.015945165874653666,-0.937737972757431,0.4239538616754732,0.09769761219090944,-1.0749376062709435,-2.5444237295978995,-0.028992505270557876,-0.00873979716742114,-0.9601662409474094,-0.343066248075196,5.823770367655355
21,7783.772904561999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1149392860344984,0.0,-1.2679203222912792,-0.10841548551025763,0.5688240743624859,0.2704843503333728,-0.24068663168612406,0.36720818482260215,-10.527581032097215,-2.8006808727226145,-17.489667801813212,-8.881546154274487,1.6074191942179634,9.693662581341398,-24.887116691384662,-2.46706725434341,-1.6799424051114666,-0.9335395521440889,-0.08527916123257301,-1.333690126001546,0.5365742997437648,-0.2119607580568088,-1.1939213413537062,-0.43612797103087536,0.8599164186714312,-1.626792030987213,-0.33808590644793773,-1.5285163857572486,0.6443885656321164,-0.0484345159593543,-0.5038745856400726,-1.0794637334868262,-0.024926735258673945,-0.007320531366562537,-0.8406155276957412,-0.3140612636224369,4.854536003666506
22,7720.9936351702345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8478319346593033,0.0,-1.346376419644644,-0.3294609473041813,0.4347072396979336,-0.016341669636510847,-0.3682409976147315,0.3589982795365419,-10.710595604274815,-2.189574206052247,-18.372173779090957,-9.37487669961644,1.2892306858768892,9.740448202754612,-26.310877310131783,-2.5277764247622825,-1.9161448503061222,-0.5384636598749262,0.5761212603140236,-1.312956150833394,0.1828191508022336,-0.35229381643471,-1.0574132870021007,-0.22026589452019346,1.0401217524234545,-1.7979935779091543,-0.4852431286181439,-1.318955229361534,0.4980521117847407,-0.037049991933290234,-0.7478110755177124,0.018898282526792265,-0.022393113327176407,-0.0064489940678710035,-0.7815254683492873,-0.29078727354934225,4.174962740575504
23,7670.7083863437065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8745346267244103,0.0,-1.4185526648400417,-0.3143055572656907,0.2650157813581096,0.44789392519465154,-0.08044534706603795,0.7123033820440241,-10.818365307562237,-1.425073741555157,-19.284314863460477,-9.884635452743538,0.8562631426364089,9.615861323850739,-27.84081300307883,-2.565334829497128,-2.244826586526626,-0.15873749333286613,0.9286027617294722,-1.1779480886240123,0.056123067285962086,-0.19556442982530162,-1.1303916126184395,0.07701250663429043,1.3000741237588316,-1.5994329161576473,-0.22656495124929876,-1.052354455546724,0.11571675020859723,-0.20063651735611335,-0.6392140808364668,0.4866000351802334,-0.019049805327636265,-0.005446448413084631,-0.6984765080435233,-0.2839496256286896,3.3292724940433893
24,7544.858289825128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9060736965399492,0.0,-1.4622235501170473,-0.33226137030928865,0.24221517575029755,0.736158460377204,0.06400823162126884,0.8462500872399232,-11.060750801376827,0.3100300508426679,-21.39693676749493,-11.080535236804097,-0.24340589619301967,8.878310431907622,-31.492326296519355,-2.615628461134223,-2.966305489378178,0.16981756238622225,1.324957059600544,-0.44297822872182513,-0.1086195009239608,0.33129972348454073,-0.8058460487080459,0.9087157335366491,0.6970838326292665,-1.4973929087919418,-0.15564084225392072,-0.770659208747472,0.2676578601627567,0.5666689198797404,-0.3171495469675118,-0.01171664241029069,-0.011380661242537704,-0.003085586347795504,-0.5131149099657648,-0.22114779658428013,1.1091125785842642
25,7503.863330308895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8194778660835271,0.0,-1.524147427412033,-0.33211679636225183,0.2592557525486666,0.534493556377394,0.04277025466521835,0.6768646577188371,-11.30502765876334,0.49028721271161974,-22.12238530046065,-11.466022587215212,-0.4733973716685063,8.282542969031029,-32.79832585178279,-2.6142003723892135,-3.235694525997281,0.1754619224135758,1.0177637890490674,-0.13938174498273997,0.03606583456588322,0.3783601777087295,-0.5626050092413755,0.9175424157122662,0.6665074399813161,-1.2621048896274096,-0.10733838298268095,-0.4379143287992382,0.29729160982784686,0.28819924324485546,-0.4620614699202092,-0.11819868951225779,-0.00992766308770828,-0.0023252425831524863,-0.4603314681113149,-0.21474770554953695,0.5793236680711134
26,7399.950100877438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.800072659248986,0.0,-1.4284583058999505,-0.027838927630561783,0.39457455013530535,0.27214753916767676,-0.3238661369108268,0.29178962509492146,-10.083390626493085,0.41612739717392233,-23.893873189528936,-12.30381705576516,0.9684342030063462,5.506690134972643,-36.906061802375476,-2.321911161007545,-2.968155808519912,-0.14200023082500465,0.7976157552773906,0.5118466665313339,0.02893854277578709,-0.1250616921231053,-1.3840881420552154,0.3886585904235096,0.8252305015333601,-1.250162662197672,-0.027517125299621262,0.15056737313472257,0.3829513787792896,0.05491053060527967,-1.030548899825244,-0.5191223755343092,-0.004639053769569321,-0.0012509601936339504,-0.33195286331643215,-0.1935910777336427,-0.4975813616720073
27,7325.305648670443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2634319129293674,0.0,-1.080116035929893,0.08812603656192558,0.5327311727394787,0.15289239859287215,0.13805717837591786,0.6213477416386455,-9.375914645417689,-0.030232970222371203,-25.370350887688726,-12.99208133940372,2.052174364191621,3.4271261659856265,-40.18595558307113,-2.1266000602798507,-2.856010999461252,-0.6958717163827324,0.9114598633784593,0.39779311072742246,-0.3448689794660142,-0.5726084353298716,-0.7429553648087868,-0.6161801557558344,0.34208640010154967,-1.5315482694290152,0.1863716990182674,0.17128808226163056,0.6043987191143801,-0.10270073329330281,-0.5757993715848861,-0.30336572516562677,-0.0024114672916680075,-5.4251257396677E-4,-0.2761245715369451,-0.17246539612773,-1.0047017456033391
28,7290.279591820031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.241146166186341,0.0,-1.0481898129762501,0.12918490052295867,0.48732532793944927,0.27286107557118466,0.13774405254179029,0.3711362739870853,-8.844729306308368,-0.4405787042130466,-26.219176347404254,-13.403721168461052,2.5504409862808526,2.3876534768538575,-42.096871554091415,-2.016435247219328,-2.977185251372453,-0.9277587281093426,0.6556428398988055,-0.06299277847591483,-0.36986940652797634,0.14949161705026437,-0.518824339406814,-1.282687842844605,0.40063593179617496,-1.5723784001947336,0.20515699499751536,-0.07335138094185659,0.4324447123342085,0.43024051980362493,-0.36270831468358816,0.07085275059089813,-0.001685927603149946,-1.9966470599496546E-4,-0.23472853089979479,-0.17697204840033698,-1.153344966336537
29,7273.520524182211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.105663178044874,0.0,-1.2234966473966513,-0.03983996773170681,0.43163374413294986,0.3210154342261217,0.22084375937791328,0.40838130864796096,-7.917684409916253,-0.52965545283465,-26.615944720472697,-13.6358495836528,2.842578060148559,2.078993385520633,-43.231781066479684,-1.9107711058953225,-2.9883108299910996,-1.0141057234299227,0.25064939774022266,-0.36945811927225247,-0.3697334879840033,0.3978136367282429,-0.20762656767584842,-1.53013998907966,0.5036592343844386,-1.5160277593888192,-0.05841412752929445,-0.49526974760036324,0.5023452821642777,0.3292038046047304,-0.401297355531575,0.07101106904180843,-0.0013925115769109965,-3.340528276556376E-4,-0.2111897508035316,-0.17423943136505096,-1.2855141359954347
30,7233.555815644392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.068247461785763,0.0,-1.2046636983695524,-0.030458311071015612,0.39560260796547364,0.22692788168212202,0.20853327391448576,0.409258763105383,-6.322389547579175,-1.3979250323683816,-26.91812117886466,-13.976680047356314,2.018470259151729,1.2337695450183412,-45.04269060376883,-1.6129683185332557,-2.785438159290217,-1.2393114947984465,0.07839442528456109,-1.0463343207758655,-0.47456913321618044,0.2777312174190757,-0.21630981405838667,-1.5649849494297268,0.8030875258089772,-1.741308696328065,-0.19886735250739018,-0.6443245088325718,0.35099647020272773,0.2094036429480809,-0.4469983166615075,-0.3572277887742501,-0.0011234830475940912,-2.4126285611439108E-4,-0.19715393482189486,-0.17354026018841182,-1.2935014983272146
31,7210.978918434817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2732281196539366,0.0,-1.0657275760098701,0.15095877620002857,0.4871200750920772,0.37451340114370546,0.21819119428078582,0.566906109315207,-4.943484932619492,-2.1462480193089655,-26.83881125787276,-14.190741104481615,1.2939106890514818,0.8769468742556292,-46.67723634456724,-1.2618577933319581,-2.389641544978398,-1.7206755560841904,-0.3927605965156803,-0.32955920026933305,-0.447685373687678,0.33016031746334085,-0.42780380789704686,-1.3944620759796305,0.7487866267094858,-1.858379036683572,-0.3331726991495552,-0.6868026566911909,0.5094271096212312,0.3014989872836234,-0.533583400960909,0.08569189737636157,-0.0015633215168146847,-3.492788152855559E-4,-0.22937320197894057,-0.17507282312668912,-0.9718349503187003
32,7184.245937647152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2081128472258666,0.0,-1.1016203360639785,0.06324964200736513,0.4827006791575604,0.3489300605723531,0.18493223626539512,0.5490445761499939,-4.000283982147149,-2.766298437927543,-25.78400049723858,-13.970564302749118,1.1132085704427588,0.8160528940129371,-47.57164037647373,-0.7945400350303992,-2.7817888364479035,-1.3857266212053942,-0.0915570248048116,0.1450414474898759,-0.37570371411744197,0.46078896769635563,-0.35269719757095347,-1.464057077627054,0.6780690961906819,-1.7068700147425266,-0.2465850307895886,-0.5387339612500508,0.5370632128366559,0.3049795326367866,-0.5441266913212296,-0.15736642187424807,-0.0035034845429429964,-9.362031679387213E-4,-0.2654901552218109,-0.18717173511975393,-0.4879147917854485
