minute,arrival_HBW,arrival_HBE,arrival_HBA,arrival_HBS,arrival_HBR,arrival_HBO,arrival_NHBW,arrival_NHBO,duration_HBW,duration_HBE,duration_HBA,duration_HBS,duration_HBR,duration_HBO
15,7.46907839946402e-06,1.51419681517218e-19,6.25003010392076e-06,8.10644079564617e-07,2.11285415025649e-06,1.14901719534042e-06,6.58486308075753e-06,2.07929340648389e-05,0.000207058715289863,7.49076746405634e-05,0.0166832500449336,0.00739412083989105,0.00128486452794607,0.00705826500909104
16,7.49773736808036e-06,4.65352223402819e-20,6.2744182961799e-06,8.2023060824574e-07,2.12383648583764e-06,1.16259150965826e-06,6.62358812075163e-06,2.08814270366802e-05,0.000210606173668291,7.63259040976542e-05,0.0159051267719871,0.00754537359503912,0.00132683629014094,0.00715017964430304
17,7.52178340090931e-06,0,6.29812500454639e-06,8.29707937613532e-07,2.13448868926305e-06,1.17612076570921e-06,6.66164026286786e-06,2.09652336709718e-05,0.000214130667834402,7.7720887648811e-05,0.0151106252373217,0.0076860262055087,0.00136957464118543,0.00723444486013951
18,7.54214086700438e-06,0,6.32114788856359e-06,8.39080767529642e-07,2.14480773822513e-06,1.18960252757351e-06,6.6990103088838e-06,2.10443268371523e-05,0.000217631054307623,7.91016780745649e-05,0.0143087830108124,0.00781765054203057,0.00141310791693262,0.00731199607668825
19,7.55907499271657e-06,0,6.34348504592309e-06,8.48346013119121e-07,2.15479084097877e-06,1.20303247238897e-06,6.73568941219105e-06,2.11184795129814e-05,0.000221103235599245,8.04802504724195e-05,0.0135097450963279,0.00794028886089408,0.00145746905132004,0.00738281772326187
20,7.57278962006924e-06,0,6.36513501553745e-06,8.57500146368526e-07,2.16443543805384e-06,1.21640629511004e-06,6.77166908277549e-06,2.11877028744797e-05,0.000224548334297045,8.18681074480858e-05,0.0127209132396213,0.00805251784829391,0.00150256579176779,0.00744628493528808
21,7.5832653408657e-06,0,6.38609678028691e-06,8.66539765169488e-07,2.1737260744005e-06,1.22971971265506e-06,6.80694119188768e-06,2.12521547634379e-05,0.000227966241689211,8.32774447480302e-05,0.0119516433288708,0.0081558560803309,0.00154838568315851,0.00750252644146831
22,7.59122881627462e-06,0,6.40636976943555e-06,8.754615956074e-07,2.18266721966984e-06,1.24296846810332e-06,6.84149797640041e-06,2.13118254504769e-05,0.000231356204127234,8.47233402032877e-05,0.0112065025716406,0.00825066324983167,0.00159491482586981,0.00755216236013373
23,7.59696045569584e-06,0,6.42595386071677e-06,8.84262493910934e-07,2.19126342060144e-06,1.25614833493837e-06,6.87533204285253e-06,2.1366709337392e-05,0.00023471755665064,8.62130782153566e-05,0.0104885349827566,0.008336047405405,0.00164223174286266,0.00759527884381789
24,7.60067475040531e-06,0,6.44484938208772e-06,8.92939448058626e-07,2.19951309514505e-06,1.26925512133383e-06,6.90843637117539e-06,2.14168049416621e-05,0.000238045736187253,8.77593179970492e-05,0.00980624041420524,0.00841295576986349,0.00169023241522251,0.00763097467697876
25,7.60254179491651e-06,0,6.46305711315072e-06,9.01477427630249e-07,2.20741489825027e-06,1.282284674477e-06,6.94080431810077e-06,2.14621148749503e-05,0.000241343807799453,8.93818489668788e-05,0.00915865492052082,0.00848211098918636,0.00173888607846958,0.00766031253395955
26,7.60307226949233e-06,0,6.48057828624288e-06,9.09884578874476e-07,2.21496772198339e-06,1.29523288492643e-06,6.97242962024896e-06,2.15026458156647e-05,0.000244611718855227,9.10811841460542e-05,0.00854590568682362,0.00854305931991811,0.00178817212976985,0.00768355048335423
27,7.60252265951128e-06,0,6.49741458719485e-06,9.18159109947994e-07,2.22217069539634e-06,1.30809569099826e-06,7.00330639689591e-06,2.15384084756566e-05,0.000247849172840172,9.28679929515374e-05,0.00797509456411205,0.00859619276100301,0.0018381112230526,0.00770057475705266
28,7.60110862376875e-06,0,6.51356815575725e-06,9.26298578613768e-07,2.22902318415018e-06,1.32086908317843e-06,7.03342915242021e-06,2.15694175611517e-05,0.000251055745264474,9.47681693356268e-05,0.00744113590307441,0.00864247171227953,0.00188867979093429,0.00771112607653496
29,7.59907046395005e-06,0,6.52904158569872e-06,9.34300677078252e-07,2.23552478989611e-06,1.33354774611533e-06,7.06279277842798e-06,2.15956917280155e-05,0.000254227221987448,9.67736944745243e-05,0.0069426641290744,0.00868176279720773,0.00193980187100365,0.00771615810980593
30,7.59671424900971e-06,0,6.54383765970105e-06,9.42163231412627e-07,2.24167534941922e-06,1.34612374992291e-06,7.09139255555705e-06,2.16169179224833e-05,0.000257367823111217,9.88919247605706e-05,0.00648532972746226,0.00871397058465792,0.00199144978498042,0.00771586926585181
31,7.59424156791291e-06,0,6.55795375659951e-06,9.49884200640019e-07,2.24747493354898e-06,1.35859820140384e-06,7.11922415496205e-06,2.16334271828689e-05,0.000260477579488093,0.000101153366843144,0.00606177236862163,0.00874018127312315,0.00204359786048339,0.00770991150231541
32,7.59185556547662e-06,0,6.57140030318478e-06,9.5746167549694e-07,2.25292384584168e-06,1.37096735730094e-06,7.14628363948093e-06,2.16452858277636e-05,0.000263556589916072,0.000103542579148211,0.00567021405076295,0.00876047617480998,0.00209627518252272,0.00769878869475634
33,7.58976508824566e-06,0,6.58418171688491e-06,9.64880172416623e-07,2.25802262103851e-06,1.38322754977143e-06,7.17256746448393e-06,2.16525284990364e-05,0.000266604271552907,0.000106063674268595,0.00531500363463695,0.00877435163992182,0.00214937640549045,0.00768304424709258
34,7.58810492922964e-06,0,6.59630286469029e-06,9.72150495755468e-07,2.26277202330674e-06,1.39537519083862e-06,7.19807247840706e-06,2.16551934642839e-05,0.000269617975127933,0.000108743915359996,0.00498816800262035,0.00878294516266512,0.0022028668985849,0.00766289354179471
35,7.58700367050299e-06,0,6.6077690613069e-06,9.792721233276e-07,2.26717304426889e-06,1.40740677683154e-06,7.2227959229755e-06,2.16533225394783e-05,0.000272601692347121,0.000111567220697798,0.00468843296411232,0.008786437019139,0.00225671051198826,0.00763786125172564
36,7.58663545528003e-06,0,6.61858606700148e-06,9.86243684143464e-07,2.27122467970472e-06,1.419318892805e-06,7.24673543311538e-06,2.16469610070229e-05,0.000275555779463453,0.000114531208708034,0.00441814133368236,0.00878411030595122,0.00231089656922474,0.00760893266557895
37,7.58711323243281e-06,0,6.62876008514079e-06,9.93063927186066e-07,2.2749132268998e-06,1.43110821693452e-06,7.26988903655888e-06,2.16361575294038e-05,0.000278480642999211,0.000117656511073855,0.00417074602474393,0.00877699465716647,0.00236536598156569,0.00757632535067488
38,7.58844597227668e-06,0,6.63829775943273e-06,9.99731718311143e-07,2.27825791309973e-06,1.44277152488122e-06,7.29225515314957e-06,2.16209640586279e-05,0.00028137553703604,0.000120927575167369,0.0039452356959391,0.00876526043231282,0.00242006010259452,0.00754003986265576
39,7.59068589892864e-06,0,6.64720617087194e-06,1.00624603690091e-06,2.28126064893398e-06,1.45430569411984e-06,7.31383259384568e-06,2.16014357416468e-05,0.00028423934060687,0.000124334339550083,0.00374263097197749,0.00874837164808272,0.00247493677388716,0.00750018386759231
40,7.59396198184284e-06,0,6.65549283439649e-06,1.01260597228432e-06,2.2839235590772e-06,1.46570770822416e-06,7.33462055943114e-06,2.15775414621526e-05,0.000287075553486171,0.000127887683062621,0.00355788144006921,0.00872690784470395,0.0025299555818709,0.00745734141822983
