age,sex,mode,speed
93,FEMALE,bicycle,2.3497581199036284
94,FEMALE,bicycle,2.3497581199036284
95,FEMALE,bicycle,2.3497581199036284
96,FEMALE,bicycle,2.3497581199036284
97,FEMALE,bicycle,2.3497581199036284
98,FEMALE,bicycle,2.3497581199036284
99,FEMALE,bicycle,2.3497581199036284
100,FEMALE,bicycle,2.3497581199036284
101,FEMALE,bicycle,2.3497581199036284
102,FEMALE,bicycle,2.3497581199036284
103,FEMALE,bicycle,2.3497581199036284
104,FEMALE,bicycle,2.3497581199036284
105,FEMALE,bicycle,2.3497581199036284
0,MALE,walk,1.3603549306489557
1,MALE,walk,1.3603549306489557
2,MALE,walk,1.3603549306489557
3,MALE,walk,1.3603549306489557
4,MALE,walk,1.3603549306489557
0,FEMALE,walk,1.3707252656496223
1,FEMALE,walk,1.3707252656496223
2,FEMALE,walk,1.3707252656496223
3,FEMALE,walk,1.3707252656496223
4,FEMALE,walk,1.3707252656496223
5,MALE,walk,1.3943796029345616
6,MALE,walk,1.3943796029345616
7,MALE,walk,1.3943796029345616
8,MALE,walk,1.3943796029345616
9,MALE,walk,1.3943796029345616
10,MALE,walk,1.3943796029345616
5,FEMALE,walk,1.3865058179571808
6,FEMALE,walk,1.3865058179571808
7,FEMALE,walk,1.3865058179571808
8,FEMALE,walk,1.3865058179571808
9,FEMALE,walk,1.3865058179571808
10,FEMALE,walk,1.3865058179571808
11,MALE,walk,1.4687981858742412
12,MALE,walk,1.4687981858742412
13,MALE,walk,1.4687981858742412
14,MALE,walk,1.4687981858742412
15,MALE,walk,1.4687981858742412
11,FEMALE,walk,1.4316955279773742
12,FEMALE,walk,1.4316955279773742
13,FEMALE,walk,1.4316955279773742
14,FEMALE,walk,1.4316955279773742
15,FEMALE,walk,1.4316955279773742
16,MALE,walk,1.5454012677332971
17,MALE,walk,1.5454012677332971
16,FEMALE,walk,1.523193759442046
17,FEMALE,walk,1.523193759442046
18,MALE,walk,1.571018543487313
19,MALE,walk,1.571018543487313
20,MALE,walk,1.571018543487313
18,FEMALE,walk,1.4900302363773084
19,FEMALE,walk,1.4900302363773084
20,FEMALE,walk,1.4900302363773084
21,MALE,walk,1.568361127204028
22,MALE,walk,1.568361127204028
23,MALE,walk,1.568361127204028
24,MALE,walk,1.568361127204028
25,MALE,walk,1.568361127204028
26,MALE,walk,1.568361127204028
27,MALE,walk,1.568361127204028
28,MALE,walk,1.568361127204028
29,MALE,walk,1.568361127204028
21,FEMALE,walk,1.484372596494578
22,FEMALE,walk,1.484372596494578
23,FEMALE,walk,1.484372596494578
24,FEMALE,walk,1.484372596494578
25,FEMALE,walk,1.484372596494578
26,FEMALE,walk,1.484372596494578
27,FEMALE,walk,1.484372596494578
28,FEMALE,walk,1.484372596494578
29,FEMALE,walk,1.484372596494578
30,MALE,walk,1.5201914620032666
31,MALE,walk,1.5201914620032666
32,MALE,walk,1.5201914620032666
33,MALE,walk,1.5201914620032666
34,MALE,walk,1.5201914620032666
35,MALE,walk,1.5201914620032666
36,MALE,walk,1.5201914620032666
37,MALE,walk,1.5201914620032666
38,MALE,walk,1.5201914620032666
39,MALE,walk,1.5201914620032666
30,FEMALE,walk,1.4702407834826303
31,FEMALE,walk,1.4702407834826303
32,FEMALE,walk,1.4702407834826303
33,FEMALE,walk,1.4702407834826303
34,FEMALE,walk,1.4702407834826303
35,FEMALE,walk,1.4702407834826303
36,FEMALE,walk,1.4702407834826303
37,FEMALE,walk,1.4702407834826303
38,FEMALE,walk,1.4702407834826303
39,FEMALE,walk,1.4702407834826303
40,MALE,walk,1.5209734439961333
41,MALE,walk,1.5209734439961333
42,MALE,walk,1.5209734439961333
43,MALE,walk,1.5209734439961333
44,MALE,walk,1.5209734439961333
45,MALE,walk,1.5209734439961333
46,MALE,walk,1.5209734439961333
47,MALE,walk,1.5209734439961333
48,MALE,walk,1.5209734439961333
49,MALE,walk,1.5209734439961333
40,FEMALE,walk,1.4800785441918782
41,FEMALE,walk,1.4800785441918782
42,FEMALE,walk,1.4800785441918782
43,FEMALE,walk,1.4800785441918782
44,FEMALE,walk,1.4800785441918782
45,FEMALE,walk,1.4800785441918782
46,FEMALE,walk,1.4800785441918782
47,FEMALE,walk,1.4800785441918782
48,FEMALE,walk,1.4800785441918782
49,FEMALE,walk,1.4800785441918782
50,MALE,walk,1.5028336630462302
51,MALE,walk,1.5028336630462302
52,MALE,walk,1.5028336630462302
53,MALE,walk,1.5028336630462302
54,MALE,walk,1.5028336630462302
55,MALE,walk,1.5028336630462302
56,MALE,walk,1.5028336630462302
57,MALE,walk,1.5028336630462302
58,MALE,walk,1.5028336630462302
59,MALE,walk,1.5028336630462302
50,FEMALE,walk,1.4641202869363332
51,FEMALE,walk,1.4641202869363332
52,FEMALE,walk,1.4641202869363332
53,FEMALE,walk,1.4641202869363332
54,FEMALE,walk,1.4641202869363332
55,FEMALE,walk,1.4641202869363332
56,FEMALE,walk,1.4641202869363332
57,FEMALE,walk,1.4641202869363332
58,FEMALE,walk,1.4641202869363332
59,FEMALE,walk,1.4641202869363332
60,MALE,walk,1.505734829649548
61,MALE,walk,1.505734829649548
62,MALE,walk,1.505734829649548
63,MALE,walk,1.505734829649548
64,MALE,walk,1.505734829649548
60,FEMALE,walk,1.41388257609353
61,FEMALE,walk,1.41388257609353
62,FEMALE,walk,1.41388257609353
63,FEMALE,walk,1.41388257609353
64,FEMALE,walk,1.41388257609353
65,MALE,walk,1.4247574185821215
66,MALE,walk,1.4247574185821215
67,MALE,walk,1.4247574185821215
68,MALE,walk,1.4247574185821215
69,MALE,walk,1.4247574185821215
65,FEMALE,walk,1.4000989610927388
66,FEMALE,walk,1.4000989610927388
67,FEMALE,walk,1.4000989610927388
68,FEMALE,walk,1.4000989610927388
69,FEMALE,walk,1.4000989610927388
70,MALE,walk,1.4100679496256014
71,MALE,walk,1.4100679496256014
72,MALE,walk,1.4100679496256014
73,MALE,walk,1.4100679496256014
74,MALE,walk,1.4100679496256014
70,FEMALE,walk,1.374941953582885
71,FEMALE,walk,1.374941953582885
72,FEMALE,walk,1.374941953582885
73,FEMALE,walk,1.374941953582885
74,FEMALE,walk,1.374941953582885
75,MALE,walk,1.3665272693355883
76,MALE,walk,1.3665272693355883
77,MALE,walk,1.3665272693355883
78,MALE,walk,1.3665272693355883
79,MALE,walk,1.3665272693355883
75,FEMALE,walk,1.3058393884943365
76,FEMALE,walk,1.3058393884943365
77,FEMALE,walk,1.3058393884943365
78,FEMALE,walk,1.3058393884943365
79,FEMALE,walk,1.3058393884943365
80,MALE,walk,1.3073422732981468
81,MALE,walk,1.3073422732981468
82,MALE,walk,1.3073422732981468
83,MALE,walk,1.3073422732981468
84,MALE,walk,1.3073422732981468
80,FEMALE,walk,1.2179714107985282
81,FEMALE,walk,1.2179714107985282
82,FEMALE,walk,1.2179714107985282
83,FEMALE,walk,1.2179714107985282
84,FEMALE,walk,1.2179714107985282
85,MALE,walk,1.2143128707434905
86,MALE,walk,1.2143128707434905
87,MALE,walk,1.2143128707434905
88,MALE,walk,1.2143128707434905
89,MALE,walk,1.2143128707434905
90,MALE,walk,1.2143128707434905
91,MALE,walk,1.2143128707434905
92,MALE,walk,1.2143128707434905
93,MALE,walk,1.2143128707434905
94,MALE,walk,1.2143128707434905
95,MALE,walk,1.2143128707434905
96,MALE,walk,1.2143128707434905
97,MALE,walk,1.2143128707434905
98,MALE,walk,1.2143128707434905
99,MALE,walk,1.2143128707434905
100,MALE,walk,1.2143128707434905
101,MALE,walk,1.2143128707434905
102,MALE,walk,1.2143128707434905
103,MALE,walk,1.2143128707434905
104,MALE,walk,1.2143128707434905
105,MALE,walk,1.2143128707434905
85,FEMALE,walk,1.2009710794221116
86,FEMALE,walk,1.2009710794221116
87,FEMALE,walk,1.2009710794221116
88,FEMALE,walk,1.2009710794221116
89,FEMALE,walk,1.2009710794221116
90,FEMALE,walk,1.2009710794221116
91,FEMALE,walk,1.2009710794221116
92,FEMALE,walk,1.2009710794221116
93,FEMALE,walk,1.2009710794221116
94,FEMALE,walk,1.2009710794221116
95,FEMALE,walk,1.2009710794221116
96,FEMALE,walk,1.2009710794221116
97,FEMALE,walk,1.2009710794221116
98,FEMALE,walk,1.2009710794221116
99,FEMALE,walk,1.2009710794221116
100,FEMALE,walk,1.2009710794221116
101,FEMALE,walk,1.2009710794221116
102,FEMALE,walk,1.2009710794221116
103,FEMALE,walk,1.2009710794221116
104,FEMALE,walk,1.2009710794221116
105,FEMALE,walk,1.2009710794221116
