Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_grad_f,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_speed
0,18738.06335805751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
1,18173.073343207914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0312421663160845E-7,0.0,-3.923832567464178E-8,-2.2395798447024506E-8,-4.198180126798948E-8,-1.1802276036905865E-8,-3.434414128221701E-8,-1.676307906567945E-8,-4.328714995806547E-8,-3.3524110366997033E-10,-1.7931081238944887E-8,-1.3529727542481573E-8,-1.8209203240653822E-8,7.445999885286531E-10,-2.010045606120424E-8,-1.2473351633987647E-8,-2.2364916031003868E-9,-1.0761591685968357E-10,-6.963226421961866E-10,-1.2476171470619916E-9,-3.2298433757418345E-9,6.48913179091077E-10,-2.047975796711723E-9,-1.1235786511463091E-9,7.299900113243027E-9,4.572592895072643E-11,1.8339075768763095E-9,1.085073845237356E-9,4.094071146638786E-9,1.7636266779661262E-9,1.7208231498666418E-9,4.490549784508256E-10,2.4764208771971074E-5,-1.8995419466447648E-4,-0.09999992603300152,-0.09999983609729225,-5.6207907781546027E-11,2.9628104027625696E-11,-6.398516779728959E-9,1.7560543111648822E-9,-1.1495116298830584E-8,-1.0213473411534212E-8
2,17904.94132632539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.157385785975035E-5,0.0,-1.1952595653830542E-5,-6.819135374421524E-6,-1.2890044000288797E-5,-3.588969769976359E-6,-1.0556487891484797E-5,-5.140453485827116E-6,-8.086438198095725E-7,-5.83326995914203E-8,-8.07895974614952E-7,-1.3084666272442578E-6,-3.8591667906261773E-7,1.3261544002729639E-6,-1.6598442292824175E-6,-1.512437627443466E-6,-7.95316326787018E-7,-3.047357711202111E-8,-2.524050969767064E-7,-3.6767929684799704E-7,-9.42170231329443E-7,1.3981091483453292E-7,-5.944118884560475E-7,-3.242943794147941E-7,1.8597540555421585E-6,1.1421506238592771E-8,4.663209013362452E-7,2.750118302558222E-7,1.0433713781956976E-6,4.5103661491984363E-7,4.3742511989600765E-7,1.1265374439280225E-7,-0.0035940036142066236,-9.425078080470152E-4,-0.09998471259565712,-0.09995823740299785,-1.090373288268932E-8,9.414213105441936E-9,-1.3293154599454344E-6,6.056152315331235E-7,-2.929007243602599E-6,-2.6017874438039284E-6
3,17513.457651566114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022899776151956285,0.0,-0.008710073883367217,-0.004989633244552538,-0.00930262107327404,-0.002582769370037771,-0.007668854536161443,-0.0037643619185901396,8.247427225269463E-5,-2.9560736722166797E-5,-3.5134585235648377E-4,-7.632673937452788E-4,9.49895131320031E-5,0.0010539298147159855,-0.001047342522091377,-9.664169995925373E-4,-0.0030116892223439893,-3.78394703312027E-5,-0.0010233019881348657,-7.835483289676747E-4,-0.0018781601851081066,-1.8282840394613403E-4,-0.0012053239032090491,-6.263662250281762E-4,0.0013215587002644278,7.5697325059486026E-6,3.2702976111576146E-4,1.8918358223468827E-4,7.429927310143309E-4,3.286995266650348E-4,3.0599825822700936E-4,7.21374556841394E-5,-0.004785396434858904,-0.0011977594250910093,-0.15326223568807043,-0.07061358149481063,5.1772623849832035E-5,3.559916147350509E-5,0.00456225328703322,0.0029984417963821366,-0.0020611078264762828,-0.0018277127454328066
4,17355.17044360482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043849928607760214,0.0,-0.016665046965938853,-0.009571001217456541,-0.017815617823377733,-0.004934484603179,-0.014668599924774947,-0.007223620434826387,2.229288982520263E-4,-5.1873293782171356E-5,-6.383344177198214E-4,-0.0013902068763821398,2.2013318488009692E-4,0.0019908777987373656,-0.001975692325513919,-0.0017901781505728276,-0.004129050431149438,-6.343492731720248E-5,-0.001383754427419581,-0.0011519780866023756,-0.002814519565546316,-1.6234754178520266E-4,-0.001782288825178083,-9.353150460935269E-4,0.0020008064033928707,8.484035749660931E-6,4.5937421161111776E-4,2.486843800004721E-4,0.0011399286576614944,5.581057778802203E-4,4.2792394340757095E-4,5.6000477937332986E-5,-0.004715085872302321,-0.0011861479859469905,-0.15069355544080595,-0.06399446180664117,5.995399395334679E-5,5.380035903091892E-5,0.004980534156113862,0.00437468898503555,-0.0025707621517761436,-0.002236529334028488
5,13679.976132347325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9749200638383058,0.0,-1.1290194680416394,-0.6501794705518015,-1.2038373764647843,-0.33406600380440793,-0.9930599140153392,-0.49098928132491265,0.018422564325146187,-0.003301761395120348,-0.04278601186075408,-0.09169646609295105,0.01608707486722416,0.13529213021753891,-0.13476666793930892,-0.1197564515698278,-0.17541123165069494,-0.0037510991967412586,-0.05723049071827041,-0.05617683109177618,-0.14165751587871347,0.001353655032476353,-0.0879389921015447,-0.04685453797869273,0.0779283371845479,-5.6627224649853785E-5,0.012457204228493078,0.0043225697139990535,0.04672665407365065,0.030579509957493225,0.011455632378759345,-0.00550834679552478,-0.005486546199771316,-0.0018090063498135771,-0.21887803569583691,-0.23165511305679037,0.0015752539780741202,0.0027432313266882273,0.09771276308216052,0.20947285251103545,-0.030427408297325508,-0.018186184526413234
6,13536.983852960631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9916470960134807,0.0,-1.1408009317862657,-0.6551633889157007,-1.1913971102957723,-0.33596490934325135,-0.9969611144779421,-0.49362825463576415,0.023064134206717112,-0.005185164672054575,-0.04921913002071817,-0.104865007545655,0.017229948730666446,0.15477532491578772,-0.15351036031971688,-0.13757994435111753,-0.20287728032353616,-0.0049944719004745486,-0.06554624972688075,-0.06513518878898242,-0.16029344351267608,0.0017026531815719124,-0.10179176737782306,-0.054436191711265756,0.09588984703813713,-3.796866231418147E-6,0.015904291405801504,0.006118636990987932,0.05712006184064516,0.036396685744374636,0.014783941637931567,-0.005682311720707315,-0.005462701375053425,-0.0018045037485690681,-0.21667121425187252,-0.23893450476692812,0.0013659037722640274,0.002965957219608925,0.08759705815318451,0.22853576170271325,-0.1061849858707169,-0.08409881010711551
7,13381.991706494293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0091467265600684,0.0,-1.1529984693600925,-0.6603678538871208,-1.179634032406886,-0.3379335402160438,-1.0012290669088775,-0.49641633281829717,0.028114007162228866,-0.0070755716277641776,-0.055458360191012114,-0.11766869460553617,0.01861483460404642,0.17381860486218728,-0.17154733573417422,-0.15510986300936486,-0.22951462938674258,-0.006224291137924216,-0.07354122864445592,-0.07386922035672656,-0.1779979562255803,0.0021656716059828512,-0.1153129732424925,-0.06188474046115707,0.11439602080324049,4.181445643805587E-5,0.019545498881362415,0.007987634910491136,0.06772695646664693,0.042264922407091544,0.018267273148541135,-0.005770945024998169,-0.005436337687295654,-0.0017998079253709932,-0.21458769605099257,-0.2466897733266733,0.0011435277583919487,0.0031710855041304437,0.07598348500265102,0.24688445942112058,-0.18690267187583892,-0.15457285623393952
8,13219.839261683885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.027133311069415,0.0,-1.1655170439783202,-0.6657337246834832,-1.1684588119267354,-0.3399404891230385,-1.005776207219743,-0.49930664966157495,0.03363588314526679,-0.008967996222056743,-0.06147855659564161,-0.13009446263667293,0.02028145692556471,0.19243476864649614,-0.18887065010373158,-0.17233015199447924,-0.2552924692386952,-0.007436741622174156,-0.08120917732939215,-0.08237026545941455,-0.1947688194227029,0.002744724308087399,-0.12849200297182078,-0.06919237605314205,0.13309573183353923,7.110295155548095E-5,0.02327529514704982,0.009842249259269222,0.07833299378375419,0.048134990058267185,0.021792885510694082,-0.005829033687895658,-0.005408431807062128,-0.0017951028650021162,-0.21254598016498177,-0.25478829329072983,9.188441015247693E-4,0.003361515616150222,0.06409161504527892,0.26483658850442215,-0.2712898945383171,-0.2284242489565449
9,13064.033692428031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0450705153708486,0.0,-1.178165643426893,-0.6711448300581402,-1.1576873155266343,-0.3419272698378429,-1.0104330325325848,-0.5022092473262846,0.03971417405651342,-0.01085451604693627,-0.06724472105207296,-0.1421171414278225,0.022284199990630166,0.21062744743455758,-0.20545057349772705,-0.18921046933895086,-0.2801001842200894,-0.008622953554405559,-0.0885218162669263,-0.09060999597630948,-0.21056044143483177,0.0034490153079775312,-0.14129050218711958,-0.07633588835861232,0.15128290700063426,6.810130691559192E-5,0.026875628508011826,0.011516977223859897,0.08851832600231536,0.053912453781848765,0.025133750904266193,-0.005967059171790572,-0.005379812922626607,-0.0017905108801261782,-0.21072086676512905,-0.2629055866710563,6.82943569413228E-4,0.0035364092012296912,0.05033419850160653,0.28204313850794077,-0.35600795734949725,-0.30254568279261135
