Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_grad_f,g_bike_stressLink,g_bike_stressLink_f,g_walk_speed
10,14271.24308137209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.092156023482477,0.0,-1.7926541177307016,-0.971794650318642,-1.1773178328430585,-0.4514345412934323,-1.3607062895177122,-0.6907111774864556,0.4081798770353704,-0.06302725836350928,-0.17563786546607285,-0.41853013564891006,0.14527538178464708,0.6817497296851711,-0.5734852978273302,-0.6096161721369389,-0.9547376714372624,-0.04328934773947267,-0.2790105450325082,-0.3020039030764373,-0.6118825757447282,0.024845816351435634,-0.47408038156718246,-0.2700944957673213,0.4669734533513673,-0.0038133220110768955,0.06687558179733231,0.010944853838565157,0.2666173532496672,0.1976633124231022,0.0483609936794978,-0.046663513605001136,-0.0046194135724046395,-0.0018253276132255798,-0.08645022393481769,-0.3678755579695342,0.0,0.011371100435548327,0.8082703059967418,0.9658414370088301,-0.8509767619387848
11,13882.414044972951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.198492586879326,0.0,-2.916589429825754,-1.3446076820541473,0.2871672562315757,-0.4265853897138743,-1.460828713790293,-0.7716504096950985,1.3270848879931476,-0.2734670283046505,-0.7456987063814902,-1.1072645745615697,0.07828117112773907,1.1945843783458403,-1.0740190845352027,-1.8329827781281813,-0.9906907204783558,-0.1837131680058683,0.008176083892547203,-0.3981073260890668,0.18747675073068026,0.42669450876089576,-0.6679018993805044,-0.5840940933467509,0.888023083940755,-0.06230072961220431,-0.07992617790430946,-0.33556131121861826,0.3025180851243887,0.702155119102153,-0.2598788878628094,-0.38127273465014033,-0.004390839515992904,-0.0018266974138127815,-0.09096291488029441,-0.367284182498802,0.0,0.014558991792082476,1.1102386161578799,0.2580116043963736,-0.8506090654272263
12,13674.996214967456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.268181071466233,0.0,-3.8285889784438014,-1.6431522045352307,1.4766374230416743,-0.3949967804482178,-1.5341359200242275,-0.8409590253215518,1.220692975158728,-0.4582445735930686,-1.0350622847419348,-1.4397397903653393,-0.2330873682468656,0.6555406441461267,-1.0878350800411523,-2.3744909862265744,-1.1018137261956487,-0.29007002462839804,0.007712200065261995,-0.4477059885276424,0.2563736525643695,0.7178046406927031,-0.8074019995838547,-0.8212433566945373,1.2129646282142246,-0.11210060870304452,-0.22197179008873197,-0.6198882165525197,0.32542896878272404,1.111859542584974,-0.5100880655185136,-0.6684647241535816,-0.004212830563506775,-0.0016682677987316704,-0.0816314718474295,-0.3672202570559845,0.0,0.028652537676104782,1.2479274453649107,-0.02207863779005309,-0.8529477095825512
13,13520.544744945584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.321598363955993,0.0,-4.545409963182694,-1.8761169108891804,2.3411443092604602,-0.36258224881688617,-1.5722505036560877,-0.9038370486758489,1.431265304101123,-0.6065616462871816,-0.9055266549195001,-1.488377963513067,0.02820260306391703,0.3527052112580315,-0.9861276606385758,-2.6081409794442045,-1.1303761240529455,-0.37167910364263246,-0.08661940690612122,-0.43735114936347425,0.03610585488803794,0.822106288488057,-0.8141031072539919,-0.9425419052889318,1.342765674412264,-0.16108824122901613,-0.38665334269000645,-0.880281186136625,0.2542028294366809,1.3736523955847169,-0.7254087156390184,-0.9139498306245846,-0.004281332229616831,-0.0017538827605385347,-0.08097266233912503,-0.3644285505917091,0.0,0.04589661954717199,1.2360901150812253,-0.17241067253258907,-0.8569105613657977
14,13497.027761989546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.3574027558733315,0.0,-5.4251195008168,-2.119301225009396,3.1940530824096296,-0.2668241586606415,-1.358252288026871,-1.0439512139513054,1.169017690354364,-0.8720665855430527,-0.7410113417151557,-1.1320654975225946,-0.17662064765244184,0.7271636055368293,-1.4585809251103927,-2.503544715876988,-0.8127798828621916,-0.5092239312515167,-0.1969296659986328,-0.3900926108988413,-0.3467433217656746,0.6093455404856276,-0.5845282348666894,-0.9486336326954969,1.47470720659097,-0.27286358939148436,-0.7140059907705381,-1.3351049480974193,0.14046063611854886,1.5791366869328192,-0.9902749089672525,-1.3460798202274737,-0.004217716928142438,-0.0016713949954069525,-0.08547948114557953,-0.3567697610869458,0.0,0.08248474054917104,1.2880160076282934,-0.30783974153981675,-0.8788670619944878
15,13438.749635877553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.404138068173145,0.0,-5.735188917194541,-2.0890480242116056,3.139146732904526,-0.11103499348122178,-0.7800649585449209,-1.1735088815535235,1.1130810563541578,-1.1503412472780086,-1.053344319993988,-0.9663403055888256,-0.04848320316075089,0.8526099843437768,-1.3214140553028029,-2.3512030317957815,-0.7001546822936671,-0.7038745410481141,-0.2152128945702787,-0.5256816030198121,-0.5009460127352687,0.5274168851081139,-0.704792658996881,-0.9961971206176656,1.9181608408751767,-0.41571300723798266,-0.9755383860260443,-1.7165209469369944,0.2748897743247456,1.7270522736102698,-1.1187427242354142,-1.7828924323288067,-0.004225638739375539,-0.0016705084408987032,-0.08595522492148282,-0.3622664300913922,0.0,0.12244764431216582,1.3083288021244817,-0.43270681325111654,-0.8663123014865994
16,13381.75691629297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.414504901084195,0.0,-5.995127991987898,-1.9516902877802997,2.8613247360034535,0.15804591832507378,-0.20168024823473907,-1.2137720673493455,1.121153880752941,-1.5593571219489566,-0.6978135776463612,-1.2837236394165972,-0.19331669021717732,0.938716591659903,-1.222894951865922,-2.2177392179168516,-0.6035178810246565,-1.0044094815274245,-0.3295088091899806,-0.671072443198718,-0.5621522951105162,0.5168724261891338,-0.8812250255195594,-1.1112075783382265,2.4340524034904187,-0.6451658280718299,-1.3847512257976593,-2.210912035278317,0.4007948256086822,1.7854826020943346,-1.255525881415043,-2.383987272412776,-0.004233095166033672,-0.001683489913948301,-0.08648344830343536,-0.36752595411697936,0.0,0.18183764705759112,1.3103107912586378,-0.5403935386409003,-0.8566489500010682
17,13274.476061542247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.081571083079537,0.0,-6.3232122678579525,-1.3530545240894167,1.9843251684572478,1.1288158653615403,-0.4848113539640393,-0.5018500242314972,1.3352989912059225,-2.8560042158858567,-1.0523297398499905,-1.5735058397496084,-0.21042472871429072,0.6667702090003691,-1.645183562672454,-2.0969186551473618,-0.4447068736325231,-2.0196505816874746,-0.5509049068329704,-0.9644241953583905,-0.664072898238579,0.7560043523354458,-0.9534064553698305,-1.612697690889235,3.005278380460302,-1.4973264838588372,-2.517604200836449,-3.4979882497095183,0.06863925370659962,1.1190630617445194,-1.493189296806189,-4.011120862804445,-0.004432260027185992,-0.0016776983409890135,-0.09426383593468673,-0.35666709418546827,0.0,0.39000159299200104,0.9774143405077198,0.07876700425812744,-0.8840903005678057
18,13174.748236270341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9136001026537937,0.0,-6.479007972200671,-1.1546428285683694,1.8457021138673761,1.2938060245418854,-0.8656566295798931,-0.07200377793634294,1.2600089478809116,-3.667980167282526,-0.8955404540927038,-1.1624523544048624,-0.33767002253364403,0.8532171964427752,-1.115624328961774,-2.1597640879146587,-0.5202671521777068,-2.700640913680519,-0.6543036436983534,-1.1071481601059237,-0.14625021193440957,0.6228473559836534,-0.9546850285534088,-1.8018471119745898,3.5334973134035303,-2.134107522587877,-2.5894113661298284,-3.786597029232599,0.15247490826978213,0.5758535812176052,-1.4109553328467666,-4.740699212204302,-0.004642346656044761,-0.001754895105033827,-0.09714441650026248,-0.3644101382776068,0.0,0.5261808563454524,0.8087263121636383,0.5990453364038245,-0.8482167337609624
19,13046.444927625844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7838033047915656,0.0,-6.363343602592658,-1.0979891169160214,1.8021068101477706,0.7150600391891215,-0.8338264582164271,0.005596286577809653,0.6297647144950008,-4.985331750026209,-0.6591555501620453,-1.1989480527422711,0.39668045884124153,0.6863916313491689,-1.3070874983471443,-1.941742702859112,-0.69509907927704,-3.852242382560787,-0.6085437802599332,-1.078159114645712,0.932295308145954,0.41463419879177155,-0.9330616415377604,-1.8686911454038708,3.959144266837323,-3.3117174724638803,-2.140294591307284,-3.6807636367509233,0.14160503313438125,-0.12793216368346283,-1.4170935348690168,-5.620305526133149,-0.0048931302233768065,-0.0017207036790856027,-0.10331208568732371,-0.3708200507300627,0.0,0.7671274574099782,0.6180819414514523,1.4378533306517578,-0.8018030309918209
20,12871.3706222198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7527612048270313,0.0,-6.061589159322962,-1.1642776928711533,1.8072562297136534,0.12701348369355625,-0.6148142244083907,-0.304980861291742,0.811885986530857,-5.934414070971279,-0.7089320599136416,-1.2021217342189208,0.21969132159418167,0.5606731683561623,-1.1946953393211353,-1.7240287371830445,-1.021218846930546,-4.707230455115624,-0.5358301502176376,-0.9330326461655463,1.2548485831958387,0.272497943393855,-0.9518737512524781,-1.747250057785414,3.7372148493290793,-4.246827106008286,-1.7494582980515068,-3.4092006873132528,-0.04613599788786693,-0.5353764754876763,-1.631272678595684,-6.134289888536997,-0.005166642008686431,-0.0017930918271830377,-0.10490392514524,-0.3633378093294727,0.0,0.9649041331315934,0.3990610607213157,1.9793377134377117,-0.804874845588684
21,12622.937239391335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7446525753654916,0.0,-4.918395158940612,-1.2434873132022786,1.7945257003211494,-0.8534832434967276,-0.5528461592183548,-0.8957354501190213,0.8895482807339654,-8.015871321495979,-0.7125467817368637,-1.137669102674428,0.017622119245273626,0.4604120749245341,-0.964409272567561,-1.6041199639811023,-1.5614189716313727,-6.628291380242512,-0.26551543769241304,-0.560369072508075,1.3409840661325294,0.30058847562284796,-1.003202039389373,-1.2055280660897743,3.22400093706395,-6.430948230654715,-0.9463852591992784,-2.435330175648828,-0.032826390814748224,-0.8970468104047102,-1.9385643831839978,-7.081017218313764,-0.00556666055139504,-0.0018542955972741164,-0.10858715794749363,-0.35387602158743175,0.0,1.4449500455373165,0.11762853541404106,2.543438740421365,-0.7974809949615106
22,12562.614076654749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8356784942197466,0.0,-4.6827256396361365,-1.1727453101216452,1.8409403410659935,-0.6251745924881069,-0.7878297903761315,-0.7683320057516485,0.775509331803469,-7.873847516780227,-0.6774802505829913,-1.055858483891921,0.1157959168438384,0.5121583436057874,-1.0626088171419215,-1.6473943715584372,-1.5663724815610571,-6.536982103194724,-0.4437657068596962,-0.6432046024111089,1.0717182048674416,0.38882390058391897,-0.9781944484105494,-1.1903937502454034,3.2647890820516285,-6.356047200036041,-1.098644149419174,-2.268092998594501,0.15703405042466695,-0.5938521497206014,-1.7317932900601662,-6.855125548680526,-0.005428021698008093,-0.0018091241775419255,-0.10357682961998066,-0.3586602371186638,0.0,1.4358135591182597,0.2897945363431076,1.962380582017285,-0.793558479770822
23,12419.154308088062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.459388156883318,0.0,-3.3671432704722646,-0.959864786426883,2.45000892461555,-0.3814501943295176,-0.981460519385363,-0.6197345447412461,0.38171730723975633,-8.555190653982383,-0.6567966155690254,-1.2856583014377412,0.2842967291706302,0.9335455942402091,-0.6642009058441607,-1.459496156222906,-1.018425425822722,-7.417627612189123,-0.07722842532835505,-1.0289948292844415,0.4656347435517437,0.8269521124096506,-1.1279196198622854,-1.2967153467665042,2.7077615043805787,-7.3790682284056945,-1.4245074864288596,-1.2744250635228502,0.3086169351858331,0.17616238676839568,-1.0479379426073834,-6.29880789482147,-0.005379566129994443,-0.0017386933925944122,-0.11172752215303583,-0.35166302608560424,0.0,1.7077349455413096,0.3743699636783415,1.772843350229231,-0.7786637134792472
24,12274.586838780811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.936498952148836,0.0,-2.308045237344513,-0.8343355658494866,2.793502305446929,-0.40278801029150096,-0.8341937136664758,-0.588792536698415,0.47443645045983707,-9.399288652580426,-0.6209748114449487,-1.0920002283611614,0.20840496981911238,0.802350994493277,-0.6853824018071675,-1.2142736147354185,-1.1324816522311254,-8.410940725893527,-0.2841524346595379,-1.1142279645592348,0.5332762298026092,0.7037529901465658,-1.2024758372134239,-1.381320936005921,2.3165717064019664,-8.484459582936617,-1.2966558120848246,-0.7566416187163324,0.30645435645559127,0.5253180018689723,-0.7025137938680213,-6.02950631747922,-0.005528390022323065,-0.0017725627724148496,-0.10963064008106978,-0.34607075886363636,0.0,1.9783067049907277,0.35257453240565656,1.7228459826550102,-0.7711169212238219
25,12179.133828819147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.347358956146606,0.0,-1.355639530526809,-0.691171483373471,3.0043577227387495,-0.38214946042379905,-0.6477229701528302,-0.5253818244082381,0.39286298041960094,-10.066342838492233,-0.5805568578611606,-0.9608936395939838,0.19906734814125165,0.7414803891450308,-0.6321723251863716,-1.356334414550838,-1.2292184102091679,-9.274957109735515,-0.4321148522021019,-1.04695540778332,0.4291078883062746,0.552302948319993,-1.2035527341151404,-1.3907830308555134,1.9188294535495212,-9.458786634689666,-1.0351171762201314,-0.5822002846873631,0.30031253575114825,0.766745690954537,-0.5344045119595641,-5.604889579718559,-0.005588243064380699,-0.0017484729563860106,-0.10741708514218447,-0.3389831781207892,0.0,2.221952221468888,0.34721365447018615,1.6151634758884468,-0.7730105743068701
26,12099.60501275386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.725622074554509,0.0,-0.6335073305127635,-0.3463539815876978,3.242012936965973,-0.21306188637179882,-0.5153224444038469,-0.25904474680545325,0.568484275862279,-10.574734719670895,-0.49968710692871543,-0.8207282230104888,0.10141791670618648,0.5744530775907949,-0.7494644462973945,-0.9381867852840937,-1.2407340853201372,-10.246732803719862,-0.1758894787229061,-0.8736764104519115,0.12024417718190733,0.6479382600765438,-1.2584539386120202,-1.3622439539908768,1.7853065886220423,-10.591911078424015,-0.40476514105563,-0.6307661494754815,0.6281278509188901,0.8812919439420578,-0.36501392702027263,-4.434579046602626,-0.005642514793543167,-0.0017723036854969895,-0.10847722561423556,-0.3430936167611063,0.0,2.5155123387074316,0.41525455440055914,1.3595023070198755,-0.7389927069144917
27,12065.67433481224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.53279913960993,0.0,-0.9895119938756505,-0.33396911223719744,2.9726230218883813,-0.15838133545775326,-0.4007621953493742,-0.2647831976572334,0.19844940278701123,-10.278696223012377,-0.5624534966386159,-0.9764438418202016,0.2437714683372859,0.7670444773906194,-0.5385927681502746,-1.5518367535234248,-1.3178487254223996,-10.029522895843135,-0.37629253968656334,-0.7752192117770771,0.020376744706023464,0.4819474743326907,-1.1910853341544811,-1.2981709185534556,1.6522780714295497,-10.366524219041521,-0.5457393945589489,-0.8633752109606725,0.3626045609325181,0.7346325115020005,-0.6307317031062825,-4.178473303064675,-0.005508798011972834,-0.0016664776003578695,-0.10425742964408202,-0.3352044220652889,0.0,2.4655655178488645,0.4125464088116203,1.2690212170676312,-0.772633334237487
28,11917.075955670827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.851489572984813,0.0,-2.237221994972953,-0.3515641409690854,2.2788132406871466,0.3933706828764193,-0.020900395090623414,-0.05166926627852547,0.20049783501350255,-9.220417911966662,-0.4688141594504954,-0.7536448715707573,0.25460589827188257,0.6601719700097696,-0.7130907130491718,-1.4721070648442138,-1.1288589600872179,-10.207925813072276,-0.30335638050684527,-0.9699875737151886,-0.2648403598089042,0.7256319067054524,-1.4106871167407222,-1.3489670260782447,2.143150440727733,-10.69018169072228,-1.254369850086161,-0.7366137972767661,0.07657110506439813,0.449174447612473,-0.9783976999922301,-0.947004401608114,-0.005334687464176426,-0.0016111717736997998,-0.10173639198201889,-0.34235363529764923,0.0,2.596225865515594,0.5357997828021757,0.8565098654972908,-0.7527864433376796
29,11864.78713933257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.7080698399373,0.0,-2.1491342588958715,-0.5035229559397163,2.193213016364444,0.4853200965983209,-0.04946679909146958,2.960905477468745E-4,0.19662947768753558,-9.124376573810707,-0.6201981593082588,-1.0263585537986522,0.2530336518172047,0.7080761868584655,-0.5677644366463652,-1.1854241326253745,-1.1098591598005598,-10.674366322491348,-0.5019207926437519,-0.9059318261657258,-0.40955354509505937,0.4693561125914562,-1.2760102039186756,-1.3247380722726956,2.170812949474333,-11.262741004572376,-1.2308288734192778,-0.743780788993851,0.019203890860546857,0.49510321862522666,-0.8899947714150019,-0.02434399088758321,-0.005283054425712987,-0.0015764338030684777,-0.09905864488630714,-0.34275675058260174,0.0,2.7561717919917608,0.5883347858619836,0.651423520987049,-0.7462603381896498
