Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_vgvi,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_speed
13,12158.328513430395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9447268780234803,0.0,-2.478843681744118,-1.1053462265519598,0.4370840950436359,-0.23367164966787096,-1.075424453843216,-0.5894676721157226,0.756360160391656,-0.3129212367714328,-0.5073682303927282,-0.7370454257694048,-0.001991231676307742,0.3088427130970656,-0.5372460853387973,-1.1521316526833136,-1.1603227808922973,-0.11741665739475293,-0.19001047723031805,-0.45389890747204853,1.1428650379895933,0.4386464185283596,-0.7085394275793889,-0.6720197865922722,-0.41138460388512715,-0.15094499966014213,-0.42898646206029717,-0.7060786177801626,-0.5778636847355789,0.5431679963088021,-0.6673964066541064,-0.6484087167582568,-0.004821618585816822,-0.0016860899280339175,-0.19217977479703152,-0.23059613665027826,0.37013929265253975,-0.6408108527741649,0.6526720574368532,-1.1005019947667551,0.17917306072470562
14,12103.63462379884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9567518902414096,0.0,-2.835382575121405,-1.2395858770854056,0.9080443129000506,-0.1956905399200483,-1.0556226706812541,-0.640110043930508,0.6722937948485329,-0.43265971630662925,-0.4779604151448167,-0.8346857215680683,0.12383426135076173,0.23278401855301256,-0.7300572578057576,-1.2201951589336,-1.5294422045476694,-0.15752424367169898,-0.33667505599516,-0.5681837318706,1.2477070362420564,0.5047199557422686,-0.851788453536188,-0.8536675774728484,-0.15140922149480557,-0.20099091409198236,-0.44066581416577427,-0.8094395374332415,-0.40873573864879,0.755960514888264,-0.7168495202592475,-0.8040545892967331,-0.00492304292698783,-0.0016778965295674055,-0.1780845656819473,-0.22242191500204414,0.4860878481236659,-0.7720723388605399,0.7654366751568489,-1.1046358170280723,0.48982868836502647
15,12045.090518582867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9759452899100496,0.0,-2.9964218882890608,-1.305611439865822,1.1028036797122804,-0.17433014081906117,-1.0240443092178226,-0.6746371927396978,0.6644797077857707,-0.5079245792878333,-0.4534645750691433,-0.8052271016659619,0.18369408614773575,0.2527046740570224,-0.7632676816381601,-1.2238658702072502,-1.5641073424000247,-0.17973062818063223,-0.3603936193858033,-0.592152295546153,1.3739293260653218,0.5421151825562196,-0.8646150003385827,-0.9193148939287363,0.04297481114614085,-0.2342294254537089,-0.43985199094144617,-0.8645570046832997,-0.2792847556007142,0.8810223589407593,-0.7322654559136155,-0.8951666151055773,-0.004902820018735925,-0.0016785684360437988,-0.18120558975583356,-0.2248119017256334,0.46365614205424516,-0.7742341070125732,0.698736888638647,-1.2612870455836256,0.7137699962118556
16,12022.854763559388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.021128551999797,0.0,-3.211432520642365,-1.4142166206523297,1.3449670563293594,-0.07658928934112301,-0.7937587912411628,-0.7792102798092815,0.584203961590805,-0.7799212486131406,-0.7378840760190031,-0.8054473856562491,-0.049447478352681234,0.20123051151116056,-0.37996200869207714,-1.3383075261641044,-1.559302743421028,-0.27710464760009523,-0.36109541222917413,-0.6341725373401311,1.5016471945339993,0.6568667980796832,-0.8678308141249821,-1.0897619396753107,0.5753588478770973,-0.3802554249624285,-0.528945762225515,-1.0686342357285148,0.0905864966273277,1.1708855268578269,-0.77808450152031,-1.2337298384346402,-0.005020709225193755,-0.0016618509710559632,-0.16100978027433782,-0.22792238645347315,0.2815231182316094,-0.5406935959681782,1.2485507587599767,-1.5511182347783303,1.2373757558295897
17,12013.915891105476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.109945839182514,0.0,-3.350054391242528,-1.5046641812652175,1.5033795980782243,0.04708721385696263,-0.47490557636895303,-0.8902734316094361,0.5161855906239714,-1.1518369513266369,-0.8201473113249201,-0.9047071824850068,-0.12840217172404705,0.19159135826135754,-0.28800429596285454,-1.3892433742383519,-1.3359467352389869,-0.4104355771563857,-0.29025198822163123,-0.6411188160936957,2.054547281031249,0.8288960304418005,-0.8102104570258083,-1.278849022140785,1.2512939387897226,-0.5786827451580981,-0.6891132143564173,-1.3198112917365958,0.46911432472425213,1.464892722331741,-0.802764964846306,-1.6634928477249231,-0.005035470780124032,-0.0016334499658114973,-0.15825687759201718,-0.2399233885561438,0.016829375531150492,-0.2497939024370326,1.7134411361844764,-1.3555289820102046,1.0950979348946281
18,11975.053143967067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.154030952936248,0.0,-3.168120257671955,-1.4772415191007455,1.2407221951674485,0.18799187835759765,-0.17926745153500973,-0.9258453232678301,0.5606259823302919,-1.5384781707771298,-0.7494754990152689,-0.9262042375047319,-0.1678951123658104,0.4140705520509347,-0.5262597946062437,-1.2737359738242124,-1.2706052610776706,-0.5664749884125382,-0.337774868475572,-0.6245281485332753,2.3681807319528287,0.780112319276735,-0.6680350802719865,-1.3730163027942495,1.6949519681215186,-0.8160494892494633,-0.9369384187626274,-1.594653786102197,0.6976436282577159,1.5702901239076081,-0.8252834541197959,-2.1203459134381903,-0.00513193276438722,-0.0016511557613757652,-0.1510934412411027,-0.24755053708219443,0.16415085332184592,-0.33361911361806745,2.147244195483351,-1.3940136684894637,1.1442046901310226
19,11951.860074787559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.239644222855825,0.0,-2.9498038568782055,-1.426170737060652,1.1254148009473728,0.33177615206812106,-0.09276007052756786,-0.8876594961971838,0.6392634750912641,-1.9260996234264793,-0.8720158539118158,-0.7966274998311286,-0.12937862026311892,0.6340533514961691,-0.31498538150745486,-1.331388503354169,-1.381377448960611,-0.7386332698914412,-0.45054410602331857,-0.6802916500566664,2.405091415121637,0.6955570246375692,-0.666525207414257,-1.3956355653313897,2.090054589134497,-1.0707931222013882,-1.145447346335594,-1.7936077862581077,0.8348264580086399,1.524995282555443,-0.7870730686976977,-2.5098559194596866,-0.005139706510782136,-0.00168532406244846,-0.151693909624945,-0.2543933685328437,0.3309232574351141,-0.5150493693113424,2.0594196838870666,-1.274485454235302,1.0164571120649368
20,11864.537901684347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.542681552648244,0.0,-2.308418861762823,-1.2175968775837562,1.1470485393223284,0.7021442738807115,-0.28835640642353155,-0.6255332443006478,0.23840746575436061,-3.003575388741154,-0.6229149540307128,-0.9672404744756358,-0.07405930151231199,0.7439770435955835,-0.2514413281653456,-1.4018174749402548,-1.5270103364399932,-1.2577439959009722,-0.6865640024864184,-0.8730738020235282,1.9944283209959859,0.6174884855414642,-0.8450538404690077,-1.2881701574479012,2.513674204081602,-1.8566064512647253,-1.7663297903327093,-2.2328691572049055,0.6026611171131209,0.9519080335675779,-0.7073879480530763,-3.4487389132453954,-0.0049965766397776085,-0.0015861312268331995,-0.14875014011770893,-0.25465430814681683,0.005695993081163031,-0.29485389695553865,1.6464968034146152,-1.24765100717251,0.9314084145663353
21,11814.783212749247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.795315483304173,0.0,-1.994325781665078,-1.1061342937255425,1.396818861237669,0.819800990879124,-0.3572173930195983,-0.4779491520482805,0.27005744254755176,-3.734047210776037,-0.9824847830607562,-0.7784744935896454,0.0031780560783257333,0.5763638177928738,-0.6195073926634538,-1.2047141267285415,-1.4033891454308767,-1.6590252201954263,-0.5877407762317514,-0.9304913978963261,1.4400346437202698,0.6357101360149221,-0.8636248521180343,-1.2016855750254627,2.690739564074259,-2.4506751215061993,-1.9371872685772484,-2.374970092488562,0.42291860625349437,0.5452681948926212,-0.6870552332398682,-3.946525325786356,-0.0049389071551683835,-0.001539819411656289,-0.14903488862399755,-0.25483592161873664,-0.12496261148643209,-0.15784558587918507,1.4103806188188899,-1.1931467473318345,0.8105122969860672
22,11788.354115599663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.217277637030904,0.0,-1.7191234002209965,-0.9607339023444725,2.011056242788399,0.6936179794657048,-0.2500454966026702,-0.33057331665559386,0.8203163751872162,-4.8561731667952195,-0.5914680341267802,-0.9457238119393667,-0.5168370240844239,0.3341263303690085,-0.8442824721440811,-1.094575215576055,-0.9936426116839214,-2.377379549803292,-0.26576869399464237,-0.8241816737853541,0.29305388343741257,0.6353716441213377,-0.7505023437112901,-1.083765774087892,2.8929060338278623,-3.4778204100104197,-1.6503904692533835,-2.2056594480235385,0.3030545798210085,0.045093210017093543,-0.7624519477529055,-4.3984565699149565,-0.004871489840871645,-0.001594628499637448,-0.15536817669641934,-0.26044475880310125,0.01033290962532496,-0.1982968039613756,1.0067801037323632,-1.0454871669902275,0.5534320723117491
23,11763.333754677837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.481027104296225,0.0,-1.411516848498234,-0.7265267695832838,2.06526038964731,-0.02947905205490886,0.3832409612829421,-0.31526697720985947,0.4723565775230418,-6.050428721046711,-0.7125649513390331,-1.5271435164979215,-0.054150874706354046,0.40346401724706793,-1.0080547288464525,-1.6784326196214288,-0.5993936711027114,-3.3694570247100977,-0.10831108451499771,-0.4847633660027438,-0.5950393446753897,0.44622732226668627,-0.6450435896118589,-1.1463475504125593,2.598987051227879,-4.791495855035524,-0.49958668623653746,-1.348846526583491,0.1026378879912972,-0.08000441769344435,-1.2340178252522047,-4.20294408433052,-0.004566540362219271,-0.0014151294895688442,-0.1646175852101838,-0.26260916071932844,0.10517901593060906,-0.2177647231211352,0.511199059401148,-0.9881532293418662,0.43263937227808497
24,11706.102583916309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.442389337668047,0.0,-1.3546140006247727,-0.6819446038082521,1.9330788444130125,-0.25658548116540325,0.46030601041016517,-0.32800769092732857,0.4409765855480806,-6.398401510586015,-0.6281199415343897,-1.321865025729837,-0.13409402776696921,0.40679875524580483,-1.0473143208893818,-1.6340242513433045,-0.75364894341974,-3.739269150829807,-0.1869233898659762,-0.4695122119514321,-0.6777418561367619,0.39869931568075295,-0.7870973061962686,-1.2971813428873697,2.339708330875059,-5.238134949213229,-0.13464611371790036,-0.9429940329047333,0.06715648144687122,0.02584643222938894,-1.3797457290613928,-3.908235555380422,-0.004553501698556313,-0.0014091952324523892,-0.16097632277924556,-0.26482050483533454,-0.0487927535751959,-0.1281795351799752,0.3847867536161773,-0.9571000814352412,0.3507644228004712
25,11664.573680304806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.944145361119133,0.0,-1.2802504522544653,-0.6185564258013191,1.696419612286359,-0.5111651790277101,-0.581703322350592,-0.23479205964963196,0.3634036767212584,-7.225918106618055,-0.7543894719760611,-1.6683262461754835,-0.023682881770720185,0.8446180308157385,-0.96816881319126,-1.154144162129156,-0.8149138318417762,-4.929420824199542,0.1486371927562334,-0.5485235944885177,-0.6937855949034459,0.539622545196278,-1.0348816924779767,-1.7624378531162752,1.4544273607923777,-6.534999626259605,-0.11057089562828758,0.4382347593002538,0.6855787147063732,0.4283019024645993,-0.7649877005728648,-1.9102932023336745,-0.004445352024129224,-0.0013691714630333504,-0.15913684187278765,-0.27647675920945775,-0.0876200370074359,-0.11947258852758304,0.26908837448520745,-0.9482907069998413,0.24760838645372554
26,11604.621874971517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8105213708895094,0.0,-1.263940011412141,-0.6415791300408732,1.7396005293603942,-0.4777344667547027,-0.7072522986565725,-0.5808784005809771,0.21632481920427166,-7.543099084120929,-0.6078137526394731,-1.3235265493190154,0.02004439649313855,0.857381580737552,-1.0891264940023697,-1.5679124476944633,-0.7194817170808134,-5.639872849799609,-0.08012961157840381,-0.4307745839726842,-0.89786026048355,0.4956330276675849,-0.8113128199364995,-1.7966588514189783,0.8999994729560493,-7.1930962391923865,-0.46824962768423556,0.19051138185936098,0.8230715572419356,0.8865990126495268,-0.06972565859903179,-0.13791016047921034,-0.0043675896455424865,-0.0013164822614405577,-0.15786218599112303,-0.2764399047676412,-0.09159820512628578,-0.09794298653083888,0.19702618576595604,-0.9235814984781591,0.15311058769429464
27,11575.106678350587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.820183819497628,0.0,-1.2088159350884329,-0.6333387591578825,1.6784494987563547,-0.45114650301093395,-0.5821124536851293,-0.6728102971384682,0.2866814621870354,-7.5631311241795505,-0.6628390180444094,-1.4819437910801219,0.017039339128536585,0.8168745766642279,-1.0786020301213255,-1.4353337738075596,-0.8132016220570849,-5.834328124005732,-0.12025807176359629,-0.4884994093263928,-0.9484923813922752,0.4878017271367998,-0.8306419427464493,-1.770797172987111,0.8160277828124995,-7.326054806272633,-0.49772536611586404,-0.01429604166410034,0.759659749740778,1.1275098919346676,0.10530619392892157,0.2109856705479654,-0.004327876246394425,-0.0013123524823092283,-0.1585196168905937,-0.27519767852174315,-0.15111804053232694,-0.07789563304600028,0.05333206596556764,-0.9240196312502555,0.1585684778265978
28,11518.40860527775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8416494008415034,0.0,-1.247839166057677,-0.659904705971481,1.7333076770748177,-0.3397665619248911,-0.42372131980275896,-0.5011772081616825,-0.04930984762294999,-7.3649677440232555,-0.5259493497808607,-1.278292392659039,0.08643679977602382,1.203683457544496,-0.9431225598613586,-1.143075785477596,-0.7514413109200354,-6.372881783349558,0.05950424668012835,-0.8366148272902855,-1.1274129183791066,0.723004285797474,-1.0336134285442373,-1.4999344385174291,0.5929076382481098,-7.559764820287865,-0.4857577565778938,-0.3718778744926271,0.3564057443461755,1.8283035431130914,0.40503647311709123,0.25272682843959315,-0.004272082560969787,-0.0012703138290184968,-0.15396525095064098,-0.26653637859431323,-0.03343588818901949,-0.14858095991878495,0.04687690207980472,-0.9007952787175818,0.11217887528203971
