Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_shopping_trip,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_shopping_trip,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_shopping_trip,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_shopping_trip,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_shopping_trip,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_grad_shopping,g_bike_stressLink,g_walk_grad,g_walk_vgvi,g_walk_speed,g_walk_speed_c
10,17535.748200906302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6837281473491432,0.0,-1.1770865229017429,-0.7713811580707324,1.5820256889389817,-0.823961307441294,-0.11035722461186478,-0.033954306833743425,0.10853409184707036,-1.0255430901784177,-0.6652752782875373,-0.46495790431105083,-0.07306599085373863,-0.12599385041316086,-0.375290033958096,0.7939532450689628,-0.8257330840903104,-0.35655927083803796,-0.9260480472805858,-0.445031488056137,-0.09528515463960684,-0.20778602374091507,-0.24085088771139185,-0.5055222692506792,-0.07526229954937415,-0.24559294968727816,-0.09639896695902753,0.8630298925485274,-0.3735321398135353,0.01735647964606918,0.08880730164270245,0.041915162587498195,-0.5888414035378675,0.5791496900586859,-0.2649079575859543,-0.07834848446464619,-0.009370280284074967,-0.0030631996830736553,-0.1752989691347485,-0.13293424147792368,0.05311567796494519,0.03595379044042532,1.729017328800012,0.031669679785671305,0.5011516326953694,0.0,0.4986511494973046
11,17320.52787560926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.024502132228176,0.0,-1.14625397165352,-0.8039819530267789,1.6847874152011513,-0.558225084386623,0.04040568523622351,0.06481437420318091,0.3156955300986183,-1.149010599955217,-1.0465272653660327,-0.5976883246104443,-0.004374929183581858,0.2782052539043218,-0.04744220811604438,1.4311857054151471,-1.1436537905402266,-0.5651267197434034,-0.9110100864642644,-0.7387364793657745,0.04034279097356876,-0.15257490961962727,0.13036420368900786,-0.33226625031877943,0.007138419100456692,-0.20016288062520501,-0.11338779401602783,1.4757878761337642,-0.6526120603408678,-0.021924840269033775,0.05374478697616681,0.2420849583330553,-0.9237797105231474,0.8379453494523634,-0.32672031323215384,-0.14913269040234323,-0.009524874335942913,-0.0031648595995264414,-0.2087900359914507,-0.14258937738418784,0.08310185559897776,0.05467329327729935,1.7702168820737814,0.05459493605505587,0.5414529921780413,0.0,0.7223339986456286
12,17246.431553423503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.075980769010294,0.0,-1.0462382867683278,-0.6959228953383115,1.5884607013788987,-0.5189372952455062,0.15937952538779065,0.07279623451177694,0.3743341603654004,-1.2827702083249657,-1.2054466957709566,-0.6511343088486878,-0.029255294237147254,0.38672273652979217,-9.886755760176585E-5,1.571600774852405,-1.2170830518191154,-0.645181756021219,-1.0539207043434704,-0.8455912219018614,0.008138384906832413,-0.17144897421460725,0.15106404919007121,-0.41459923800251675,0.041058928280514696,-0.23820416044205286,-0.13634257647173237,1.579039607501132,-0.7695666037569953,-0.10222020932855277,-0.03389420554977219,0.21371065892147928,-1.0557966238486474,0.8622180508020186,-0.35227824326676105,-0.19084920408694614,-0.00944575179019448,-0.003117351156113525,-0.18924170662525602,-0.13958030152460663,0.09570539430462642,0.06300869274802123,1.7517107984907532,0.06584487303369066,0.5398023678378473,0.0,0.765553138962431
13,17191.71792558876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.075944995743258,0.0,-0.892737768256861,-0.45872161052189386,1.5451113161337229,-0.7410322429959453,0.36754586718793425,0.12229829102571893,0.41663918454683296,-1.6403941797991997,-1.4929332478274941,-0.7400564021524433,-0.16059178154808826,0.4475037940730229,0.007874666878967878,1.595038678551764,-1.2295475419686535,-0.7887583438070936,-1.0314117132013583,-1.0194993638942638,0.014118885596381086,-0.12546808841414347,0.3017905107093151,-0.30655445647152646,0.18731897028866237,-0.18848598582650378,-0.15256041634860523,1.7728537472748922,-1.0705434241488416,-0.23482332806408415,-0.18159069988342663,0.1369049079755156,-0.9973531495961903,0.8577187824113532,-0.37238398988412186,-0.28220208243968214,-0.008923833753521236,-0.002868236615700686,-0.19936548824364708,-0.14021704677963884,0.13241608026964205,0.08638928673967634,1.8001724632310971,0.09537814719569185,0.5451515184411253,0.0,0.811189095370067
14,17154.730025306184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.098668759131381,0.0,-0.8872479016634476,-0.38529721557877994,1.7191521162892773,-0.887480922369094,0.359449504333504,0.2312239588778638,0.3910017270316086,-1.7822125745809312,-1.8678151624202375,-0.7460170677950457,-0.2747613162551013,0.6855563619546624,0.5558733096590528,1.5478956801529242,-0.9720609292887961,-1.0087588506946106,-1.1061707277189852,-1.2810832424424088,-0.09758284125258526,-0.11891258008619703,0.1749272914287491,-0.33044413087901187,0.46937664712457927,-0.09343232748902838,-0.17107552380170774,1.8878067196313695,-1.6962731745105772,-0.4027099328817661,-0.41534947711505865,0.015400650586910994,-0.7673442785193995,0.6592684899643878,-0.3509175354609622,-0.4403098308313905,-0.009349746351662688,-0.003050178653093509,-0.1926086079472828,-0.13835106904665587,0.21855022772291088,0.14356665761473114,1.772001295361707,0.16755642005622812,0.5885235800490344,0.0,0.6907571580696507
15,17118.856844049224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.331591978323557,0.0,-0.9586318906250229,-0.5849861746931451,1.6824063675393872,-0.3367736659041467,0.1547916439750648,0.1532675023791792,0.34751607564807313,-2.446996452241123,-2.538222753145482,-0.8581649163274947,-0.5937993414352319,0.6303989855716535,1.1197442057581575,1.1746438752698245,-0.4300963214500576,-1.4408839687745032,-1.085432322033928,-1.7557314846318115,-0.24857875939149715,-0.15214435154754835,-0.04561342739639529,-0.2754742690283197,0.953542604245168,0.1764615671946694,-0.1656675290439563,2.015271021819513,-2.8867845022478726,-0.6636879240435254,-0.7175545450967094,0.11460505516453938,-0.5887629267184351,0.41108258126367936,-0.3527472109877364,-0.7250853754641111,-0.008873976300397721,-0.002798143403907547,-0.18327730561553146,-0.1316625385822678,0.41406511537785096,0.27424686309406565,1.7971282131433237,0.32858623646761176,0.660149227893336,0.0,0.22011064514476308
16,17038.20519442659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.278256298600801,0.0,-0.8119348073060562,-0.5427150603344953,1.671990994511597,-0.4146672507760575,-0.010497396947654808,0.17234850991290276,0.3342116698326735,-2.692076844052419,-2.728148760090435,-0.9611598743784184,-0.6558635302866999,0.47384860638956516,1.4364173198945245,1.1838057052975113,-0.2887034082069302,-1.6678144649107214,-1.0855459422753662,-1.911018000685693,-0.30527148666316556,-0.36454372516177735,-0.09403553067947841,-0.2585222487685344,0.8670449452005744,0.2917703103574158,-0.08964630282717968,2.0490494226777423,-3.3722473318690556,-0.6013792652971097,-0.6461133756064433,0.271152916301172,-0.7239285485872553,0.5096614403743914,-0.385063787213332,-0.7779088858080568,-0.008639567217311291,-0.0026821454613068685,-0.17418487729669976,-0.1278248817353255,0.5582330092262422,0.37122267230750605,1.80125793953732,0.44755892300115696,0.7424753449326247,0.0,-0.4362861232283932
17,16983.635797073403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2114007688316404,0.0,-0.9417888094861667,-0.46544321168706637,1.6377940796813726,-0.37428528254605536,0.056783770276182616,0.08743143432173359,0.2830443931731118,-2.8241696993151386,-2.7923486757886975,-0.9943976926346729,-0.646535578309267,0.4187669482882759,1.5620405240714126,1.2599046674763825,-0.3129068417144882,-1.7960427649794655,-1.0489021409793808,-1.9507172588840334,-0.35146686944536465,-0.45020012441093504,-0.05162800529304461,-0.2729742808593531,0.7760892559226222,0.2607737724741295,-0.029511846823358445,2.0669643128604953,-3.7016174534305057,-0.4763470009066978,-0.5675965478089942,0.18860895180607684,-0.7295723543158159,0.491457637624423,-0.2951562996151314,-0.7452602240890298,-0.008452062834810628,-0.0026003639966942767,-0.17009073090183935,-0.12524177192445007,0.6699389571945003,0.4472528180088576,1.8093003476153928,0.5396584764684882,0.7957883809119706,0.0,-0.8373731128223049
18,16910.154915536863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0604591107937122,0.0,-0.7569795714277548,-0.8709978174992127,1.442073331774524,-0.3898412770548436,0.17997225200103678,0.25433312141444,0.25881965802828855,-3.1067919122824703,-2.732909237033652,-0.9768195605234027,-0.5244366553102306,0.3999125464402032,1.582667043880676,1.4611475603203092,-0.5961770897186687,-2.0442486400461735,-0.9108615908608299,-1.8274239859548331,-0.521612921395577,-0.46553490145472204,-0.023091045680559554,-0.3855078978165412,0.568585844136614,-0.07384493684512422,0.07502622933726684,1.9883018550326095,-4.606135708619341,-0.36183857691393273,-0.29551362303389755,0.048817632166466146,-0.5833636482531983,0.43206593607067995,-0.2102505940930382,-0.5149181375269178,-0.007891507797719329,-0.0023613082064975074,-0.15498989095972845,-0.11489950345518397,1.0027923946310242,0.6753162434252794,1.817737828016226,0.8185584157313894,0.9100678085428824,0.0,-1.2729288421562717
19,16782.2134646544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.995474637973565,0.0,-0.7988775238960684,-0.6041526915677581,1.4375222948028528,-0.40311498408919405,0.15257388821849494,0.12433180687622561,0.38496465373161326,-3.240318000061912,-2.490307394647914,-0.8156668713445552,-0.35800838043486705,0.5086872539091597,1.476856830553195,1.4972233914681108,-0.8516039656162047,-2.2279842880270646,-0.7515957556952988,-1.5849527764914502,-0.5771261101418887,-0.363032789145547,-0.18987058520415037,-0.47875252170108706,0.3914674317612742,-0.3480618949249559,0.07394075413635189,1.8834846709591306,-5.190943023590596,-0.41717549549159316,-0.45672607866146175,0.39939385390547133,-0.5539331976325743,0.5464197786581799,-0.30158501321124576,-0.20480400553533584,-0.007550103720894928,-0.002241278288734871,-0.14652207921801896,-0.10396357092221546,1.4096735657385628,0.9540455203393854,1.8165652830102326,1.165060078701232,1.004075248013393,0.0,-1.289142424354953
20,16665.84144414644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1752484744816942,0.0,-0.5705288472283182,-0.3925680842181593,1.5510255611737822,-0.24945189765430933,0.0814672961526111,0.14380475305133317,0.383341409046551,-3.3011172771506234,-2.2449943560239283,-0.5846730282720607,-0.19198610229705393,0.7385967345844068,1.2278358366683408,1.3577221556003918,-1.0660033370368223,-2.375183002920923,-0.7944437953326865,-1.561272629553186,-0.38628773297089397,-0.233202235508769,-0.2426265116885172,-0.6029989206716877,0.3577413442540234,-0.49548695708316204,-0.06437076829712453,2.1697027354201124,-4.857336433166281,-0.856081852235741,-0.5306234310644112,0.2583759364827043,-0.38349772196791254,0.6789012540390905,-0.16386090833128908,-0.04238846456120349,-0.007063206565467844,-0.002113532404776332,-0.12975353396440623,-0.09774581563911837,1.934030778992976,1.3121763290392554,1.8274281519844084,1.6150482963605146,1.1945416875959283,0.0,-1.6004622863509301
21,16628.332996317655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0369679160500023,0.0,-0.44453223579692724,-0.30725981049587375,1.3959958659160399,-0.19346787255695266,0.03325388256287625,0.33661516257117957,0.07774989142718058,-3.4018388372465234,-2.1490067761829468,-0.4345278762528682,-0.004596137927042804,0.7239861932107737,1.099735636123688,1.1044615887689515,-1.1359710413916435,-2.6686787615426124,-1.1048640207523508,-1.8629518175119872,-0.06061126336704392,-0.3646168349893148,-0.2690600329696088,-0.6946770685490644,0.28331068137987214,-0.28367049052959226,-0.26732219236080446,2.519725856619713,-3.8235126332968585,-0.63029550570486,-0.5313005750995714,-0.05137271868868526,-0.5102531985407393,0.6567003485024198,0.12011099258369007,-0.06643189243860755,-0.006261894596006586,-0.001862726633447697,-0.09339652961500709,-0.0842082914564377,2.809613560430663,1.9076126264246902,1.8165937806483035,2.369650377359692,1.3971957512329545,0.0,-0.9785070465100258
22,16576.540281653022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8508466756968565,0.0,-0.3677631961645391,-0.5481266251726915,1.3937953859976822,-0.2660668631892213,0.32924216546607155,0.05641650684869154,0.253973881656555,-3.493742033683826,-2.5636930758629055,-0.4366527464468525,0.05147264255871963,0.8015714824417144,1.0842872749415058,1.2783626920710331,-1.2978931084877379,-2.8410636143398125,-1.0849220474469983,-1.7426123878082438,-0.25608448534883665,-0.2662836110758584,-0.4085174927003131,-0.676121981931556,0.5117417812003806,-0.1789614431642827,-0.3609486039115756,2.4205481705551066,-2.8713795587524107,-0.4432319855443225,-0.5243840527113528,0.10914208645219625,-0.38836629635786835,0.4045659684487137,-0.06603094527041631,-0.29589598362648417,-0.005825471488172704,-0.0017017390465128897,-0.08724111591960465,-0.07941814947122999,3.207762227856492,2.1808380706279618,1.8179014934680415,2.711032262618968,1.4854783313720588,0.0,-0.9791680541223684
23,16538.555247985878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7938131346427078,0.0,-0.5013129451730727,-0.5039046074220052,1.291382828874849,-0.24660947518897686,0.30835972171862536,0.22207293930611263,0.22393921251443238,-3.5461487311449464,-2.8343767221399645,-0.450928937889733,0.03605911839622771,0.8417483968417007,1.062679445092956,1.394391983762474,-1.3918297500391592,-2.908756013069529,-1.044071455013095,-1.6136434860188587,-0.3488971904416567,-0.24663445858263988,-0.4493568763477527,-0.6863828656050303,0.6405811142099819,-0.1956577893418997,-0.3714464706707013,2.306858788667012,-2.4905082219082835,-0.4381116000318414,-0.42694727612256733,0.16958395821265942,-0.28148720423442763,0.393152741987578,-0.2241081762753858,-0.4036563523041104,-0.005610848244851032,-0.0016129663965964536,-0.085959270606615,-0.07749656461608422,3.3572852774006696,2.284791875982198,1.81742585563749,2.8382499551841294,1.503013342049418,0.0,-0.9823947156085541
24,16510.71493652632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8006885842010825,0.0,-0.40456639639302133,-0.39626216734951325,1.30330332769834,-0.20476501445804068,0.1276202923039529,0.06778625178311704,0.1814000706658691,-3.526994120185443,-3.350050362431892,-0.5026505301441108,-0.047041466780196196,0.8863435562388147,1.0666808540978594,1.499611246428419,-1.457396241484348,-2.9539214728347734,-0.9725335129856635,-1.2904054365577093,-0.3845509961703322,-0.33834483833543094,-0.4365611148634954,-0.7321204916691721,0.7299925526796536,-0.27265196356604865,-0.31550805261581394,2.057776083248329,-2.1980706545713833,-0.4640516670126233,-0.1837893394570831,0.11959572553657392,-0.14330616406932836,0.6076113847539533,-0.0366924092329014,-0.4968332169537566,-0.005492614164240894,-0.0015611969426597705,-0.09198750423485716,-0.07660844427821029,3.5268480880148805,2.4063019256388687,1.8066424016522036,2.979087037523935,1.4929603100179059,0.0,-0.7972003883812819
25,16470.483395519437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.856283171823406,0.0,-0.31725429710899467,-0.43202824166198367,1.3282058647835058,-0.17250215081750733,0.19032973178806734,0.12082849115421349,0.02872439104588062,-3.349740323202215,-3.9633374036017743,-0.5397367124357846,-0.14029375138387257,0.9454896810548093,0.9937015387823529,1.3957512143972406,-1.4542782445955298,-2.8912755272765924,-1.0409055796036362,-1.091042594192762,-0.2568185567860656,-0.29080047344823867,-0.3280889250459341,-0.7629305549462403,0.7114825013387606,-0.43150531205412435,-0.2676508708410243,1.832529767102885,-1.970897733018623,-0.25410790528179406,-0.3713763733367631,0.17290314775043458,-0.07891502931409475,0.8808979158473652,0.07380822722543216,-0.2563309085129526,-0.0054587815859648515,-0.0015623179304771928,-0.09559898020241367,-0.07727828577122955,3.706076105923516,2.5366234067589883,1.7790487171222902,3.1202659208879613,1.482566612577871,0.0,-0.8019450874420411
