Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_shopping_trip,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_shopping_trip,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_shopping_trip,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_shopping_trip,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_shopping_trip,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_grad_f,g_bike_grad_e,g_bike_vgvi,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_e,g_walk_grad,g_walk_vgvi,g_walk_speed,g_walk_speed_c,g_walk_speed_e
0,25778.038176090424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,23393.23208301887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4272152098280378E-7,0.0,-9.624761978130519E-8,-1.3728321906141587E-7,5.544987146368602E-9,-1.51932976764905E-7,-1.8295591733437292E-8,-3.7930576000452654E-8,-1.5720420902319833E-8,-7.085527041589936E-7,-1.1452361839963088E-7,-1.7092295609686454E-7,-2.6566858966066266E-7,-3.829962337023791E-7,-4.5764763122274617E-7,-7.572227614337259E-8,-2.322377832053424E-7,-8.237782264887212E-8,-2.4220731675084246E-7,-2.9435881671069838E-8,-5.5145896903943764E-8,-1.0337892381841389E-7,-1.3650051127144773E-7,-1.858164447632074E-7,-3.415040237707117E-8,-7.396363679498595E-8,-2.3411610320469383E-8,2.6651831942667524E-7,1.9840829061936214E-8,6.007602738591986E-8,1.1628863282883547E-7,1.4410077658164845E-7,1.8936681731767214E-7,5.988868068388019E-8,6.253509921073331E-8,1.7099571908192322E-8,3.089509885599329E-4,-0.0017399934326652873,-0.10000162494795457,-0.09999656676151102,1.855134345592769E-9,1.0661703633443621E-9,7.934386846491406E-10,1.1290166446965524E-7,1.3165171311825275E-7,7.759491063767931E-8,5.462155823775393E-8,-3.174178643582236E-9,-2.391890339856994E-7,-2.1866658274029025E-7,-1.3445227186342936E-8,-9.439674046887673E-8
2,23369.306122037593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6342013196267704E-4,0.0,-5.681870266618314E-5,-8.48816035845784E-5,-5.9782212944035524E-5,-1.2138249528842126E-4,-2.2548313087436122E-5,-4.8073337747835754E-5,-1.7375853190108755E-5,-2.432781799162492E-5,-5.97787530551934E-6,-7.987821610517065E-6,-9.374996890184627E-6,-1.1344382900948478E-5,-1.6848617791609386E-5,4.492741446398025E-6,-1.2398664456653424E-5,-4.163981565901539E-6,-1.057667155222597E-4,-1.4439751892407573E-5,-2.3768862005122274E-5,-4.4105093731299895E-5,-5.917941571842907E-5,-8.087427287531299E-5,-1.4907354625092593E-5,-3.220769238239135E-5,-1.0123040872466137E-5,8.844635441555474E-5,6.186158064724976E-6,1.9959733394026698E-5,3.8733089080183005E-5,4.782800835231321E-5,6.255427027191096E-5,2.0211485600083477E-5,2.0495319585545706E-5,5.604549661658627E-6,0.0012510814352703543,-0.0015743509386842087,-0.10074470861716678,-0.09887055786374657,8.417051461762926E-7,4.790082879039356E-7,3.474194217668532E-7,5.17571223706003E-5,6.043128915647135E-5,3.4983754691229635E-5,2.4153851825215844E-5,-1.0362248094002957E-6,-7.864484666211054E-5,-7.194276344367728E-5,-3.9076241122589175E-6,-3.121459112307987E-5
3,22657.169765734383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003641318982431279,0.0,-0.0012582703557755246,-0.0018818641368967496,-0.0013414206326445182,-0.0027021328429474457,-5.024110225686065E-4,-0.0010717660167223495,-3.868229951001251E-4,-5.302486058206781E-4,-1.3055247624006367E-4,-1.7441858017705096E-4,-2.0493018391109808E-4,-2.467871362778826E-4,-3.692698953048298E-4,9.90565009915615E-5,-2.7079099152800366E-4,-9.064556821656248E-5,-0.0022416184606899236,-3.054065442049544E-4,-5.034640383775559E-4,-9.36698415839419E-4,-0.0012552467300164113,-0.0017161554700404315,-3.164497291392498E-4,-6.824539442277659E-4,-2.137978202514438E-4,0.0019503380640982307,1.3668314665017596E-4,4.402002011845343E-4,8.540379800528695E-4,0.0010546568227531017,0.001380059467399374,4.4503130282178216E-4,4.5241849014239705E-4,1.2379211693994472E-4,7.381140892812243E-4,-0.0016671194150498514,-0.11538999752262347,-0.0750470224410674,1.7472990272707153E-5,9.956831017511367E-6,7.240866691660304E-6,0.0010720178747378702,0.0012500364303964803,7.25995102650608E-4,5.019066790548983E-4,-2.283605108527545E-5,-0.0017318633237778224,-0.0015842052301596582,-8.66339604183921E-5,-6.872208547681614E-4
4,21065.76019977136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07652321745167882,0.0,-0.027126662452309016,-0.03993804591527166,-0.02685158829257899,-0.056276448655561494,-0.010477948776478598,-0.022461904502347776,-0.008238516374658595,-0.010718409621514048,-0.002808756424856996,-0.003679193729167268,-0.004063107560537955,-0.004902071431405111,-0.0072576999417434725,0.002501719047227286,-0.005818881641716218,-0.0019850791211590345,-0.033025400316897706,-0.004193391218269948,-0.007434846564390973,-0.014175725425909756,-0.018688613822510726,-0.02546789946519669,-0.004719629301570957,-0.010083203721291867,-0.003058970317325425,0.017146892865434988,-3.273584887538498E-4,0.0037993586282038935,0.007982803680580906,0.009163063464092399,0.009841438196594932,0.006214523064565686,0.0022445423651690074,3.240825684089392E-4,-0.0068209790657119,-0.0030701202507815175,-0.2678768120699866,-0.12000953532735907,3.9166463164016434E-4,2.26055025217737E-4,1.6910892849657306E-4,0.023949969692784158,0.027389390361141262,0.016444559288850028,0.011494118516026441,4.7709604515501914E-4,0.03170485228975967,0.02941705256623209,0.004042253079913403,0.012050219856962271
5,19509.487837785964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2500498801458464,0.0,-0.09368390548016411,-0.13281596034485024,-0.06740814872546108,-0.1818576655280163,-0.03379398071600147,-0.06948680316277642,-0.026110733156798342,-0.03243858974686059,-0.011662968293492055,-0.012424166734006176,-0.010289577616739046,-0.015075233926321562,-0.020438960929028614,0.012818501981374573,-0.02174351470632741,-0.007927579823038057,-0.10637268410226192,-0.01399815499476932,-0.024149883467287678,-0.04524851046262502,-0.058525051294347125,-0.0819362054072616,-0.015846521313300124,-0.03216674493529726,-0.008951100881274363,0.058604854091903594,-0.0034626803010179333,0.012747666236727493,0.02791792997884547,0.03060150728354939,0.030142147152273903,0.024133098232287827,0.005270980804715596,3.419399356487088E-4,-0.012991943182403834,-0.004249531248604896,-0.3556563826969371,-0.1541248570400785,0.003827633817965457,0.002168672615437132,0.001636835219601086,0.24811278593735828,0.26892976209006536,0.15635623837030904,0.10950783705767117,0.0010777279830487432,0.05947216538713636,0.060310086257946094,0.016302659067562758,0.02262378822240612
6,18777.615711624003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7382866353058875,0.0,-0.26774957433053403,-0.38217045225934854,-0.2150483782996788,-0.5366443599576524,-0.09994987167498513,-0.20722671847236482,-0.07652932004624609,-0.08703543526152166,-0.030749854903643785,-0.03343871771797011,-0.02928663158307356,-0.03994315329736696,-0.05440355765550864,0.03469285580366094,-0.05773777506756958,-0.021004272717062636,-0.21849137946985292,-0.028561986632007624,-0.049660907250795625,-0.0940105972553256,-0.11970739488749293,-0.16961950318503938,-0.032966331990068716,-0.06628453477224233,-0.017767531741358325,0.17463072134956564,-0.008153512287200645,0.03836152622825293,0.082229971932099,0.09115068982563912,0.09344128851230313,0.06821221952779133,0.018484446562895218,0.0021714044526570746,-0.007129847818127942,-0.003332434596287706,-0.23148598285501432,-0.11334295526798135,0.006587516426807841,0.0037204462849260893,0.002846698146299847,0.41949356597837095,0.4465537866285907,0.26254861608818003,0.1827416948413817,0.0033870510067128866,0.1990633660327223,0.1949475792257271,0.04548358884127798,0.07519243307187962
7,18520.90931470485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7411432915317855,0.0,-0.2943583075540164,-0.3990878592781649,-0.13674064611575976,-0.5355727670349868,-0.09968897096749803,-0.19577989933977144,-0.0734571938070393,-0.12280678071113665,-0.04555074478249467,-0.04577788254234868,-0.040940891618138,-0.056582462980059645,-0.07762456740846434,0.047022582820597694,-0.08011505378644973,-0.029006974961982922,-0.25825941981461603,-0.03802196028356296,-0.058340836615432975,-0.1078948564044678,-0.1376673424335582,-0.19890036956470894,-0.03889352993831819,-0.07867828385102041,-0.020723128652195347,0.21887255019617285,-0.016030502384125955,0.04810187837221246,0.10414850703810744,0.11095304956930749,0.11007704367037843,0.0895635418010474,0.019034063383745938,0.0018787589019746123,-0.006642721736702488,-0.0032096050705050934,-0.2127842058123957,-0.09283532102244293,0.007055960695817475,0.003939371232080324,0.0030185781719179973,0.44244312823977744,0.46179771679485876,0.27012420290291655,0.18600637765044964,0.004798196099460104,0.2835543829131834,0.27729015368588517,0.0670861881503424,0.1062512916958578
8,18103.39584973147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8919854932729203,0.0,-0.6862712235763511,-0.6667153664223173,0.8637757885435541,-0.5878635340333817,-0.10362051951972753,-0.06408938649237711,-0.03461137324941988,-0.583780044452344,-0.24464576478319894,-0.21694244528544096,-0.18805979162894215,-0.2477880008224409,-0.35562629942739116,0.24175672994676056,-0.3844939335031398,-0.14333270254099922,-0.7779598159350671,-0.1704156427572367,-0.1704633684495081,-0.28082629518481017,-0.34221770904573257,-0.5706690625313563,-0.11063789364854643,-0.23831992247224984,-0.061973641923376614,0.9151857423440901,-0.13058157337429216,0.18960055892888789,0.43997183675667884,0.390176101914399,0.35268047622892995,0.39037466314307767,0.038922468512977156,0.008358971508667037,-0.005077734626375442,-0.0025387044732079807,-0.09218342279115406,-0.17074953523168623,0.009766890536677687,0.004461904220824138,0.0038296774218583513,0.5292249608513112,0.3729174470541754,0.179107390404935,0.10515695129113353,0.007754075259924062,0.21057050678881847,0.17150639835762627,0.27426527232120185,-0.003925310217176833
9,17952.47241702361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.293454158995029,0.0,-1.265122341963805,-0.9484569397389685,1.8340209396735716,-0.6322743025677848,-0.08199856185829354,0.057028195490355746,0.024347054023187147,-1.0143025955698497,-0.5578566350358727,-0.44704555584480826,-0.2694557825928227,-0.3278079266234856,-0.4977043661408833,0.6714946642945464,-0.8117660034538885,-0.3284952564567506,-0.5131324967729093,-0.3443622400291432,-0.08541852973087646,-0.012757260147814753,0.15007981780653984,-0.19419193023140624,-0.05052483222722558,-0.12949370659779097,-0.033366775498367814,1.2828722944046413,-0.31069212879627284,0.23203229888110927,0.4532847281642809,0.40633860704238356,0.014219522741573232,0.7319166003049826,-0.14575490769978638,-0.03537171670075284,-0.004895711655593242,-0.0022204059719192915,-0.17391218856824467,-0.18269598702313758,0.018765910168260302,0.0053312951354239,0.006362901546579626,0.9762468051934674,0.25402775033202185,-0.0757255891679604,-0.05670478775327256,0.013693443955953136,0.08951199005611893,0.13611713894555869,0.5611915460131998,0.14289679055061105
