Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_shopping_trip,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_shopping_trip,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_shopping_trip,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_shopping_trip,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_shopping_trip,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_walk_grad,g_walk_vgvi,g_walk_speed,g_walk_speed_c
0,25778.038176090424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
1,23135.529615782216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2725934813757687E-7,0.0,-1.1213040451741347E-7,-6.637353563954884E-8,4.944253990700768E-9,-1.3547285266132394E-7,-1.6313482800319937E-8,-3.3821250944221795E-8,-1.401730098377108E-8,-6.317894780791699E-7,-1.0211635164433013E-7,-2.0204885981093172E-7,-1.3284096659799727E-7,-3.415031643755001E-7,-4.080669742381044E-7,-6.751867157203467E-8,-2.0707759208359842E-7,-7.345316907428068E-8,-2.159670456957759E-7,-2.6246855327211243E-8,-6.777971513730551E-8,-5.596204696548551E-8,-1.2171231055576684E-7,-1.6568545143697706E-7,-3.0450614001413766E-8,-6.595055980063798E-8,-2.0875241853629607E-8,2.3764424148091705E-7,1.7691312112875517E-8,7.61951388150439E-8,6.328625009588476E-8,1.284891778592292E-7,1.6885118351308887E-7,5.340045714316885E-8,5.576016781824715E-8,1.524703744385101E-8,2.754798375175265E-4,-0.001551485918030042,-0.10000144890424396,-0.09999693871191184,1.6541526877100143E-9,1.1738882179263467E-7,-2.8302942840916313E-9,-2.1327575783293652E-7,-1.9497666916227526E-7,-1.1988597343366229E-8
2,23115.78447886221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8975542345443806E-4,0.0,-1.7926014755933206E-4,-1.1131632833899364E-4,-1.420034663851328E-4,-2.8883611415335403E-4,-5.377394938981581E-5,-1.1463645400270531E-4,-4.1506900524789475E-5,-6.553239624654452E-5,-1.5185450852649972E-5,-2.59733830049759E-5,-1.4006722066864162E-5,-3.114930280189059E-5,-4.710851335038381E-5,9.784660072137892E-6,-3.188547157283031E-5,-1.0599371717721197E-5,-2.5331403267290494E-4,-3.4505323395673504E-5,-7.830132874601462E-5,-6.389597370243321E-5,-1.4175412028898714E-4,-1.9360427791337344E-4,-3.568029847666741E-5,-7.715884221881037E-5,-2.4274165411817474E-5,2.1310100030697766E-4,1.4953743596833685E-5,6.85996067621945E-5,5.691769640587026E-5,1.1523267131342696E-4,1.5074770014813832E-4,4.866597190745995E-5,4.940465138184105E-5,1.3507334814388069E-5,0.0018921373159288186,-0.001266593160473847,-0.1017917489991161,-0.09727983772799648,2.024836937775709E-6,1.4540485948432919E-4,-2.4962585704800885E-6,-1.8941653718476605E-4,-1.7326559896065584E-4,-9.457800740115032E-6
3,22189.058200136053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005022578632799415,0.0,-0.002301366563396301,-0.0014302700583851027,-0.0018382573213071335,-0.003720161761542626,-6.929431894608055E-4,-0.00147779851290145,-5.345635185648026E-4,-8.411878670285467E-4,-1.944246503824167E-4,-3.3292512718304727E-4,-1.804910285696969E-4,-3.999954622685001E-4,-6.066326314465445E-4,1.2413745752747703E-4,-4.081923547901432E-4,-1.3539811619681986E-4,-0.0031542910617660845,-4.2902519414553865E-4,-9.747217980910556E-4,-7.975157111236266E-4,-0.0017661443446305067,-0.002412559059098937,-4.4475271738587117E-4,-9.60674351103661E-4,-3.0159234406424584E-4,0.0027279694190290352,1.9167003331482113E-4,8.781397531167174E-4,7.285643541963608E-4,0.001475121245706852,0.0019303570319265852,6.224041096347628E-4,6.328669503815633E-4,1.730914990877268E-4,0.001184913851759378,-0.0013947928692433656,-0.1219576053839003,-0.06513838935988939,2.4897177761111975E-5,0.0017837554408834976,-3.189786051495447E-5,-0.0024193277552358085,-0.002212958820562929,-1.2129850619374404E-4
4,20779.350801978326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07082239934662442,0.0,-0.03304800423669456,-0.020251565361525645,-0.024830698950636405,-0.05202525303387539,-0.009708689865489345,-0.020783695107836387,-0.007615192137417767,-0.011563477720593856,-0.002794416977151856,-0.0046998565819032345,-0.0023959047440331722,-0.005433338308637998,-0.00818500621346924,0.0020791030381526127,-0.005868712933227928,-0.0019769806156522303,-0.03115634771633515,-0.003980185411607751,-0.009644473598046231,-0.00819401221616795,-0.0176470652529661,-0.023969938251106503,-0.00444423976873671,-0.009515080184105006,-0.0028992595722966822,0.017302114571343424,-1.5721553839053804E-4,0.0057961573428646955,0.004978176771615514,0.0092503366669161,0.010258140764378159,0.005982775196515584,0.0024706962165924736,4.030178410226971E-4,-0.0056473153136805555,-0.002665201863290644,-0.26609085267430993,-0.10960850334626011,3.3284175550050396E-4,0.02317843905508499,3.357086529622631E-4,0.021814183462090228,0.020372798484349926,0.00311994488800986
5,18705.35176146578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8447838463958138,0.0,-0.40269350375649904,-0.2521194509589744,-0.19996265328132237,-0.6108363416962842,-0.11406222600034799,-0.228497618491505,-0.08482931291612233,-0.10967487279507787,-0.04425347063747171,-0.05008641759346377,-0.011091370999088586,-0.05174555346230535,-0.06861041422542274,0.0477760001661025,-0.07763765323266017,-0.029130408630864267,-0.32812680887946993,-0.0430761737039098,-0.09935877602805204,-0.09039312489178834,-0.18549449271181934,-0.25203375477177836,-0.049931562007897716,-0.09876215492591518,-0.02591526921355588,0.21564497178578376,-0.012963866156082816,0.07236372350332514,0.06427410121451309,0.11197983722177515,0.11141566773569257,0.08767563470164386,0.0197194259232002,0.0016889442021116446,-0.007282405861859774,-0.003184014885247268,-0.23318364428995397,-0.15771659673185434,0.014860028897492559,1.0613914102137327,0.0014957152285883654,0.02985487452590222,0.04151437909643067,0.05310658797853488
6,18332.605358044064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8378245758609755,0.0,-0.41656917962041284,-0.25891323566258206,-0.1375888534742474,-0.602979731535157,-0.11261019139782912,-0.21688536480633824,-0.08108993856400981,-0.1332918602818933,-0.05616853403200277,-0.05961674391327228,-0.01300336116709798,-0.06295817940998077,-0.08388687142145408,0.05707218397377087,-0.09381773646675143,-0.03513765613682797,-0.37734096523822436,-0.052467103496028775,-0.11288028460453337,-0.10318716306235678,-0.2124431893656161,-0.288273979504262,-0.057276543606606445,-0.11354674894641366,-0.0297257176365512,0.24646175832071165,-0.018185883500735498,0.08280937527519909,0.07379401248808032,0.12632989593779506,0.12293645587065341,0.10280614703152081,0.019921923353030193,0.0013806091430955086,-0.010473030593862193,-0.00374306461504882,-0.27570800075875823,-0.180340897288849,0.01751119686549388,1.2425482684363873,0.0015085724952702915,0.013585564561368304,0.0297990443224285,0.06555329700695453
7,17392.22438522112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9176914855894415,0.0,-0.6923135831428391,-0.3845459460356129,0.6419606264585596,-0.6183192424586607,-0.11817986455305805,-0.11561370141282316,-0.04262447037680217,-0.6230925011205518,-0.25401832916154665,-0.2385796949205411,-0.09375015581476376,-0.29026536641989265,-0.4239030827911618,0.17408403865686478,-0.3638663462089906,-0.12736484802959652,-0.792950747900283,-0.1490691819698582,-0.2148031163678134,-0.215440040671378,-0.44226077286073395,-0.5864536843196971,-0.11331713913907049,-0.24237352725284633,-0.06697491934585753,0.8218097207288468,-0.08817205499374424,0.27470127619604856,0.24267526110650461,0.39762577473398386,0.37758065062028445,0.3431688829767155,0.055731863007872,0.007565960394784294,-0.007574731175490487,-0.0028006334004219867,-0.1392917066256942,-0.16276814452257737,0.02141492400725896,1.3021718843017724,0.007191676849875667,0.2523774989017018,0.25968440616788346,0.2632896254526862
8,17092.69578136276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.97977459232167,0.0,-0.7622322740961591,-0.43236215747418577,0.8493488248998889,-0.6015219135000537,-0.11309283678129264,-0.08270689097752962,-0.018838408245590174,-0.7422943887458379,-0.3357563126086865,-0.28996184179949247,-0.09918323439664632,-0.3133090757442765,-0.47303713609475695,0.26067372508830355,-0.4605633644908726,-0.16764733284023015,-0.77919103892109,-0.18674773932759337,-0.1874887082046533,-0.20662894180137728,-0.39057197073636707,-0.5394523238780623,-0.1047393046659528,-0.23328395740468755,-0.067893869060118,0.8366540909371112,-0.1297279219120265,0.2559865911271289,0.23504963904553444,0.3651663293254857,0.25634749767763365,0.4039408712953922,-0.0015172763722476404,-0.007320293201062231,-0.0066333094468606635,-0.0025410808649493155,-0.12590851573548792,-0.11038067575913621,0.02554304270902827,1.3833067755090147,0.01112321853209747,0.4351181855089467,0.4610832400157947,0.33989068574353465
9,16894.803628421363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2609214171103489,0.0,-0.9035260252435886,-0.5526772209798726,1.2222715933562058,-0.580368491272167,-0.08264562093652474,-0.028303875946821454,0.05477401407888899,-1.0828126771835898,-0.5979909736138708,-0.44063102489739825,-0.10603225584013273,-0.36048427330194055,-0.5901919334472612,0.5514716539575714,-0.7587589041210256,-0.2953102142086265,-0.6927302943750887,-0.28811014360906284,-0.10039398259083442,-0.17157695936056883,-0.18911311448574974,-0.37528972622464546,-0.06402649250413421,-0.19469316958742583,-0.06784763217699052,0.9238303771577092,-0.23364552548448828,0.16166962675832175,0.18266094351545864,0.2917627153911946,-0.1408682002268184,0.5502295065214865,-0.13353630375581618,-0.0470320025100487,-0.006535881222076936,-0.0023264890501124157,-0.1616441331524628,-0.12022421399078269,0.034947865082436864,1.3872317882069234,0.015294473731235391,0.3560313326669179,0.3009804792835977,0.526451099095778
