Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_shopping_trip,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_shopping_trip,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_shopping_trip,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_shopping_trip,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_shopping_trip,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_grad_f,g_bike_vgvi,g_bike_stressLink,g_bike_stressLink_f,g_walk_grad,g_walk_vgvi,g_walk_speed,g_walk_speed_c
10,18379.13986782134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9004470658762975,0.0,-0.5590631760662643,-0.35384559586577735,0.41120970262999235,-0.4364441718786076,-0.027159237730455303,-0.09159467557240908,0.04894325271528482,-0.5003900315207209,-0.3851905578483932,-0.23186593954017348,-0.03915544990052349,0.022165282784280427,-0.12920927243873587,0.40133123001363796,-0.377840096496553,-0.19848760996375167,-1.1418533288241945,-0.27829017727688643,-0.26776631300404896,-0.2854315227191251,-0.49218964428940715,-0.7764243293726886,-0.11618639813595473,-0.3390115759044252,-0.12594145018004188,0.6555824021230401,-0.18084173975922116,0.06116659965144881,0.09325325792132312,0.16919705140867336,-0.1646329340452906,0.3472234176393953,-0.10462507808907526,-0.024732400199630508,-0.0157977714794529,-0.004563894677955785,-0.21978687269345767,-0.14150610970645944,0.014330526613135504,0.0044804023437584,0.8701026755064472,0.6226201188867648,0.2124108735321261,0.01780184707751929,0.5772404627264729,0.12220765206481164,0.22358637392687794
11,18028.462349121688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0241236906230695,0.0,-0.5514855188108152,-0.1259972540492232,0.6840013020188489,-0.7130223755623604,0.22227384974002334,-0.13021108052434532,0.13498320266215066,-1.0207816704427506,-0.8828953694142445,-0.44317384898742856,-0.16407721740577333,0.16038405789333413,-0.15113437894036183,0.8887428532845896,-0.5807982435895296,-0.46236919693973655,-1.2843512120025755,-0.6115532722281583,-0.1264122148926356,-0.22467889012550105,-0.3584077354178426,-0.5025466210831133,0.029121221634074365,-0.32259012835930756,-0.2174291760578697,0.959894806932602,-0.5569724585909164,-0.10684307189843875,-0.11725855003749051,0.034368312695403525,-0.5467049673145972,0.4695304368151778,-0.2090152557607366,-0.1310890820085665,-0.014775763643953636,-0.004153330265657712,-0.222930738349951,-0.12740761200441883,0.02667266202846578,0.0020975347645702065,1.6891313451888919,0.2631605950837162,-0.4188561447143353,0.05075936079869739,1.1986185978259103,-0.5487866223871962,0.2768484536417595
12,17835.33118474981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0741551142855685,0.0,-0.4582139783648062,-0.09199983383054697,0.6662016052671138,-0.7018510199446706,0.22524564006146552,-0.09534057813400287,0.05934315323783128,-1.157982409358026,-1.092625116685205,-0.46004632972487786,-0.24601997746612075,0.2176347994447715,-0.08296920134282472,1.035235732850362,-0.46741833628878804,-0.566253201447118,-1.4403674816570669,-0.7529603972737611,-0.12411396611877973,-0.20762649231516084,-0.6447863706558552,-0.44879148168643407,0.1421381598190804,-0.3408117383044201,-0.2844375719588156,1.0173534817104946,-0.8143463880164964,-0.20953323016982173,-0.2471013772498386,-0.05680404661898511,-0.46567289788731275,0.37365760975483003,-0.1710428777079949,-0.21101085552475088,-0.014327700361739424,-0.0040507879092884815,-0.19313647255152258,-0.11883106849275354,0.034317817165954334,0.006201159193005745,2.125648921245367,-0.07969341565383342,-0.4998662512107308,0.0844113870265566,1.7370577835197119,-1.077509327736444,0.18921131906743718
13,17744.300414415025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.246518653676227,0.0,-0.6960879248771352,-0.24926543611665522,0.85153953522241,-0.44816407450844004,0.11705861390466456,-0.12701292509495685,0.14631636162750739,-1.2554637732364138,-1.334502993769021,-0.4711540179251573,-0.2830427586199169,0.24936607313530745,0.06844770686839662,1.1477527345247724,-0.3382890259535223,-0.6663195612753888,-1.3351634894419668,-0.8664486636272016,-0.0402024659005283,-0.1498235283406591,-0.8986693101488981,-0.20030724124852278,0.3001819537693595,-0.2428019005209862,-0.3319130480326854,1.0754183636461725,-1.1188454904269538,-0.23251312640965652,-0.2974197844886351,0.04838776916872957,-0.532778507814332,0.44120422596139175,-0.31685047515648956,-0.3074601576055688,-0.014262511785634306,-0.004045568368646715,-0.21265950997046024,-0.11563320000242772,0.05763833898204282,0.02767550371313359,2.53558471971525,-0.6080315134231267,-0.21110825374023517,0.1622625262165815,1.9524420554067248,-1.3048741649234443,0.11835573852795014
14,17707.352376694747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2499862387106941,0.0,-0.6332180162414054,-0.26390181379366656,0.8646823328231886,-0.5119735650170592,0.13577842954547426,-0.08734315586634075,0.1850272345800107,-1.3549863006629588,-1.4666170637816907,-0.50486951832412,-0.31286184003740164,0.22629581060255727,0.1195434973098484,1.165035338465347,-0.2880990291016976,-0.7135200583510184,-1.3593139020721337,-0.9336352828910305,-0.0355249629594638,-0.16675136848151575,-1.012814039526308,-0.16348057112729367,0.375216382756549,-0.21689489923504093,-0.36257896783647864,1.0914320678328902,-1.2482527077684682,-0.27789385896471236,-0.3199938066118635,0.03959966606073714,-0.5247726306071978,0.44588796900467753,-0.34532903364879375,-0.36027843675198434,-0.014045831054109047,-0.003968344131524032,-0.20730203923205867,-0.11500052666214276,0.08069625818407603,0.04510515759287226,2.789560078852473,-0.9387415332482261,-0.05839137114573861,0.2414908820165032,1.849217772683475,-1.1882192370183593,0.03365673479194928
15,17649.11923977686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3206766871859008,0.0,-0.7712539941997892,-0.14066097755499984,0.7946677454317349,-0.36016281811546985,0.19842675929148526,-0.036600471417190916,0.06788668864350793,-1.4988296193135096,-1.6857513240707032,-0.5545742406546252,-0.3605686161566299,0.1801122721843074,0.23009727499707505,1.162388357816132,-0.21966054694874604,-0.7683150479651829,-1.3579448969342245,-1.020264597408841,-0.07119326035859459,-0.27445322151824364,-0.920536082828719,-0.2166631167773202,0.48714477373490134,-0.16217982466194458,-0.3830161702918048,1.1553396004693122,-1.5306786282885974,-0.20843645123000934,-0.32210644785870957,-0.11012618665426377,-0.4912587125865147,0.3853811444296012,-0.24728381278152123,-0.3951296329199017,-0.013703602523935644,-0.0038551829316485504,-0.20177139039529687,-0.11426759535676433,0.18996506890606712,0.09756646190658935,2.8174199736892365,-0.9928894102588531,-0.005968743644490106,0.4268580550757787,1.755593137887489,-1.0657388296844932,-0.16760598372776706
16,17564.6801103164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5751785599329917,0.0,-0.39218248522470567,-0.557631772856119,1.0095394389071362,-0.2972458766139132,0.13903296001792861,0.050271369123414206,-0.023006753414491626,-1.890534191793929,-2.5501001153216594,-0.715457275999054,-0.4999525992951731,0.06966258241034584,0.9068066249976328,1.1973665645590879,0.11233117756448341,-0.9750005455412747,-1.1911971925591056,-1.341172001385633,-0.2836734538327569,-0.7245688137095598,-0.36894012512982266,-0.40381922634240897,0.935029911133274,0.13565536118938076,-0.4368907108700322,1.3328673481248279,-2.902449648508931,-0.12653445829495213,-0.1578909626014174,-0.40136276678417193,-0.3591393421909048,0.272222232967561,-0.020066464962154695,-0.5291810094517353,-0.013066889880599203,-0.003681408052779353,-0.2146343394247172,-0.11056457606254382,0.7587574580853375,0.36135721516117764,2.4876339508929632,-0.7628439326997614,0.14836713814885408,1.3189815751989373,1.6096306156432323,-0.8038700624064572,-0.8863341644306596
17,17518.469843302573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6062201920038468,0.0,-0.2575847214029975,-0.5613416996822027,0.9809126066993114,-0.3408187954509533,0.05207342769399628,0.024631197386545976,-0.05204965930586039,-2.130419422220994,-3.0435045826341347,-0.770170263797817,-0.6273707480565424,-0.004827309883254374,1.2665306888459082,1.175375207789384,0.3565367408711741,-1.0788644094099231,-1.1255636461368457,-1.562713713016273,-0.4676538314335114,-1.0044242699987875,-0.1338349675812858,-0.5533221615501092,1.188072484789842,0.31650379516235183,-0.47140980700345003,1.287498416164069,-3.8602818294124654,-0.13117467074979688,-0.20349172282771377,-0.35258060146537723,-0.3075615339005161,0.18854514336905207,0.026174351219857832,-0.5814907595544648,-0.012564406063776684,-0.0035522827892393734,-0.20995840152070874,-0.10320360599182556,1.166568946797668,0.5497573651704155,2.2341876460931736,-0.6067214808917473,0.2755611175580639,1.9602637430102896,1.4899702191084643,-0.6831092187257104,-0.5953935128902861
18,17324.338089545807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5071080502840926,0.0,-0.2285639891510466,-0.18709889077808822,0.876117658783386,-0.5088666727581448,-0.10675331355173678,-0.08351453461627825,0.09085485615233496,-2.3836593667213335,-3.4540436785441244,-0.7757702499100754,-0.7781800520408892,-0.06333467911117052,1.4678696053939357,1.1201803769882577,0.49677592510004964,-1.1240803145542726,-1.1102170442386348,-1.8721012338983058,-0.7101645657186411,-1.2700713342175334,0.019615789195361888,-0.7264722165639346,1.317877404573444,0.48797226145274025,-0.48467104423962487,1.2033503900652183,-4.560007694404989,-0.31069830750790317,-0.4749098780408901,0.25013758654255375,-0.36705919103465684,0.2970149569926157,-0.14036881641580384,-0.5779247981396372,-0.011567328506382904,-0.0032826972493563934,-0.18142419601441176,-0.09442982442956678,1.697284447923085,0.793794967312078,1.86433375997315,-0.37264979993229774,0.4735376947153288,2.7771621562602573,1.512252384813986,-0.6433816651585612,-0.9177882246289839
19,16858.915429048466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7338484610812963,0.0,-0.27877007054641545,-0.20624422244894514,0.9696925156534897,-0.385369093198037,-0.07632880248435059,0.15096376064619477,0.12411522464101343,-2.4041807969554334,-3.4995954283097714,-0.4937442763798849,-0.822048033569954,0.6108864106906964,1.0171518421096004,1.3762445100001708,-0.1803997322989208,-0.8116056781397688,-0.8957432159144707,-2.828776893892102,-0.9484819890573564,-1.0861351321075903,-0.020993342978315482,-0.32177705359376374,0.7340053138663115,0.41800578363275587,-0.25949836579525204,1.6294566088242743,-4.046851703958163,-1.2433031082965225,-0.6861976546930143,0.06801017400624071,0.028533717940398384,0.5731134696240574,-0.08123350653911324,-0.17770579058524977,-0.009282323975540782,-0.002830778936994369,-0.16330034954680545,-0.08276377292271973,3.13938506610498,1.4523730643476858,1.5035805607774442,-0.17145157391564855,0.7748643352716404,5.001371904994147,1.5739383939940326,-0.5201222189901978,-0.8928349772317842
20,16677.156351053916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.770456746193203,0.0,-0.20841102634069636,-0.35175458991268843,1.0871991185170427,-0.3816419174911352,0.060047743462146225,0.001219508778618289,0.18740071069249242,-2.3029917416046906,-3.4308022543330794,-0.5399888522366978,-0.7042975837885534,0.6898642946141479,0.8865390744485966,1.4953984733913774,-0.3109721899407385,-0.7230851555704637,-0.8686887282458156,-3.053638598687581,-1.0336179760584583,-0.9642903406680192,-0.10705129189833772,-0.1885261147316438,0.566266673526551,0.22252462172962825,-0.18315835835821134,1.6787502839592345,-3.5982140914686958,-0.6799733857138194,-0.9852407440875969,0.1131805777364141,-0.11445713597689958,0.4168571569176135,0.09154457427342261,-0.047672683521746195,-0.008490649219388316,-0.0026965917504354975,-0.14841201724588027,-0.07905661155733822,3.656934403857978,1.6858782038038653,1.5181626048214933,-0.17927327979117996,0.7627499684731818,5.791528629177601,1.6134943019875525,-0.4965887030162835,-0.8883792194008772
21,16590.73958274132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.731855128804619,0.0,-0.3326513271397092,-0.47945360225932815,1.0392381200010135,-0.4462752911169162,0.01015844668206143,0.36315339855612816,0.050962835748068036,-2.1620595737699917,-3.2437137296787286,-0.8266509560868864,-0.46602962324954544,0.22439812449835467,0.7162488088055536,1.5638804687987649,-0.15642183990333655,-0.7390814696314679,-0.8604919158478609,-2.8867155885136433,-0.851883441234744,-0.9170756728732136,-0.1467391469284032,-0.18299002984564633,0.5115450789394701,-0.213045487082875,-0.11338556925921318,1.40006218250316,-2.825128068124039,-0.08137077669397152,-0.05611460400776458,0.3057900993598551,-0.4318890483175767,0.31108294243692797,-0.2777845106401816,-0.2404168677035888,-0.007275711778642351,-0.002393021533523351,-0.12694723911254058,-0.06856578642432336,4.230834503445002,1.9338709982852462,1.8233923921124906,-0.2297131511416694,0.32890819500937346,6.628939104197722,1.749025199552995,-0.6045126449126321,-0.857571147231442
22,16546.399412836457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7333160114336104,0.0,-0.38862333207294697,-0.39260305593751493,1.1645922240474949,-0.42479539989344733,-0.009075915342543778,0.12583109384858157,0.10924572739262522,-2.0418274267223215,-3.218293650475639,-0.882221265803328,-0.3754011154393866,0.11759835559006797,0.8049637539502084,1.6422410475182534,-0.05705021062078186,-0.802467372201436,-0.8796956613883795,-2.6935368917748796,-0.7271810123794719,-0.9047067493998842,-0.1785513381649231,-0.2736543150587765,0.5213280224139363,-0.30069047961443673,-0.1280786856918892,1.3056749375500938,-2.5821435512555473,-0.09243137635436263,0.1564776803912965,0.31114861343971884,-0.35419353734018777,0.3507365504347963,-0.23879142598488012,-0.3837131280448014,-0.007241763797603935,-0.0024383607640157154,-0.12168396858441183,-0.06894667770034692,4.363289658912433,1.9873527389997852,1.9423082179730493,-0.24269559164791887,0.13024246479629073,6.799275227150077,1.7401387192500926,-0.5807026508535805,-0.8478702913698452
23,16513.01584328076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.874366972754383,0.0,-0.38396737678005527,-0.4368555960681119,1.2504573538571806,-0.29455375245963034,-0.17809504147845806,0.24658166430821454,0.0679797656327782,-2.0395533703137385,-3.2531994825742148,-0.9718562180846632,-0.2858179638546499,-0.06046143617629833,0.8309037891995885,1.7768159599780975,-0.012957135972287169,-1.0332253695195979,-0.8496073115362833,-2.0725284546461245,-0.4407593303147359,-0.7782814580437936,-0.2745546196496912,-0.43999685204645794,0.5767839792788909,-0.3147966126526693,-0.2283820605261541,1.120269605333804,-2.287793202173982,-0.07955416683908546,-0.11559204182999083,0.3592189715718735,-0.1207183998651149,0.6396612300490498,-0.2872882362633675,-0.5184581456951419,-0.006930808815987989,-0.002345857155166337,-0.12327211922136115,-0.07019245303060098,4.540263076826354,2.049790695309397,2.09273322681604,-0.17432646471184765,-0.2695436731123566,6.954780286179287,1.6446429985656241,-0.4944516413322667,-0.8221893056363644
