Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_shopping_trip,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_shopping_trip,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_shopping_trip,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_shopping_trip,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_shopping_trip,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_walk_grad,g_walk_vgvi,g_walk_speed
10,16537.452800526524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6610243408166763,0.0,-0.9089388146408032,-0.6531662712480475,1.241240080893939,-0.2875482821552882,0.13767382036185022,0.07530582500635763,0.3141491047629229,-1.3663533619312003,-1.213005556002357,-0.6561066779267295,0.0019539724361810618,0.10485884596159001,-0.189985255746821,1.4736704282730497,-1.305549280222567,-0.5954218894721104,-1.1119213203106573,-0.6989878760728507,-0.05610425965823179,-0.21522032151961007,0.08568051244459851,-0.412624905894013,-0.007340915575231768,-0.2729207968487256,-0.13951033237676325,1.4565645872582715,-0.8437769645860025,0.08841431460241372,0.11686698606270207,0.44856342782005065,-0.8517771497341438,0.8436149048591922,-0.2853841412740213,-0.13504670872292135,-0.007878414019246086,-0.002577491411308513,-0.16713465429984328,-0.216273075124604,0.06087309339741047,1.1634029685662999,0.035550976180291655,0.029077681063532604,-0.40375299634331624
11,16431.41225909893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.626888762613343,0.0,-0.7422933794017972,-0.31526425578423084,1.2634682469685605,-0.6200639245202476,0.40677694607995013,0.07590472223420293,0.3689482641891169,-1.6225200525525039,-1.6363917662714427,-0.762308321429527,-0.021850061915795926,0.3684574717450797,0.018871979482438794,1.8570911661575098,-1.531880830801312,-0.7834100135163568,-1.2857837834388308,-0.9053434570674899,-0.0778193790500332,-0.21388906854421125,0.2132273047405822,-0.41690018407747376,0.10414098484999233,-0.28861216322687233,-0.17608775551059908,1.6456743973442802,-1.2577404363591653,-0.04554807665791924,-0.04262539989879319,0.23495395638998967,-0.839449426509509,0.8262084439901958,-0.2658384011858539,-0.2083185930837767,-0.007845082962687147,-0.0025305681131296705,-0.157405242210958,-0.21730002613790392,0.08514767149569323,1.1504576709735073,0.0588932622833919,0.05369396228649953,-0.456052072695414
12,16398.211741628227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.653872951550907,0.0,-0.6682433053614422,-0.24104056155302794,1.1394032565959857,-0.5728259097371777,0.4697755486461096,0.08042352717734914,0.3329324183981398,-1.941804632293792,-1.9141659163733349,-0.8200174639356222,-0.1356090791145484,0.398927602281687,-0.009876182125281643,1.8109662962538724,-1.5586349194771651,-0.8942311754888871,-1.2522200198374207,-1.01526314172483,-0.07552552021720584,-0.16292191162639758,0.2666914318436951,-0.33461568208051495,0.23270265554447833,-0.23470795262092964,-0.18272845131589224,1.7034008034632817,-1.5345002702130728,-0.1531265087927191,-0.13388574763738736,0.20270419123497302,-0.7413776517053494,0.8129181693782382,-0.2734982057835477,-0.2554657892513623,-0.0074112456953272145,-0.002299864357256963,-0.1641702022863467,-0.215007126913148,0.10823059577899198,1.1944513966975376,0.08042049075302496,0.056033338108328445,-0.4407209474009745
13,16374.140538711985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7224574564432962,0.0,-0.6291959697255238,-0.2874553293377307,1.1181089665664947,-0.4574671424840109,0.3699243078100985,0.10278898839257153,0.28044349555338416,-2.137519692549035,-2.2347998322210625,-0.8239324553092731,-0.23817786086765397,0.526193779695498,0.19940612642637895,1.698591765440021,-1.4659417283627256,-1.0219419000739203,-1.3528575147641737,-1.1504492952958374,-0.14880437250957984,-0.15245739157317378,0.1073817625006781,-0.4018443977765524,0.38612230908192147,-0.20259700451688664,-0.19508184882737287,1.6442654565073525,-1.8368394059759372,-0.2747341227393938,-0.2802451150649613,0.17644018495085437,-0.6896745476397783,0.7396878525193453,-0.2879640965580602,-0.3067070584734389,-0.007475022566667878,-0.002294144291511223,-0.1466569614827298,-0.21454920672640873,0.1427419283222396,1.159677015076086,0.11390226281703886,0.01039721073552647,-0.4502186643463565
14,16355.999707817395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7649192525921933,0.0,-0.6441398322466955,-0.3201635210331924,1.231729630929789,-0.45205672490470394,0.2720785583569381,0.09192027030220694,0.2653644883198018,-2.2202667502766937,-2.471335059205005,-0.8125206463085433,-0.2970513925674856,0.6228919648702751,0.44185243017054077,1.6105700420391238,-1.356522970206444,-1.1217540618423743,-1.2939329504880333,-1.2389571067702445,-0.15002553593364595,-0.13446754866230365,0.05811972421887177,-0.32830529203345477,0.49635097713328863,-0.12307720900247826,-0.18111690843215203,1.667377515039574,-2.012247786045175,-0.3005144131703827,-0.3394274686692138,0.2287413120214308,-0.6050291579512683,0.698370708399906,-0.2656854722830358,-0.333730412151027,-0.007574406336168068,-0.002344164531302444,-0.15816891263583607,-0.2152087947759209,0.17577182222737203,1.1666755718424608,0.14380821455452555,-0.0035167353136186796,-0.41197029612541225
15,16343.849274566384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.74549958453681,0.0,-0.6959583303393927,-0.1989611313218843,1.236635986554372,-0.4612312515642502,0.2833374717066142,-0.0020170555336387896,0.3040939554363845,-2.3696885985722194,-2.7458777427107064,-0.835883165732096,-0.371399270906851,0.5544510395724733,0.6992915293351851,1.4512075289613036,-1.1472038749967828,-1.2716183028649803,-1.3132621498652564,-1.3546069926688538,-0.15361670974017297,-0.252908084073773,0.0564156525022033,-0.3331424782562298,0.485302227990885,-0.0635923543434335,-0.13590488861414507,1.6748845178261684,-1.9730571836162638,-0.28221993394939104,-0.27925406059169705,0.29080584196279424,-0.7213534227991935,0.7087124482014333,-0.26284788597065356,-0.3360520275721717,-0.007546378044932752,-0.0023158923497219163,-0.1548099617443086,-0.21490860519323224,0.2381255159342056,1.1570029101085206,0.19687676585130198,-0.011703814528905737,-0.4120869317762659
16,16332.575035359841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7366518545969085,0.0,-0.605240819530883,-0.24685491455048478,1.2136695567527247,-0.5208259080640861,0.2604426236050982,0.09567997832152715,0.31481304619387634,-2.493728564420991,-2.9587801524329307,-0.8744354907357341,-0.4104183198717745,0.4718024569535405,0.8857175028342985,1.3831321768559555,-0.9912620152971956,-1.4076584660729687,-1.3104396289896036,-1.426366218527323,-0.18295716811581064,-0.33594772377157,0.09424196286634293,-0.34261657276953716,0.445978365145355,-0.04856202555135411,-0.09068168115233478,1.6821393504761808,-1.8809911609745664,-0.2346498494606429,-0.20800934643759045,0.2625493139420204,-0.758341799949212,0.719075621770635,-0.27751633685440186,-0.318288354827903,-0.0074692473397541,-0.0022713230671268657,-0.1533471123817378,-0.21457240001746808,0.300606330245378,1.1513526664038978,0.2497750953392913,-0.006278701533207243,-0.4136827281352064
17,16323.613985954591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7533941031692852,0.0,-0.6739650148578195,-0.2682932698080864,1.1772529860745695,-0.422270371822577,0.2809612995528068,0.11078894631393252,0.285230578982844,-2.633812991104578,-3.2018835722050527,-0.927786556095709,-0.40991917226558194,0.38358957811588495,1.0623344585756291,1.4859507458635655,-0.8547105209947898,-1.6111468210474806,-1.245023660656118,-1.4378517454107405,-0.27908655875401334,-0.36167614627138955,0.13238062256069083,-0.37205628055840645,0.3586919685079858,-0.08488761195657812,-0.034058745769637806,1.6322291192832148,-1.7083691396351903,-0.07991680226132761,-0.2437233534444252,0.1387031447708303,-0.6734589720467629,0.6384022148956592,-0.20207604415918862,-0.2639091506678834,-0.007347215475235907,-0.0022112600755947076,-0.15351154561805672,-0.21420142262927483,0.4166226276979299,1.144940489709765,0.34781544378972457,0.0033987367032170517,-0.42035193195166287
18,16304.973127363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7241404521629893,0.0,-0.6556344923037181,-0.308786856039795,1.1634672017870467,-0.3982177172543449,0.28000208510131974,0.024386277854133664,0.31930329438050836,-2.783119273140569,-3.4060824875431437,-0.9553559522108129,-0.39360613385576115,0.3448155951760608,1.1454545510002299,1.6957154690796081,-0.7638309266380904,-1.84907860186783,-1.1444361404809384,-1.3625205797845752,-0.3711465725876504,-0.35366948497766787,0.0622710365680821,-0.39287145414663094,0.24918115463326257,-0.15585923396309864,7.62530639662376E-4,1.4752265821608388,-1.5243837321641098,-0.21117055750233757,-0.1784111549678515,0.21445603025470672,-0.5501923785883649,0.6196734536870906,-0.20397129234420472,-0.2351819625617675,-0.007172264804865803,-0.0021294811951974306,-0.15329979972085936,-0.21282425147753972,0.5925929466336113,1.1296608642878527,0.49699127216396066,-8.614200995218681E-4,-0.42562181170164326
19,16295.272596782255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.634916979957687,0.0,-0.7754712996781895,-0.1858045560200225,1.0813976705199473,-0.46100172095243624,0.22350105018077876,0.19684772936368256,0.24577785223164317,-2.9319745246349287,-3.5522553916638033,-0.9276412454200992,-0.3631204492858249,0.44676899166672907,1.1311711549872188,1.8633353878505026,-0.6725567698766295,-2.144510943031746,-1.0548824373553796,-1.235292827170086,-0.40763935222827885,-0.3451365340090453,-0.047087290235072424,-0.3935867395287428,0.14493702612419102,-0.28064628922201,-0.012441011335413575,1.2839926096665235,-1.4179172152539137,-0.17739021772067032,-0.23334494399700711,0.4118778021946967,-0.512089732435179,0.746268180238618,-0.31056380296255215,-0.17227698869145394,-0.00694558685626001,-0.0020433798755265364,-0.15257023504106204,-0.20948189641530351,0.8963121277889661,1.102609765063194,0.7524436016536866,-0.03277287376405372,-0.40302212922072533
20,16217.561641928105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5155780158352659,0.0,-0.6040675868670347,-0.3049332586680052,1.0590930967568375,-0.5185498062741842,0.3513213417298757,0.03789704755040882,0.22228547793921635,-3.1554288143990843,-3.6098059767831097,-0.7487829867634608,-0.2688400049823252,0.917892623439694,0.8625145497852714,1.8674261455225614,-0.48446749442699766,-2.7687899835424576,-1.0453269696604095,-0.9783713535690304,-0.2947998960438023,-0.37379397680651694,-0.1709068072467803,-0.42970040677868904,0.018662961330074584,-0.540982287034638,-0.19548730573735362,1.12463612308221,-1.42216706689819,0.1164623295953141,-0.2534173144857726,0.4477566592595841,-0.6264855954643401,1.0294957613003217,-0.20619240531621708,-0.05872874130527407,-0.006399497941380386,-0.0018877740584418443,-0.14587884020650327,-0.20381936828029804,1.7592494695614216,1.0161973547767016,1.4717352175602079,-0.12570952750673314,-0.3280693592634141
21,16136.512979673902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.532069243256255,0.0,-0.6960487105122233,-0.1582030637252869,1.0179767835918045,-0.37100397186441425,0.3120040614681158,0.21930224027162112,0.114503970324869,-3.232779321410726,-3.451423319249524,-0.4386464519731901,-0.11062997371861069,1.3844019653571529,0.5617208577436601,1.8068837032349883,-0.36977014147524684,-3.6182241684261687,-1.2276726140694874,-0.8152297467174032,0.038676553118999646,-0.4283716788505308,-0.11813585658035763,-0.530973656737151,-0.00904274757965913,-0.7570675741817665,-0.5287025585083349,1.2417584388432914,-1.436739155860327,-0.09738675637275118,0.22171658998975297,0.17044785180750682,-0.6602180957223219,1.0357448856441394,0.04503340087163343,-0.006595175731262795,-0.005645041726999126,-0.0017350736645642534,-0.135686081515678,-0.1982342761059043,3.1568902213561265,0.8739282684515224,2.6258546287906843,-0.1695723467355616,-0.2863661813435581
22,15979.047406539708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5545451382819264,0.0,-0.4902288413616078,-0.008130660996045341,1.0090451045749547,-0.36201730479402466,0.19384105863220732,0.26420801414727135,0.3060737613594913,-3.1603606868571696,-3.038934664332562,-0.35854044959637427,0.12312579291485462,1.0806733637717538,0.3792692059915357,1.7101412264881894,-0.5445986417595103,-4.359597544854905,-1.61911662990083,-0.8974211461602292,0.2158603508944102,-0.2925899891448472,0.002393948779848415,-0.589795036422261,0.1165355632017445,-0.6701682141961657,-0.8911485930543799,1.4208904447438933,-1.4790133759655102,-0.15753576675823647,-0.03737822507105337,0.29516073198173476,-0.7205947203960019,0.5761245238130527,-0.04759239911037265,-0.03129285218407749,-0.004617826610013093,-0.00142725682237955,-0.11926811658663833,-0.19253263427078837,4.66196631772182,0.7188346743827533,3.8550414067057113,-0.10755647495269807,-0.3855988262963501
23,15943.858170437416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2553945076223925,0.0,-0.6572127442004444,-0.2518593143323005,0.8667276896701779,-0.3371350727462277,0.5230254835193079,0.1270961964507544,0.10256285250785094,-2.851247798646077,-2.6600779491084663,-0.4156880471384356,0.16517898326524771,0.6004194563849257,0.5915904764275439,1.6392014926404346,-0.8341680513606244,-4.778070153630472,-1.9763845001331117,-1.0435899589331847,0.11362673308226427,-0.1215377324825393,0.01321498010867916,-0.4977450523153735,0.1765387226637513,-0.48199401415779863,-1.031334201460362,1.5267444459793202,-1.7933075526022237,-0.17945733596742947,0.002927136048846646,0.16369790094650533,-0.5523736527071721,0.7723644831318606,-0.5558282250790206,-0.24192094155747804,-0.00413845909284306,-0.0013256231099392645,-0.10498848516045979,-0.18449002798012293,5.751665833762125,0.5904538521992805,4.722592524023997,-0.030928733950827986,-0.46386519994569597
24,15924.483364017491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.185128148390433,0.0,-0.5951070922961501,-0.20777941299120456,0.81193875257157,-0.33289914368551055,0.390526592830563,0.08339068615814163,-0.02620199145692087,-2.717233829114405,-2.523208273072579,-0.5636569837349357,-0.07274817527226246,0.35593097000680557,0.7012708837258312,1.6539505921892643,-1.0912998409207453,-4.813667599751979,-2.0728938253173204,-1.0535455254180228,-0.08553452850274439,-0.08866579429305002,-0.09811259717721547,-0.31854257884500814,0.21944546159149975,-0.45978790550337967,-0.9521693850235525,1.5446233660770934,-1.8425609289510516,-0.19986397947996157,-0.036039255138653116,0.08427471671574457,-0.6259628498487549,1.0548532412107052,-0.3126959040790847,-0.46659488213384764,-0.003895679255020209,-0.001238939643729354,-0.10115664449785222,-0.18194777465847037,6.088302427951855,0.5586034379864313,4.965193856174167,-0.03413270678214013,-0.4640581774413423
25,15915.307069453345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1996939462189713,0.0,-0.6112564474500009,-0.24174759227116707,0.8070258623926428,-0.3349433372784767,0.5214508286291444,0.14517177705947243,-0.009584483765846991,-2.6468165986920082,-2.516262027759535,-0.6915682935393076,-0.2686436202855661,0.3866039561734203,0.7195580062405977,1.6096124973077828,-1.2277515410986635,-4.729135011227134,-2.0922244849926597,-1.038056321519273,-0.1840843332186867,-0.17580730520364335,-0.17509301651624565,-0.20158526307233454,0.2574078087334999,-0.49347747192809566,-0.820024157410983,1.5326392061038527,-1.8277096328188502,-0.2089305412347457,-0.023910676478523928,0.1257298998636454,-0.6613146009129168,0.9740346217649718,-0.25639691689931665,-0.46260199714000055,-0.0038375853119230296,-0.0012162340278526985,-0.10049722553940046,-0.18199524501299244,6.188862982777921,0.5487604269019505,5.008518476271701,-0.06021010104388334,-0.44764999087231844
26,15907.508655142596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2354907039820242,0.0,-0.6046180760192947,-0.20719876745910107,0.7995097666831219,-0.2887631110583004,0.4768279952604648,0.12468151212449768,0.14335131738087678,-2.5489766453339393,-2.5620396183040266,-0.8830003377604263,-0.48036885194535917,0.4999617571837444,0.7024983476236107,1.5461865829654677,-1.3918367619496288,-4.542648072256627,-2.123022474959786,-1.0316506060659294,-0.2881047172235839,-0.36115590181514745,-0.19827867930259557,-0.08822927915605967,0.3063590421595975,-0.5389465397094731,-0.5889020332139772,1.5445840627502851,-1.7740126544270909,-0.2035135516832949,-0.03984549091325475,0.05985616737833932,-0.5938343619656444,0.9833406151068393,-0.3750551650619268,-0.38581888856198754,-0.003761683338212773,-0.0011980576134661954,-0.09963869032379205,-0.18145744585649468,6.303926716360939,0.5409507878055716,5.028879927731483,-0.08679824844004112,-0.4158371329991281
