Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_shopping_trip,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_shopping_trip,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_shopping_trip,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_shopping_trip,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_shopping_trip,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_walk_grad,g_walk_speed
0,25778.038176090424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0
1,23058.765984185055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2221993694557027E-7,0.0,-1.0769009247936658E-7,-6.374517439732882E-8,4.748463824701138E-9,-1.301081904977516E-7,-1.566747644394866E-8,-3.248194508551412E-8,-1.346222236288285E-8,-6.06770907628988E-7,-9.807259145779365E-8,-1.940478186272017E-7,-1.275805259024563E-7,-3.279797973785305E-7,-3.919077112278881E-7,-6.48449634777445E-8,-1.9887741543306495E-7,-7.054445762998573E-8,-2.074148508031279E-7,-2.5207492023637394E-8,-6.509566983884385E-8,-5.374597584825342E-8,-1.1689255948053243E-7,-1.5912438436769174E-7,-2.924478380309856E-8,-6.333894820555783E-8,-2.0048591953464333E-8,2.2823363968418164E-7,1.699074435445415E-8,7.317784664012312E-8,6.07801439300057E-8,1.2340106598036335E-7,1.6216475492114352E-7,5.128582379541172E-8,5.355209102165959E-8,1.4643261829218588E-8,2.645709636573746E-4,-0.0014900477949060043,-0.10000139152830757,-0.09999705993750099,1.5886490081003884E-9,1.1274027886815937E-7,-2.7182159424950334E-9,-1.872556834497419E-7
2,23028.483625354278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.7246216578036116E-4,0.0,-2.175550786624453E-4,-1.3499871928771695E-4,-1.7185179436971567E-4,-3.4984834094086814E-4,-6.518467096272149E-5,-1.3895212903668305E-4,-5.0343837795547884E-5,-8.314429207680208E-5,-1.8882485899028837E-5,-3.265924608847188E-5,-1.7951504903967717E-5,-3.978068998368905E-5,-6.043543715477122E-5,1.140874477303415E-5,-3.980065009678861E-5,-1.3189408203902988E-5,-3.07568553890323E-4,-4.1857525392033396E-5,-9.50906064987169E-5,-7.758279423329609E-5,-1.7212355557562876E-4,-2.350323625701583E-4,-4.331310187046093E-5,-9.369319817010161E-5,-2.9485243249077625E-5,2.593681287319326E-4,1.8221969121580176E-5,8.348616874274836E-5,6.927274662990967E-5,1.4025000277008006E-4,1.8349101107880262E-4,5.921772178284617E-5,6.014192622784456E-5,1.6441900897891403E-5,0.0019152671285103048,-0.0011989177253247808,-0.10217867527841461,-0.09668960207328924,2.462020249133234E-6,1.7680780262258495E-4,-3.0381958662596957E-6,-2.1086075155460175E-4
3,22368.53020906026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003573324911049029,0.0,-0.0016405683628873016,-0.0010186649436411872,-0.00130439802254021,-0.0026448865082950497,-4.929959817712413E-4,-0.0010512243786423654,-3.805884549381718E-4,-6.273856634861867E-4,-1.421683275794356E-4,-2.4613510104142233E-4,-1.3586361639435706E-4,-3.002882547440973E-4,-4.5713838194612626E-4,8.514476310131395E-5,-2.996288297202127E-4,-9.912342211424889E-5,-0.0022639580468596355,-3.07737872857441E-4,-6.997821516553078E-4,-5.721355727162131E-4,-0.0012675466763909999,-0.0017310317878032745,-3.1907726139716083E-4,-6.895974611652255E-4,-2.166586637884663E-4,0.001951169269772623,1.3719771504444212E-4,6.280377336470718E-4,5.210952550569516E-4,0.001055064933847715,0.001380661592877672,4.451844954156519E-4,4.526499405449602E-4,1.2378034665667741E-4,0.0014220771818876717,-0.001288365553722338,-0.11583759722794273,-0.07507628198137722,1.79480946657986E-5,0.001286606430261861,-2.280804829698848E-5,-0.001582413159990862
4,21010.55480593686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0693411571955495,0.0,-0.03248490150410289,-0.019849438802292316,-0.02407690373046456,-0.05086017466342526,-0.009489981550254864,-0.020338441487922947,-0.00747505935871845,-0.011518137418916231,-0.0027888394236134473,-0.004682517808469913,-0.0023708703320946996,-0.005427404881732554,-0.0081864489442084,0.0020732482993194128,-0.005855969029768924,-0.0019817794888843257,-0.029954499931740892,-0.003806680582872564,-0.009277183928453451,-0.007891802069632923,-0.01698087789447383,-0.02303157806290209,-0.004271977777091703,-0.009157127408958994,-0.0027846681248838586,0.015091811273527296,-3.705979069493593E-4,0.005107587793579628,0.004358868233824509,0.008059320849421507,0.008497390231548194,0.005614982701220134,0.0018707720178143248,2.4410600545384718E-4,-0.005235184552534771,-0.00252803523746029,-0.2569052933000009,-0.12151290812330977,3.5882181760973317E-4,0.025027043188536813,5.037114737506558E-4,0.031447616485698576
5,19627.86362736502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1076836477726597,0.0,-0.5286431200930808,-0.33060665478310236,-0.2600421435557505,-0.800664293845287,-0.14945516815244037,-0.29927947175800423,-0.11127846390663591,-0.13780317554824156,-0.058100722111146565,-0.06405743493670123,-0.012336269677986459,-0.06456563708137021,-0.08471383381434078,0.06423708729831494,-0.10073664653405828,-0.0382414405021051,-0.42667502832855886,-0.05621781462041376,-0.1291887361440059,-0.11760455643399678,-0.24131895098248515,-0.32746751008343505,-0.0650133863736234,-0.12852542271227183,-0.033406111278877014,0.2725502264949777,-0.017940454710258128,0.09252420095164332,0.08078031254964928,0.14228631855748194,0.13759100753644798,0.11378957168693807,0.02317015172308997,0.0016171264898720244,-0.007843544060730168,-0.0033029636251276323,-0.2208970493061239,-0.17776089923651356,0.02036922676768459,1.4483194001546462,0.002833165023801618,0.15560895181919504
6,19304.803554647526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0943226632303045,0.0,-0.5412084446125832,-0.335736422545092,-0.19808464233877612,-0.7902750252281346,-0.14716254834162906,-0.2868267567173152,-0.10706789751925878,-0.15999227558942417,-0.07032742630052456,-0.07261183585255984,-0.013886194990088304,-0.0749847816657226,-0.09893905989880128,0.07297093905695197,-0.11594257514090273,-0.04386572424734626,-0.47071533556705825,-0.06525191809128032,-0.1409964654633498,-0.1288900361859078,-0.26544613942607137,-0.35962119612786886,-0.07152543413287281,-0.14178787579095034,-0.036826120826777185,0.29981474084931203,-0.023609932521875772,0.10220675847281378,0.08938785265486598,0.15503404358158832,0.14734793287390907,0.1277788500938399,0.02293344648754735,0.0012365385452156583,-0.010684677266452945,-0.0037980336730503135,-0.25869286457385304,-0.1942529626386171,0.02283344103629668,1.6160915358871895,0.0030167162868016,0.16546290384770584
7,18005.675796123283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.120788248238194,0.0,-0.876708770075399,-0.4719055753296584,0.6935800341079581,-0.8064705694152243,-0.1452143773253082,-0.17089076019070493,-0.06229526725699676,-0.7100244190458301,-0.307815123781956,-0.26561766364644257,-0.10079134027738358,-0.32957211185600727,-0.4798999792309694,0.20013188473041227,-0.4163012221491572,-0.14580967935988767,-0.9409969919033276,-0.17577231085208195,-0.2562785580712308,-0.2543790296006063,-0.529183915295949,-0.6974273705148879,-0.13431101138986248,-0.28843409068838455,-0.07949206872153389,0.8509628382325964,-0.12770117122527408,0.298249162535505,0.25975514103872066,0.41322451800051907,0.37201006758644917,0.38142060446965287,0.03957132905530546,0.0016416685217259428,-0.007495519756973941,-0.0027404026720316346,-0.09497897210585321,-0.10502371049555391,0.029726238420213193,1.8988951196254016,0.01858549784076313,1.1608914069747813
8,17991.466604483183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3577951763041094,0.0,-1.2224858243977967,-0.6568111169684735,1.5052976749743334,-0.9281630240891029,-0.1572408325334947,-0.08795041629583768,-0.015134573101005466,-1.179102190616887,-0.5632028999384942,-0.43909921077620295,-0.15412174724261593,-0.512434913928132,-0.7615815571619415,0.39507598165201085,-0.7210386780151536,-0.25874044981818484,-0.5914759444810542,-0.22832737617735366,-0.08489056813501225,-0.16465053595823512,-0.2594827518487575,-0.3313440124124671,-0.07863363538356041,-0.17138876814425716,-0.04072515050125376,1.2645920396916235,-0.2656834828980178,0.4119630494087313,0.3739785904903755,0.5390844274116215,0.37806579865125,0.6125921882308107,-0.005615179933270827,-0.006395875798340217,-0.005897549068961304,-0.002099624060551891,-0.1369383926188331,-0.09674179520188991,0.04302479252654881,2.0956417928096034,0.02348574326690666,1.357998142960946
9,17891.710800440025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.425535378143691,0.0,-1.3088619437941322,-0.7044876540028107,1.7020970638901494,-0.9507772505822342,-0.15849878598047085,-0.06799533748121558,-9.07398199980201E-4,-1.3091501406361814,-0.6353929625325667,-0.4876384695984645,-0.16891378505246782,-0.559049750204361,-0.8363820362934599,0.45220248791751405,-0.8062092608372596,-0.29056431254570037,-0.5731744035256212,-0.2506963235420353,-0.06422096005604495,-0.15982586575324584,-0.23001423457552445,-0.29792213197165635,-0.07258952245245252,-0.16457155127307446,-0.038715555191392755,1.396932851244395,-0.2980194099782029,0.4423052055576511,0.40492284323615424,0.5808130532451925,0.3846415637303836,0.674162604620194,-0.010493345899907955,-0.006271612018390672,-0.005630097892307726,-0.0019589173535750353,-0.1394278657311413,-0.11682800049728873,0.045259699601856634,2.0838163451703644,0.022776385013131256,1.2571818747061683
