Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_c,g_bike_stressLink_e,g_walk_vgvi,g_walk_speed
0,30320.955757936834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
1,30006.20306985376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.3695460318843833E-7,0.0,-2.2786995426932906E-7,-2.5643998921882466E-7,-1.683934690364373E-7,-5.573816643602191E-8,-1.0528403241996536E-7,-6.662315029476454E-8,-1.2840136250747552E-6,-3.0317763158164744E-7,-3.05751973003261E-7,-3.804202027081612E-7,-6.610199902799017E-7,-1.649862131451269E-7,-3.9758208464807156E-7,-1.4785327355468625E-7,-4.303797306477828E-7,-6.989715807130328E-8,-1.0123025747837854E-7,-1.5722152357363273E-7,-2.6152469524871334E-7,-5.6385664816357747E-8,-1.2633341168341965E-7,-4.851111555529532E-8,1.8393966706166344E-6,1.7375417428268237E-7,5.037177435569713E-7,6.617027318931525E-7,1.0053450640493514E-6,2.7195792071409936E-7,0.0,2.1399971863097363E-7,2.6688167922259506E-4,-0.002677782600890813,-0.10000099089490273,-0.09997190434429672,1.5004784936754698E-9,7.390180073726855E-8,3.450823075523178E-8,3.412685738847823E-8,-1.8864547628177024E-6,-1.7170346773513386E-6
2,28882.325973514955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6099412319310376E-5,0.0,-1.2220724753867053E-5,-1.4328110270135839E-5,-1.6331587510983256E-5,-4.8969588288521E-6,-1.0015108893751092E-5,-4.5290280785182755E-6,-6.789787527769359E-6,-2.2121151977197852E-6,-1.8473475232250518E-6,-1.9694912275999767E-6,-3.420911062876394E-6,-5.370184816523932E-7,-2.306067259441672E-6,-8.682749702448695E-7,-2.0824085495521316E-5,-4.000650254395866E-6,-4.799620648642034E-6,-7.190849925423416E-6,-1.2220496241430302E-5,-2.8181705194132736E-6,-6.111165715487127E-6,-2.265674470020478E-6,6.55042797831807E-5,5.968484071422424E-6,1.8006550931133112E-5,2.3648275543549272E-5,3.5826304978513356E-5,9.674232309933024E-6,0.0,7.655319120051889E-6,-0.0055893980122634565,-0.003632279144739104,-0.10007191792879602,-0.09899563488435895,9.532744344358911E-8,5.552988023391387E-6,2.261491827908496E-6,1.9665267282249793E-6,-6.741003398631304E-5,-6.137239170887806E-5
3,24535.172750254427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015434645272548568,0.0,-5.925299191532301E-4,-6.857619365436061E-4,-6.740410084483236E-4,-2.064295343073636E-4,-4.156683042714788E-4,-2.039894740242269E-4,-2.746704644569028E-4,-1.0051315320703474E-4,-7.885345663736483E-5,-7.855546612287411E-5,-1.3640333472680164E-4,-1.5092579764452992E-5,-9.763647492123623E-5,-3.7374541735131714E-5,-0.001959937634273889,-4.0334699658429996E-4,-4.513488235681537E-4,-6.338134529415834E-4,-0.001090545578831335,-2.630740817443251E-4,-5.858501482493632E-4,-2.184157162920737E-4,0.0035744107795890856,3.202711319793052E-4,9.842768872897103E-4,0.0012922059069174986,0.001955939384369993,5.282871783044507E-4,0.0,4.182592732535816E-4,-0.006523403311364592,-0.0037821883135617023,-0.12201267997043888,-0.04541860934643136,2.4327994510707523E-5,0.0018322242100266635,5.197610782124382E-4,5.193234373307221E-4,-0.00364760035693521,-0.0033212018531759684
4,22850.6329532854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04302017721824041,0.0,-0.018256054715652177,-0.020725092396504077,-0.017687555348176523,-0.005671493990278315,-0.01129884623504537,-0.006032975266080334,-0.009061842863621645,-0.003419075062650592,-0.0026417844667469426,-0.0025749460268318083,-0.004467844163469712,-4.2332242011825004E-4,-0.0032842171946156893,-0.001266117981377101,-0.04096955099155345,-0.007041308288076455,-0.009665883554507234,-0.014325787414286686,-0.024011856914706232,-0.005418593998301416,-0.012093937420733007,-0.0045410269476796605,0.07683795729354598,0.0012812571538725983,0.02290112843964917,0.030300051564067496,0.043183424452827614,0.01191342447388264,0.0,0.009254557925049077,-0.016443618883487294,-0.005489964693820037,-0.29989639549221747,-0.10172348842387202,5.794813402910498E-4,0.04293221207040484,0.01231427453595021,0.012985569088771383,0.016455635478238414,0.018782363596754975
5,21786.409446586073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28575075317269094,0.0,-0.12074119336348271,-0.1366070656671986,-0.1142220181485941,-0.03762341101024996,-0.07486356930453349,-0.04008033278478868,-0.04428875309754356,-0.019370995068850996,-0.013793166357617346,-0.013029573498902769,-0.020951255020648422,1.1351968486355906E-4,-0.01819447550348373,-0.007089808523181083,-0.26720980269692385,-0.04307050313446826,-0.06479629039666734,-0.09295605500396595,-0.15663052592555748,-0.035510338265727005,-0.07780442654322078,-0.028939322473774003,0.49032629525631855,0.003111842092146053,0.14744710377173237,0.1940583656356873,0.2740448384365703,0.07619164232501,0.0,0.05912372918055964,-0.029819842967372327,-0.007844353492597036,-0.48529808671660574,-0.18104251519121894,0.00877534278462339,0.6334802763891367,0.17053748909566555,0.18148342166254852,0.0740856234495073,0.09585029479215709
6,17836.947411981433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1402267785788447,0.0,-0.462574761285961,-0.5201664197690903,-0.4411726097891189,-0.1527015391613057,-0.29517128030397993,-0.15447215362367367,-0.11061461162528723,-0.058852445241062035,-0.03991191117695837,-0.030091335801474092,-0.04708496862029096,0.010642214259918901,-0.05467227140467013,-0.02167873798337979,-0.7782292732818392,-0.11874750520989183,-0.18976449124607148,-0.2715773685839674,-0.46396133140817686,-0.100447188898037,-0.2252726158859577,-0.08614472377996604,1.7949103962470596,-0.006825514633705074,0.5446629038178412,0.7042574218001099,0.9785427714028472,0.2758090963125329,0.0,0.2192166465504258,-0.01892068443395823,-0.006235219366025315,-0.30051641284292774,-0.16899485954097052,0.00677391190186809,0.49970798083131174,0.15433922051340643,0.15598258414230595,0.2246497868312975,0.29027871080503453
7,17133.33236189717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8691206856165155,0.0,-0.4931709959725409,-0.4972036665062363,-0.12947597420413604,-0.11593952212262648,-0.1638968435079134,-0.13246850178372757,-0.1824669094210036,-0.11272669929425036,-0.06271162850710851,-0.04647228568477533,-0.07122120759110569,0.021787772162419384,-0.0948642974391257,-0.037232536412976455,-0.9837923809909929,-0.19008143928671314,-0.22122892286140353,-0.3064352322454456,-0.5427922463955406,-0.11675208058089048,-0.2823137118847463,-0.1097871463481041,2.1544867675004777,-0.12079805281936849,0.6702246552816801,0.8261735710314129,1.0148582098353622,0.31406403230817814,0.0,0.2794915619629948,-0.017759356402360815,-0.005885077558375596,-0.2582734170166391,-0.1608304691043454,0.009593340042985782,0.44282328423752776,0.2606479072541864,0.07375933000868391,0.25443328591416703,0.367113192252264
8,16834.785581920754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9827273700609085,0.0,-0.679186784727629,-0.5951183281140582,0.1644283016482619,-0.11961538379816745,-0.12732934647132105,-0.1517541611887556,-0.26541371119940543,-0.2163194649374917,-0.10137292422787197,-0.06296609152565694,-0.07693940047204731,0.06361409598105602,-0.16701400179451126,-0.06828093085146797,-0.9638360088262462,-0.1558518512062816,-0.1938661619002165,-0.2619961295943248,-0.40038896999360246,-0.072407524920481,-0.24519319961764874,-0.12501610921668427,2.3672706876788103,-0.37404262673599237,0.729394433736455,0.8115801057882133,0.7295062606098925,0.3022456476707862,0.0,0.3379695592066233,-0.017297845112758586,-0.0057432132539024785,-0.2552202588145633,-0.14767669371710998,0.030824948240056625,0.48956722768077504,0.1804826167541566,0.03162541312922184,0.3140899883633276,0.4624900570984989
9,16755.300595381228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.050450895500855,0.0,-0.7899279373865579,-0.6431553153736879,0.21941489692554605,-0.1024125821077555,-0.09336760826740216,-0.1500395967990554,-0.32700505608038244,-0.3279768342848739,-0.1416219668150084,-0.07331222762159513,-0.06456983198046808,0.11662388520993565,-0.23616645903707328,-0.10246301236522148,-1.0260909419544353,-0.24075490950672535,-0.13022456411979488,-0.254077321578672,-0.3527924900430353,-0.04945213907358346,-0.2381803586282331,-0.1256278364219922,2.4153671629597295,-0.539696942362946,0.6215145732172302,0.6729373525769813,0.6622390175112023,0.27286837526910585,0.0,0.33732946120513907,-0.01666478313361664,-0.005604145784054524,-0.2435751636199886,-0.12281195447910831,0.0541684446308424,0.446086776356842,0.30971884576618547,0.06935149220160639,0.4727779994478399,0.5753495080759574
