Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_23,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_23,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_23,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_23,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_23,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_grad_f,g_bike_grad_c,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_c,g_walk_vgvi,g_walk_speed
10,16996.431542321607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8106518906696711,0.0,-0.9778558822960117,-0.6455896995054718,0.899358907850114,-0.05008489346245332,0.0,0.10056145755160253,0.0,-0.9238601537898965,-0.7318720669281935,-0.3335645158205622,-0.20987012656235804,-0.305660874294967,0.16848949918299766,-0.5397506329829265,0.0,-0.21839508647748734,-1.529402656826449,0.18962460525454963,-0.3058823136412786,-0.44566105262299416,0.9351771855993912,0.01814476458733478,-0.3396597975172465,0.0,-0.2421506189087309,3.234832563030347,-1.1395338239329638,0.7959572561790353,0.690044640188657,0.2589980146801176,0.2833075209855318,0.0,0.0,0.5037139450400601,-0.014922482572780109,-0.004727055855248604,-0.21913058730111823,-0.1644121268335737,0.35341436494632417,0.03632285856428657,0.03998296598423713,0.0,0.2937907408153726,0.87496444233532,0.05842068466250418,0.39611978724288016
11,16894.672421850566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8952981405297956,0.0,-1.0161575868644779,-0.6905972881196794,0.885324637289117,-0.010832484886663218,0.0,0.1337106463861798,0.0,-1.115461933530075,-0.9987430766689362,-0.43794989160642606,-0.248730300177994,-0.3038644873572338,0.2642144344932598,-0.7008896514750276,0.0,-0.29435799677624425,-1.6100450911504316,0.1769204155640985,-0.2386603687498653,-0.36045698901769263,1.0496661743566476,0.05345150313433965,-0.23650697271240462,0.0,-0.2161911173934559,3.31912760608875,-1.350953829429702,0.5029625399159128,0.44282935706460513,0.4214270040659454,0.24624930434477746,0.0,0.0,0.47778565452424054,-0.014649198198992167,-0.00455888620097984,-0.21898459586732194,-0.1665903521966058,0.47674039089012143,0.05683425121779088,0.057202160723896035,0.0,0.22175355198543428,0.9957062628747361,0.03448477298108897,0.37883615280198335
12,16761.04709527545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8832962672552335,0.0,-1.0223020889189862,-0.704158051945734,0.9777448695905072,0.05760526558107286,0.0,0.2648728259329255,0.0,-1.4060879616949085,-1.4450933441467289,-0.6115270909875828,-0.3068381670846455,-0.2765392186743612,0.4309346649417456,-0.9607991243710399,0.0,-0.4215263934523894,-1.6908383474313966,0.16678104248430392,-0.1262981720969516,-0.23145775524352713,1.103154873724982,0.11626890122083183,-0.0613903057696609,0.0,-0.15411445857731854,3.515019602820739,-1.6847186360604685,0.055067111122442,0.12580493006085908,0.7541271608661261,0.212039007032327,0.0,0.0,0.42812811304359866,-0.013621850623258942,-0.004136861704952279,-0.20183636051076553,-0.15120598556880308,0.6728307816890097,0.0943881329335815,0.08265286094558336,0.0,0.28628124232076985,0.862724210866169,0.11440714293724659,0.4438907101197317
13,16633.00684015651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0462723262697107,0.0,-0.9796309921409662,-0.7003168168366696,1.2469246024089595,0.10665861670134963,0.0,0.07963970837901024,0.0,-1.5918763220442025,-2.493519909890141,-0.9987117101123203,-0.3309775805703855,0.16151369651789604,0.9411176073352885,-1.4384414206841298,0.0,-0.725405596293662,-1.449962783785654,-0.22438891298668923,-0.07645748199316034,-0.20922145437122258,0.6384177041804924,0.26401208398761233,0.017919508705019446,0.0,0.2737058908811409,3.753969470449923,-1.994813277595032,-0.26530182196448376,0.10992110507350997,0.5059926685831967,0.34812005278369235,0.0,0.0,0.1908443513301624,-0.012717250184390712,-0.0038311660609118125,-0.19103277073322905,-0.15284377394352605,1.122560210108078,0.19923723917439262,0.16119616290747701,0.0,0.23626911616598037,0.8578900353055382,0.20826337435677822,0.25792758575908925
14,16519.535089858506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1152228691268466,0.0,-0.8493023720775791,-0.21658798571881555,0.6110725871498678,0.10144944050758349,0.0,0.49570224954261016,0.0,-1.9104095012928837,-5.048161084279432,-1.9532238481553033,-0.40863788335545603,1.275486365848046,2.1708074570835043,-2.5298462513148223,0.0,-1.4782554558856482,-0.9239445647105854,-0.8433879785936464,-0.5545463489948061,-0.4329603163774334,0.12916412706641744,0.6715010834666124,-0.16655218793901932,0.0,0.6948792728252142,3.978649670351971,-2.530602103606582,0.0675324434545555,-0.1746395502706888,0.18252632374003974,0.5990336659541169,0.0,0.0,-0.08872430929923306,-0.011557224042106212,-0.003303847200798722,-0.1753759326850389,-0.14624838168295073,2.218631303245785,0.4511482236737515,0.352921112379722,0.0,0.19657493923687086,0.8186068755194078,0.34801284079555,0.11777633415585828
15,16509.831096330276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9821598711206325,0.0,-0.4386906307803241,-0.24860150602298126,0.2977138276454122,0.4951545721089164,0.0,0.2542592868861543,0.0,-2.0489926686333115,-7.128546754229275,-2.705769721031339,-0.59472497663606,2.037126185475346,2.9599995832876598,-3.2148533145516187,0.0,-2.0864429099973565,-0.737337522167495,-1.2196900134968405,-0.74155964621177,-0.8975841860145812,0.07814738731646656,0.6918816702879637,0.11630139706264164,0.0,0.0662416158822603,3.8182219339064174,-2.4894970203922724,0.07313729620413258,0.22879327177110806,0.04089402775576742,0.6018921392609908,0.0,0.0,0.27158925247446164,-0.010973560972324999,-0.002943266548569385,-0.16398678521011842,-0.14263799219601977,3.1242001132559705,0.6590235214355705,0.5192665256981702,0.0,0.1993966468180365,0.7338627990139028,0.30460980587407743,0.15816342196883587
16,16409.33651482934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1212513965101705,0.0,-0.5467997288958065,-0.25210771970553103,0.6115046484789212,0.6240961146942872,0.0,0.15626290418205285,0.0,-2.0846052605173293,-8.453908434644458,-3.0999426042430853,-0.9158706802436394,2.1499258796222995,2.9736560291416914,-3.320948984882274,0.0,-2.4533215684139416,-0.5604410548700787,-1.4692554016357111,-0.7438975880781544,-0.7848910272488379,0.0170019988369471,0.7405153210517343,-0.167828276320041,0.0,-0.3670465990714917,3.556388182197424,-1.9976555931867055,0.27626954171425566,0.1253185526084119,0.2150857065447276,0.8400103685978693,0.0,0.0,0.44268908007619484,-0.01004722784430334,-0.002559951610054396,-0.15028213787366845,-0.13865039711556043,3.749267938897099,0.8109625581337638,0.6477717344187882,0.0,0.1820667496531495,0.6834760957085492,0.16434749209385693,0.30488520652707557
17,16336.762106612896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1963684005770732,0.0,-0.772597789951226,-0.4332312000972023,0.6597651915676066,0.711836976461487,0.0,0.30262993185881915,0.0,-1.8729694492810298,-9.949668718905114,-3.370878710023129,-1.3204674440895403,1.9790074657876902,2.549899896667422,-3.0209413873555064,0.0,-2.819852399894773,-0.5238284279490433,-1.4616454666574936,-0.6929091247735125,-0.8966927757523422,-0.006407204034319904,0.7609592290665377,-0.5739634330863258,0.0,-0.43201399872610363,3.039805134625559,-2.032232692490192,0.20754436999010945,0.6115580585164799,0.42177056958600545,1.1042933440768041,0.0,0.0,0.28968506169875496,-0.009718554974323619,-0.00234938444341322,-0.14388268117809036,-0.13352654423209467,4.510214117565893,1.009339382062821,0.8206649185247616,0.0,0.1498451475367038,0.6460203395944056,-0.01387157821709148,0.47255925625455286
18,16146.544239868237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.154403800344876,0.0,-0.922450290438579,-0.3709405565468134,0.6843328482621696,0.9338294485438318,0.0,0.13769060086959747,0.0,-1.0237440634336767,-11.851528088185406,-3.479010414247362,-1.6435859871661265,1.6713861129294005,1.832641619897983,-2.164595535937377,0.0,-3.2148652139367986,-0.7165749177877929,-1.3781960575159715,-0.8378645458535176,-0.8189843679867138,-0.04294632341004355,0.5762386189221059,-0.25814976657697647,0.0,-0.2838930041341009,2.8374731245887905,-2.1147315889606046,0.4488094814168576,0.6110277765965079,0.5293952903707876,1.1297175219962494,0.0,0.0,0.1253673931396261,-0.009928368887685958,-0.0024934763807271275,-0.14637744332126731,-0.13036293820813685,5.533323066776779,1.292903233729065,1.0779281862487764,0.0,0.11931778340924666,0.6106564893265424,-0.0852879291363136,0.5746823908811102
19,16074.55062295797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2937393152559928,0.0,-0.5559548980995876,-0.36673000112127896,0.5419837419104309,0.5198169537665563,0.0,0.6156197614706609,0.0,0.8538446989336144,-15.414242585474698,-3.419711199293833,-1.9587971367106596,0.826155132489276,0.6448790951817858,-0.2939377021506493,0.0,-3.8586689994027905,-1.1595351649955503,-1.3413919765470192,-0.5708268844527242,-0.909316334754121,0.021198949288005822,0.6955930547390303,-0.09345220045974251,0.0,-0.17813885832643578,3.13922782265267,-1.4736048084180116,0.08234247364732916,0.47501046309225187,0.1643707478476848,0.7337334522681752,0.0,0.0,0.2236547439283739,-0.010903246661866485,-0.003036382425390397,-0.15807514694920682,-0.13448826676535375,7.47987950042355,1.8535529747401869,1.6057408397717947,0.0,0.11605824358003759,0.5318998383501203,0.11910809573231824,0.41443530119056426
20,15967.372514639172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1156038805386534,0.0,-0.45265879060430836,-0.4521482486986685,0.4280041789717734,0.22880692161240174,0.0,0.4119834402362687,0.0,1.015551404213969,-16.2751554946897,-3.064297578019337,-1.9019942285509754,-0.07819434564141292,0.4488279646275862,-0.041078101907684905,0.0,-3.8521152979470865,-0.9814815679807597,-1.362813030157958,-0.47175435284699596,-0.9815242236466987,-0.2720432010428507,0.7539681731402538,-0.22522772613752445,0.0,-0.20621685783737173,3.1710193059466807,-1.593516954506054,0.20132834021763565,0.3741803331486783,0.12720597485763635,0.23260054514599116,0.0,0.0,0.4952412852532143,-0.010177976769291847,-0.0027604538119560137,-0.1484777880213459,-0.13164917070016607,8.029699054094197,2.0457632385236244,1.8045264272898154,0.0,0.07523326905010645,0.5245239792937026,0.16735060536082197,0.3386420008770171
21,15825.028713980646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0057409368644037,0.0,-0.6334205939388483,-0.47639288510707634,0.2796729033693348,-0.20117168963229298,0.0,0.48934000481901474,0.0,1.0781908302182637,-16.649478401437467,-2.2971185413409723,-1.6842536021837131,-0.5931194938593388,0.34417014359611325,-0.2824400902388619,0.0,-3.5152460515078334,-0.8869599076654057,-1.4155049619512348,-0.45404508799981197,-0.8950638066100856,-0.5184820918310873,0.13199405967782885,-0.12862726561811744,0.0,-0.4609878978806371,3.2391561487043576,-1.5877881371920735,0.047144395794386396,0.31268136560379234,-0.10122410939236087,0.26254933817850434,0.0,0.0,0.5042533965294734,-0.009811465583235385,-0.0026629799669006748,-0.1430398265493289,-0.12794090042942102,8.441424488791585,2.237419639102834,2.032413925618584,0.0,0.050041733745694233,0.4905643211938655,0.05552477669152388,0.4659508758570477
22,15632.865926409644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8866593412446216,0.0,-0.5880975569784151,-0.5220862856288837,0.32133054398014865,-0.2647118475922468,0.0,0.25125225103840504,0.0,1.1166941227450322,-16.57967777155761,-1.4871050836169042,-1.3697645434393457,-0.26798877944733923,0.15155215894820517,-0.5456433546063693,0.0,-2.8669783352780605,-0.8613980531959814,-1.274011236748075,-0.44159418552515767,-0.8408256584777823,-0.4577092342117943,-0.11161959893122622,-0.5915352331498263,0.0,-0.6658980493477173,3.333038751198619,-1.6873937094332463,-0.10636206104660823,0.156277237611868,-0.013437499939850536,-0.044826188505711295,0.0,0.0,0.30493640854506016,-0.01022342444053388,-0.00291909722135185,-0.14983169351109138,-0.12736333817970288,8.706647665317547,2.430946113427915,2.296216230873656,0.0,0.04434795285216319,0.47707415378627294,0.08505733858984066,0.464856804560147
23,15355.84381648661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9465252031712043,0.0,-0.31353092677413213,-0.32618727714054335,0.3384540537213662,-0.39958554666978774,0.0,0.13809582656015076,0.0,0.028398901197712156,-15.739732588408902,-1.3337260656313752,-1.2297713349227724,0.07593793847607427,-0.4849931238484113,-0.7495895501275399,0.0,-1.5371789290261688,-1.031969952969142,-1.057194354304486,-0.11644685537884059,-1.1885628134516373,-0.5182276387172994,0.04086598915191342,-0.366847970771574,0.0,-0.8271915282150822,3.2817740223691496,-1.605418166567196,0.02134277281031252,-0.03008205003055528,0.026495811667354777,0.01894813467602148,0.0,0.0,-0.047966199080769545,-0.009165221113990967,-0.002451807707802059,-0.136045609487324,-0.12535978850158078,8.781052299193684,2.7206694665587334,2.7555581290935947,0.0,-0.01004483735591686,0.4887980742642702,0.449724315689536,0.021365066832974455
24,15151.65489162171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1317137930115573,0.0,-0.44273128018179275,-0.738362983568285,0.39319613025655226,-0.26314962662695013,0.0,0.5636771845411899,0.0,-0.7493653704627514,-14.510690460472969,-1.6350659912885575,-1.014536783550618,0.4988646000455658,-0.47839993574985007,-0.5988771132469791,0.0,-0.38959321327590857,-1.3615165517369348,-1.2548660937019283,-0.3135174821531446,-0.5157750540111875,-0.6988953052346079,0.3187242609518483,-0.10706231535948674,0.0,-0.8024844691568239,2.9542914357379484,-1.8102556931456126,0.0688612076397132,0.082513356706762,0.04879667241647178,-0.12590648966269175,0.0,0.0,0.4975532438826374,-0.008438613828231906,-0.002289729771850869,-0.1267098370485376,-0.12699744828267903,8.542698236091837,2.962133213553378,3.212150087233234,0.0,-0.031834479352377876,0.4224229993370018,0.79227251138515,-0.47581565419551103
25,15024.691671490658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2121347795335464,0.0,-0.8720506888458579,-0.059917564750268215,0.35330895736343365,0.06977531323193537,0.0,0.423727008971466,0.0,-1.1601448253678759,-13.378227413844622,-2.086934834540892,-0.8536860020907079,0.46851760617726407,0.23807508514845732,-0.2346656221366875,0.0,0.06346167696396143,-1.6560930239342213,-1.3633825880931045,-0.2815419395254129,-0.36064747796016094,-0.5276136681018709,0.5023876220922754,-0.2061257327104382,0.0,-0.41919980549887714,2.8177111060838076,-1.781618550087639,-0.32688291601209474,0.2348138230390398,0.0890259860356288,-0.042161509752096524,0.0,0.0,1.042411443397907,-0.008191945620483171,-0.0022549211169674696,-0.12387186464075943,-0.12358680077602215,8.102556850308689,3.09887741071981,3.5409099256189456,0.0,-0.008757786790065981,0.36034483857206684,0.7228983679601177,-0.38257960585962414
26,14858.800491906946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2945974547431758,0.0,-0.43809653967639034,-0.2939308681838777,0.4802884648786476,0.30896805955540035,0.0,0.3069448972592268,0.0,-1.3718764720252044,-12.153375680966182,-2.6263759922944336,-0.7045846903144344,0.16774251208745466,1.4952179687724594,0.20825425924923507,0.0,0.08956262346835522,-1.959143326509042,-1.2543717775063832,-0.2843477615225955,-0.3847343352421955,-0.25769062709402724,0.5492409037342967,-0.34398154559240113,0.0,0.09019727822725865,2.666726611635518,-1.7645493151541551,-0.39879775594887384,-0.002777553459614529,0.20305119479514744,0.4536636824425315,0.0,0.0,1.0258005627078104,-0.008100612152207283,-0.002284138287532332,-0.12357599338085808,-0.11413265503222417,7.449729801630276,3.194917559301258,3.849947956176576,0.0,0.009709476574758569,0.31955574452994806,0.3624194914228889,0.10311522709871457
