Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_c,g_bike_stressLink_e,g_walk_vgvi,g_walk_speed
17,17610.060978792815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5703085491410382,0.0,-0.8934862925639423,-0.95850246338199,1.415383372844388,0.9653747659732075,0.4338680800215876,0.43069712475354993,-0.8650547766380625,-9.341672622247588,-2.9619608709072875,-1.3562906715752778,1.6004636550226916,3.5461498907889553,-4.522610067273446,-2.7014083359139143,-1.1093713578730988,-2.076390035867159,-0.15553286279304995,-0.5586879925801529,0.29049206363807956,0.974560476671612,0.18365256108441352,0.1647239620283104,3.810078833102967,-3.38141671141315,-0.03782900391204736,0.34725238336974795,0.08906217533780947,1.1371300347056184,0.0,0.443672262730596,-0.006005629393687088,-0.0023487505137596964,-0.0920512044429618,-0.13682229116867095,3.1469957408236238,0.3489921785222112,0.08435296239979401,-0.4051518066367872,-0.18308571003481106,0.37371370702424517,-0.09536751930037402
18,17511.78166898942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.808366222244759,0.0,-1.2654903965892346,-0.6283386812018035,1.5537526663137284,1.179699758457365,0.3976676677566365,0.36551082457186257,-1.6089626978879576,-11.984117135783036,-3.722948399762159,-2.1609760975878562,1.1270259951121269,3.0103687371816727,-5.293671735662531,-3.418916917411899,-0.9166559823702702,-2.272656618951355,-0.16245886536187537,-0.663934500742036,0.03125077017192196,1.2849937229136124,0.062074401827094394,-0.11957174116370817,3.380709737070069,-3.4436418937421727,0.3812975161980814,-0.004847319247331894,0.17578877734810772,1.4985570540993298,0.0,0.7574002430761337,-0.0030656546168937194,-8.676407030814444E-4,-0.047408609032527735,-0.12885215157680996,4.186467774544114,0.3670527981805506,-0.04131346536180275,-0.4499062494084324,-0.20162262713894213,0.176662997514031,-0.06445868163859689
19,17371.18683465599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8075187681417955,0.0,-1.4128140032108747,-0.549742928072446,1.622689492967073,1.3234488900915178,0.3713926440216978,0.3363350614010379,-1.457290570451985,-13.480415027946872,-3.8674027553192425,-2.3081471586945637,0.9803533186625696,2.3024466988360146,-5.294159634079918,-3.743319974876755,-0.8823515183876023,-2.5036361891708654,-0.23512235561990807,-0.5441245426545951,0.2466769560105623,1.1841804516276477,-0.09543196417025906,-0.09859909816943208,3.381536238180096,-3.059586885497651,0.11338298829285032,0.22957952078522678,0.10477492163050355,1.4326456283069209,0.0,0.7300715901697318,-0.0023268058500468406,-5.306980700270968E-4,-0.03804452163923472,-0.12667748999230807,4.904269379967538,0.3068757848123406,0.040275827945564405,-0.44965936822832936,-0.15020309443344249,0.01596957410868366,0.09742838587962196
20,17067.74871827045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.726692033385509,0.0,-1.6008659821993303,-0.5946656342956864,1.7372337502489954,1.4294192863314537,0.3047409302463544,0.2764055787247619,-0.028899158495560018,-17.186053525931687,-3.8285524640930304,-2.1080209806997514,1.0790953331821622,0.780009972941683,-4.711295957542306,-4.435448438114566,-0.8959834839265809,-2.387477099768595,-0.7030915020336954,-0.5199867136117029,0.06946569211774598,0.8386146381906234,-0.10280944461624969,-0.17047905490186777,2.9930515670445628,-2.829897359411417,0.3477220256612902,0.3731069874159772,0.3042966277802478,0.8707903418749804,0.0,0.6959632575162348,-0.0034197340207610255,-9.718828540678354E-4,-0.05239416085500584,-0.12649400706945374,6.8748002068571035,0.24990743377741667,-0.05734838662626508,-0.3761839686566374,-0.035905927052583025,-0.46886061310033667,0.6413809143186485
21,16696.58617029203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.463445492379161,0.0,-1.3854208596450084,-0.7954810307296722,1.5732661293126802,0.5874892811485406,0.5379527698473552,0.30950611758460367,0.7525226607672599,-20.25885119501791,-3.314783463711736,-1.6761990078365219,0.39999438969054546,-0.04692069585000458,-3.4376515265500274,-4.845157314158073,-0.9240840752929269,-2.2671509307430053,-0.3218896186618222,-0.9000356833471008,0.03818570048456973,0.7495680306895977,-0.21209340796497467,-0.3443137792511033,2.9869615729594696,-2.7105622952380353,0.3274728803813801,0.2574644928722428,0.327802849855678,0.728719164745993,0.0,0.5746632759117948,-0.003628549826385635,-0.0010775216132474998,-0.05435517937932244,-0.12623900352298212,8.736515385578327,0.2647214354476538,-0.042010971898954474,-0.3964624690436681,-0.22181901142749882,-0.3108786897203306,0.4808391054184795
22,16532.905427601243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8407876328530153,0.0,-0.8976008116653753,-0.742199591681604,1.0922395766715796,0.27106390989401624,-0.3489888289155011,0.15763693799972328,0.8906411917064234,-24.326215099582097,-2.0379668332109064,-1.5754656078638738,-0.7178158645437415,-0.4154628503084795,-0.7786308806198274,-5.116931304702328,-0.9776070141167869,-2.380174223505821,-0.24306546943177637,-0.831193041988935,-0.16198933194559154,-0.08674003675017739,0.30125925397894293,-0.550224943078745,3.341043203007787,-2.7902880009111426,0.3996398006962666,-0.031121538673337334,-0.036270392186371125,0.08340456026867271,0.0,0.5451265697949543,-0.0031446148203390745,-8.431079022610566E-4,-0.04651607000712514,-0.12662277004909084,11.553726801272749,0.22849734560855162,-0.08597067482589274,-0.42515982181318684,-0.2046110024583745,-0.1381398827498865,0.26040418960241707
23,16462.72436304315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7311981315060292,0.0,-0.9262119239061748,-0.3778469656439018,0.8102469305393181,2.0793645887673406E-4,-0.038162636154727425,-0.2237519062397521,0.5304084390988346,-25.322879253923823,-1.212461633860042,-1.7139239834313307,-0.43852617004391764,-0.2820709679647196,0.2017952934425281,-4.785942909895702,-0.7446859003908297,-2.3046666613888065,-0.3356360370352875,-0.5551444160388954,-0.48911373864436236,-0.13946356536633836,-0.22191467209168692,-0.5641259657871684,3.4192247190424667,-2.8971729185677684,0.25609012345223836,0.044019960378138864,-0.13818842221855154,-0.11405075603963197,0.0,0.5741028734273106,-0.003238724727099532,-8.744652104482398E-4,-0.049274609825692456,-0.1266145587921016,12.771366483011311,0.19416252659101485,-0.14571434314671683,-0.3853216791475662,-0.10626233264671396,-0.25118127722780775,0.38031888789879814
24,16086.530582193287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5544569496650031,0.0,-0.914632707662216,-0.15917993488318286,0.8018146720794028,-0.4446485253443956,-0.020358967114814507,-0.554587837489305,-0.4291300441218836,-25.205231803205077,-0.4815745132578506,-0.8606220360337098,-0.09669821176999277,-0.18095368073146,-0.027030166059713895,-3.2264909793911167,-0.7281011495847298,-2.1709982344077066,-0.19994970853655616,-0.41827306422564714,-0.8838586911076375,-0.5813594502965416,-0.020426948886770796,-0.9415739780041039,3.429712879606725,-2.531402935580116,0.04095068654654313,0.017127112581187365,-0.18523129457215703,-0.23789867863686615,0.0,0.27059809599026025,-0.003150444132516272,-7.464071057375263E-4,-0.04696971807804769,-0.1251381753551685,14.78893580990573,0.22101450143250514,-0.3083155932792815,-0.4379951358094227,-0.08270051516760821,-0.47527667258814715,0.6227890435882645
25,15699.452280475663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1787152432340378,0.0,-0.6269085535822775,-0.41660135942690957,0.5339305624459438,-0.31778874047393346,-0.2781729301956732,-0.5303235798639937,-1.2495687791740022,-24.323241510177386,-0.606052837617607,-0.35518994602037524,0.07760833912093101,-0.12773170200494716,-0.023919776144441487,-0.9275858294501838,-0.9377629213490167,-1.9455455805761908,-0.33185408165024166,-0.2948422351518845,-0.44303443440853657,-0.6325033480462481,-0.7159046188646643,-1.0540558411299772,3.1026151356913534,-2.772000234696349,0.2853311115590418,0.1701046962809305,0.032964026347010705,-0.39377583123220317,0.0,-0.01709874311606635,-0.003370196478567018,-6.951107463282868E-4,-0.04981186892141449,-0.12438848139606722,17.233976974911045,0.02377381960792313,-0.11027751681207598,-0.25110421716568676,-0.007825250212130513,-0.29467935231951126,0.3898101591452828
26,15474.736308037776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2461210661110558,0.0,-0.4918726149857323,0.1291280387483269,0.7825494897750065,-0.06581898548945914,-0.4591247924119466,-0.13287220292150131,-0.9404659171671641,-22.9204650520947,-0.8668319750898672,-0.9651292279655322,0.33780779546899375,0.2501698896214854,0.29214030981030464,0.7374077473120098,-1.2968357791883802,-1.740119726143757,-0.21418375711978427,-0.4293474629230255,-0.19472626524587588,-0.33787083926210393,-0.6802258845294726,-1.1170200012547247,2.9935470022415243,-2.316728677192385,0.12374091124108924,0.03136958285648708,0.2520794917118259,0.050434207840334255,0.0,0.4924454011977471,-0.004611062241652473,-0.0012222644003404318,-0.0669201055878141,-0.12794569128324884,19.229317262599455,-0.013585141153845237,-0.06335668946275,-0.2046693500269305,-0.09670333411814391,0.009366946660920361,0.14255201180514762
27,15299.555917107278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3220284595042993,0.0,-0.23855702087061353,-0.32479918395014934,0.7042007681747938,0.15109111909296855,0.2584857291624256,0.32236513616976203,-1.007928694710272,-21.487806129032332,-1.1221891004309277,-1.5448534483270966,-0.01896225350602937,0.5542732672789736,0.4957784951258843,0.8260254092776115,-1.5890500302033106,-1.4674651375355676,-0.5227110012886542,-0.34772603797621693,-0.2229164373121297,-0.1486516135257371,-0.22860096525080276,-0.8059191924357453,2.9014508339851703,-2.0949887990472194,-0.1677533415794014,-0.0374578378297311,0.2587968302863969,0.229959750233414,0.0,0.8300359345691897,-0.004795368631640475,-0.0012105989750511136,-0.06923743212203787,-0.12761583259807388,20.411199618719095,-0.09064874367114606,-0.07763614888313936,-0.11597202292890178,0.011501827844059787,-0.16102562375351046,0.31750929001131445
28,15203.44689516102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.047510770741327,0.0,-0.7818334854730313,-0.12856111895161604,0.2841064277954279,0.3083302980916609,0.4065822625907707,0.8509524384845011,-1.037537999066186,-19.99661522152191,-1.4091261740146048,-1.6865302174427046,-0.24454135409275674,0.9953583702524422,0.6060631466032399,0.07538599932339407,-1.7965372512738247,-1.2636466539780304,-0.46789422472582765,-0.558079153740419,-0.22237909170965905,0.23599367119319173,-0.07424522333109088,-0.15783681116008685,2.9352823557565952,-1.9072626734154814,-0.08216546155540326,-0.017566953163667055,0.07741158029942513,0.22214944079284846,0.0,0.5799479029494214,-0.005024166273147842,-0.0012589232004156046,-0.07316856967686716,-0.12720183612239697,21.26729031525739,-0.11389157456412763,-0.02551506695116476,-0.10301721741878223,-0.06894134671573955,-0.3846809835084428,0.5621441759908514
