Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_grad_f,g_bike_grad_c,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_c,g_walk_vgvi,g_walk_speed
0,30320.955757936834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,30239.504617202885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.6041135004794085E-7,0.0,-2.401025473011433E-7,-2.7020628866473173E-7,-1.7743322499085106E-7,-5.873032180173332E-8,-1.1093592595490484E-7,-7.01996370969254E-8,-1.3529424848413197E-6,-3.194529171732889E-7,-3.2216545527395355E-7,-4.008420504929246E-7,-6.965050920912212E-7,-1.7384305962028395E-7,-4.1892522246470476E-7,-1.5579038369110332E-7,-4.53483522944742E-7,-7.364940128172698E-8,-1.0666453487668429E-7,-1.656615433203559E-7,-2.7556395362748837E-7,-5.94125794121783E-8,-1.3311528521474695E-7,-5.111530589715084E-8,1.938139793499492E-6,1.8308170545454897E-7,5.307584922137836E-7,6.97224484873897E-7,1.0593143425551237E-6,2.8655725908032366E-7,0.0,2.2548772491652987E-7,2.812085130522038E-4,-0.0028215322448024212,-0.10000104408846272,-0.099970396103672,1.5810276947536756E-9,1.2926709314207888E-9,5.382228446990296E-10,7.786902254865643E-8,8.02325358405198E-8,3.6360713433039144E-8,-1.9877240743444073E-6,-1.8092091217483662E-6
2,29940.799559555835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.177056861756254E-5,0.0,-1.4120449394514208E-5,-1.656127333308564E-5,-1.890889542258979E-5,-5.66841971725771E-6,-1.159059441258959E-5,-5.235437806901795E-6,-7.481389252113756E-6,-2.4835969258099325E-6,-2.046887670220313E-6,-2.158474273657325E-6,-3.7577750843767946E-6,-5.675033804158343E-7,-2.5600671975972207E-6,-9.672424487787236E-7,-2.4049771237977778E-5,-4.62461346939297E-6,-5.542124782618872E-6,-8.3023463348078E-6,-1.4111379844401974E-5,-3.256177649897557E-6,-7.0567686590341E-6,-2.6151187786266357E-6,7.547865687581753E-5,6.872146088240365E-6,2.075013712586719E-5,2.7251252254025215E-5,4.1281955333516755E-5,1.1146900830382223E-5,0.0,8.822039025828116E-6,-0.006473581040727359,-0.00392168145744158,-0.1000828227391047,-0.09884248605329433,1.0981431362162068E-7,6.818688739444994E-8,3.790043084016134E-8,6.393583724189303E-6,4.356622183393574E-6,2.605045838962296E-6,-7.768767193450674E-5,-7.072997132028911E-5
3,25725.20218445628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016605452950669724,0.0,-6.189259601688926E-4,-7.18811396567699E-4,-7.319192858693545E-4,-2.233450958347946E-4,-4.4954488383073437E-4,-2.156178688670365E-4,-2.7407624830728505E-4,-1.0150320969855535E-4,-7.885436733277454E-5,-7.799275337723205E-5,-1.3586640245735868E-4,-1.4646738458833738E-5,-9.780614116616416E-5,-3.74461878206635E-5,-0.001866134917056552,-3.7719938490215723E-4,-4.3064093172935565E-4,-6.078960001750763E-4,-0.0010428183062904754,-2.502275251125114E-4,-5.580644006454669E-4,-2.093261487305817E-4,0.0036506850707324185,3.2832268248257906E-4,0.0010048987328778838,0.0013194078773112415,0.0019974407904371004,5.394461428980871E-4,0.0,4.270878312879593E-4,-0.007572172167502974,-0.004098365174164576,-0.12305814518278524,-0.044193608571300634,2.5228002871164416E-5,1.0894909769518681E-5,6.746160566375534E-6,0.0019374708291267817,8.370401990257769E-4,5.212918301967588E-4,-0.003733870955204499,-0.003399635737533408
4,23976.922659071963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04957750680535189,0.0,-0.020198947688582103,-0.023074111774096292,-0.02082518173797589,-0.0066138360295599575,-0.013127062550669411,-0.006755260368977252,-0.009564705475816499,-0.003638324040847455,-0.002787945301151625,-0.0027086601717025093,-0.004712668039907529,-4.424612722709042E-4,-0.003475065173124873,-0.001336255600407432,-0.044131595608049426,-0.0076475273177970945,-0.01038641098209531,-0.015407798980620634,-0.02581361548706873,-0.005850303284087027,-0.013023984483525793,-0.004922629690381656,0.08854242617961887,0.0027986870096199947,0.025998243525067025,0.03441620774001868,0.04958190624358197,0.013672778420391808,0.0,0.01055480517340447,-0.018978051924849568,-0.006057647643548721,-0.319558900333361,-0.11082362435461993,6.951570555064165E-4,3.2988301026253285E-4,1.8184051297156215E-4,0.053026145247104334,0.02482723433177058,0.014392440158006621,-0.007539618754534148,-0.002110376485799997
5,22542.651125168853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14895900836469544,0.0,-0.06135622040335181,-0.06962783980199716,-0.06159568750356402,-0.01985243543223345,-0.03924398270379804,-0.020497450180575503,-0.0230748449860256,-0.009749401440966168,-0.0070980165210187615,-0.00666733804630003,-0.011050198168774757,-2.6072441596212124E-4,-0.009192811501218544,-0.003543263024793232,-0.1397090860961442,-0.02377612170973247,-0.03316042056136137,-0.04864686391027684,-0.08030662469527228,-0.018518039530282953,-0.040964345800831685,-0.01526556806990386,0.2638818441275911,0.006668576967217772,0.07785361771954982,0.10289487943427558,0.14700397496715537,0.04081909226083739,0.0,0.03148899201432748,-0.026506806507320034,-0.007370197525540592,-0.4251949459089214,-0.15670120619232852,0.0042841208657522865,0.0018659443246201184,0.0010959512263135495,0.30881813505869427,0.130994459393137,0.08118992658524121,-0.020998518525430804,-0.00246849511272726
6,21496.084670666543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6788984483163034,0.0,-0.6598635556223225,-0.7456821234110288,-0.68672523062065,-0.2249892507160658,-0.4406791589334482,-0.22397670683097998,-0.1118581475927288,-0.07009713272251425,-0.04568820311523637,-0.029669394190849296,-0.045183982006579096,0.01967073813685565,-0.06475467687666168,-0.025549339066379233,-1.1615025032302977,-0.18934586918998242,-0.2737386671721817,-0.413840947361399,-0.6365137005945147,-0.1526374183830785,-0.3353824743849119,-0.12655108899529394,2.6485867852152447,0.037689031573780535,0.7855091546792412,1.031643558592134,1.42799171428309,0.4049523670792799,0.0,0.3194060276059719,-0.01111802210291407,-0.005229103560899014,-0.16310098881957724,-0.16710784026813544,0.011794046098072913,0.005454542090626368,0.003302261424228536,0.1933668243139364,0.10207991691921472,0.08193469238213803,0.07209961285015674,0.2608447332738851
7,20896.435358198887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5639993673270227,0.0,-0.7153003338060218,-0.7742298624748949,-0.5289208019736923,-0.2068983067259738,-0.3748947561277078,-0.22108131687519708,-0.11614957461266143,-0.09245942706651233,-0.05320620898982027,-0.027701191594738245,-0.03849429487890092,0.03453048322435115,-0.08129256769773577,-0.032192426225420456,-1.3124021885031651,-0.28545133185506516,-0.2797659786194325,-0.43090637590871905,-0.6583145071170203,-0.16833285776598014,-0.3725693749074837,-0.13913529573670966,2.8588941967180355,-0.03854284811768392,0.8590615066826371,1.1031728955913702,1.4297354140293201,0.42760310553684155,0.0,0.35626010161002264,-0.011637632419399116,-0.0052752516176447495,-0.16067328959399121,-0.14918480457568797,0.01971589927647066,0.005780475431577726,0.008736716678970977,0.21472917331267521,-0.07389821188398529,0.2782057394061636,0.27081276766006207,0.4580288730836427
8,20569.481781999588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4365917255206224,0.0,-0.8161974343651599,-0.8115361490069842,-0.23884896355053326,-0.19059840689531146,-0.27341298955773385,-0.21660511033436605,-0.07996867488754467,-0.13276711476337782,-0.057997541492308013,-0.009440320346752129,7.797420147501455E-4,0.0743431964298323,-0.10647380561183031,-0.042239481339775786,-1.3956202241801337,-0.32225254104569223,-0.2706069420378972,-0.4240635198204675,-0.6162206233519788,-0.1588287036013677,-0.3687682523830389,-0.15350687370105237,3.1161793770475534,-0.2211736345675095,0.9569185680411583,1.1743307328345707,1.3214204751873702,0.4432302337728708,0.0,0.41261236976098836,-0.012251752383840886,-0.005337558431054143,-0.16238096780659989,-0.13063186676598504,0.03992195714604074,0.014405200292656965,0.013509176173018186,0.20855419391005525,0.08443229293383614,0.09212553271840651,0.45092557570360603,0.6580448418015391
9,20012.215011333225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4608407632438332,0.0,-1.3950220919543466,-1.1160227968187382,0.7530148653219821,-0.18686321398034056,-0.007942047477124958,-0.2584628722599131,0.27779225552561976,-0.28221367833058875,-0.03984613889362032,0.12894866679004705,0.28560952971655207,0.29771157878995236,-0.18463036626388332,-0.07380512283910043,-1.2734663146291783,-0.4322817444515377,-0.10136365033697672,-0.21212431009373095,0.02896347019934875,-0.04888851417408027,-0.1786838874949349,-0.15750998382707945,4.045899646824922,-1.012075337994158,1.2743418489442937,1.3309718234376169,0.6995643020073516,0.47468916564023217,0.0,0.6280682721977207,-0.012331159585098724,-0.005458802497955163,-0.17374447468073895,-0.14437353330770358,0.159807154501803,0.05113352201168872,0.04537949175215251,0.46475565757402965,-0.20332993001247374,-0.3018552877269965,0.3527720573790779,0.6702959125959653
