Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_c,g_walk_vgvi,g_walk_speed
10,16650.922353700986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.203357034193598,0.0,-1.0398728230116754,-0.761104363260364,0.504122225127404,-0.08285517989898514,-0.012804101432342174,-0.14763200625603895,-0.4235967664198531,-0.5557165692839824,-0.21614380798451263,-0.08705050891931324,-0.022747974811813912,0.23188561271694164,-0.3725965097864131,-0.17036855807338236,-1.1248888464157119,-0.32265939001668636,-0.05904825836627697,-0.19953334719391136,-0.29599523667437877,0.00967803565182878,-0.20577334301775027,-0.13806202555617914,2.661647811866749,-0.9274511701230276,0.5037509904419125,0.4606283767580235,0.4791905009100844,0.23559395203092315,0.0,0.368585472721515,-0.017610837666933814,-0.00570509047281128,-0.2588258459860873,-0.15347295064250732,0.10453126223882453,0.3224422457726325,0.42845461226297615,0.34055938979141265,0.37523383274503735,0.3193534257646121
11,16461.960846459515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.303114722600987,0.0,-1.3027299713476321,-0.8058625095886471,0.4389315020474532,0.0668384955805609,0.2182094534457038,0.007545155423159228,-0.7288927238499825,-1.326850688464594,-0.48027101808946426,-0.14879944727390876,0.13223779128983215,0.615156206961291,-0.7936520805937137,-0.4058731113315288,-1.4187126879260477,-0.6948609264616795,0.15730286261317378,-0.04261622060475018,0.08641357934586985,0.15357562564635135,-0.11285949562163401,-0.10782999013108005,3.0346900951583593,-1.8516669903152563,-0.3633288357701926,-0.3196331632079946,0.821017241706961,0.12364557376669044,0.0,0.24590422419970823,-0.01636198012869216,-0.005267672011467607,-0.2373873195447275,-0.12523471494159022,0.28076722058556647,0.33324820062394794,0.3529024814955573,0.4003492508252147,0.7121338870520267,0.24760939002527807
12,16417.28560317008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2981521514576746,0.0,-1.2843722338955437,-0.771679288812052,0.44760816644600376,0.09651928568549695,0.2391715088149659,0.061849714110195436,-0.7711137027594661,-1.5077048407232727,-0.5430710897839733,-0.16181712486267177,0.18680387166152107,0.7094054759597944,-0.8795421621511557,-0.46219528539627597,-1.4904329561804361,-0.7131100656844693,0.13437569052067208,-0.06254252112917327,0.1599332449690073,0.177242321050608,-0.09170347675116836,-0.0980067801870975,3.136156906587189,-2.022070449412932,-0.5037559245362204,-0.40738602132215956,0.8723169755680128,0.1310189893946739,0.0,0.20356166234654408,-0.016476176724689276,-0.005240111057454783,-0.23757869050287916,-0.13562498141103305,0.326390718878926,0.3594293296788963,0.37270852986689257,0.24397908612144015,0.6929033563529049,0.13584377174308587
13,16337.925231119934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4364179385270286,0.0,-0.6966214728158837,-0.539146855813428,0.4330675575461195,0.2359386034223628,-0.1328142884838106,0.37826878840183875,-0.7443256903828059,-2.5523946075984325,-0.9324527029888905,-0.2460936262266603,0.6776238920870562,1.2953249843849886,-1.2547684045083485,-0.8075111261256118,-1.556058904967966,-1.0096983598360196,-0.2636822097492735,-0.16192119244544176,0.45073008492963024,0.22595948966749146,0.176120519861088,0.08175721030523543,3.510919484534663,-2.367244128287913,-0.7818042467598738,-0.4442138075232304,0.5976670229063265,0.3972328044927641,0.0,-0.14442594230153197,-0.016138450117299464,-0.0051283340499913,-0.23343438489946342,-0.129787870575713,0.6431188865687589,0.30056850625358345,0.47675955474885096,0.31816177035213744,1.0779780926072287,-0.18133559300697033
14,16278.836998631621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6784914527398633,0.0,-0.34045755764555063,-0.18805370767320662,0.4340391853455273,0.22805015416668856,0.13292202758254162,0.31486525423329037,-0.6014037488993402,-3.7611575047295522,-1.4141443286438573,-0.41904025091658254,1.2139048945720332,1.922542502428966,-1.58891015732948,-1.2171568878484826,-1.2529583322354698,-1.3125497413307368,-0.47475957929015605,-0.3533544413475075,0.46393474852069333,0.5194224398348886,0.0312508390503729,0.2949320327237477,3.521913379069486,-2.6078297498423075,-0.356773127475385,-0.5629670430065736,0.6601303220301349,0.49685267754724105,0.0,-0.15294609358047334,-0.015883711851724845,-0.005047093543336767,-0.23589851942861423,-0.1269383138650642,1.0648597788069916,0.3068886288536887,0.48516656400685143,0.32921337886133806,1.400841646335019,-0.47889931359067894
15,16238.29174394647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.027120095388144,0.0,-0.14866155785971094,-0.03671459165297036,0.6023925055433971,0.34831384848915203,0.24382061000995892,0.1984842796817881,-0.567581764431295,-5.294816228087944,-2.041096254222771,-0.8479526237815741,1.5993921268180995,2.464933285562231,-1.8938579162699045,-1.7394817833232257,-1.166912995449365,-1.8305700050229476,-0.40768066908598677,-0.7849933828968922,0.13232672566731857,0.720822291879056,-0.09719729961774981,0.2960398958976616,3.1222804433023192,-2.6545885680487964,-0.4610309097034467,-0.09789599298150675,0.6228446939475761,0.5316107919763835,0.0,0.040299356524461455,-0.015351165781012718,-0.004807821767825052,-0.2198710955919213,-0.12137211877778614,1.6494416427677745,0.3466949531076318,0.3252744283462542,0.2689928720628452,1.384894446034002,-0.4745781648688062
16,16181.154398678298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.209637189691634,0.0,-0.1124953019268671,0.14157649892687765,0.7989704035125831,0.6217284952462132,0.03460296800617574,0.2914473933594516,-0.7549500755526352,-7.140895962605671,-2.8090362040915466,-1.5312530754922857,1.625249519681443,2.675718910712057,-2.091399252186305,-2.3587086757950866,-0.8616715886717182,-2.381074099786653,-0.4431414726429758,-0.6688862299147591,-0.11990471724477675,0.733244287568173,0.16619706652831617,0.11129995031711529,2.7973921553369054,-2.5187306317767626,-0.1327791797677147,-0.030158694303148006,0.8434138173097889,0.8116588791301795,0.0,0.26546409853537223,-0.013890089632828572,-0.0041058656341438175,-0.2045458510655952,-0.12689937153811034,2.426830777488136,0.3816432007433115,0.270931780316513,0.1369781673414482,0.976372977398982,-0.20979812286772592
17,16133.691305395825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2022080723430557,0.0,-0.13457609677162155,0.06119205362075969,0.5688474362342056,0.6622081912418611,0.18007974086230105,0.39311819744017046,-0.7508751247870074,-8.28018416129374,-3.2091596870155943,-1.9076306242040102,1.4076500981158084,2.4160272987559357,-1.939718428313677,-2.719795074922042,-1.039606800918522,-2.5681423607902136,-0.6056903275633828,-0.5127015212824895,-0.015998552684514125,0.7092159730125843,-0.1719459090111513,0.014033166629308647,2.6470956700158292,-2.385313607725276,0.024747326290065014,0.005823546622604599,0.6153955355378019,0.9764456907451513,0.0,0.26250855506478765,-0.013101190187552063,-0.0037416949692696323,-0.18472871953757325,-0.12434239130048744,3.028149635658463,0.3452454184579944,0.29344146118495296,0.07921916979600027,0.8593696973844994,-0.13333637756651504
18,16106.22963558226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0089739843324383,0.0,-0.21051710499885723,-0.08286335326151309,0.36974534858591823,0.6986175759242018,0.4044983672297211,0.5567177068980074,-0.3544514385331065,-10.108871865617747,-3.7047293148245384,-2.31065487701873,0.9764710901228181,1.7603911742814993,-1.3939765274179643,-3.2626037223164657,-0.7386535032232369,-2.408709105603137,-0.41039439829663416,-0.3350530226426189,0.3722037249180698,0.7204482681042967,-0.3701000398085479,-0.0820502304228922,2.7229601028047385,-2.318308783586455,0.013735797799359567,0.5058450776649547,0.596386839539341,0.9307511680348011,0.0,0.2561963649504908,-0.011965928514420281,-0.0032921632302516193,-0.18715063920971653,-0.12554654603377455,4.15195126442279,0.23475832941619634,0.5624197560377944,0.1583467522944656,0.873079746375508,-0.19662931781415913
19,15941.293999685606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9209540270547916,0.0,-0.4371791102889533,-0.08936239908726369,0.5206047912463714,0.6989126053065831,0.27155910954353213,0.6128743744437177,0.6515826450288031,-12.362515737355078,-4.102220099192864,-2.47508334242121,0.4734069186122717,0.877162031632355,-0.46371986548412836,-3.873507620799783,-0.9756058936073353,-1.9380162795816445,-0.23554476588050383,-0.5201664535562799,0.40558430217163094,0.5195117262752569,-0.333137657204421,-0.21283217079254171,2.747093678407472,-2.053270625083738,0.08419334800448991,0.33595930145606523,0.5913202372746896,0.5388735358352785,0.0,0.23349281295638566,-0.011539694844615355,-0.003278043164447837,-0.17666644961980094,-0.11902817938072546,5.737317737880571,0.1938005574704061,0.49483538724475,0.24019775841003332,1.092161731909482,-0.3675890442014208
20,15843.088560627923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8676640771685926,0.0,-0.31303539892051824,-0.3899122731717757,0.6604425244387161,0.2776883332889883,0.455753708612892,0.2873183426688828,0.9561535862692307,-13.406144524231118,-3.9596624436116916,-2.282859700745376,0.008493362415169237,0.510454986429818,-0.3606844381148405,-4.046089728251952,-0.9697349199480302,-1.5424622780498254,-0.4986235454872361,-0.4161956917161791,0.13317056407270306,0.3444524789093739,-0.1200167180452166,-0.09357948398355245,2.7391077104991073,-2.022447840589396,-0.08785495732783508,0.27328705214845594,0.6243920620045089,0.5583708628882944,0.0,0.13890125756245045,-0.011020561280861305,-0.00312522508734064,-0.16971853205345366,-0.11554904257992356,6.763138674697331,0.19332271461472594,0.3642346884090634,0.32883379317637107,1.059732294256585,-0.3321960760283585
21,15654.474700296189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4665927341954073,0.0,-0.6270000831438307,-0.22612135537398165,0.35649730657620976,-0.10962743256956953,0.2064896544618312,-0.07399015657903801,0.9116759319408512,-14.424893245526867,-3.2558355525924383,-1.8285298785672461,-0.48257334126775914,0.21914253302565773,-0.820752646380098,-4.005317184475736,-0.8835380348177401,-1.1763958371071157,-0.495319422791911,-0.5940053993462354,-0.10820795512107059,0.23445026715287637,-0.11458428171105418,0.04952725806670591,2.8889876013750673,-1.9508618406084157,-0.09683460220711805,0.23983510680141013,0.366000601515244,0.3137915494473505,0.0,0.055052272249074566,-0.010039354537286126,-0.0027623617564243915,-0.15741027087191595,-0.1137672206352264,8.305931539067721,0.14137232714170922,0.3169261232041446,0.4315351618170988,0.8740458226490159,-0.176247534558803
22,15433.675649598834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0170725687226296,0.0,-0.6691496501210882,-0.7807928247312599,0.37216190823468864,-0.17887197287291406,-0.11119109708410646,-0.16541460660273172,0.9490951034972134,-15.190825285750801,-2.0303719914332587,-1.2989586795474721,-0.305279451192224,-0.0028015185259930298,-1.2785830971008627,-3.6512444988548536,-0.7864537327659757,-1.167772137474934,-0.3100091779585883,-0.31361872381528233,-0.25652110082889884,0.11068446364217809,-0.4317407291827568,-0.1718909881696803,3.0195844096651627,-1.6899595237640923,-0.05587264428571077,0.137527484840946,0.25561070737908376,0.050728640454358376,0.0,0.2065224682283795,-0.0095756877513875,-0.00273759747858482,-0.15160331889181772,-0.11109781342089506,10.324317964568827,0.17302813413068605,0.2564644954245149,0.2479813597775709,0.8576633160258619,-0.12923681618563934
23,15224.335830388667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0926043265064775,0.0,-0.9326534106810073,-0.6318410108875665,0.610594702624635,-0.18481616536011397,0.12224551178329798,-0.08729873329421228,0.4784511593895564,-15.3576729822026,-0.9499730975595118,-1.2522674499558502,0.02863016331061552,-0.26843113881782327,-1.326290132316797,-3.0036806780534984,-0.8434855523445027,-1.0545202824107585,-0.1805855535127226,-0.40612268132366636,-0.1614643290863129,-0.22338421066817044,-0.41532588436188933,-0.5511132409312008,2.905089611002271,-1.5411045785051163,-0.08911378813203091,0.1393423549114163,0.2881749831289846,0.4949379407615773,0.0,0.10835519998805707,-0.008809086627941325,-0.00254847184693991,-0.1403784582938775,-0.10181068793481035,12.314430331816911,0.13829492381382524,0.23074807767756697,0.2489521233038775,1.0622190062832593,-0.2678581647162017
24,15016.077668738333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.308000208981319,0.0,-0.6571388002097368,-0.644656170871776,0.7882968297535912,0.24016047489477987,0.16502993101520713,-0.051075972084315954,-0.5896859728133108,-15.039377077657976,-0.5257130513164346,-1.1805915448717719,0.1421090163979838,-0.42179107339642763,-1.0303570277357514,-2.01115644541376,-1.1252086957976104,-0.7394897860347196,-0.4123757384823289,-0.5631707834492672,-0.016001156637974023,-0.20881626531467964,-0.34843247648730463,-0.827582221371703,2.5977003636219798,-1.9883942654766738,0.153585124575187,0.23786215605748923,0.4413823667315966,0.0830261067116489,0.0,0.08827830930595587,-0.007536067027096063,-0.002053145422341504,-0.11874480503037808,-0.09205810430157628,14.629692086074794,0.020532816244234753,0.2080862480337951,0.4470587972078348,1.104833450315689,-0.3232357920178019
25,14851.778929061824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5858055389345553,0.0,-0.25725948890686023,-0.29270509913843423,1.05481818377592,0.10084678852146783,0.3974431130764014,0.048950522071133276,-1.433587572512901,-14.341588944721414,-0.940847819294664,-0.8039638511201799,0.31235836078305973,-0.2447108329480651,-0.4436733528627298,-0.9293491229375601,-1.3916622582874107,-0.7439118485910008,-0.19529923092408913,-0.47859578647616097,0.17855091650926375,0.241933905802131,-0.2871913725925933,-0.74976154956255,2.8846285227780895,-1.706424671919206,-0.046975781968061986,0.03197977917497591,0.31122372319615177,-0.18429319675489003,0.0,0.21734241281524158,-0.006444592617319974,-0.001716808970562837,-0.10715417193266283,-0.09308201555537383,16.86063747390935,-0.05733278850922123,0.27729583053970064,0.45847796474604,0.7738130341082592,0.011450414340126724
26,14727.294474542756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3079629859005129,0.0,-0.5905311399045778,-0.3357398993380978,0.903750013100585,-0.11765475862620103,0.3582372689299481,0.21634770722182967,-1.5441111156263088,-13.564512326175809,-1.6709580696113755,-0.3637177391851099,0.6477115610022683,0.27312032549266496,0.20492254805030208,-0.14252689212819514,-1.7330741899970061,-0.8512350725275649,0.012105413669627446,-0.30041191981349624,0.13760673109919908,0.3833476338297398,-0.03664694572352589,-0.3374028668945694,2.7597689966511734,-2.134458339687945,0.04090713132461342,0.12190447141610822,0.21616990950616272,0.15934464679909233,0.0,0.27337505265907913,-0.0066940725310742225,-0.0019651018263767634,-0.1101792479978539,-0.08894820342659046,18.50458909406487,-0.07420610689697081,0.27677901928489274,0.3656564962200559,0.5324654901307844,0.30726868767554927
27,14677.630627306024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1651806477686883,0.0,-0.7957857026016468,-0.484244008477949,0.9424344416488409,0.21245803143019917,0.30335683799111096,0.08454387002093056,-1.4818405613336898,-13.144092414703572,-1.977036485791969,-0.6765667862289961,0.5056327935829015,0.7617436382557541,0.19691244189138873,-0.11877961924726282,-1.7172898015127154,-0.5970610244959917,0.01628884194852232,-0.2715212277612389,0.1634139821212966,0.22337655207692422,-0.1844497949829807,0.08911602809654079,2.8357168275865865,-1.9849658661166503,-0.08942123411493395,0.01697123875793205,0.20579961846216382,0.3130521661844421,0.0,0.32337199159268276,-0.006386965606321353,-0.0018718409576189755,-0.10776529863109377,-0.08647608211668589,18.961553184239982,-0.08299571814021764,0.2811994254492537,0.35860051107519664,0.5662870026865409,0.29478943086417386
28,14653.510102124681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0601663502052472,0.0,-0.8593916989135126,-0.6426162219499326,0.8943004649406453,0.10519497809442475,0.31274811828775545,0.29624742349453875,-1.3949162844788483,-12.889069474077191,-2.093766571868346,-1.016186386878526,0.41867963521399487,1.0819797615265714,0.0707038595326076,-0.26348491540529717,-1.7381236464484688,-0.34479990649313924,0.02273023593158016,-0.35033151263775564,0.13755096657605867,0.3084649190427069,-0.165309795835811,0.025522135643131036,2.866305459246729,-1.9235591157899568,-0.11265150624421204,-0.07483497400147228,0.1857792566572718,0.3219178064097506,0.0,0.3687333048224222,-0.006218791999840624,-0.001810696933707408,-0.10570046176434919,-0.08483751809114101,19.14532747971534,-0.10218021656734463,0.26913116951088867,0.42274593238137437,0.5677632632753421,0.30305872044886867
