"","Estimate","Std.err.","t-ratio(0)","p(1-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"carD.asc",0,NA,NA,NA,NA,NA,NA
"carP.asc",-0.970594303619044,0.106107416361019,-9.14728052859848,0,2.11133330024396,-0.459706813465639,0.645726678290429
"pt.asc",-3.36790958671131,6.97811643267984,-0.482638777842507,0.314676120144863,1227.27111870443,-0.00274422622302613,0.997810427013495
"bike.asc",2.04946169077944,0.708626992997425,2.89215865473937,0.00191302342363453,106.466919689746,0.0192497509719616,0.984641869406033
"walk.asc",17.0018804099769,6.48248718308128,2.62274030473216,0.0043612865566498,1392.30285446906,0.0122113377527049,0.990257004281644
"carD.p.age_group_agg_5_14",0,NA,NA,NA,NA,NA,NA
"carP.p.age_group_agg_5_14",14.2868705159545,0.991535123056578,14.4088395698104,0,8.40007869092929,1.70080198550782,0.0889801763263087
"pt.p.age_group_agg_5_14",12.8920625956511,9.87146323383671,1.30599307217805,0.0957774567568629,800.007671659703,0.0161149237093003,0.987142707662925
"bike.p.age_group_agg_5_14",13.5774770917996,1.23529763127333,10.9912597159311,0,11.5374823843515,1.17681454579857,0.239269535573656
"walk.p.age_group_agg_5_14",13.2424939329417,1.43029223675743,9.25859316901788,0,27.6854270609272,0.478320016657101,0.63242245170003
"carD.p.age_group_agg_15_24",0,NA,NA,NA,NA,NA,NA
"carP.p.age_group_agg_15_24",1.66617593450179,0.120373044871406,13.841769444993,0,0.54754088389107,3.04301648246099,0.00234219503918887
"pt.p.age_group_agg_15_24",2.15360015440489,1.55714952188771,1.38304005115329,0.0833262928111929,54.025981594556,0.0398623049659112,0.968202903481459
"bike.p.age_group_agg_15_24",3.02497408812983,0.282514683226162,10.7073163546273,0,4.33313002764966,0.698103696133627,0.485112346764529
"walk.p.age_group_agg_15_24",2.49269091575517,0.285336999578591,8.73595404534491,0,7.66643179540078,0.325143558604484,0.745072423382439
"carD.p.age_group_agg_25_39",0,NA,NA,NA,NA,NA,NA
"carP.p.age_group_agg_25_39",-0.118095224389559,0.00812863019525797,-14.5283056988436,0,0.037468579327636,-3.1518468676621,0.00162241334497737
"pt.p.age_group_agg_25_39",-0.516283982377637,0.467241813537656,-1.10496100181759,0.134588243880919,10.6056061066152,-0.048680290139722,0.961174083440308
"bike.p.age_group_agg_25_39",0.554652853958001,0.0371072746745732,14.9472807912262,0,0.489275602881366,1.13362050078039,0.256953769831326
"walk.p.age_group_agg_25_39",0.476601606691818,0.0371417170401743,12.8319755970437,0,1.25798544460472,0.378860986616243,0.704791096443721
"carD.p.female_FALSE",0,NA,NA,NA,NA,NA,NA
"carP.p.female_FALSE",-1.04652634493622,0.0491436769907285,-21.2952389609279,0,0.317754889156164,-3.29350194332303,0.000989476576354065
"pt.p.female_FALSE",-0.572422413206056,0.340157022120433,-1.68281815744315,0.046205149449093,8.12548439633168,-0.0704477893606541,0.943837255294241
"bike.p.female_FALSE",0.886055870168826,0.050882599468507,17.4137304191237,0,0.390274464918054,2.27034036253146,0.0231869398914384
"walk.p.female_FALSE",-0.230496067888535,0.0165273301231827,-13.9463583150203,0,0.128463377593946,-1.79425508036305,0.0727724642578764
"carD.hh.cars_gr_0",0,NA,NA,NA,NA,NA,NA
"carP.hh.cars_gr_0",4.44182123039275,0.482802254525919,9.20008386198265,0,7.32225778562435,0.606619073028717,0.544103739635149
"pt.hh.cars_gr_0",7.59613222864623,14.908752065396,0.509508253630245,0.305198007251974,2880.04004951815,0.00263750923530286,0.997895574542067
"bike.hh.cars_gr_0",8.45160367462651,1.05699582682207,7.99587232055292,6.66133814775094e-16,54.7242046459495,0.154439954482775,0.87726285242384
"walk.hh.cars_gr_0",6.49942394482733,0.956082851777951,6.79797146527716,5.30508970086885e-12,82.7705791130939,0.0785233595616966,0.937411749345956
"carD.hh.cars_gr_1",0,NA,NA,NA,NA,NA,NA
"carP.hh.cars_gr_1",0.488265618869747,0.0509635141769184,9.58068976905216,0,0.755735358013321,0.646080157150912,0.51822744528647
"pt.hh.cars_gr_1",1.240502331055,2.4588360654393,0.504507945239274,0.306952240165542,443.338234075169,0.00279809462777955,0.997767446410064
"bike.hh.cars_gr_1",2.40756287465956,0.281245763613661,8.56035249642642,0,12.6860412169235,0.189780470793978,0.849481159824257
"walk.hh.cars_gr_1",0.547998473129658,0.0741616867855133,7.38923960446788,7.38298311375729e-14,5.72978665646112,0.09564029273441,0.923806262887782
"carD.hh.cars_gr_2",0,NA,NA,NA,NA,NA,NA
"carP.hh.cars_gr_2",0.222843565878696,0.0241435637395353,9.22993673522137,0,0.330900663636587,0.673445509083157,0.500663904379621
"pt.hh.cars_gr_2",0.498896335023695,1.01368629078199,0.492160483534636,0.311302948682139,177.943642383954,0.00280367608721424,0.997762993067222
"bike.hh.cars_gr_2",1.82832624137298,0.22085171381238,8.27852412739799,1.11022302462516e-16,9.00064827938976,0.203132728290205,0.839031291484466
"walk.hh.cars_gr_2",0.442914872251472,0.0616493755517112,7.18441781912223,3.37507799486048e-13,4.2683861484029,0.103766354976388,0.917354767131709
"carD.carD_time",-0.180966059021511,0.00401341871085823,-45.0902514935485,0,0.44788056872391,-0.404049810727701,0.686176090883757
"carP.carP_time",-0.16076620233742,0.00366687339987947,-43.8428559717126,0,0.42137550356215,-0.381527167522465,0.702812116163383
"pt.pt_time",-0.0337196209187965,0.00598273935905368,-5.63615074886534,8.69465854869134e-09,0.306195554043991,-0.110124462858635,0.912310667591549
"bike.bike_logDist",-1.35063879002085,0.0701589804146235,-19.251117704945,0,10.3637023869387,-0.130323965277413,0.89631012021143
"walk.walk_logDist",-2.66108320844159,0.146003374104779,-18.2261761055733,0,27.9259409476388,-0.0952907267630167,0.924083908108373
