Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_23,asc_carP,b_carP_age_gr_under16,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_23,asc_pt,b_pt_age_gr_under16,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_23,asc_bike,b_bike_age_gr_under16,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_23,asc_walk,b_walk_age_gr_under16,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_walk_grad,g_walk_vgvi,g_walk_speed
14,5876.466401381978,0.0,0.0,0.0,0.0,0.0,-0.5902629692257175,0.0,-0.4049690397932796,0.4413601135958277,-0.0655133724209764,-0.3773537826964513,-2.7076383848125483,-0.5079545385197094,0.5666632359059376,-0.6932554191639211,-0.9990568577011117,-2.3284034646125686,-1.394854857799699,0.34339904186958514,-0.3517125074740002,3.675388263338046,-2.4579973776378234,-0.9227243474334943,0.881724379441795,-0.2669122648102954,-0.0050459802617566635,-7.144912406407591E-4,-0.08645152160632517,-0.15914000026030964,0.06389295942147769,-0.0015017392281428954,0.393333172259808,-0.12185445588529473,-0.019789054866335268,0.22676633996969736
15,5847.152227427344,0.0,0.0,0.0,0.0,0.0,-0.2825804239570886,0.0,-0.6316665003292384,0.7070176177857894,-0.15091479006261588,0.038020109479192765,-2.706662906757217,-0.572492963230535,0.6425001097053264,-0.6679469676399457,-0.40009849418186116,-2.3370843795919867,-2.1849628541732207,0.8743769595902586,-0.5252618961143343,3.777269961837554,-2.087962256561327,-1.0541616854314046,0.8757571827208531,-0.4693296475644044,-0.004773834168744182,-7.582284368881177E-4,-0.09718355991107006,-0.16224704622049918,0.12281917796820688,-0.11272875993965703,0.2822739754122301,-0.23517659994465878,0.05088041158226328,0.11923089741546772
16,5824.6534389088065,0.0,0.0,0.0,0.0,0.0,-0.14602764270129903,0.0,-0.7304762886485334,0.6573672826307605,-0.2751276047696505,0.13336507035656517,-2.725669569803869,-0.7518634529628397,0.6894144636903757,-0.764043766638053,-0.09895786695496944,-2.0984006835216156,-2.4709680893537227,1.013783357242165,-0.6572708241460511,3.6585913185145165,-2.0534819139405958,-1.0422102081943085,1.0196563837811614,-0.4382929050939896,-0.004597432261146043,-7.076708998898294E-4,-0.09207611651593775,-0.15592816654124753,0.16633519995162468,-0.02770660325313426,0.5250956509392877,-0.3068705339449556,0.04779040055373545,0.14706354793694484
17,5774.091263335794,0.0,0.0,0.0,0.0,0.0,0.1691502941539162,0.0,-0.8907378516836884,0.8675669642713651,-0.3533520929514249,0.2640665019529255,-2.3284408745206586,-0.7710506796659783,0.6025914374258701,-1.0451467013774056,-0.005410539671296302,-1.7329872795125574,-2.274797133543407,0.3894639387641813,-0.9352237118176605,3.475907575461439,-1.7197109060857179,-1.0943567734766098,1.4351408074967689,-0.13551011151963233,-0.0041834145487883575,-6.655514472526874E-4,-0.09599673457848176,-0.15748491979564727,0.2991810028486427,-0.151649035228219,0.47839817818511154,-0.5165377402011982,-0.27045564555104645,0.4585385731954106
18,5737.9940122414155,0.0,0.0,0.0,0.0,0.0,0.12233045336740203,0.0,-0.8470701880208809,0.8926793496789349,-0.3129900116408195,0.18185999391094881,-2.3518483798161376,-0.8726727235364371,0.49377486441211593,-0.5715320926920804,-0.08469769129649042,-1.5905278389974085,-1.8079843742738555,-0.00576371125474423,-0.9945675749262023,3.210954320115242,-1.4843085176572648,-0.957510097671751,1.2530582324057282,-0.4096718001922411,-0.0036932828904550695,-6.049549644758007E-4,-0.08691058377240385,-0.15092795515047924,0.4041350167702989,-0.03017188692138828,0.5421267435263885,-0.677013822626101,-0.3390735050340455,0.5170702786528267
19,5703.859886737212,0.0,0.0,0.0,0.0,0.0,-0.009463038078895009,0.0,-0.6092098138793884,0.6385718987803279,-0.18958839700267577,0.037297341026243436,-2.3079867114723203,-0.6800294139184623,0.6339180965859732,-0.5751585217534809,-0.16294398559167947,-1.5945809903206267,-1.4137698598173378,-0.13344237165439826,-0.8691314606173455,3.0196424885922646,-1.3648870955188306,-0.679819333280534,0.640784446490757,-0.28209743645336305,-0.003411025945223318,-5.668402977127823E-4,-0.08479274336600633,-0.1484961691172977,0.49438774061965257,0.09038027978131957,0.53758651611344,-0.8160750261358409,-0.23160929689686244,0.41097623695689545
20,5689.43139957377,0.0,0.0,0.0,0.0,0.0,-0.04828195024968445,0.0,-0.38257156536906406,0.3658494869277261,-0.22522274359913358,-0.14751997014785512,-2.135288571950363,-0.46870908360290264,0.31197648443094894,-0.4848826357118339,-0.20301124237437707,-1.6828238167377285,-1.3185988445574481,-0.05519651961069491,-0.6357136983284916,2.964078416809396,-1.4398287719937688,-0.38323639004634036,0.5528034740774945,-0.22213512362650167,-0.003324388647464368,-5.584133017767228E-4,-0.08803043333135611,-0.14955188137468609,0.5432125869678277,0.12489603669003788,0.46639908279706266,-0.8893082913422481,-0.17540830576638927,0.3475181277064077
21,5687.6139562801,0.0,0.0,0.0,0.0,0.0,-0.13363081692675824,0.0,-0.3623574213964896,0.41134938598034276,-0.14336673619794926,-0.19053668832056525,-2.1432243125117014,-0.39181431626084995,0.09918832992674856,-0.563396592042742,-0.2087431010015465,-1.6882885180321578,-1.2818367449546215,0.015822302860640028,-0.5317545590701095,2.916343269572797,-1.4256320941381486,-0.41196674100335706,0.49665326794216513,-0.2109713970505954,-0.0032951537009665174,-5.372800437184297E-4,-0.08567478127118539,-0.14728795470489964,0.5615352076236437,0.2030370331816418,0.5238688735945474,-0.9120248773057661,-0.18383647205976691,0.3726493076429023
22,5686.053569959125,0.0,0.0,0.0,0.0,0.0,-0.15357826551346526,0.0,-0.36580577127097463,0.3793985333945239,-0.10039341634802579,-0.07800338142328467,-2.1983813904737772,-0.4556183709990906,0.049539108645467504,-0.5656742602216691,-0.2792332767734187,-1.7298650471177925,-1.241281938394792,0.10840057063902453,-0.42140154460319945,2.8420002918748657,-1.4297615869302542,-0.39812883057996723,0.4938330156360532,-0.14001109191831912,-0.0032994989021689174,-5.54206540345763E-4,-0.0852182301863688,-0.14665495417048927,0.586158145539308,0.22880223218047177,0.4965313353066943,-0.9385378643405897,-0.2554471111816599,0.4439026093343917
23,5679.457076958637,0.0,0.0,0.0,0.0,0.0,-0.2794623502979469,0.0,-0.32353239516667015,0.5449918664499842,0.011197550546643106,-0.1714288089138427,-2.2063729139111654,-0.4243408006802582,0.3079805157968547,-0.4634623542092324,-0.6570017038178764,-1.4782865954975501,-1.3292498022720303,0.29174221929453154,-0.0815779744624821,2.722983793787055,-1.52066657278459,-0.3974230605596893,0.6806430868526204,-0.05069355019271814,-0.0033022808052281184,-5.653694502523643E-4,-0.08371998859645377,-0.14497781610010135,0.7640929261821647,0.2686501032672469,0.4673894529459138,-1.127243406213985,-0.21725952077916727,0.38386932534512774
24,5675.699053130227,0.0,0.0,0.0,0.0,0.0,-0.36575586370459906,0.0,-0.30224979374379,0.5836214856410464,0.1076625478360558,-0.33603843829831814,-2.180186078060097,-0.3800213512983066,0.41236664165845244,-0.3311639849737923,-0.7811636595080836,-1.4442056068348887,-1.2082973494586209,0.5696278529388543,-0.2509442374946521,2.6507897206859643,-1.6061086299942289,-0.4418246550335848,0.7564874216592087,0.09518690455441146,-0.003250563013553348,-5.473224548767983E-4,-0.08634655319272466,-0.1449725683606003,0.9111882097512622,0.10579350610817814,0.551948086755425,-1.2832645539460068,-0.24251423150609958,0.37825618254128063
25,5671.104032909332,0.0,0.0,0.0,0.0,0.0,-0.40825793968643914,0.0,-0.16844214138034047,0.6417286622727532,-0.016821948929241312,-0.3621428972705951,-2.2224617971996117,-0.28042345528156126,0.5497317178304815,-0.42416093637776253,-0.6400965442190351,-1.62998106937706,-0.970855469440226,0.629681962257847,-0.2646074094911361,2.5780987648785096,-1.6354858232664276,-0.34598792292457836,0.8475680008141513,-0.036174476718335694,-0.0032316777529604324,-5.414256032330501E-4,-0.09564719382702416,-0.1440819158067644,1.080317780572475,-0.19575207067442743,0.8409538751966059,-1.4587388635623373,-0.2768106332938484,0.39058467577726336
26,5668.100494691917,0.0,0.0,0.0,0.0,0.0,-0.38455427650206525,0.0,-0.18497441224963046,0.439440323535795,-0.015401470534214609,-0.2406272782849549,-2.2747410367448966,-0.33841971237633794,0.37108038952047284,-0.44376593450658924,-0.37952053695303223,-1.7348226285099486,-1.0381423851752896,0.2205253119722267,-0.3725383795843718,2.6301154448472497,-1.7158246199775877,-0.3951229158734388,0.6989162782159068,-0.013562813407462772,-0.0032399419646386754,-5.542706343121122E-4,-0.09870255915235866,-0.14324000045137744,1.2193578126657454,-0.2066461287622037,0.8801147365028238,-1.5873989422625079,-0.17833302389615918,0.2790473067035742
27,5666.973086997761,0.0,0.0,0.0,0.0,0.0,-0.32675324836251957,0.0,-0.2104897245067378,0.30895685009182183,-0.06936631117515552,-0.2504256207961735,-2.2582611176862737,-0.3350999050796666,0.31661065804185834,-0.46632183068382843,-0.3258133778744247,-1.703110475647416,-1.1073895387248345,0.09714119362354551,-0.3987841229421183,2.709049730126044,-1.737223071247009,-0.4384910703891817,0.541381228893514,-0.09025489828829608,-0.0032273875937786803,-5.450865856067879E-4,-0.09893422230759105,-0.14281762652193394,1.2819947491125938,-0.20516449124810987,0.8894252802764745,-1.6356212706414377,-0.26412202032708065,0.3700248228718884
28,5666.56876441098,0.0,0.0,0.0,0.0,0.0,-0.2507202159536531,0.0,-0.22284821156488463,0.22985768204646773,-0.16528095911068885,-0.14683646710149706,-2.2601928941324467,-0.36194860059296563,0.21322277299999765,-0.5693402169336343,-0.42590977892462045,-1.5831625475307685,-1.0657940583851102,0.10166975759231267,-0.47290603895704886,2.812451759347958,-1.7409447893097043,-0.4566862912369844,0.45853591272778726,-0.19865864230821792,-0.003208494033862661,-5.445404835933523E-4,-0.09804982381825361,-0.1434608888381089,1.3651883425965101,-0.23449929942021128,0.8895502456055987,-1.686612970232347,-0.22004339582969662,0.3225130328435862
29,5663.8002908858325,0.0,0.0,0.0,0.0,0.0,-0.2138185933771553,0.0,-0.31767389382748834,0.2869025847089803,-0.058625701356443405,-0.18372524824469327,-2.2270521093106526,-0.4429304710965412,0.24847428601164015,-0.4920207337397024,-0.30962147579691934,-1.5295959265036403,-1.1990944481868804,0.09883333607778641,-0.2440599860296463,2.9293694612274144,-1.6920606886727385,-0.5128431414467656,0.5347654718282362,-0.08120564756571283,-0.002956372825893267,-4.5993153420500896E-4,-0.10763795170161888,-0.14619526675331157,2.202818098188225,-0.5193171179455776,1.1206067065093799,-2.0835483748048897,-0.261699707522584,0.40673313037809783
30,5661.700975958596,0.0,0.0,0.0,0.0,0.0,-0.24755075556013983,0.0,-0.27904925401957364,0.37449697325530495,-0.05863437559679764,-0.18767864342958723,-2.2149429849671756,-0.42086882577404733,0.3077247405159185,-0.5220915164155558,-0.2037138458678828,-1.5595034385240711,-1.2410320745097347,0.12509428160062414,-0.3063693101419429,2.9308103390859475,-1.7028765530438215,-0.4408393009150034,0.6301878033691216,-0.09507192126696745,-0.002927077503979848,-4.49199308960392E-4,-0.10680029983405796,-0.14563424692379587,2.598934067758421,-0.35832550307371047,1.051167886222961,-2.2614185778247027,-0.31691623447747164,0.5061378267139234
31,5658.634781739821,0.0,0.0,0.0,0.0,0.0,-0.271930550099188,0.0,-0.2557847990187581,0.3656592922606906,-0.09293120684616892,-0.17604251275632157,-2.188735591222637,-0.37773459522198577,0.28859423601372947,-0.5142815065159536,-0.14013569593447606,-1.6381514438989957,-1.2015678293906367,0.13272617020491057,-0.407398948785147,2.872091846369052,-1.7151852400451006,-0.42665325192140985,0.5933225547507068,-0.13733358585463887,-0.0031352938558748453,-5.120685333403182E-4,-0.1134112470481074,-0.14480165909805381,3.1969116513654328,-0.39683789396179314,1.1391997256664166,-2.2942839421668486,-0.29210248385242815,0.49008077757966245
32,5657.361812890558,0.0,0.0,0.0,0.0,0.0,-0.28837851968419675,0.0,-0.23643430633344106,0.3545550117484687,-0.10693722339863478,-0.219178900655753,-2.208959751257259,-0.37015998603973826,0.29008257126023324,-0.5101749761523969,-0.16836233357027464,-1.6673246194420581,-1.1670520778695808,0.16008515273185403,-0.455960389547059,2.8434790707200674,-1.7422236886998455,-0.4309184853565754,0.5922424268619951,-0.1433235316403385,-0.0029138636184836064,-4.587009429598277E-4,-0.11292636608164497,-0.1438152213319102,3.9507841273827036,-0.44259024894172533,1.139157831941801,-2.3120280530500543,-0.29365366182954156,0.47513165679940134
33,5656.388900839671,0.0,0.0,0.0,0.0,0.0,-0.2805315079890043,0.0,-0.24261706692954987,0.34980829565996713,-0.09947762218912168,-0.22442919826686247,-2.194657266439787,-0.37266323057456485,0.2897639967114946,-0.5027287955835776,-0.1589015437030335,-1.6670963482064152,-1.181431035226771,0.15945509411371894,-0.4354840428542286,2.8684330836720155,-1.7362122906173827,-0.44049859375569633,0.5867925501366141,-0.13553960244274074,-0.0029273482762261836,-4.5776870124349995E-4,-0.11590642783392131,-0.1438456479993256,4.691591875932961,-0.4996814562143973,1.1992639968784204,-2.320249972166595,-0.3006275784478979,0.4992403490246894
34,5655.984199707679,0.0,0.0,0.0,0.0,0.0,-0.27883179395912366,0.0,-0.24098528009152206,0.3523388850032876,-0.10082130126482154,-0.22186733391633834,-2.1951152712130266,-0.3721703968008888,0.2906163755796857,-0.5065515524719725,-0.13575414849607775,-1.6701603688028726,-1.1906507516081923,0.1552952543113096,-0.44074088096958325,2.872777645046416,-1.7364946720748493,-0.43800276428059487,0.5908305665168774,-0.1364951503338218,-0.0029159796243718953,-4.5528628318902253E-4,-0.1179644168597616,-0.14344702723543853,5.281293087444452,-0.5582379057365666,1.2560447125429914,-2.301271439540015,-0.2950373325194493,0.4987207277824684
35,5655.710027122471,0.0,0.0,0.0,0.0,0.0,-0.27222796905790464,0.0,-0.2472923331050289,0.35207404086798977,-0.09311600312734829,-0.22089083411568197,-2.1956120151552363,-0.37738250220365815,0.28847270400078673,-0.5023850550334881,-0.1034591854110862,-1.6662362429931636,-1.2131859768309687,0.1504416678006317,-0.42045537927247156,2.8805701229037997,-1.7281843724842598,-0.4412218482398251,0.590983441042081,-0.12733676723281753,-0.002911057217476539,-4.5365434107896564E-4,-0.12199039157862825,-0.14118343221308352,7.445091561347292,-0.6592348968414593,1.3873869187745307,-2.1336018638508376,-0.26623361813004665,0.49350129313720914
36,5655.487236324437,0.0,0.0,0.0,0.0,0.0,-0.27127509225680796,0.0,-0.2452872749579595,0.35436320813343386,-0.09431841904889668,-0.218616204907941,-2.201066511983154,-0.378157339381293,0.29003843979887894,-0.5069067344210746,-0.09535037285655443,-1.6663456218416424,-1.2213077169156483,0.14560483868456758,-0.42449522785150784,2.875599273712123,-1.7253551358772903,-0.43768086050268235,0.5939675318057347,-0.12717549442883697,-0.0029155969568140584,-4.547178612888459E-4,-0.12033154508763463,-0.13963894534396065,8.185840349410105,-0.6261176832041015,1.382475401301513,-2.006336053124979,-0.25542186850853665,0.49094227644057287
37,5655.184201466622,0.0,0.0,0.0,0.0,0.0,-0.2724135479639056,0.0,-0.2440565185038008,0.3538550755117026,-0.09527489188116534,-0.21983483351361396,-2.2033106103483773,-0.37789340628345935,0.29055275121778185,-0.5073953160799817,-0.09697172788840216,-1.6685007458470238,-1.2215525578009,0.14481736698483422,-0.42923868645001817,2.8682349209955573,-1.7240294001302678,-0.4362576231173919,0.5930627645214455,-0.1277837948995988,-0.002919392296396376,-4.554435349454302E-4,-0.11868363995518444,-0.13873610754565546,8.587965919673334,-0.6060112046906465,1.3722904484508343,-1.9316100165777135,-0.2504340304592281,0.48865127531927766
38,5655.01103109764,0.0,0.0,0.0,0.0,0.0,-0.27302504875886147,0.0,-0.2438920877023451,0.35360691455757837,-0.09555357717847655,-0.22001943761640813,-2.203697833077542,-0.377675265750697,0.29064507761094854,-0.507504698180521,-0.09586831561790565,-1.669855980879033,-1.2211230009353715,0.14419392236613823,-0.43067923316960777,2.864066988710367,-1.723048536310517,-0.4360210854681812,0.5922524627638909,-0.12815784354272305,-0.0029217889401004795,-4.560603165025021E-4,-0.11754746786629555,-0.13788467374307437,9.075458492657782,-0.5974585363165799,1.3755692751299564,-1.872182356746502,-0.24499648026486132,0.4883221432062132
39,5654.844877463396,0.0,0.0,0.0,0.0,0.0,-0.2735022130760815,0.0,-0.24389294903381675,0.35349060007512073,-0.09560363978978109,-0.22017380638646594,-2.2036142893169632,-0.3775021293325852,0.2906637553451238,-0.5073962301355577,-0.09668847838255752,-1.6702991314346236,-1.2203227257290437,0.1442033437909902,-0.430864029817481,2.861560591895122,-1.722481401032921,-0.43594437969271715,0.5917849741672004,-0.12825593998568702,-0.0029230004402030167,-4.563608573099235E-4,-0.11643329237476825,-0.13718857753578856,9.508128695223274,-0.5891312430532246,1.378235597841408,-1.8296094548016426,-0.23942709966653625,0.48804260914522934
40,5654.683874104292,0.0,0.0,0.0,0.0,0.0,-0.2737666136146656,0.0,-0.24389810631681366,0.353293013330216,-0.09578742157175248,-0.2202079648419391,-2.203391647028453,-0.37732436313023343,0.290631776377637,-0.5073811513438161,-0.09756312523179546,-1.6705801148347328,-1.2197318183740518,0.144574577752951,-0.4312644119097879,2.8600926399595195,-1.722227122529802,-0.43594791236668023,0.591370669142088,-0.12849871542091199,-0.0029238711228994846,-4.5659308696379444E-4,-0.11537508732190528,-0.1365869306028054,9.905183925778632,-0.581916454461534,1.3814182032930789,-1.7982575492159056,-0.23486449575951332,0.48889035784146173
41,5654.567256335068,0.0,0.0,0.0,0.0,0.0,-0.2738866668693653,0.0,-0.24393240284564843,0.3532227892274481,-0.0958333180899189,-0.22027275153306777,-2.203185795110612,-0.3772433849778485,0.29063867725021947,-0.5073104938269322,-0.09749283348689468,-1.670906515492313,-1.2196578514247285,0.14445476112736022,-0.431285565090418,2.8593051591917193,-1.7220194962328068,-0.4359669026991543,0.5911758008109831,-0.12856908442491025,-0.002923923297733935,-4.5661632067958843E-4,-0.11444429238118299,-0.13596821863405897,10.35264111883035,-0.5771087713114537,1.3878688617473416,-1.770408007635132,-0.23019394784514396,0.4905057839525179
