Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,asc_carP,b_carP_p.age_group_agg_5_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,asc_pt,b_pt_p.age_group_agg_5_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,asc_bike,b_bike_p.age_group_agg_5_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,asc_walk,b_walk_p.age_group_agg_5_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_walk_vgvi,g_walk_speed
13,1687.9464840396158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.797600694223383,1.3669777275748425,-0.3518211390204834,-0.8306327351181699,0.4565940986439682,-0.8332603935284724,1.2129618825248116,-0.19560007493691048,-1.587236649675937,-4.433344198931555,0.0,0.0,0.0,0.5373100508292397,-3.021235233793977,5.544020539067418,0.0,0.0,-0.2558850148838423,0.0,0.0,0.0,-1.3721821754699934,0.0,0.0,0.0,0.0,1.29128353144043,-0.8126773467654662,-0.8475156626274163,-3.0205029650368713,0.4258906534556562,-0.8679423987562893,3.1431717806407753,0.0,-1.5944405992588215,-0.6608197536631596,-0.1776899939205832,-1.7836104254002199,-0.3133899551364396,0.24444879117211954,-0.886255184238943
14,1678.1320738610561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4896356322028708,1.4527589763282605,-0.3918248004609176,-0.6048344713859496,0.12007287819187801,-0.8392952108085214,1.265578010480327,-0.48964022816121633,-1.5785333290486827,-4.893574932143734,0.0,0.0,0.0,0.7613644679591858,-2.90535298077566,5.9482432406759305,0.0,0.0,-0.12400829021635462,0.0,0.0,0.0,-1.419092770677666,0.0,0.0,0.0,0.0,1.1765307614520863,-0.9044186206046703,-0.8810372573429879,-3.0495623462498647,0.5135222724847257,-0.7601863926627422,3.23622370476064,0.0,-1.565031035868815,-0.6965855386192017,-0.17585418629431818,-1.8074575267102784,-0.3172728444159392,0.22277449350058226,-0.8629026068975368
15,1660.8158525416752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3904360240138216,1.2446268572051773,-0.45298968648012633,-0.3342128437412899,0.24800843853978236,-0.8608589139299614,1.6185540269397056,-0.8841700470870462,-1.5382375564200417,-6.152041885949015,0.0,0.0,0.0,1.2183505806247088,-1.9594775562111915,6.259016232537997,0.0,0.0,0.0834509853005018,0.0,0.0,0.0,-1.571609823124898,0.0,0.0,0.0,0.0,1.533758491224135,-0.7098707712208797,-0.8506759644769515,-2.901989089874495,0.31778605278452565,-0.7528782516642563,3.3581711170675503,0.0,-1.330731422086024,-0.6726293528134893,-0.1549468698281039,-1.8243791092262303,-0.32579426605939327,0.29126505774717903,-0.892996925028518
16,1654.7718921301202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.776766046477619,1.5300079029196314,-0.5124427651636669,-0.3039266364268016,0.04829130381040725,-0.8352423438281343,1.9829792170374128,0.1963160322532107,-1.3936987143263617,-9.221847060195874,0.0,0.0,0.0,2.7379919071346337,0.9834348875226602,7.084559155730637,0.0,0.0,0.48025121517853797,0.0,0.0,0.0,-2.047882523800327,0.0,0.0,0.0,0.0,1.8068894659882402,-1.0721062826914847,-0.47272640157181434,-2.4065744438934837,0.27407315045659253,-0.6582980636861419,3.4384897635624805,0.0,-0.7092157671264535,-0.7680577475496033,-0.1498576519256363,-1.8972218281321924,-0.35924813167986097,0.3086241343176232,-0.8568910926413745
17,1646.4938416402606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9393253852394807,1.459366713329154,-0.35263480767232014,-0.45957088744788727,0.21371393931475718,-0.8051732658956791,1.8801906296134954,0.14899749465224182,-1.353756798482686,-9.324525397925562,0.0,0.0,0.0,3.0621359061007265,1.319270566262757,7.1634485694309,0.0,0.0,0.38966479518998987,0.0,0.0,0.0,-2.1744085886227196,0.0,0.0,0.0,0.0,1.6545546907916668,-1.0612093595409349,-0.6714444122114273,-2.4384187486679716,0.3859269566874709,-0.32462542286987084,3.5506595892517856,0.0,-0.7639186097308482,-0.7679891276380079,-0.1587796258492988,-1.8692936379807976,-0.3602666290520614,0.30845925476737723,-0.8545395961938067
18,1646.305044638347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2208289049078425,1.4508865894757488,-0.39408433342426513,-0.8815401489890521,0.841450903229267,-0.633355101793356,1.5943704807387333,-0.472917672736581,-1.2243039216637077,-9.111690157333042,0.0,0.0,0.0,3.576693626838672,1.4243604788492983,6.896643124600306,0.0,0.0,-0.19406447550309047,0.0,0.0,0.0,-2.5691131074138944,0.0,0.0,0.0,0.0,0.9651758666540154,-1.092293524477129,-0.0422500540966575,-2.7119335453373172,1.0557607556649877,-0.392704073077722,3.7094413009403002,0.0,-1.2596162968007736,-0.7319151208155974,-0.17136150382800863,-1.6830929528572183,-0.35286981906080617,0.2565536499724911,-0.8303871578735748
19,1623.7310883114847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.133000231954518,1.4746643274379327,-0.500734741067498,-0.9125868067779392,0.7648611875376882,-0.5923905360470635,1.3915411900694692,-0.4582841537479873,-1.1699514055171696,-8.923203496934901,0.0,0.0,0.0,3.3124107569918295,0.46794069436416985,6.11552443503108,0.0,0.0,-0.9701500963652471,0.0,0.0,0.0,-2.894090232287449,0.0,0.0,0.0,0.0,0.8859785277480333,-0.7890648537650866,-0.15926399335975155,-2.9530138044265937,1.127235222769789,-0.2550000269076868,3.6689297452502396,0.0,-1.672642304585398,-0.7062653007664365,-0.14864953677540393,-1.4804134567834932,-0.34555575024424257,0.27050167440747863,-0.8419857638194229
20,1603.2944588305636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7595146645029822,1.8313961176155482,-0.32813928148722016,-0.7875962573197145,0.49684792065702144,-1.1361724686506933,1.1614401803872219,-0.5505005408511938,-1.2364152608990338,-7.430177099422676,0.0,0.0,0.0,3.4437943141296,-0.7113108825914293,5.768540080216962,0.0,0.0,-2.058702212371531,0.0,0.0,0.0,-3.5358959082980146,0.0,0.0,0.0,0.0,1.8035245311468673,-0.8014413381530026,-0.39152306768099143,-3.2954317843502445,0.5803698882803019,-0.6371967470438287,3.4844001042154638,0.0,-1.9321762925954546,-0.5947774428306892,-0.15736814666367663,-1.083521811485047,-0.32819340432836985,0.353928676921548,-0.9028719095378014
21,1590.6277166518253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8267684846152317,1.5825494575288743,-0.6487642152208802,-0.7210072433759228,0.5347032018468438,-0.7683241881246621,1.2857067844983836,-0.601352639876282,-1.5060223546648153,-7.000812482629733,0.0,0.0,0.0,2.995476788083827,-1.1274704927323727,5.951224176381504,0.0,0.0,-2.1248457665807567,0.0,0.0,0.0,-4.1872767677764635,0.0,0.0,0.0,0.0,1.9197644425031442,-1.2246226065350156,-0.5681421724936748,-3.2225924070214638,0.4850988105035565,-0.6125375236600105,3.6687843634806283,0.0,-1.2640355140607658,-0.5407077071827354,-0.1471274757642386,-0.9517853502128566,-0.3189832796945098,0.3832448318769994,-0.9239074985984164
22,1583.1541026696277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.885076190168631,1.2072118456798218,-0.1475497875084446,-0.633451174035589,0.6024069076140025,-1.260353495716777,1.5320011843219548,-0.6364996564086466,-1.8576422627135813,-6.839327338602448,0.0,0.0,0.0,2.0352830294016537,-1.5338701650409088,6.195536464914931,0.0,0.0,-2.004998309917143,0.0,0.0,0.0,-5.208588119103271,0.0,0.0,0.0,0.0,1.717833800925307,-1.5579443447984318,-0.553852633467256,-3.036075081884097,0.5840025159166625,-0.6161409697942832,3.904853479878098,0.0,-0.5466668509097854,-0.5132284094292958,-0.1234341989582739,-0.8146591806785809,-0.31005762927379477,0.3904207682845086,-0.9244922901666623
23,1572.6901593385724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9572908259998905,1.5640278988242238,-0.16637062511737502,-0.6595546033738907,0.60005472352783,-1.1937780598043173,1.5970412430052274,-0.6779929870321979,-1.9172047927706244,-6.861751453780681,0.0,0.0,0.0,1.4966337861220893,-1.3905631731998018,6.588645268886077,0.0,0.0,-1.781784975588702,0.0,0.0,0.0,-5.894117023040898,0.0,0.0,0.0,0.0,1.6992205259873363,-1.1203194811346853,-0.6425602104815616,-2.858089481552218,0.5962856074826893,-0.5824121604521396,3.9653807667172365,0.0,-0.8584045358425697,-0.4959695632641398,-0.11142545805385576,-0.7403451865154735,-0.3059418291238196,0.4295421050537596,-0.9454097268876636
24,1564.932768057157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.051449213901049,1.4009860517834636,-0.31806937427614324,-0.2398582655593688,0.5825556186282908,-1.074668045295961,1.7436503707977309,-0.5230748229273001,-2.006451876592951,-7.266491900554711,0.0,0.0,0.0,1.5201848810083545,-0.9577164628905677,6.665633826618768,0.0,0.0,-1.9531444927299042,0.0,0.0,0.0,-5.734109466779225,0.0,0.0,0.0,0.0,1.8567135907130397,-1.3952354180393014,-0.7940126823261293,-3.4104958513619508,0.6094739409778931,-0.5610159786343576,4.208644306929297,0.0,-1.8025773925628892,-0.47694405249668526,-0.1002655588178124,-0.7071920148922912,-0.3054810834369501,0.469715857909039,-0.9681976471364467
25,1557.7562894853338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0804380574136925,1.7396863604852335,-0.4020661822956626,-0.5618785498790784,0.6352524614534953,-1.0146128933617269,1.614728138222984,-0.5822651406874463,-2.103686627401924,-7.757806573756455,0.0,0.0,0.0,1.820143959407578,-0.9472492004105451,6.821768135724449,0.0,0.0,-2.2527586544466707,0.0,0.0,0.0,-5.307542563733086,0.0,0.0,0.0,0.0,1.9736650606981962,-1.0697902419325611,-0.8806360131431281,-3.754906442917337,0.6641979141338713,-0.5948852738133458,4.299172769401174,0.0,-1.67058901072536,-0.4875923176465081,-0.08934944003182042,-0.6907368283855196,-0.3117254793726937,0.49777346564079683,-0.9728362575560143
26,1556.0006218062463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0783428192921583,1.8346446828872507,-0.43971547318707094,-0.6465999663277371,0.5493079144103588,-1.0053329361435888,2.038605405190474,-0.4893297017579658,-2.2095471332554326,-7.64319102880423,0.0,0.0,0.0,2.0732853070064854,-1.0215393454720083,6.724424368126451,0.0,0.0,-2.3296558386849333,0.0,0.0,0.0,-5.455913712969504,0.0,0.0,0.0,0.0,1.9144201254251791,-0.8572115447834103,-0.8364544501757656,-3.7155020819946936,0.7118006838948148,-0.5667331551517484,4.547071110444069,0.0,-1.621430389222887,-0.47368859052748646,-0.0922875696437694,-0.6363421644758919,-0.3100938727461106,0.5112754926893317,-0.9770211894310502
27,1553.543628351781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1759629428309655,1.9119871195476033,-0.391874543791846,-0.5748826007153827,0.6340501944795779,-0.9657407386667564,2.0514904746088987,-0.507890732165241,-2.27509057510132,-7.542058917252286,0.0,0.0,0.0,2.1708554496061723,-1.2535802154817564,6.703419041742691,0.0,0.0,-2.415467714924622,0.0,0.0,0.0,-5.819944439998858,0.0,0.0,0.0,0.0,1.9551598807957395,-0.9167695255579312,-0.814944249879271,-3.424724215842416,0.6972588970736635,-0.5658650515481285,4.640501133583923,0.0,-1.6421567085701183,-0.4867607413353958,-0.09401552312657997,-0.5667650473054848,-0.3115952365363173,0.5228825530934695,-0.9687998043011596
28,1551.5466317307564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1615664376135504,1.9473869733213907,-0.37962376070335274,-0.7121825103344228,0.6713499874637278,-0.9810000502139768,2.091550847700821,-0.5474416741259786,-2.386656451929232,-6.789354846711895,0.0,0.0,0.0,1.3660873340928867,-1.2138665918278186,6.835756647817298,0.0,0.0,-2.3798468575548193,0.0,0.0,0.0,-5.558791533726915,0.0,0.0,0.0,0.0,2.0355933460316358,-0.9925388364757213,-0.7562636941897002,-3.484989926097677,0.7109566405407077,-0.6059359422448454,4.958854686847639,0.0,-1.519100275630687,-0.49073899792742354,-0.09820740340118098,-0.5805336370041467,-0.3160561875726681,0.5183525708308179,-0.9541374594832942
29,1549.8313566350525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1634023585545785,1.9168104791403187,-0.363256669445175,-0.6257067647565994,0.6738851905264945,-1.044055762695476,2.18673909913993,-0.5736807610478016,-2.098678522259835,-6.528380158172016,0.0,0.0,0.0,1.452692319148894,-1.0618041658473092,6.742090813629039,0.0,0.0,-2.982161311952794,0.0,0.0,0.0,-5.326164849073289,0.0,0.0,0.0,0.0,1.9910728114400094,-1.036872152483713,-0.7502232192184823,-3.742689661241341,0.7244505640784772,-0.6759859985298178,5.243296767123822,0.0,-1.347950713697483,-0.5274670594435191,-0.11067041993012251,-0.4653607392601376,-0.3140008929084814,0.531366007768266,-0.9394775253692496
30,1548.645285688385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.214029234853128,1.8674609991849844,-0.31930214482580005,-0.6369338867311443,0.7220896755240063,-1.0766530330268425,2.2964862937752577,-0.5744226290943479,-1.9686359246819458,-6.341250626671743,0.0,0.0,0.0,1.69746946477407,-1.1748110074531461,6.575267201287343,0.0,0.0,-2.7562081854773974,0.0,0.0,0.0,-4.6872766411214695,0.0,0.0,0.0,0.0,2.018676586261029,-1.128787680796577,-0.7466452042894713,-3.6179799564793242,0.7398407445051707,-0.6923570875141282,5.43929952067283,0.0,-1.434089839590757,-0.5391916966319876,-0.1165954981132851,-0.5712255295898614,-0.3181732025677427,0.534198884594985,-0.9325759189579576
31,1546.5839759906094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1023850729332705,1.830279464435006,-0.3668725994531781,-0.6506674997123784,0.6541195407584536,-1.0963731077258125,2.263428214493316,-0.5648570849770671,-2.423244082207444,-6.062011274531296,0.0,0.0,0.0,1.5629812461089592,-0.9634115092951793,6.439205472901831,0.0,0.0,-2.480354793439895,0.0,0.0,0.0,-4.481453794751707,0.0,0.0,0.0,0.0,2.031926573646097,-1.0594054259758137,-0.777187329532085,-3.5824483952964483,0.7308581811854877,-0.6540506140049374,5.458463988581846,0.0,-1.5690597004260478,-0.5168706441636609,-0.11642789781046567,-0.5987608180115268,-0.31405179269581934,0.529815259475001,-0.933372719014461
32,1544.3356423277905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.163637860898501,1.8249820867014321,-0.37441934312440994,-0.4663450522298737,0.6144398152374071,-1.0652303196753174,2.5331559687256884,-0.49098511577698023,-2.1382162285795485,-5.45151157757464,0.0,0.0,0.0,1.0053858640419202,-0.6941851579333707,6.555988470953268,0.0,0.0,-2.281672903291926,0.0,0.0,0.0,-3.650072649708928,0.0,0.0,0.0,0.0,1.988421347172022,-0.9488067077828175,-0.7962231962131364,-3.2183392854902046,0.7189952660929453,-0.5502555610200185,5.514933065761672,0.0,-1.638889067783484,-0.4479135735390426,-0.10404023712581197,-0.6094649960006376,-0.30021091456237625,0.544620033124075,-0.9499082331261608
