,carD,carP,pt,bike,walk
asc,0 [ NA  ],-1.279 [ 0 *** ],-3.604 [ 0 *** ],4.388 [ 0 *** ],11.034 [ 0 *** ]
p.age_group_agg_5_14,0 [ NA  ],16.807 [ 0.79  ],15.337 [ 0.81  ],16.137 [ 0.8  ],15.562 [ 0.81  ]
p.age_group_agg_15_24,0 [ NA  ],1.658 [ 0 *** ],2.105 [ 0 *** ],3.042 [ 0 *** ],2.325 [ 0 *** ]
p.age_group_agg_25_39,0 [ NA  ],-0.214 [ 0 *** ],-0.602 [ 0 *** ],0.566 [ 0 ** ],0.539 [ 0 *** ]
p.female_FALSE,0 [ NA  ],-0.921 [ 0 *** ],-0.441 [ 0 *** ],1.137 [ 0 *** ],0 [ NA  ]
hh.cars_gr_0,0 [ NA  ],4.278 [ 0 *** ],7.416 [ 0 *** ],7.198 [ 0 *** ],6.406 [ 0 *** ]
hh.cars_gr_1,0 [ NA  ],0.525 [ 0 *** ],1.231 [ 0 *** ],1.059 [ 0.01 ** ],0.588 [ 0 *** ]
hh.cars_gr_2,0 [ NA  ],0.185 [ 0.03 * ],0.4 [ 0.04 * ],0.561 [ 0.17  ],0.446 [ 0 *** ]
time,-0.202 [ 0 *** ],-0.175 [ 0 *** ],-0.038 [ 0 *** ],NA,NA
logDist,NA,NA,NA,-1.559 [ 0 *** ],-1.714 [ 0 *** ]
stressLinkLogDistance,NA,NA,NA,-0.237 [ 0 *** ],NA
stressLinkDistance,NA,NA,NA,NA,-0.001 [ 0 *** ]
stressJctDistance,NA,NA,NA,NA,-0.009 [ 0 *** ]
vgviDayLogDistance,NA,NA,NA,0.438 [ 0 *** ],NA
crimeDistance,NA,NA,NA,NA,0.002 [ 0.01 ** ]
lightNight,NA,NA,NA,2.091 [ 0.85  ],NA
,r2,0.522128044411347,,,
