,carD,carP,pt,bike,walk
asc,0 [ NA  ],-0.9706 [ 0 *** ],-3.3679 [ 0.629  ],2.0495 [ 0.004 ** ],17.0019 [ 0.009 ** ]
p.age_group_agg_5_14,0 [ NA  ],14.2869 [ 0 *** ],12.8921 [ 0.192  ],13.5775 [ 0 *** ],13.2425 [ 0 *** ]
p.age_group_agg_15_24,0 [ NA  ],1.6662 [ 0 *** ],2.1536 [ 0.167  ],3.025 [ 0 *** ],2.4927 [ 0 *** ]
p.age_group_agg_25_39,0 [ NA  ],-0.1181 [ 0 *** ],-0.5163 [ 0.269  ],0.5547 [ 0 *** ],0.4766 [ 0 *** ]
p.female_FALSE,0 [ NA  ],-1.0465 [ 0 *** ],-0.5724 [ 0.092 . ],0.8861 [ 0 *** ],-0.2305 [ 0 *** ]
hh.cars_gr_0,0 [ NA  ],4.4418 [ 0 *** ],7.5961 [ 0.61  ],8.4516 [ 0 *** ],6.4994 [ 0 *** ]
hh.cars_gr_1,0 [ NA  ],0.4883 [ 0 *** ],1.2405 [ 0.614  ],2.4076 [ 0 *** ],0.548 [ 0 *** ]
hh.cars_gr_2,0 [ NA  ],0.2228 [ 0 *** ],0.4989 [ 0.623  ],1.8283 [ 0 *** ],0.4429 [ 0 *** ]
time,-0.181 [ 0 *** ],-0.1608 [ 0 *** ],-0.0337 [ 0 *** ],NA,NA
logDist,NA,NA,NA,-1.3506 [ 0 *** ],-2.6611 [ 0 *** ]
,r2,0.498569598761416,,,
