| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| g_bike_grad                    | -386,4498159 | 347,42129 |  -1,11234   | 0,26599     |
| g_bike_stressLink              | -10,0110924 | 5,76087 |  -1,73778   | 0,08225 .   |
| g_bike_stressLink_c            | -20,2935585 | 12,17276 |  -1,66713   | 0,09549 .   |
| g_walk_vgvi                    |  0,5516862 | 0,15342 |   3,59593   | 0,00032 *** |
| g_walk_stressJct               |  4,2237623 | 1,18577 |   3,56203   | 0,00037 *** |
| g_walk_speed                   | -0,0501289 | 0,16834 |  -0,29778   | 0,76587     |
| g_walk_speed_c                 |  1,3020965 | 0,24828 |   5,24451   | 0,00000 *** |
| g_walk_speed_o                 |  0,2821674 | 0,09303 |   3,03313   | 0,00242 **  |


Iterations: 500

Start LL = 21249.943505112835
Final LL = 10978.931839427232
