| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0.0000000 |         |             |             |
| b_carD_age_gr_under16          |  0.0000000 |         |             |             |
| b_carD_age_gr_16_24            |  0.0000000 |         |             |             |
| b_carD_age_gr_40_54            |  0.0000000 |         |             |             |
| b_carD_age_gr_55_69            |  0.0000000 |         |             |             |
| b_carD_age_gr_70up             |  0.0000000 |         |             |             |
| b_carD_female                  |  0.0000000 |         |             |             |
| b_carD_shopping_trip           |  0.0000000 |         |             |             |
| b_carD_recreation_trip         |  0.0000000 |         |             |             |
| b_carD_hhcars_0                |  0.0000000 |         |             |             |
| b_carD_hhcars_2                |  0.0000000 |         |             |             |
| b_carD_hhcars_3                |  0.0000000 |         |             |             |
| asc_carP                       | -1.6221413 | 0.05685 |  -28.53335  | 0.00000 *** |
| b_carP_age_gr_under16          |  0.0000000 |         |             |             |
| b_carP_age_gr_16_24            |  1.1178459 | 0.06202 |   18.02474  | 0.00000 *** |
| b_carP_age_gr_40_54            | -0.3595612 | 0.04978 |  -7.22265   | 0.00000 *** |
| b_carP_age_gr_55_69            | -0.1937749 | 0.04941 |  -3.92205   | 0.00009 *** |
| b_carP_age_gr_70up             |  0.0603581 | 0.05619 |   1.07411   | 0.28277     |
| b_carP_female                  |  0.9391520 | 0.03433 |   27.35325  | 0.00000 *** |
| b_carP_shopping_trip           | -0.3151351 | 0.04334 |  -7.27098   | 0.00000 *** |
| b_carP_recreation_trip         |  0.0520716 | 0.04428 |   1.17592   | 0.23963     |
| b_carP_hhcars_0                |  0.3282214 | 0.05218 |   6.29009   | 0.00000 *** |
| b_carP_hhcars_2                |  0.0575303 | 0.03824 |   1.50448   | 0.13246     |
| b_carP_hhcars_3                | -0.0133120 | 0.05393 |  -0.24684   | 0.80503     |
| asc_pt                         | -2.7938778 | 0.12342 |  -22.63679  | 0.00000 *** |
| b_pt_age_gr_under16            | -2.1740729 | 0.11818 |  -18.39658  | 0.00000 *** |
| b_pt_age_gr_16_24              |  1.3957621 | 0.10201 |   13.68306  | 0.00000 *** |
| b_pt_age_gr_40_54              | -0.5209767 | 0.09168 |  -5.68232   | 0.00000 *** |
| b_pt_age_gr_55_69              | -0.1711729 | 0.08786 |  -1.94829   | 0.05138 .   |
| b_pt_age_gr_70up               |  0.0213403 | 0.09746 |   0.21898   | 0.82667     |
| b_pt_female                    |  0.4208978 | 0.05842 |   7.20471   | 0.00000 *** |
| b_pt_shopping_trip             |  0.3708338 | 0.09282 |   3.99499   | 0.00006 *** |
| b_pt_recreation_trip           |  0.7785054 | 0.09013 |   8.63786   | 0.00000 *** |
| b_pt_hhcars_0                  |  1.0376155 | 0.07213 |   14.38582  | 0.00000 *** |
| b_pt_hhcars_2                  | -0.5527616 | 0.07573 |  -7.29953   | 0.00000 *** |
| b_pt_hhcars_3                  | -0.9558905 | 0.12096 |  -7.90256   | 0.00000 *** |
| asc_bike                       | -3.2610067 | 0.18906 |  -17.24831  | 0.00000 *** |
| b_bike_age_gr_under16          | -0.3018217 | 0.18458 |  -1.63520   | 0.10201     |
| b_bike_age_gr_16_24            |  0.2574160 | 0.17599 |   1.46264   | 0.14357     |
| b_bike_age_gr_40_54            | -0.1841825 | 0.11492 |  -1.60267   | 0.10901     |
| b_bike_age_gr_55_69            | -0.3371175 | 0.13055 |  -2.58222   | 0.00982 **  |
| b_bike_age_gr_70up             | -0.9648284 | 0.20989 |  -4.59675   | 0.00000 *** |
| b_bike_female                  | -0.5105997 | 0.08396 |  -6.08172   | 0.00000 *** |
| b_bike_shopping_trip           | -0.0139905 | 0.17743 |  -0.07885   | 0.93715     |
| b_bike_recreation_trip         |  1.7816847 | 0.16035 |   11.11107  | 0.00000 *** |
| b_bike_hhcars_0                |  0.5550476 | 0.10914 |   5.08544   | 0.00000 *** |
| b_bike_hhcars_2                | -0.3782525 | 0.09735 |  -3.88568   | 0.00010 *** |
