| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0.0000000 |         |             |             |
| b_carD_age_gr_under16          |  0.0000000 |         |             |             |
| b_carD_age_gr_16_24            |  0.0000000 |         |             |             |
| b_carD_age_gr_40_54            |  0.0000000 |         |             |             |
| b_carD_age_gr_55_69            |  0.0000000 |         |             |             |
| b_carD_age_gr_70up             |  0.0000000 |         |             |             |
| b_carD_female                  |  0.0000000 |         |             |             |
| b_carD_shopping_trip           |  0.0000000 |         |             |             |
| b_carD_recreation_trip         |  0.0000000 |         |             |             |
| b_carD_hhcars_0                |  0.0000000 |         |             |             |
| b_carD_hhcars_2                |  0.0000000 |         |             |             |
| b_carD_hhcars_3                |  0.0000000 |         |             |             |
| asc_carP                       | -1.6245682 | 0.05688 |  -28.55979  | 0.00000 *** |
| b_carP_age_gr_under16          |  0.0000000 |         |             |             |
| b_carP_age_gr_16_24            |  1.1187798 | 0.06205 |   18.03111  | 0.00000 *** |
| b_carP_age_gr_40_54            | -0.3584701 | 0.04981 |  -7.19609   | 0.00000 *** |
| b_carP_age_gr_55_69            | -0.1887815 | 0.04941 |  -3.82081   | 0.00013 *** |
| b_carP_age_gr_70up             |  0.0621148 | 0.05623 |   1.10471   | 0.26928     |
| b_carP_female                  |  0.9416981 | 0.03436 |   27.40918  | 0.00000 *** |
| b_carP_shopping_trip           | -0.3168978 | 0.04335 |  -7.31087   | 0.00000 *** |
| b_carP_recreation_trip         |  0.0502298 | 0.04429 |   1.13413   | 0.25674     |
| b_carP_hhcars_0                |  0.3290064 | 0.05219 |   6.30410   | 0.00000 *** |
| b_carP_hhcars_2                |  0.0570224 | 0.03826 |   1.49059   | 0.13607     |
| b_carP_hhcars_3                | -0.0139357 | 0.05395 |  -0.25833   | 0.79615     |
| asc_pt                         | -2.7725285 | 0.12346 |  -22.45772  | 0.00000 *** |
| b_pt_age_gr_under16            | -2.1834930 | 0.11818 |  -18.47584  | 0.00000 *** |
| b_pt_age_gr_16_24              |  1.3888866 | 0.10196 |   13.62143  | 0.00000 *** |
| b_pt_age_gr_40_54              | -0.5295752 | 0.09166 |  -5.77746   | 0.00000 *** |
| b_pt_age_gr_55_69              | -0.1800981 | 0.08783 |  -2.05060   | 0.04031 *   |
| b_pt_age_gr_70up               |  0.0120960 | 0.09746 |   0.12412   | 0.90122     |
| b_pt_female                    |  0.4206790 | 0.05846 |   7.19661   | 0.00000 *** |
| b_pt_shopping_trip             |  0.3672234 | 0.09287 |   3.95400   | 0.00008 *** |
| b_pt_recreation_trip           |  0.7739248 | 0.09021 |   8.57946   | 0.00000 *** |
| b_pt_hhcars_0                  |  1.0362753 | 0.07220 |   14.35368  | 0.00000 *** |
| b_pt_hhcars_2                  | -0.5507424 | 0.07573 |  -7.27269   | 0.00000 *** |
| b_pt_hhcars_3                  | -0.9563619 | 0.12108 |  -7.89839   | 0.00000 *** |
| asc_bike                       | -3.2621747 | 0.18903 |  -17.25711  | 0.00000 *** |
| b_bike_age_gr_under16          | -0.3123468 | 0.18412 |  -1.69639   | 0.08981 .   |
| b_bike_age_gr_16_24            |  0.2392217 | 0.17598 |   1.35940   | 0.17402     |
| b_bike_age_gr_40_54            | -0.1943618 | 0.11479 |  -1.69312   | 0.09043 .   |
| b_bike_age_gr_55_69            | -0.3814670 | 0.13046 |  -2.92412   | 0.00345 **  |
| b_bike_age_gr_70up             | -1.0489673 | 0.20656 |  -5.07816   | 0.00000 *** |
| b_bike_female                  | -0.5223890 | 0.08395 |  -6.22272   | 0.00000 *** |
| b_bike_shopping_trip           |  0.0506332 | 0.19549 |   0.25901   | 0.79563     |
| b_bike_recreation_trip         |  1.7830012 | 0.15961 |   11.17110  | 0.00000 *** |
| b_bike_hhcars_0                |  0.5460968 | 0.10909 |   5.00577   | 0.00000 *** |
