Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_16_24,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_recreation_trip,b_carD_occupation_employed_full,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,b_carD_hhcars_23,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_16_24,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_recreation_trip,b_carP_occupation_employed_full,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,b_carP_hhcars_23,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_16_24,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_recreation_trip,b_pt_occupation_employed_full,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,b_pt_hhcars_23,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_16_24,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_recreation_trip,b_bike_occupation_employed_full,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,b_bike_hhcars_23,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_16_24,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_recreation_trip,b_walk_occupation_employed_full,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_walk_hhcars_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_c,g_walk_vgvi,g_walk_speed,g_walk_speed_c,g_walk_speed_e
10,36083.46750328657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7032301310269005,0.0,0.8125475997911853,-1.3960905597426736,-1.177711356887668,1.3837680095175349,-0.11194652848267594,-1.3826080919828294,-0.13489712689986214,0.0,0.0,0.0,-1.2414180300944433,-1.090849692333708,0.5548354187288649,-0.6167020037543915,-0.006334107929597439,-0.22804803875946872,-0.43334529070847416,-0.5331292783388054,0.7082024054790463,-0.8976252456917516,-0.39018692332532756,0.0,-1.0287615091610787,-0.42186059307106816,0.07052100676148784,-0.24364015505434322,-0.37009614292041987,-0.20011984552261947,0.6334978833175575,-0.12678293891027015,-0.009532644418182613,-0.21037536305722365,-0.09574401036303702,0.0,1.807668484422304,-0.6251123735945764,0.32134074412554714,0.0,0.19958236410497684,0.16945814538393889,3.758464056211362,0.27038232789624705,0.6437925834480773,0.0,0.0,-0.301582642192268,-0.009458071296694875,-0.0028386005730926026,-0.12511145310114322,-0.12450998649923299,0.09594677025514214,2.0357919391901853,0.7340392767516863,0.6789456365974692,0.47150840223589296,1.3590478079026693,0.3546284054485307
11,35728.21690711153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.985790347871031,0.0,0.8712197156165729,-1.3013733213235987,-1.1076590394066879,1.430081526601865,0.27480543455691353,-1.201017316095916,0.005039471209684315,0.0,0.0,0.0,-1.5222630540477313,-1.706781145795309,1.0107744765013258,-0.8325235966585107,0.006122576160449832,-0.0122586675144839,-0.31845892744211063,-0.718199876561994,1.225505110718512,-1.265483760619118,-0.6128647911064213,0.0,-1.2791153053588533,-0.6628323438438515,0.16929973959528388,-0.23778460922737038,-0.5035048688706625,0.01120756593814462,1.1658624355517908,-0.14789858195977862,0.10861815304560576,-0.2846187903573675,-0.1476098891804456,0.0,2.0701538492981597,-0.7328836389233675,0.4519974008664942,0.0,0.21132649596658212,0.48589934125168965,3.581102588389283,-0.1393797858838774,0.6468633930561194,0.0,0.0,-0.13272230430327597,-0.00883404821235034,-0.00257779506592017,-0.11815060524004217,-0.12685900124732674,0.1430504289327147,1.9829376871734234,0.8805090571903462,0.7758608666180155,0.38211268062306347,1.636458369770512,0.3561970850157189
12,35515.4524928956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.226471071876175,0.0,0.9398344514978049,-1.0948138961492675,-0.7299344654716603,1.6024904653227143,0.08259029837277188,-1.10032133541189,0.16546653597473437,0.0,0.0,0.0,-1.6521588825505749,-2.3125343418754136,1.5120926057104485,-0.9622771213266514,-0.01095519310220125,0.27447336471803474,-0.03209178003175128,-0.8337797391391546,1.6906379501210007,-1.5234781042045058,-0.8373666393682944,0.0,-1.4076320415068404,-0.8349917487757832,0.26231023351937804,-0.2052723933168768,-0.5115696234669439,0.17505193867160526,1.1699105359645217,-0.26249278423633154,0.23590413521352036,-0.23126797801597848,-0.1984762864443954,0.0,2.088996166671711,-0.7476730026456841,0.5017630425969136,0.0,-0.016384067139157132,0.41809486956933317,3.545922377034822,-0.09101285747115213,0.6219457834400989,0.0,0.0,-0.011568819187859139,-0.008861681398879452,-0.002583884268072176,-0.11808517918180214,-0.12718652636089636,0.19590676879210508,1.9503921600107281,0.9761663974425525,0.7828740547449451,0.32658280001619244,1.7331413798816275,0.5786434812762746
13,35359.0068601273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.431048345868347,0.0,1.1123056524322017,-0.9336067191271524,-0.4981262771670698,1.688692910436139,-0.06131049648928835,-1.0205789358309811,0.276645897838096,0.0,0.0,0.0,-1.7854234289494677,-2.812065998532009,1.908829662087892,-1.0238128824391437,-0.07711699832733336,0.45678260148669836,0.2332304780981626,-0.8947109207912729,1.9545965623188448,-1.6698415927714316,-1.0283997043327164,0.0,-1.455425825062452,-0.975481208530584,0.3343897640264304,-0.13801899346281804,-0.5105858634738614,0.20207968037336194,0.980258460757385,-0.26470282274562745,0.33718676667028097,-0.155355856454022,-0.21284865189769014,0.0,2.0379526131280956,-0.7874878888581678,0.47865010990074297,0.0,0.08252272195484565,0.3450417270022819,3.505251518587544,-0.09153813953791955,0.6706281191385671,0.0,0.0,-0.08446352744607392,-0.008910369290014344,-0.0025937300962439336,-0.11809341202251541,-0.12593859655170786,0.2447717430467215,1.918724432400589,1.0488769738132404,0.8131467464645136,0.33151347301631096,1.8199814773223395,0.30629329388174004
14,35242.84989903852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6501463449467315,0.0,1.5414993599986957,-0.8060639895483153,-0.39569002245790297,1.6698925728618192,0.026009055188869062,-0.8899175923815554,0.36297881617062244,0.0,0.0,0.0,-2.074512366239132,-3.4120497575919644,2.2470466464583,-0.9969494790030966,-0.2028113857695112,0.46156308486432723,0.49867261826625636,-0.899703793447581,1.9379116133964442,-1.6947956900350856,-1.281586435469293,0.0,-1.400724990551806,-1.1678781171192263,0.41687726010129317,-0.10728441975662266,-0.3475673180096065,0.041734882961731556,0.7382041536674504,-0.12141791739316068,0.46272935783777436,-0.12760332268180238,-0.1796602803767482,0.0,1.947925682231369,-0.8808321412535137,0.4847211959858294,0.0,-0.023287058544855146,0.5060124006181046,3.3539542250067242,0.11890355426588468,0.8317275338790765,0.0,0.0,-0.17872286529018006,-0.0085940489895651,-0.0024372773250288453,-0.1147740430661711,-0.12509854402128898,0.31938049926262646,1.8631641622266426,1.1365638545943175,0.754755799674646,0.3632513219212798,1.9479883187736864,0.3349749315263832
15,35165.32118972629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.82549078152817,0.0,1.7950540469098173,-0.6388148512280063,-0.274963930003325,1.7526560070195272,-0.12806374915561142,-0.7398782316248784,0.37845272291461357,0.0,0.0,0.0,-2.2527738692142414,-3.9068756578120523,2.3402071781750737,-0.8139067287932318,-0.23283904860628624,0.36636099374051473,0.6065033260380237,-0.785021750861976,1.70247755789923,-1.5365697639906482,-1.539028722992272,0.0,-1.4569399640583496,-1.2577004422548135,0.5272818151328806,-0.21303651730078615,-0.27521093202646674,-0.05026287680686632,0.9079760777662689,-0.05410566996149789,0.493532641427029,-0.2665385216715922,-0.12764457392111897,0.0,1.75030809001686,-0.9658287730965349,0.6216390993990673,0.0,-0.02110506050462179,0.4788546197302558,3.350518016374194,0.15929558542903532,0.8454588321228744,0.0,0.0,0.041550273028548135,-0.008478728818158247,-0.0023622077259332023,-0.1136449095757921,-0.12393106842880558,0.40552032837053764,1.8491692922987506,1.133175056903309,0.7092071657560202,0.41100551814802144,1.984558075158506,0.23824478246934194
16,35112.83047736009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1559755520880137,0.0,1.965144071046181,-0.4445464629356371,0.20386505434713642,1.7302263210510673,0.1404724606269946,-0.5442348178125962,0.20868686568649264,0.0,0.0,0.0,-2.1212467088104043,-5.09891666347776,2.3511993770874793,-0.12721218120504119,0.06316676522607234,0.3491052916019004,0.6692915349960942,-0.3340788977481527,1.1991652227819114,-0.9294932597990256,-2.236633665801973,0.0,-1.8096671804183257,-1.8548738262682698,0.8364494757570448,-0.05199546761797855,-0.2643860538028858,0.34685658661151436,0.9151470008632488,0.058061460766634626,0.19142146565303808,-0.2152004621452131,-0.010358215414810551,0.0,1.4699020376440777,-1.175271694136958,1.1084966679497186,0.0,0.07029725653795907,0.4877893214278796,3.6088881264247075,0.2779555769276307,0.9127220708601937,0.0,0.0,0.1766662135442297,-0.008654351028058496,-0.002548208378136465,-0.11390584173708683,-0.12604882832569225,0.6747762703234357,1.7526486592650206,1.2005687042610602,0.5681322226095532,0.5687511787402488,1.9348249885341202,0.1734123732292568
17,35019.936657265105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3363957227048138,0.0,1.980805980378201,-0.27552999557722896,0.33007873811797783,1.9043448129984877,0.12125548730145964,-0.42375549247217054,0.02540284334171014,0.0,0.0,0.0,-2.0293692398538683,-5.6297604527938345,2.284561389354701,0.09209376577317585,0.3237362900462928,0.31259146456551173,0.529821951207873,-0.21654533487267297,1.0815676089530963,-0.7334746551712735,-2.579922093972825,0.0,-1.902432809270247,-1.8033785521150487,0.9018748558481233,-0.04843599900731569,-0.24520057019519015,0.3322142329502133,0.9747967089380017,-0.046338197836530565,0.07456279588879391,-0.013751499817329538,-0.07477135875080584,0.0,1.4554803489586499,-1.3002871013515398,1.2549222063327026,0.0,0.17623891395120878,0.6699080920552091,3.5243157483225764,0.32738074125487354,0.8897147717808735,0.0,0.0,-0.05770969501774992,-0.008770719639020192,-0.0025987609338339727,-0.11583927190485875,-0.12618765314628286,0.8390813460628586,1.7752738181367982,1.038304079445537,0.5404834790361628,0.5997090662406583,1.8465600981875192,0.21701759939528117
18,34805.72098101948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.410831474512624,0.0,2.0338942038619514,-0.30208832695213844,0.2815861543714858,1.9979592829008561,0.1606718664463454,-0.413290938626565,-0.19019695147898266,0.0,0.0,0.0,-2.0241168700066745,-6.626037870707854,2.039686138621978,0.11160463776391875,0.8935716982424532,0.09108645800014362,-0.07921043202266387,-0.3199096279958614,1.0395488821327352,-0.6957199942349235,-3.295016224955726,0.0,-1.9793185764389587,-1.84143198462677,0.8244753651783917,0.2595026893075719,-0.12237590137746333,0.3547233027510671,0.7005518780756985,0.0916498234783539,0.08338952195907108,-0.12577477684883825,-0.25707538754130077,0.0,1.4681456234949937,-1.6331738091648735,1.2577243762857906,0.0,0.5020570618154911,0.52268565893436,3.1891288102421327,0.4932102303684365,0.2756237511778332,0.0,0.0,0.012834294955090975,-0.00811805426199536,-0.002275892662473485,-0.10775103673866035,-0.12164889194621979,1.300286446986782,1.8029953138088413,0.6660615298761356,0.6287642170532542,0.4772775406718359,1.435574153304315,0.346488811415151
19,34384.539646357094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8243797371248855,0.0,1.5826848711993362,-0.5081674427168332,0.40263910758691457,1.5062829188565547,-0.31047058239341807,-0.5336251007004755,-0.033705385237490226,0.0,0.0,0.0,-1.94052060122242,-7.644724055547937,1.7761108642599315,-0.02435307440113306,0.7960508320004077,-0.021144729325896103,-0.466703418565663,-0.4513202664860531,0.9623713102140721,-0.8570071563745766,-4.123574256968162,0.0,-2.076132384222843,-2.1112136285517504,0.8517751754297823,0.14635202073479459,0.2727745766501937,0.3108487400805434,0.7096635414931737,0.40602657269424924,-0.13788159402858358,-0.39370752849020857,-0.363682090427194,0.0,1.401730936704029,-2.4491611534186024,0.8561864767495873,0.0,0.8701257962122915,0.6546107775694426,3.104733397772359,0.24189613326076514,0.08516413473895693,0.0,0.0,-0.38014815308909355,-0.007022874139407935,-0.0018451510450829616,-0.09471807903387205,-0.11388375985017588,2.1222903854124056,1.7500990583018181,0.17568890215541705,0.7108969194192084,0.2680480420180201,0.9601235862358397,0.697330547592536
20,33871.23630064895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1484735247180726,0.0,0.9994286292766269,-0.46339816734019124,-0.5147854753925936,0.8374705136200937,-0.00306059328315611,-0.3843952168962189,0.03036721939345477,0.0,0.0,0.0,-0.9842883705057571,-9.11920822238913,1.2514161783492206,-0.3506104564114168,-0.42668459387090973,0.44358534219616136,-0.009886413145388406,-0.5440793039603451,0.8483553158702766,-1.1748370249416633,-5.566489172339273,0.0,-2.1343421886008476,-1.980893693659839,0.8113091233181724,-0.1938960009044109,0.5768737984018197,0.2761807449909742,0.8251493445399738,0.055820046206689344,-0.5059600142320837,-0.49683807808831687,-0.6255728469395476,0.0,1.7750080687964211,-4.200866624892596,-0.2828211699198928,0.0,1.6053328427891118,-0.07957470361081265,2.7538836020039708,0.34155317308486366,0.5248967448124591,0.0,0.0,0.021690022402535925,-0.006377961458169516,-0.0018347431420832343,-0.09109116834023809,-0.10760296197090397,4.183650971064955,1.682304833126008,-1.2131997647126174,0.8784561502714918,0.022675418092650917,-0.11449685268819598,1.2729682123387627
