Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_16_24,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_shopping_trip,b_carD_recreation_trip,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_16_24,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_shopping_trip,b_carP_recreation_trip,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_16_24,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_shopping_trip,b_pt_recreation_trip,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_16_24,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_shopping_trip,b_bike_recreation_trip,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_16_24,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_shopping_trip,b_walk_recreation_trip,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_c,g_bike_stressLink_e,g_walk_vgvi,g_walk_speed,g_walk_speed_c,g_walk_speed_e
10,31746.48981481995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.444930647591763,0.0,0.9091955847191444,-0.7247398779934701,-0.5400413251226236,1.2479237322985537,-0.8520290072798736,-0.11543671056272638,0.08529666542942378,0.07496150146036978,0.09934838992084202,-1.6005383932545094,-1.3141272308294143,0.7008144586135616,-0.7721451835038662,-0.013023044479535152,-0.2280440600281678,-0.503262557818558,-0.4179402400487024,0.8946371582241693,-1.142370058012266,-0.507155372635558,-1.2226277398693743,-0.6775837897923169,0.018137936527488536,-0.05037499547297235,-0.270025565738657,0.021323845950857942,-1.2295729532209123,0.8372232910313159,0.05904173915509257,-0.22045371325427487,-0.15782142553544115,1.3884816249992868,-0.7106695196303334,0.34347275113798315,-0.2673215356272255,0.13566943790689173,0.03448092913051096,-0.6271956402052571,1.723796264683598,0.4764003633527364,-0.33513676141497595,-0.00949400178444021,-0.008082752099850196,-0.0024215480533550863,-0.16120786769049644,-0.13244807621021748,0.054264158106719626,0.3202209368130575,0.7161173196980575,0.09882326545541624,0.21548892448163848,-0.21893036948075684,1.3597374532578193,0.3532706071130339
11,31434.433628091992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6525523352424554,0.0,1.1374321545189994,-0.44456157249409883,-0.2639181558779395,1.1335591819700415,-0.6089618582964955,-0.1554905478033568,0.2897370206352328,0.06391154086448525,0.16643891103906966,-1.9870367320341513,-2.013086756445559,1.1896790037558014,-1.0441767495366188,0.07793287005595859,0.014112210745132636,-0.502722104781133,-0.37062164501068784,1.4771772796476754,-1.5983310005461422,-0.7608089511561509,-1.3110340667276466,-0.9230800124573248,0.1107018586564798,-0.05585784466020627,-0.24840134152993548,0.3592388537492277,-1.0024520031353892,0.8999004317929743,0.23660570056139615,-0.1904071653654747,-0.18885517401496055,1.4872415324967991,-0.807952862736374,0.38279950960344955,-0.4464891889388045,0.06296942524122902,0.23384412660994824,-0.8283630144753327,1.8109880251356203,0.44140647106643915,-0.27831738547955626,-0.13436825895657453,-0.007123857326801969,-0.0020726709784510506,-0.16436551035486374,-0.13202208067598475,0.09129440841790021,0.25236627036766723,0.8249453373442538,0.09984798764506393,0.24971814770150302,-0.28651452504264036,1.3843161392858847,0.38059435283481186
12,31220.657150600004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.828088626274286,0.0,1.2740343423514437,-0.3450894874736872,-0.08567805933710745,1.1429409625850415,-0.6785084054588727,0.016059353717275154,0.38403873788809767,0.09315253039105574,0.1487384706373558,-2.196147621400633,-2.5137791634836586,1.5706107517183772,-1.2071092391846796,0.14564285999655519,0.23646630101961139,-0.4392177885606991,-0.28807511721837137,1.8765843168083658,-1.8858011216187176,-0.9440748386624855,-1.481367352581378,-1.0386775573123643,0.18022982191505238,-0.16325233320014715,-0.26302567076581124,0.38805229396062124,-0.7740441900183055,0.7843465974625139,0.3462410255630498,-0.1909533996984017,-0.2245840239157042,1.4991368099807636,-0.9309147513232541,0.3625665463195141,-0.3808112875383482,0.0767037081677021,0.24212885337942486,-0.8275735173121391,1.6958966288564583,0.4449179887358394,-0.28652830432669485,-0.18375363559460003,-0.006957502259273663,-0.001983127909994779,-0.15332070437021314,-0.12931864797518033,0.12167536532021353,0.23152325313932134,0.8033842695893197,0.1234108552928289,0.3024933307302576,-0.2916207205464917,1.3903749481994092,0.23654128510849048
13,31140.957041944584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9588871042009877,0.0,1.3277112893957628,-0.3372934975194416,0.014475784032434366,1.2610206050137722,-0.5869210654979222,-0.08194613678762433,0.41472166277615097,0.1060364659962288,0.0854262913439099,-2.3238157205284526,-2.8659540438136815,1.854827856411033,-1.2726040083808157,0.17519926505866212,0.39690395380580723,-0.37437850579979176,-0.16066287967517737,2.0518394126724138,-2.022411307200722,-1.0770915852926437,-1.5535007259574056,-1.057596246259475,0.23072691568923093,-0.2175917242820919,-0.24657191828342187,0.29981649191875576,-0.6449692477494245,0.8099745996045906,0.40657389495138807,-0.14921785777659388,-0.23790261242447788,1.4468647232348244,-1.0375580762206142,0.3694101783363963,-0.17815434294060578,-0.03158519430537639,0.1575233489648779,-0.8317265287964798,1.6151455444950604,0.501681709495917,-0.3206726633396948,-0.15812356071592612,-0.007030530662346914,-0.001990039221281583,-0.15289918511873,-0.13358399726408596,0.14857598570664218,0.2581227134076148,0.7071838174400723,0.13257188796745786,0.2496835869617206,-0.3422403964277806,1.337899829516699,0.3085841225671666
14,31094.050302653668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9957359207860597,0.0,1.3582830021469303,-0.31625263539446735,-0.0030026609494202654,1.333369284331015,-0.5164249123637353,-0.15721683385728244,0.4221649410005704,0.10566385068776585,0.055012046120522365,-2.4236346185480815,-3.087544422503171,2.03115822949311,-1.2730642016163374,0.16722696360948616,0.47076824937237893,-0.3334344983711167,-0.04558493981801,2.055365952716137,-2.056328717011817,-1.1663290862545799,-1.5650484371784976,-1.083828065766478,0.2634629333485958,-0.165914484984552,-0.2369419856067481,0.22752357641575116,-0.5887606783715695,0.8975426988236577,0.4331740864375492,-0.10724125057764958,-0.22784414994392255,1.4341757865491607,-1.0951584194359716,0.3970503051562964,-0.1333679858893278,0.008941629840013572,0.13479890313046197,-0.8135891688538601,1.6015009249555354,0.5789991694152516,-0.31453461804250876,-0.13718110113279278,-0.006964090661104444,-0.0019619341046426164,-0.15439275029529304,-0.13247376602457714,0.17017359357601827,0.2810920570619645,0.6473640034319638,0.13964029441279469,0.25013990501674865,-0.2937864599790793,1.2374279218996698,0.18537708301198186
15,31012.90323910836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.97092205786783,0.0,1.4409621796615668,-0.28169850988194833,-0.12785850500578344,1.3074964118137735,-0.6043198621051913,0.013493096697864942,0.4373176376626543,0.0949334685349352,0.002143887355728291,-2.7723839381564406,-3.810732382030523,2.5728337851296637,-1.1578267090119347,0.11092126038431196,0.6488186809311407,-0.14560653727101922,0.3956330868013747,1.8351231900363738,-2.034115522317549,-1.4824844178057606,-1.6676002094551505,-1.286511745824821,0.36760552766458865,0.11074393048178596,-0.147595851014652,0.006229571794885674,-0.4005750018749896,1.111646273526048,0.4993774523708021,-0.03557341206816032,-0.17155835406350733,1.352695467001638,-1.3037942331161347,0.603609857156337,-0.04773925274470911,-0.05585087641032848,0.1766533068102532,-0.8411554581540243,1.7027885313105064,0.8147594882807263,-0.19787773570832795,-0.039455388987823053,-0.006595539100233853,-0.001839261725611069,-0.14955441007704906,-0.13576635918041316,0.25396208428086264,0.3280972788911974,0.5158581393958762,0.08869465836983213,0.12049586520365668,-0.18341815495301123,0.8066896614479167,0.22546650027753345
16,30976.653221583365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9485694154905828,0.0,1.4599134438755654,-0.33082391432729585,-0.11465401363357099,1.186236899216189,-0.5633339933378828,0.023454623497529657,0.4382013856162781,0.08981431134823133,-0.0028114900691290435,-2.961726412614648,-4.155952180508762,2.755160229483647,-1.0277301554884548,0.0922102832324351,0.6665778897478147,0.004097669670509091,0.6177053301791624,1.6688288423750939,-1.9614599034373768,-1.668223201426863,-1.8433613677578427,-1.328605833995849,0.43619887047690276,0.1166389784110152,-0.15749394351361168,-0.009235464600751904,-0.39836607872940655,1.157323761900569,0.5323068022185421,-0.08844629177025681,-0.15928586986029677,1.209629156302061,-1.5381093737035816,0.7300810395876941,-0.08337635497896728,-0.0344430193491863,0.11701574023923034,-0.8962648833225937,1.768917244192057,0.7899051764039987,-0.16580162806998835,-0.0031633211895642777,-0.006602109250064253,-0.0018267722096663688,-0.1396453165993792,-0.13611457914067487,0.30552557034026745,0.3393051669851917,0.39365368349608126,0.08796113331016607,0.0637634732609737,-0.18257857413915568,0.7178711438461886,0.1816056241434492
17,30970.65045148846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9071729239710087,0.0,1.5374872578218899,-0.4267705193827514,-0.014264377069270098,1.1330140318339794,-0.5353724859622758,0.04558265521059517,0.37322728506189234,0.11170961258969492,0.054061273591079095,-3.409450227632148,-4.867443808075182,2.9577699209141213,-0.6592833476306005,0.10213527106893398,0.5564580031285145,0.4244596248708141,1.0501481253696299,1.3024655612800398,-1.7434873230009569,-2.116422012372417,-1.9925154245561176,-1.3372395004119155,0.6411353815703371,0.053901384641722935,-0.11141908338447006,0.305127316110839,-0.2770500566921693,1.2779581996406413,0.6002486040768099,-0.11081243935638962,-0.12139857367805261,1.1898593177661485,-2.088823412325518,0.9690458518150347,0.006891630735281429,0.048893898098728676,0.17016444663526675,-0.6130822461313207,1.8445193822440284,0.660759920377831,-0.1284211663939405,0.05705834254127738,-0.0063215240615563315,-0.0016877276080208136,-0.14278504471886028,-0.12548247881023705,0.43699089848384176,0.40742765578031914,0.13181158972884993,0.0911508245695541,0.12321783901801336,-0.05942207999082827,0.6203696990464841,0.2566630840002436
18,30944.0774158646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.033913713008015,0.0,1.5688330022130037,-0.2591824496681403,-0.029280972007900218,1.3215112344621196,-0.5620871129370378,-0.0017434355943528046,0.257489850748356,0.087980385432537,0.11593157158774503,-3.690461436893438,-5.376842772665572,2.9206931505833595,-0.29479340860957454,0.2196230660350937,0.432763313089233,0.9351346668145367,1.3491807635279074,1.1235295168846806,-1.5203761173334696,-2.503152763572374,-2.1803832047978733,-1.435657963320937,0.8446319890161605,-0.04130645010720084,-0.07814642704837824,0.4532351924846592,-0.17124756482755027,1.2168855373690324,0.5225546885226444,-0.06104739179743664,-0.09511613092666685,1.1392504716134455,-2.3166115148918918,1.0209350648661066,-0.1190451990062768,0.11899187770286737,0.17969611878544997,-0.4761163676439146,1.9525824357561836,0.5389046068511233,-0.28404227993911624,-0.011743516543573973,-0.006390370028433633,-0.0017090347957136507,-0.13737305665720426,-0.13138620256737152,0.5628764944466604,0.4293070855340726,0.06199604067293535,0.08353089238776228,0.08886518605572818,-0.11189399939298983,0.3523151247655601,0.32594743516127245
19,30919.49859045321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0848253958367104,0.0,1.6008483300084013,-0.30522300800726243,0.03091926248842302,1.3422683893094576,-0.5172993362033657,0.03933574840665842,0.2428002159443498,0.09825985093770431,0.06431157480946165,-3.8350301171450827,-5.584699311080658,2.796188052646538,-0.1371550844966815,0.3190909358992391,0.35416107074226766,1.2005355231492902,1.4757770006939923,1.1091820377988402,-1.4173627948227,-2.692989106425658,-2.1888252247706563,-1.5140670818464748,0.9278868334736796,0.008720207007209768,-0.07243447497301501,0.40810667083915414,-0.1735738983177881,1.270173811195661,0.4329194146599924,-0.030087412215216408,-0.07432958914478785,1.0817621313555863,-2.3946549736476985,0.9266347360788181,-0.056643656685449545,0.1385205515412324,0.25063405188727383,-0.4938405707773086,1.963553387122625,0.46204187233083044,-0.284768210314197,-0.08529246773891043,-0.006404526979928834,-0.0017098795960693775,-0.13801274227903165,-0.13119897422084575,0.6408394050834622,0.4083235152092856,0.14429182179947925,0.10000351223586665,0.12542244743794326,-0.1524319012770729,0.29910783058358636,0.30983301546468045
20,30899.524727701137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.138044367280358,0.0,1.5676503333599343,-0.16001914973798637,0.025033536941165342,1.2928799225438021,-0.4767588614293633,0.09129525324144694,0.21622363137497505,0.10637188441501567,0.025302346005996824,-4.040317464344601,-5.725394865647567,2.6291542538290082,-0.08115940416168664,0.3947128122295581,0.26938801859893524,1.3341665670490355,1.617284632221819,1.1181412064350846,-1.3385272543232896,-2.8522847550492103,-2.1491602322128496,-1.471347425052639,0.9085036476995844,0.04328887864011085,-0.04981530892676089,0.3186542176451222,-0.16710298633625173,1.289509731713396,0.3783797716035328,-0.07143244519252787,-0.11634335656534461,1.1025554160224869,-2.4155258988911767,0.8552619826607032,-0.01357644271744033,0.1456789360309371,0.18502427808571553,-0.5027949401668083,1.9606007612743597,0.46305364221553713,-0.2073918868619215,-0.11104418584095802,-0.0062678414068674335,-0.0016341542974662947,-0.1374129295677732,-0.13000750621772053,0.7328619230893716,0.3932925609663026,0.15963034478201818,0.11877575201853191,0.15774214694192654,-0.17899809528786878,0.3486869728640103,0.3177340528918262
